TRAINTrainTimesSTDDEVS:,PB-A,MV-A,RC-A,SMLR-A,SMLRE-A,NBC-A,CAWPE-A,SMM5-A,WMV-A,ES-A
chess-krvkp,1.717054414417017,2.022857885020227,1.1885468767200222,2.294671488771173,4.544037396640676,0.9371024061116423,1.186126701378962,4.966670523797006,24.027187665776385,35.74037930189994
congressional-voting,0.6914918072835208,0.7588557629520366,0.49013251785356116,0.7849152527649013,0.44977644510880355,1.0938700673013828,0.6149478998583783,1.6501480254047287,6.93185218485245,11.11362423686175
conn-bench-sonar-mines-rocks,1.1651056880677457,1.1670771035014103,0.571346463723366,0.889917986664224,0.534983080621924,0.5560534167675356,14.43499101202496,0.958926602970768,3.35024445839919,9.225464508755039
conn-bench-vowel-deterding,1.4479474176011817,2.330211376135492,1.6525841832592434,8.221712213653426,77.48411776452724,34.40722992721687,24.668282022285915,7.844758115140164,22.716670672367055,38.10157326223513
connect-4,15.836956633213937,15.020445835708347,17.687582500518374,23.502506591679833,33.090350018816906,24.219802859947322,14.570044848817444,76.17968021828996,14.107184115838317,138.87050115828782
contrac,1.1058881072455415,2.016027731974924,1.9771685315872418,1.019916606913267,7.941162947926283,15.806444197254471,16.702123204557857,10.176657988558519,12.117053623127495,16.426639423772006
credit-approval,1.2780193008453875,0.7279320417946061,2.4457328544635235,1.69549775690744,7.4958992620716565,8.033264176742437,8.451416258924253,2.080285126346038,8.414615090806992,12.325844262427188
cylinder-bands,0.44977644510880355,0.534983080621924,0.6789105539243627,0.7738543627276673,7.6279130482238955,34.48711236882888,35.955847765081934,1.6049492418657725,34.56521405963669,56.37717806787204
dermatology,0.7914775938769181,0.682288239221013,0.7111590022187594,1.9384197853839127,8.5560357132516,10.653422093339332,9.351132453394058,1.8096167118144546,9.068132910514633,15.81880155886092
echocardiogram,1.2521246311585854,0.5560534167675355,0.6617635789938568,0.4901325178535609,4.7734900121977555,6.574156997660237,3.2547048173798907,0.9001915504970077,3.081461065606797,5.605928717135922
ecoli,0.8603661343041527,0.5208304597621878,0.8840866447369845,4.616935342196486,10.087889632692226,12.868968289167015,14.104250602476943,2.230664042155501,13.334942431640732,18.127295732533096
energy-y1,1.5013403972802926,1.042212500669477,0.912870929175277,0.7183954022841381,6.694997274513795,43.44372764006753,44.548101343753515,1.7840287611722114,42.319311642925314,66.88769967502313
energy-y2,0.8276819867946675,0.8441822541139558,0.9878573120474016,1.356550730734929,7.346983116867783,6.91566604034703,8.289308998834638,1.5013403972802923,6.203076730102589,8.427922938510488
fertility,0.402577899936449,0.507416263404925,0.5252257314388902,1.839852567806553,5.32063862729831,1.6315848018160872,2.298425248009962,0.7279320417946064,1.5256428831468234,6.541116639882807
flags,1.2452207485597395,0.7111590022187594,1.6470105276411926,2.944115502481861,7.668715368449847,19.093960048791022,20.41590545144395,1.5222487902147743,18.231619621497934,29.415552224013716
glass,1.693802089159586,0.5040069329937306,0.5959634332684376,1.878186946737878,7.924645102463581,7.077566956446863,10.759705589272231,2.2388934048232216,7.1984193667297784,12.221894805785155
haberman-survival,0.5560534167675355,0.8087168778415268,0.571346463723366,0.7279320417946066,6.97853852894716,3.4972895909201767,3.546732347503486,1.938419785383912,3.4713937709000504,5.6771370476210326
hayes-roth,0.534983080621924,0.68144538746106,0.6260623155792925,1.534657099743491,7.384435324212086,3.125902168625258,3.236998751859541,1.2340942045675147,3.0011492051752677,8.072943316604139
heart-cleveland,0.479463301485384,0.8136762043449723,0.59209349991676,1.7237355852380878,7.559419791637907,9.564601883790163,11.692614822156349,2.159182476197239,9.421484374348447,15.667852730843569
heart-hungarian,0.6260623155792927,0.5959634332684376,1.2905492014562292,1.0305673027596214,6.556912646076343,3.3808113016658092,3.3356313917471745,0.8840866447369842,3.0850026546682816,7.08373562076025
heart-switzerland,0.9684683962230045,0.6260623155792925,0.504006932993731,1.1919268665368754,4.1329903454281505,2.866573107267692,2.606137759787173,1.381736372213908,2.790789448727088,7.290680557294068
heart-va,0.6288102248298564,0.9071871393197364,0.4138409933973338,1.0747894741730137,8.5086163225367,9.012443505012083,8.853144126215287,1.7684982914598908,8.792630142772197,14.334910364994053
hepatitis,0.4806604651504226,0.5832922809856746,0.6260623155792925,1.0148325268098495,5.805665089069192,4.91022859219265,5.49409296165112,0.9684683962230045,4.439115579305948,9.614644003307912
hill-valley,0.6948083337796512,0.8583598366625753,0.7738543627276674,0.7239737088005909,7.443580895760059,14.718859588507762,14.379103612174688,5.009875305305776,20.50962768034093,22.33097431356508
horse-colic,1.3429252681597996,0.6617635789938568,1.36289077492212,0.8683449709106097,7.332497340018563,5.618217494552161,9.514900595031637,1.5331584108120326,5.53940948759562,10.793197091143838
ilpd-indian-liver,0.5508613944197479,0.6396838299494921,0.7701320979389588,0.8866830868758716,2.8615565252369963,4.717782451996681,8.680868116978152,2.4597915994335127,4.591846847540144,8.597246284605376
image-segmentation,3.325968876209945,2.049950938577485,3.5475424551743377,7.1264441972523525,32.52700027863678,13.00114937447729,12.582783347956411,7.176269962502292,11.552230217083874,18.449807649372676
ionosphere,1.0372377109252813,0.6608945522512669,1.186126701378962,0.6989318615762462,6.9199860474246435,4.54972526643093,4.591846847540144,1.8631329442141513,4.345032835874498,9.628083921528729
iris,0.44977644510880344,0.6686751354593717,0.534983080621924,0.944433175501849,6.686837302002216,1.7049623314678064,1.659524928558094,0.7914775938769181,1.3565507307349294,7.59945551588606
led-display,1.3916830131877742,1.4605934866804426,1.4546793303071948,7.350111423035335,89.78647083401589,12.759670661984142,13.579734732398082,9.570368541649193,12.621091633570707,15.267575137352773
lenses,0.9589266029707681,0.5632418479750461,0.9352607356658148,0.507416263404925,6.56785974341683,2.7133132818598815,2.6208711370918985,0.5683207771559355,2.661993030898414,6.180800825991297
letter,50.62024491645906,42.18733535514914,36.71850045769937,8716.50770361195,46372.071344077674,44.3495001202893,36.59578833879564,413.3368613123444,35.81961512336791,67.90274485336134
libras,1.0504514628777804,1.1957780134587128,1.0063019815944514,6.833403419881675,60.76122478013104,1.1665845619713493,0.6789105539243626,3.1811224795479123,25.650972959969828,36.338779513788346
low-res-spect,0.907187139319736,1.4125870942531562,1.7759569219172369,2.1551862068524144,12.264564412562114,1.5196036990935664,1.0372377109252813,3.4148088585204714,29.0984061656186,42.50069641079188
lung-cancer,1.0618786215460556,1.0938700673013824,0.504006932993731,0.5208304597621877,0.49013251785356104,0.6686751354593717,0.6149478998583782,0.8276819867946674,1.4227220146727475,4.818665814298088
lymphography,0.5466722735905342,0.504006932993731,0.6260623155792925,0.507416263404925,1.2484473115254693,0.40683810217248617,10.93581062486858,0.9802650357071222,4.178351432042926,6.020654105831772
magic,7.022132498578064,4.748381454430721,4.367592250767637,5.4228126052560714,20.936933214150375,35.84078778382971,31.796768432635112,19.15586402219387,31.800184341257065,40.487844067588725
mammographic,1.311312407431981,1.3480509557543978,1.252124631158585,1.7603552410558054,5.691695907095754,11.239503404581948,12.315815455942317,2.661777126519868,11.257743184546154,12.25007623715428
miniboone,27.968804461194008,51.29519033714699,62.67963609984662,33.809285944721665,153.69259137537554,28.199392673006926,39.95544932840179,310.5386514155501,39.994597336289736,285.0475439270624
molec-biol-promoter,0.5832922809856745,0.5920934999167599,2.1559860533104023,1.899788251963584,0.48423419811150226,0.5349830806219241,12.043455799155279,0.571346463723366,2.5063138660994353,5.641492425024534
molec-biol-splice,7.802224852160963,2.568822799399103,3.474868723229434,1.68017514139066,5.04189345932383,2.4365511710603167,24.850356735569353,7.43059843508235,24.64366743866639,41.34792104462621
monks-1,2.362542951017462,0.773854362727667,0.5306686305052323,0.5074162634049248,0.819307248726686,19.03487422552639,5.001723840768335,0.9222660747548278,4.926587497225244,8.192300843075056
monks-2,1.6801751413906598,0.9468641529479986,0.7427813527082074,0.7119666788018508,1.1366415543118709,6.8084632931222515,7.361050025048353,2.242740523883952,6.538656053693736,12.232470450948712
monks-3,0.571346463723366,0.6948083337796512,0.7396799556440673,0.5713464637233658,1.1957780134587126,5.143459187530616,5.430966976409503,1.203443335628631,4.911164854684177,7.908674126348967
mushroom,1.8146910062806456,3.7827497144668256,3.420022181819576,2.39947312224326,12.103433539631466,13.104574966685156,13.701078068162559,3.7630997249913376,14.854698548456556,23.127954921492186
musk-1,0.7648904962570576,2.36837399966704,0.7302967433402217,0.6297235299224025,0.9994251221140301,12.609246743889019,6.499248409243753,1.5477087254553343,6.489691206368989,12.525101233903868
musk-2,1.4367908045682762,3.283536081026414,4.517653749713324,1.3217891045025334,4.827602627229874,20.32915917207788,20.6546869246189,5.712358049243641,22.026525284119465,26.004884598638498
nursery,7.063260944663859,10.223311203031187,10.762642926280733,9.98044064169007,41.40858925836301,23.24976825987586,31.343132485809207,48.34497679810381,21.05223388916573,31.53186674920556
oocytes_merluccius_nucleus_4d,0.8193072487266861,5.014461844127133,0.9498941259817921,0.7588557629520364,1.5698305055298019,15.70873539837284,9.002234716172286,2.176414852273206,8.873374871445217,12.218132370403003
oocytes_merluccius_states_2f,0.9352607356658149,2.0965214758858486,5.990413797999631,0.6396838299494921,4.5023620875953645,29.784455561642357,29.024464512371026,2.0296650536197,29.287732318631566,46.16722477773774
oocytes_trisopterus_nucleus_2f,0.876906789368961,0.9371024061116425,0.9855274566525745,0.6686751354593717,1.539144410781971,15.748891586613217,14.980447026155403,1.7798359733284477,15.551028350518198,23.563170170962714
oocytes_trisopterus_states_5b,1.4259499757471623,1.8260566142977852,1.3235271579877137,1.1670771035014103,3.699798068425686,6.357997949908011,5.300292770052978,2.3304579984969953,7.0710678118654755,11.053890977711262
optical,7.0583772678408465,9.352607356658147,10.0195785351974,44.80405615874374,256.1944416922877,29.504412294224508,31.722594290280657,21.473961778925627,29.952241679199822,41.27214139310455
ozone,0.9732042112432564,2.118609389936341,2.141274730450151,1.0148325268098497,1.3429252681597998,13.05936929705189,11.010131175683018,3.9434217010920456,8.950951917527266,13.38278186980243
page-blocks,6.885683965893362,6.3611608858833275,7.550671736882814,5.962430268996333,28.425765388658128,24.321978140966557,22.90510157499677,13.458322212728051,21.34026467857707,36.231519268528444
parkinsons,1.5252661346824676,0.682288239221013,0.7943767889097848,0.6288102248298566,0.30512857662936466,6.1794059157223495,1.5643293888377892,0.6477192523656043,2.3096499212263084,4.736747999334079
pendigits,6.802298462124114,13.475222046237395,14.249863883197452,40.14519624574272,345.1346647058351,25.668286260290735,26.700639279444875,45.426510058466455,18.668585697744298,30.84302115589503
pima,1.1957780134587126,0.5560534167675356,1.7086662137132158,0.5683207771559355,0.5477225575051661,8.92780752068708,6.929945016451031,2.2086559079087515,3.8714991601608846,8.094911130265517
pittsburg-bridges-MATERIAL,0.4138409933973337,0.5085476277156078,5.210621336524434,1.136641554311871,0.6746646676632054,2.9728657948993864,3.0454412888246853,0.8276819867946673,3.20721170123703,7.695647374051589
pittsburg-bridges-REL-L,0.6102571532587293,1.325696520463042,0.8136762043449723,0.8550055454548937,0.5560534167675355,1.2172137016162359,1.1957780134587122,0.8840866447369844,0.9732042112432564,5.120277470929708
pittsburg-bridges-SPAN,0.5560534167675356,0.5872202195147035,0.5959634332684376,0.8136762043449726,0.2626128657194451,2.1291625896895088,2.14556479181172,0.9994251221140299,2.1668876987168884,4.365486372028643
pittsburg-bridges-T-OR-D,0.5208304597621877,0.5560534167675356,0.461133037377414,0.48423419811150226,0.534983080621924,1.9241358711314318,2.1088211011799003,0.8550055454548939,2.022857885020227,7.533526597053053
pittsburg-bridges-TYPE,1.299425160263737,0.6214554662658655,0.6477192523656043,1.048260737942924,1.1351236704106018,4.089375075209797,4.131321349393439,1.106407669457548,3.9660919123831793,7.899949075930732
planning,0.461133037377414,0.6260623155792925,0.5560534167675354,0.7183954022841379,0.4497764451088035,2.3390733994075714,2.3400559969721915,0.9613209303008454,2.2664469129444447,8.2659806908563
plant-margin,6.449182430586727,11.32569045876745,13.2632063875279,90389.68010231506,4360406.430083204,82.67818792535725,81.43949873386372,1903.458850763978,83.67922468377776,125.02036615697055
plant-shape,17.3641194328466,10.651479849697212,7.331243171303323,8246.71871939268,1462291.96443559,31.875277776567426,30.744478992263748,2678.884984209044,32.13699125457378,44.021533393316176
plant-texture,8.75490010577328,9.11131669705444,6.240026525142562,28887.061162753984,2373918.7895708755,40.19271106791013,45.06898926205743,1357.7736340713464,51.79095913647345,72.48448109768049
post-operative,0.6396838299494919,0.9942362632324553,0.8583598366625751,0.7849152527649012,0.18257418583505536,10.698372418914625,10.30483649421056,0.6297235299224025,3.6928013227352765,8.557043210463949
primary-tumor,0.6989318615762463,1.5447352189134955,1.3978637231524922,3.4006422652334303,23.124450909914756,13.368731746345542,11.485322967951792,4.454237295548754,10.553421845244234,18.158972323952394
ringnorm,2.2491377658238667,3.308644199182137,3.0021065401082816,1.316997630453711,3.5402448126271344,8.922462935063738,18.262611765729105,8.399233681520096,11.557154325003799,15.942028599336691
seeds,0.651258728182957,0.6260623155792925,0.7279320417946061,0.5040069329937307,0.68144538746106,2.90777791686248,4.678146798815142,0.7738543627276673,2.787698758441466,7.948758306848287
semeion,1.6333450621206842,2.5282314021838475,1.7694729392558173,6.429189899094652,41.90926158853854,34.617715217740056,38.1204382987913,8.017222840171373,34.40823210776179,50.664367763937804
soybean,0.9278574999588489,1.5104996509110153,2.3879486700041763,18.84772616548732,140.6726410999061,15.125528393924036,17.274125225285665,4.621414422486671,19.77055165248755,21.916350900220806
spambase,1.118804780974337,1.556964331972471,2.1088211011799003,1.0372377109252817,2.835732587947042,14.95852503639205,14.167674068305889,5.8801243242779755,22.13088028228804,24.178835620311062
spect,0.461133037377414,0.9802650357071219,0.6149478998583782,0.5959634332684376,0.479463301485384,2.785223736859899,2.9827087896973667,1.165105688067746,2.868977950901439,6.866209113201178
spectf,0.7111590022187596,0.572351471472339,0.7143842296595069,0.5306686305052324,0.466091599699399,7.131684200820299,6.328552339409361,0.9247553264475439,6.437676456682142,9.87834040694095
statlog-australian-credit,0.8502873077655143,1.376736103561817,0.7760791522613607,0.6214554662658653,0.6914918072835211,4.1749113831878235,4.717416982682976,2.760351468542558,4.171606267443598,10.466366493975208
statlog-german-credit,0.8172001541568769,1.0806553992619587,0.9643054793328016,0.6149478998583783,0.7427813527082074,8.98018252380872,7.378206491721599,2.9911747586494526,8.013566083792554,11.323863521672772
statlog-heart,0.5959634332684376,0.5683207771559355,0.639683829949492,0.6064784348631228,0.5683207771559355,5.328410083973314,5.772407613394295,1.1351236704106018,5.4928375515589485,10.986982893563104
statlog-image,1.028892943728925,2.7257815498442386,2.808852999431226,4.816279863560457,37.3671439673393,17.559619297839504,18.336854416312995,6.5094096347597805,16.62348428835115,28.85269763678156
statlog-landsat,3.2215153141868242,7.792495653238897,4.613324031616429,5.717486788127612,66.31582394683132,22.625105575418885,20.992500029088113,21.047865537345128,19.283159229883925,25.3642204327458
statlog-shuttle,28.903803989396813,31.9947732800434,33.23737336953308,109.42147239317178,763.3437152333194,45.98555495335265,56.24986334593873,152.72027242378596,51.57768384935841,104.41030908716898
statlog-vehicle,0.6914918072835209,1.4259499757471625,1.1188047809743373,0.571346463723366,2.4344274032324718,1.3256965204630415,0.6617635789938568,2.6961019115087947,21.55463520569473,33.05453522363572
steel-plates,1.4479474176011817,2.208655907908751,1.6078113916950485,5.476805848197519,25.367845517640962,1.943157757096813,2.582211473128029,9.817940416553183,69.05304474464357,97.9050677894182
synthetic-control,0.7239737088005908,1.1249521062602224,0.7914775938769181,1.042212500669477,6.854816244592296,39.2950671058159,39.01228807298612,2.0465839213495345,25.89465839383353,39.019299674986954
teaching,1.1121068335350703,0.5208304597621878,0.5560534167675354,0.5508613944197479,0.5208304597621877,3.60778213782692,3.7078667535483207,0.8976341829703134,3.675954798166174,9.127198207907878
thyroid,2.2702473408212036,5.138987779932821,3.058058883986872,2.9664793948382653,7.524366548356279,12.815938352772651,13.435627709713568,5.468404545739284,11.033126712653639,19.05011539470888
tic-tac-toe,0.7022132498578064,0.8603661343041522,0.6149478998583782,0.817200154156877,1.0482607379429243,6.936576385654741,4.920634479227341,1.5165750888103102,5.005743827281599,11.905036121636561
titanic,0.563241847975046,2.0288154065914887,1.71671967332515,1.0283342182227604,3.9647875390599503,13.845659928315973,10.681867760395404,3.549485959221792,15.90087831015893,13.655700674792936
trains,1.473521078171634,0.6064784348631228,0.572351471472339,0.504006932993731,1.1043279539543756,3.616850728935645,3.7146804135366263,0.6948083337796512,4.126728129822858,6.840464459595452
twonorm,1.1957780134587124,3.7777327020073947,3.011281470064535,3.0135708379598944,5.5874448748855725,17.42006373954054,16.724405733132546,7.737726655362248,23.391839622388407,22.04029747176018
vertebral-column-2clases,0.6260623155792925,0.7183954022841381,0.6396838299494921,0.40257789993644894,0.41384099339733377,1.9722208731310478,1.9666764075348093,1.0085838484282528,1.906130460732773,8.373741113139637
vertebral-column-3clases,0.44977644510880355,0.7580980435789034,0.7611243951073875,0.30512857662936466,0.6297235299224025,8.106758922645048,8.018943089700915,1.337350270918744,8.306001154130296,13.725385491728519
wall-following,3.4509702117373964,3.9422556119999146,3.9879127718472067,3.3748563187806666,12.850197905359146,17.222546035764367,16.123232327596572,8.214159347924989,19.112973267559312,24.515066912964496
waveform,1.3152509484776145,2.5694938899664095,2.887945616707052,1.4605934866804426,6.76034753918574,16.690867487080006,13.537517047675028,11.693597816115341,15.167872883700337,23.05238910998513
waveform-noise,1.4064710873459958,3.5919770114206897,2.128352662852485,1.9070347687431932,6.104831325863262,13.263206387527903,8.75883790118931,13.892692199560319,9.305109213290534,14.50548845790099
wine,0.8550055454548939,1.1885468767200227,0.7239737088005909,1.5613875350094093,1.3578211078487257,1.7875688235283629,1.604949241865772,0.7302967433402217,1.7927055261387115,7.851787994631775
wine-quality-red,0.5074162634049248,1.7943077299853158,1.833281085984876,3.024991688028858,8.228350206842002,11.312133654447862,11.151465034415573,6.84180859331699,11.033126712653637,21.30039662897675
wine-quality-white,2.1186093899363407,4.043584389207634,2.661993030898414,6.473731180880069,49.248093492476215,32.31141572582199,35.111055337265945,31.45871222273162,31.863592166407198,43.62643140621726
yeast,2.4823514991872604,1.5402641958779177,1.4994251772159106,5.261113032888344,40.014379599247114,17.222846361203167,16.614804366525988,11.75423621361751,15.921105778035718,22.196846622887676
zoo,0.4341724854553048,0.8502873077655142,0.773854362727667,0.5832922809856746,3.960871841795243,3.7091065318170378,3.9368579571420454,0.8603661343041521,3.9821440536936654,8.019803076092977
