PB-A,MV-A,RC-A,SMLR-A,SMLRE-A,NBC-A,CAWPE-A,SMM5-A,WMV-A,ES-A
22.0,26.0,25.5,49.0,89.0,27.0,54.0,285.0,34.0,94.0
3.0,3.0,3.0,4.0,5.0,3.0,25.0,4.0,4.0,32.5
3.0,3.0,3.0,4.0,4.0,3.0,26.0,4.0,3.0,45.0
174.5,180.5,183.0,269.5,503.0,195.0,263.5,2091.0,193.5,622.0
8.0,9.0,9.0,22.0,56.5,9.0,66.0,39.5,9.0,78.0
10.0,9.0,9.0,143.0,1022.5,10.0,64.5,97.0,9.0,79.0
7.0,6.0,6.0,245.5,1354.5,7.0,65.5,54.0,6.0,65.5
6.0,6.0,6.0,8.5,16.0,37.5,39.0,16.0,5.0,47.0
3.0,3.0,3.0,4.0,3.0,30.5,31.0,4.0,3.0,31.0
17.0,17.0,17.0,28.0,42.0,49.5,49.5,115.5,16.0,78.0
5.0,5.0,5.0,7.5,10.0,36.0,36.0,22.5,36.0,47.0
3.0,4.0,4.0,4.0,6.0,33.0,33.0,10.0,33.0,46.0
5.0,5.0,5.0,6.0,9.0,36.0,36.0,11.0,36.5,47.0
4.0,5.0,5.0,5.5,7.0,35.5,35.0,8.5,36.0,47.0
3.0,3.0,3.0,4.0,5.0,31.0,31.0,7.0,31.0,35.0
3.0,3.0,3.5,8.0,27.0,33.0,33.0,8.0,33.0,34.0
11.0,12.0,12.0,26.5,50.0,64.5,64.0,41.0,68.5,94.0
12.0,13.0,12.0,19.5,37.0,63.5,65.0,58.0,67.0,94.0
27.0,30.0,30.0,303.5,1590.5,95.5,99.5,325.0,107.0,139.5
591.0,583.0,582.5,46349.0,261686.5,562.5,576.0,37579.0,684.0,1284.5
13.0,12.0,12.0,16.0,23.0,12.0,12.0,41.5,67.5,94.0
4.0,4.0,4.0,5.0,6.0,4.0,4.0,18.0,43.0,47.0
3.0,3.0,4.0,4.0,4.0,3.0,4.0,9.0,35.0,47.0
15.0,15.0,14.0,156.0,716.5,63.0,64.0,115.0,72.0,94.0
258.0,251.5,251.5,350.5,550.5,254.0,264.5,2945.0,284.0,847.5
10.0,9.0,10.0,15.0,31.0,61.5,59.0,99.0,61.5,85.0
6.0,5.0,5.5,6.0,4.5,45.0,44.0,18.0,46.0,61.5
4.0,4.0,4.0,5.0,2.5,45.0,45.0,16.0,46.5,62.5
5.0,5.5,5.0,12.0,38.0,50.5,49.0,16.0,52.0,63.0
3.0,3.0,3.0,3.0,0.0,33.0,33.0,5.0,33.0,47.0
6.0,6.0,6.0,23.5,116.0,50.5,51.5,29.0,55.0,63.0
6.0,6.0,6.0,8.0,16.0,49.5,48.0,17.0,51.0,63.0
6.0,6.0,6.0,8.0,16.0,51.5,50.0,19.0,53.0,63.0
3.0,3.0,3.0,3.0,0.0,33.0,33.0,4.0,33.0,31.5
4.0,5.0,4.0,18.0,100.0,49.0,48.0,21.0,50.5,62.0
4.0,4.0,4.0,10.0,36.0,47.0,45.0,16.0,47.0,62.0
3.0,3.5,4.0,4.0,0.0,38.0,37.0,10.0,38.0,47.0
3.0,3.0,3.0,4.0,6.0,37.0,37.0,7.0,38.0,47.0
4.0,4.0,5.0,10.0,24.5,46.0,45.0,22.0,47.0,62.0
3.0,4.0,4.0,4.0,0.0,38.0,38.0,9.0,38.0,47.0
3.5,4.0,3.0,6.0,16.0,41.0,39.5,10.0,40.0,47.0
4.0,4.0,4.0,7.0,21.5,43.0,44.0,18.0,45.0,47.0
3.0,3.0,3.0,3.5,0.0,34.0,34.0,5.0,34.0,38.5
6.0,6.0,6.0,8.0,15.0,61.5,61.0,45.5,56.0,78.0
3.0,4.0,4.0,5.0,2.0,41.0,40.0,10.0,41.5,47.0
4.0,5.0,4.0,6.0,0.0,45.5,43.5,18.0,45.0,62.0
22.0,21.0,21.0,81.5,246.0,73.5,78.0,138.0,80.0,121.5
3.0,4.0,4.0,4.0,0.0,42.0,40.5,8.0,42.0,47.0
3.0,3.0,3.0,4.0,2.5,34.5,34.0,5.0,35.5,47.0
14.5,14.5,14.0,120.5,687.0,66.0,65.5,190.0,70.0,94.0
3.0,3.0,3.0,3.0,0.0,28.0,28.0,4.0,28.0,31.5
567.5,606.0,620.0,97334.5,436314.0,570.0,560.0,17927.5,670.5,1230.0
8.0,8.0,8.0,194.0,1541.5,8.0,8.0,75.5,61.5,78.0
8.0,8.0,8.0,40.5,252.5,8.0,7.0,48.0,61.5,78.0
3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,27.0,31.0
3.0,3.0,4.0,5.0,10.0,3.0,4.0,8.0,38.0,47.0
