TRAINTrainTimesRANKS:,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
abalone,9.0,1.0,7.0,3.5,6.0,3.5,5.0,11.5,11.5,11.5,8.0,11.5,15.0,16.0,2.0,14.0,17.0
acute-inflammation,4.0,4.0,11.5,4.0,4.0,4.0,4.0,11.5,11.5,11.5,11.5,11.5,11.5,16.0,4.0,11.5,17.0
acute-nephritis,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,16.0,17.0
adult,1.0,2.0,3.0,7.0,8.0,10.5,6.0,9.0,12.0,10.5,5.0,4.0,14.0,16.0,17.0,15.0,13.0
annealing,1.0,3.0,3.0,7.0,5.5,10.0,5.5,10.0,10.0,3.0,10.0,10.0,13.5,13.5,15.0,16.0,17.0
arrhythmia,3.0,3.0,1.0,7.0,3.0,5.0,7.0,9.0,12.0,7.0,12.0,12.0,12.0,12.0,15.0,16.0,17.0
audiology-std,2.0,2.0,2.0,5.5,5.5,5.5,5.5,10.0,10.0,10.0,10.0,14.0,10.0,14.0,16.0,14.0,17.0
balance-scale,4.0,4.0,4.0,4.0,4.0,4.0,8.0,10.5,10.5,13.5,10.5,10.5,4.0,13.5,15.5,15.5,17.0
balloons,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,7.0,7.0,15.0,15.0,1.0,7.0,15.0,7.0,17.0
bank,1.5,1.5,3.5,6.5,10.5,10.5,6.5,10.5,8.0,15.5,10.5,13.0,3.5,5.0,15.5,14.0,17.0
blood,2.5,2.5,2.5,9.0,9.0,13.5,9.0,9.0,13.5,15.5,9.0,9.0,5.0,2.5,15.5,9.0,17.0
breast-cancer,1.0,6.5,6.5,6.5,6.5,6.5,6.5,12.5,6.5,6.5,15.0,6.5,12.5,6.5,15.0,15.0,17.0
breast-cancer-wisc,1.5,8.5,1.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,16.0,15.0,17.0
breast-cancer-wisc-diag,1.0,7.0,7.0,7.0,7.0,7.0,7.0,14.5,14.5,7.0,7.0,13.0,7.0,7.0,16.5,7.0,16.5
breast-cancer-wisc-prog,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,17.0,10.0,16.0
breast-tissue,2.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,16.0,16.0,16.0
car,3.0,3.0,3.0,12.0,6.5,12.0,6.5,12.0,12.0,12.0,6.5,9.0,1.0,6.5,15.5,17.0,15.5
cardiotocography-3clases,2.5,1.0,2.5,11.0,6.5,11.0,6.5,6.5,6.5,11.0,6.5,6.5,13.0,15.0,14.0,16.5,16.5
cardiotocography-10clases,2.0,1.0,3.0,10.0,10.0,7.5,10.0,5.5,7.5,12.0,5.5,4.0,16.5,13.0,15.0,16.5,14.0
chess-krvk,1.0,3.0,2.0,7.5,6.0,12.0,9.0,11.0,4.0,7.5,5.0,10.0,17.0,16.0,14.0,15.0,13.0
chess-krvkp,3.0,1.0,2.0,9.0,5.0,5.0,7.0,11.5,11.5,5.0,9.0,9.0,15.5,17.0,13.5,13.5,15.5
congressional-voting,3.0,3.0,3.0,3.0,6.0,3.0,8.5,11.5,8.5,8.5,11.5,8.5,14.5,16.5,16.5,14.5,13.0
conn-bench-sonar-mines-rocks,1.5,1.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,15.5,15.5,15.5,15.5,13.0
conn-bench-vowel-deterding,2.5,1.0,2.5,6.5,4.0,6.5,5.0,8.0,10.5,9.0,12.0,10.5,17.0,16.0,14.0,15.0,13.0
connect-4,1.0,3.0,2.0,7.0,5.0,6.0,4.0,16.0,15.0,11.5,14.0,17.0,9.0,10.0,8.0,13.0,11.5
contrac,1.5,1.5,4.0,4.0,4.0,6.0,7.0,9.0,10.5,12.0,8.0,10.5,14.0,13.0,16.5,15.0,16.5
credit-approval,3.5,3.5,3.5,3.5,9.5,3.5,3.5,9.5,9.5,9.5,9.5,9.5,13.5,17.0,16.0,13.5,15.0
cylinder-bands,1.5,6.5,1.5,6.5,6.5,6.5,6.5,6.5,6.5,11.5,11.5,6.5,13.0,17.0,14.0,15.5,15.5
dermatology,1.0,4.5,4.5,4.5,4.5,4.5,4.5,10.5,10.5,10.5,8.0,10.5,14.0,17.0,14.0,14.0,16.0
echocardiogram,9.0,3.0,3.0,3.0,3.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,13.0,15.0,15.0,15.0,17.0
ecoli,2.5,2.5,2.5,2.5,6.0,6.0,6.0,10.5,10.5,8.5,8.5,12.0,17.0,13.0,15.0,15.0,15.0
energy-y1,2.0,2.0,2.0,5.0,5.0,9.0,5.0,9.0,9.0,9.0,12.0,9.0,14.0,13.0,16.0,16.0,16.0
energy-y2,2.0,2.0,2.0,5.5,5.5,5.5,5.5,8.0,10.0,10.0,12.0,10.0,13.0,14.5,16.0,14.5,17.0
fertility,3.5,3.5,3.5,3.5,3.5,8.0,3.5,11.0,8.0,11.0,11.0,8.0,17.0,14.5,14.5,14.5,14.5
flags,1.5,4.5,1.5,4.5,4.5,4.5,10.0,10.0,10.0,7.0,10.0,10.0,13.0,17.0,15.0,15.0,15.0
glass,2.0,2.0,2.0,8.0,8.0,4.0,8.0,8.0,12.0,8.0,8.0,8.0,13.5,13.5,16.0,16.0,16.0
haberman-survival,5.5,5.5,5.5,5.5,5.5,5.5,5.5,12.0,5.5,5.5,5.5,11.0,15.0,16.5,14.0,16.5,13.0
hayes-roth,1.0,7.0,2.0,7.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.5,16.5,15.0,13.5,13.5
heart-cleveland,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,13.0,15.5,15.5,15.5,15.5
heart-hungarian,5.0,5.0,5.0,5.0,5.0,11.5,5.0,5.0,5.0,10.0,11.5,5.0,17.0,15.0,15.0,13.0,15.0
heart-switzerland,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,17.0,15.0,13.0,15.0
heart-va,2.5,2.5,2.5,2.5,9.5,5.5,5.5,9.5,9.5,9.5,9.5,9.5,13.0,14.5,16.5,16.5,14.5
hepatitis,3.5,3.5,3.5,9.5,3.5,3.5,3.5,9.5,9.5,9.5,9.5,9.5,14.5,16.5,14.5,16.5,13.0
hill-valley,2.5,1.0,2.5,4.0,7.0,7.0,7.0,11.5,11.5,10.0,7.0,7.0,15.5,17.0,14.0,15.5,13.0
horse-colic,2.5,2.5,2.5,2.5,9.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,16.5,16.5,14.0,14.0,14.0
