TRAINTrainTimesSTDDEVS:,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
abalone,2.9434727705706227,36.16820633620977,36.39650194352882,35.707847169668895,46.5399643297648,910.6102346110006
acute-inflammation,0.24003292250202043,2.2555577137326854,3.9296712030843914,4.573934051180326,6.393935166556457,44.38338785411108
acute-nephritis,0.389397709065103,2.0212882760806457,3.1741575758091396,6.075837369312352,4.9582172746791295,48.361339613994375
adult,12.99316652179753,187.290052232846,56.70279712092098,2143.296051191923,1842.5259407082417,37745.67547375631
annealing,0.09631361004397197,7.736879180035365,194.9699375483058,39.44478209883207,137.29260135979482,3019.1248518785947
arrhythmia,0.10782612884738395,25.237807461560383,3857.771083270973,140.96939206522595,1631.346098496975,71931.45201374209
audiology-std,0.5514716179481253,4.8052618498203215,849.8691128812009,282.5316554405023,140.72817199887965,5753.568130820926
balance-scale,0.050983012750315686,5.981760827608249,10.203606952952063,26.99771952072618,9.54444300754581,146.51450856705577
balloons,0.11437147167237878,0.3010391329199674,2.7755873268525537,1.843598196167908,3.171867365459884,34.340094861559415
bank,0.6688422389410074,23.641879955218933,16.862503488460895,56.99560763533313,187.15134648243907,1881.6341258143489
blood,0.3331060303873159,5.788362322479679,7.64854569335433,5.020926748067585,12.424440537940495,89.46901657978961
breast-cancer,0.06936610256519431,6.0630938608827085,4.356879676501493,9.518714499128148,7.016064195623569,91.15889118935415
breast-cancer-wisc,0.6766316434100093,6.9218398819372835,8.356370652247056,9.335205321488601,10.755827297157447,181.63338028955494
breast-cancer-wisc-diag,0.2596667503050453,6.840326464317152,27.90383205063138,16.73902182902162,85.44725726420548,752.5647219187643
breast-cancer-wisc-prog,0.22039760155506002,8.54479236327823,90.1825862915938,8.554822119093997,35.464021314881045,373.70868421766266
breast-tissue,0.03429247664787173,3.493700643201792,32.097125442895035,18.544442991461043,7.517687160508733,287.7225098020071
car,0.4664690778250258,5.473949514236006,37.48807591943221,24.077532375102486,61.8872275007386,418.3630320124515
cardiotocography-3clases,1.3389056668176669,16.26999305430244,24.395903128442413,26.679368625963956,59.07921010170342,2518.863994109646
cardiotocography-10clases,2.8952088944947496,17.231165496694523,68004.67566386926,132.52881786063574,388.13094704834793,1067536.0287038076
chess-krvk,2.9264604593940065,107.71218605822816,644.4758666805983,1343.9081724595742,2580.52214969656,71512.43974044571
chess-krvkp,4.0463714737580325,18.509307464275178,29.306913497665878,79.22763909889211,614.416116982748,6693.366173405039
congressional-voting,1.231202292066225,4.842904268346136,4.057055064815723,10.373267496139272,28.508375917187724,408.8344167344968
conn-bench-sonar-mines-rocks,0.12176434265754071,4.963201856367944,23.70803207575513,7.864492587739663,110.75721577515631,2081.3753486284836
conn-bench-vowel-deterding,0.09104934158891383,18.292116515762803,188283.5336843143,126.88557910122887,116.90240236926144,2463888.870575661
connect-4,10.885126410633486,4813.676105574013,644.4644214514777,55612.19874596232,14373.349243912036,436125.02008008864
contrac,0.3257238996533333,3.6620501626545803,6.407021909286401,35.449865672115635,53.15868934963355,271.917307981526
credit-approval,0.7138344569713496,8.114192181182675,7.57746868961098,50.84518516217911,27.546943965096485,741.1495078222601
