TRAINTrainTimesSTDDEVS:,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
cylinder-bands,0.08290978234928462,12.743180051077744,31.95087422100019,28.377222833693903,103.72728352406763,1226.169540889755
dermatology,0.10005678885524454,5.19313658739761,41.73663827840495,60.73683622648353,113.15776549146717,941.5593016587408
echocardiogram,0.10242768356897343,3.793416851085256,8.649884808376461,8.50725386308875,6.504099485500667,170.68509073217447
ecoli,0.32794986528607395,6.712825061831063,60.42993113848869,56.617783173234194,30.64608656177067,527.7479657871064
energy-y1,0.09072154786922733,5.3005044940605925,17.35117636546588,40.75480013120696,16.31774880901272,456.8132064980372
energy-y2,0.934842798674461,6.584195624762518,19.69638498869131,30.204055111389362,26.380659916687666,844.1257297958344
fertility,0.7540319732233867,2.795016716891159,4.298013013318512,7.082095786187496,6.728843057139377,309.65710325446287
flags,0.03944866751080651,2.156040813968521,54.320988056313865,36.900065933918896,28.327715083796356,1072.6637825046546
glass,0.7289522843550249,4.907968075084254,16.43709444131364,33.805606310168976,10.190741944220553,877.5559773503337
haberman-survival,0.05623284729371812,3.1655178764653438,7.864026706963145,6.304164137395577,7.660668238975891,676.873539932402
hayes-roth,1.2861413806370117,5.807518031579738,4.162816914170787,14.53866862741136,4.045303222925465,334.482127134436
heart-cleveland,0.8468908948332203,5.904705759817653,25.94416584019663,35.720663785681865,13.44291377334769,544.5715631468951
heart-hungarian,0.5207565315008629,2.9507885647884105,9.424499329944165,9.052846151734885,15.56583902731795,351.223700312421
heart-switzerland,0.14988201995711203,6.580612145798193,20.86873534324864,23.213673233152694,5.799650693806402,332.4544758800247
heart-va,1.1228405248726874,3.092333885594455,18.264722462138593,25.73464870803528,11.156628934448127,338.88951555962376
hepatitis,0.19884571286816966,4.645892759636832,13.014886317388646,8.441487332085893,6.667519917845943,244.7351283886217
hill-valley,0.19718058629464222,12.17049327496951,31.970974859512477,35.99671339434413,1632.4406650815417,9839.41136533053
horse-colic,0.02044235604198123,9.62375588545578,6.972718613765089,16.58247341778484,39.25125905192921,475.24162661763046
ilpd-indian-liver,1.6795885818346015,7.002229145939256,5.972231850968084,17.18242653340494,18.64908468266837,811.2255942231027
image-segmentation,0.30679454080449947,16.005383952873128,27845.20961868024,58.79667650536822,180.63217988971653,206673.86622696693
ionosphere,0.07318875893167352,6.231602515824211,12.453292375273746,14.227853085826744,73.00754659490471,969.7950211353966
iris,0.09571600629991699,1.1054028419449917,10.302088704936152,11.436389785112537,4.488678287645799,187.00863372104615
led-display,2.300438497352165,10.34239197827115,19.47133227007441,85.66350534690602,54.204911115415335,1686.3085793825774
lenses,0.29249726045912483,0.15640807477341584,3.3595466985254827,9.093457690510478,2.436442640610626,124.19894991701105
letter,0.5272340948955959,60.60379464637677,1185.7602294568603,536.8143077684191,6143.216125200334,52314.85224291888
libras,0.07283185814659034,17.17913864672772,1393.3826989538697,161.61812823555323,502.32553349397045,14608.822172510874
low-res-spect,0.142916643807388,7.693693473165742,413.9539959188716,68.25986851341945,883.3674845215884,10856.107063033187
lung-cancer,0.062310423455331755,0.4192994913259371,13.08944823511358,8.297363470223507,15.222460627185994,410.3944847971331
lymphography,0.0286435474426013,5.665398827620528,14.365263120475738,21.27763254731391,13.494580018141635,324.5685254383658
magic,2.673657713732377,23.45534095298028,7.024341961424163,253.42728750134012,472.2847963875396,7741.2525383300635
mammographic,1.6374335240453664,5.831254779725351,8.934871174164742,17.10201271126345,18.307947904502925,353.1014204348852
miniboone,4.985696402801891,6049.906975715766,3264.0387660553506,2656.5826484353847,50511.33336827553,1014609.2461145583
molec-biol-promoter,0.014606824301179131,2.777901964291203,3.4934767486765432,7.886901364450005,90.39481546450756,777.3056193297459
molec-biol-splice,0.22578778620953668,20.587350105232694,36.4337576964714,91.31771142554551,2526.6079499582565,18097.659332125193
monks-1,0.103584864563774,5.796200592809262,3.5051070753539277,7.739636640080955,8.043309135521302,126.34495620935145
monks-2,0.034913891909213964,7.293033599530283,5.880373391804343,9.92623422806868,12.35945730926629,158.246852375641
monks-3,0.2014898811962167,5.7862988109566595,5.0142443097002,12.430810697760627,10.581887232557929,150.48044897705216
mushroom,1.3271273973183582,28.010935745173043,45.845733329873454,1978.2931707191285,398.95065564335187,14368.543604404193
musk-1,0.08279793753698313,13.185048786224215,19.42187821170511,13.117358347462876,2114.3434994959066,27391.028646719926
musk-2,1.4445166245370362,126.15317967756378,294.3350228262246,1113.5099790359357,28516.205789486343,218033.52498759123
nursery,7.932310824143119,6.541018717134187,312.7919675620745,165.20686452444926,288.98957320085134,4804.380642926106
oocytes_merluccius_nucleus_4d,0.20817129446276558,8.645685047513764,7.64423044257461,42.93689571327533,250.68404912151965,2575.3488496897116
oocytes_merluccius_states_2f,0.763390053983448,17.07956091451009,25.04730607086282,28.28138230473504,176.18381764448756,948.409983751663
oocytes_trisopterus_nucleus_2f,0.9624018965045839,19.268248910835805,19.209195573002084,30.245807414669653,111.6984415045607,2002.5071173444412
oocytes_trisopterus_states_5b,0.20845085215509448,14.45459268446952,12.94449094829758,31.509689776590456,105.9871918166154,2414.9569710288924
optical,3.452688658501682,29.70798189545683,692.1540789490256,160.6333434965338,3917.8312787959917,31390.581161902042
ozone,1.5285940050618962,13.011005217317711,21695.148943957145,35.23371569649429,2200.998307096662,162155.9017823369
page-blocks,2.0979647752483577,7.826950302777295,256.9689616010829,81.01545393884692,211.94345250184966,3490.979055919903
parkinsons,0.23912494703843293,6.791821822940552,19.22156529816618,9.409423478372796,18.28507979307443,302.60514844303185
pendigits,1.2943186390496522,34.91159152028531,66174.72644817461,192.13921209910757,1056.9875225895137,219904.20247327557
pima,0.6462838748395472,7.936232925225921,10.347817772819752,17.52039116370085,18.43398955826439,1067.1778924025436
pittsburg-bridges-MATERIAL,0.5105586250783638,2.7424789342229317,4.878144688404724,13.687026581931839,6.885079480897182,86.83883689282247
pittsburg-bridges-REL-L,1.5623850516361857,3.5105727515152108,4.639669761383044,9.191670863340025,13.391179046818365,151.43623746010758
pittsburg-bridges-SPAN,0.23566416515632493,2.915145677095489,8.349081408416374,16.769778666832746,10.210101565708927,293.55502592491075
pittsburg-bridges-T-OR-D,0.053115780903336664,3.0893293044767587,5.425408279495433,5.96765582568833,9.778460214562982,156.9512660043691
pittsburg-bridges-TYPE,1.195212775193754,2.9234604045707804,18.980849789436697,32.9203290239435,8.11477410938472,445.8302142145809
planning,0.7209952257954677,2.6250894010485917,12.5801920863786,11.497698378817923,5.829588606654887,738.3317537558474
plant-margin,2.595458472451725,28.66315613079227,52770.455310343226,9895.336747543612,9102.455115458333,238299.26195573813
plant-shape,1.5504113401064465,88.14812636415282,385423.26798708097,9773.974742470658,8331.863818037435,1602709.0157561777
plant-texture,0.04981483138871602,32.48379091341727,42844.76635169916,7092.651380830759,9612.460367478314,364561.03715176595
post-operative,0.020418333375197145,3.1619787829471164,8.602419918103486,16.305615312079816,3.2011466235414994,696.0455486010488
primary-tumor,0.08857513174636014,8.193775679911324,168.21963178040392,186.85859121501056,73.44116222399984,3610.3535315040253
ringnorm,0.9538969764853732,28.524048097687853,29.997760049860045,106.6132065082898,308.13268785479585,6292.870833987277
seeds,0.058642003275093633,5.30321629120242,34.12353569122307,12.383030931976284,6.435220937083835,911.200561040807
semeion,0.29007931136399046,54.24840065038497,5218.068201570835,118.06915705331471,8063.731137694278,119120.95646843937
soybean,3.4013805485968,12.830751654040299,391.56779599919446,281.164399368797,379.2833105651268,6075.326535347618
spambase,0.5096859196046096,24.121190046621678,34.92970314390058,27.915598623708746,3882.242461265405,22058.874458447164
spect,0.05098712877251981,8.541543592383873,6.84030490790528,7.148334939109326,20.428249767512604,263.57132490220397
spectf,1.471408598652513,5.044792086607021,21.775672948718796,9.300514148951716,87.48552943685225,793.2980735981623
statlog-australian-credit,0.6508523813770986,8.24820230260437,7.776181581089454,25.884782240391477,35.50909808690143,429.05270253979313
statlog-german-credit,0.117923213111651,16.956754453747646,22.915308265496222,12.856563216278907,94.48038018468726,1173.0064678296017
statlog-heart,0.087205061126331,8.6840952995784,13.677143022562225,10.788372409662509,6.554681415164761,198.55656038759906
statlog-image,2.32877674283334,18.26632904444185,3666.6025497093447,41.87859444614977,156.5353151004307,27740.814379231226
statlog-landsat,0.16448765586974293,29.26831135958736,104.05440356896186,53.59049279952537,948.6272798040239,17347.342803840183
statlog-shuttle,2.982531338062982,93.63492911641646,51615.5306645711,418.1925335904063,1678.4289334992839,305185.5331112294
statlog-vehicle,0.14747783680799076,11.904593634038209,124.09940842737241,27.12392073775023,66.38724408602727,1147.6062653701524
steel-plates,0.21446815592268745,11.18341294411902,187903.83095902693,40.90727263536307,254.64562344725402,1353401.391401807
synthetic-control,0.14166725582145512,11.077037094147764,39.1465547866182,54.32107967106541,360.33068006939595,2507.4563780625563
teaching,0.3024989261450475,4.089770022073433,2.8286306708238427,11.533089944520087,5.08319571168366,223.12867906319653
thyroid,1.407164708169401,21.625415014676342,95.80236457225465,369.55847054421946,468.7910324574678,7232.296809260611
tic-tac-toe,0.9248669543610352,7.44883504193944,10.538095367877782,45.05741736997604,27.075281608110178,370.72591113118574
titanic,3.883625295631009,13.00128593125265,11.421016391491628,30.92669841337155,26.290558369135475,245.92082332985578
trains,0.138929894232005,1.2380185404065067,2.845078499436035,5.226481143178159,8.652737192418112,92.7847258723148
twonorm,2.8294012634907917,14.03037501173542,26.790428342303883,168.38279778411834,224.4802690835375,5203.32641938424
vertebral-column-2clases,1.0828130854894351,4.775509790844936,6.428369626088233,3.879861759603489,8.558792708999889,68.59213139869456
vertebral-column-3clases,0.06373680553962054,8.404198263821236,14.781869066437826,5.425485973611795,4.699431803496101,151.72470669913824
wall-following,0.6568547721783922,17.697708299010447,15.596781901090932,250.88571940315907,467.7808658946396,8919.18879343199
waveform,3.9505393074139494,12.234920534602344,43.71105259723438,60.40188322225473,290.44479478023516,6477.416473860266
waveform-noise,0.5226194003147087,21.055493207266565,50.43050548582442,97.43547818283028,1284.6269579172695,12200.675287201944
wine,0.17479567033391188,0.9116769084173064,6.82783854272133,9.344738465474993,7.900252337321501,131.0688471650592
wine-quality-red,2.117002508408029,21.90782192043356,85.806094200911,31.2738366671173,107.54968608520795,1421.8586989184325
wine-quality-white,1.824856552065031,41.276866879196895,403.29033927552274,95.98611499632517,282.0339395573235,3284.6695363724516
yeast,1.756632691368807,11.077639444777605,49.75315829281863,101.00719541778399,150.02296920091055,1324.1399657662587
zoo,0.14908899612940824,2.9063642946914907,7.326012912414905,66.82822257497583,9.25799627505419,437.59826170470893
