TRAINTrainTimes,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
AvgTRAINTrainTimesOverDsets:,0.9976520041322313,349.0284150826447,16741.058400070255,2399.986258979338,19570.295755433886,526527.6648161364
AvgTRAINTrainTimesRankOverDsets:,1.0,2.1074380165289255,3.3636363636363638,3.6198347107438016,4.909090909090909,6.0
StddevOfTRAINTrainTimesOverDsets:,1.7039196117939195,2337.6759567600798,103457.35014170055,13105.528490376972,71924.10982074826,2122373.512641435
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,1.106933791282792,105.56451478106548,9243.664298286496,812.72186285039,1425.5301354745989,85463.34360128733
StddevsOfTRAINTrainTimesRanksOverDsets:,0.0,0.3830068078716528,0.683130051063973,0.5952058236037266,0.28867513459481275,0.0

flat,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,0|121|0,0|0|121,0|0|121,0|0|121,0|0|121,0|0|121
C4.5,121|0|0,0|121|0,8|0|113,5|0|116,0|0|121,0|0|121
Logistic,121|0|0,113|0|8,0|121|0,45|0|76,7|0|114,0|0|121
SVML,121|0|0,116|0|5,76|0|45,0|121|0,4|0|117,0|0|121
MLP1,121|0|0,121|0|0,114|0|7,117|0|4,0|121|0,0|0|121
CAWPE-S,121|0|0,121|0|0,121|0|0,121|0|0,121|0|0,0|121|0



p=0.01,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,0|121|0,0|0|121,0|3|118,0|0|121,0|0|121,0|0|121
C4.5,121|0|0,0|121|0,6|18|97,4|5|112,0|0|121,0|0|121
Logistic,118|3|0,97|18|6,0|121|0,33|29|59,7|4|110,0|1|120
SVML,121|0|0,112|5|4,59|29|33,0|121|0,1|4|116,0|0|121
MLP1,121|0|0,121|0|0,110|4|7,116|4|1,0|121|0,0|0|121
CAWPE-S,121|0|0,121|0|0,120|1|0,121|0|0,121|0|0,0|121|0



p=0.05,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,0|121|0,0|0|121,0|1|120,0|0|121,0|0|121,0|0|121
C4.5,121|0|0,0|121|0,6|11|104,4|2|115,0|0|121,0|0|121
Logistic,120|1|0,104|11|6,0|121|0,36|19|66,7|4|110,0|0|121
SVML,121|0|0,115|2|4,66|19|36,0|121|0,1|4|116,0|0|121
MLP1,121|0|0,121|0|0,110|4|7,116|4|1,0|121|0,0|0|121
CAWPE-S,121|0|0,121|0|0,121|0|0,121|0|0,121|0|0,0|121|0



T TEST,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,0.0,0.10389259,0.07762826,0.04628033,0.00335507,0.00730989
C4.5,0.0,0.0,0.08390366,0.0678024,0.0030376,0.00729485
Logistic,0.0,0.0,0.0,0.1197153,0.78972505,0.00772361
SVML,0.0,0.0,0.0,0.0,0.00570438,0.00739237
MLP1,0.0,0.0,0.0,0.0,0.0,0.00775979
CAWPE-S,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,0.0,0.0,0.0,0.0,0.0,0.0
C4.5,0.0,0.0,0.0,0.0,0.0,0.0
Logistic,0.0,0.0,0.0,0.00482965,0.0,0.0
SVML,0.0,0.0,0.0,0.0,0.0,0.0
MLP1,0.0,0.0,0.0,0.0,0.0,0.0
CAWPE-S,0.0,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,0.0,0.0,0.0,0.0,0.0,0.0
C4.5,0.0,0.0,0.0,0.0,0.0,0.0
Logistic,0.0,0.0,0.0,0.53729741,0.0,0.0
SVML,0.0,0.0,0.0,0.0,0.0,0.0
MLP1,0.0,0.0,0.0,0.0,0.0,0.0
CAWPE-S,0.0,0.0,0.0,0.0,0.0,0.0

NOSIGDIFFERENCE,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
NN,true,false,false,false,false,false
C4.5,false,true,false,false,false,false
Logistic,false,false,true,true,false,false
SVML,false,false,true,true,false,false
MLP1,false,false,false,false,true,false
CAWPE-S,false,false,false,false,false,true



cliques = [0 0 1 1 0 0 
]

