CAWPE-S,TunedSVM,TunedRandF,TunedXGBoost,TunedMLP
0.6494736842105262,0.6622966507177034,0.6521531100478469,0.6449760765550239,0.6541626794258373
1.0,1.0,0.9967213114754099,0.9967213114754099,1.0
1.0,1.0,1.0,1.0,0.8333333333333334
0.9306666666666666,0.8720000000000001,0.9453333333333334,0.9466666666666667,0.8751111111111112
0.6965217391304348,0.6782608695652174,0.7060869565217391,0.7130434782608696,0.6434782608695652
0.7740000000000001,0.7200000000000001,0.774,0.734,0.688
0.8984025559105431,0.9808306709265177,0.8466453674121406,0.8798722044728434,0.94185303514377
0.6,0.6,0.6222222222222223,0.6444444444444445,0.5111111111111111
0.8933215391419725,0.8934099955771784,0.8951791242812914,0.8943830163644405,0.8926138876603271
0.7855614973262032,0.776470588235294,0.7737967914438503,0.7433155080213903,0.7802139037433156
0.7250000000000001,0.7222222222222223,0.7180555555555557,0.6597222222222221,0.7138888888888888
0.9674285714285714,0.9662857142857142,0.9657142857142859,0.9622857142857143,0.8948571428571428
0.9712280701754386,0.9719298245614034,0.9614035087719298,0.9543859649122807,0.896140350877193
0.792,0.756,0.79,0.7860000000000001,0.744
0.7148148148148148,0.6777777777777778,0.6962962962962962,0.7,0.6407407407407406
0.9560693641618497,0.976878612716763,0.9671676300578035,0.9766473988439307,0.9734104046242773
0.9285714285714286,0.9131578947368422,0.9351503759398497,0.9389097744360904,0.9199248120300751
0.8416510318949344,0.8133208255159474,0.8557223264540337,0.8673545966228893,0.8082551594746716
0.9899937460913071,0.9889931207004377,0.9901188242651656,0.9901188242651658,0.9887429643527206
0.6045871559633028,0.6073394495412844,0.6128440366972476,0.6110091743119266,0.6128440366972477
0.8342857142857143,0.8285714285714285,0.7657142857142857,0.8209523809523811,0.7352380952380952
0.9701010101010101,0.9903030303030305,0.9515151515151515,0.9272727272727274,0.9393939393939394
0.8328547322300839,0.8744427010864738,0.8653186891263804,0.9023653749370911,0.8544657923561976
0.5406504065040652,0.5379403794037939,0.5558265582655826,0.5395663956639566,0.5490514905149052
0.8572254335260115,0.8583815028901733,0.8445086705202313,0.8630057803468208,0.8445086705202313
0.7375,0.73046875,0.7640625,0.771875,0.6921875
0.9695652173913043,0.9652173913043478,0.9597826086956521,0.9597826086956524,0.9597826086956521
0.8212121212121213,0.7848484848484849,0.8515151515151516,0.7909090909090908,0.8121212121212121
0.8588235294117647,0.8541176470588236,0.8423529411764706,0.8329411764705881,0.7917647058823529
0.9085714285714286,0.923116883116883,0.9501298701298702,0.9412987012987013,0.909090909090909
0.9080519480519481,0.9038961038961038,0.9106493506493505,0.9116883116883117,0.9018181818181817
0.8720000000000001,0.868,0.868,0.876,0.8800000000000001
0.5612244897959184,0.46530612244897956,0.636734693877551,0.6346938775510205,0.463265306122449
0.7211009174311928,0.6605504587155963,0.7394495412844038,0.726605504587156,0.6458715596330274
