CAWPE_alpha=15_VS_CAWPE_alpha=15
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE_alpha=15_VS_CAWPE_alpha=14
Wins(83):,abalone,adult,annealing,arrhythmia,audiology-std,balance-scale,breast-cancer,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,cardiotocography-3clases,cardiotocography-10clases,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,dermatology,echocardiogram,energy-y1,energy-y2,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hill-valley,ilpd-indian-liver,led-display,lenses,letter,low-res-spect,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-3,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,wine-quality-red,yeast
Draws(22):,acute-inflammation,acute-nephritis,balloons,bank,breast-cancer-wisc,chess-krvkp,flags,hepatitis,horse-colic,image-segmentation,ionosphere,iris,monks-1,mushroom,oocytes_merluccius_states_2f,oocytes_trisopterus_states_5b,pittsburg-bridges-MATERIAL,tic-tac-toe,titanic,trains,wine-quality-white,zoo
Losses(16):,blood,breast-tissue,chess-krvk,cylinder-bands,ecoli,fertility,libras,lung-cancer,monks-2,oocytes_trisopterus_nucleus_2f,optical,pittsburg-bridges-REL-L,plant-shape,statlog-image,waveform-noise,wine

CAWPE_alpha=15_VS_CAWPE_alpha=13
Wins(98):,abalone,adult,annealing,audiology-std,balance-scale,balloons,bank,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,led-display,lenses,letter,low-res-spect,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-2,monks-3,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-texture,post-operative,primary-tumor,ringnorm,seeds,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,wine-quality-red,yeast
Draws(9):,acute-inflammation,acute-nephritis,arrhythmia,chess-krvkp,fertility,iris,mushroom,tic-tac-toe,zoo
