CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
-29.5,-30.0,-29.0,-28.0,-29.5,-29.0,-31.5,-30.5,-30.5,-30.0,-31.5,-31.5,-30.5,-40.5,-45.5,-43.0,-86.0
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-33.0
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-3.0,-4.0,-4.0,-4.0,-36.0
-248.5,-247.0,-248.5,-230.5,-252.0,-234.5,-243.5,-265.5,-260.0,-246.0,-259.0,-263.5,-255.0,-262.5,-329.0,-336.5,-421.0
-10.0,-10.0,-10.0,-11.0,-11.0,-10.0,-12.0,-11.0,-11.0,-11.5,-11.0,-12.0,-13.5,-11.0,-14.0,-15.0,-83.5
-13.0,-12.0,-12.5,-12.0,-16.0,-12.0,-13.0,-14.0,-14.0,-14.0,-14.0,-14.0,-13.5,-13.0,-18.0,-18.0,-101.5
-8.0,-8.0,-8.0,-8.0,-9.0,-8.0,-9.0,-8.0,-9.5,-9.0,-9.0,-9.0,-8.5,-8.0,-11.0,-11.0,-78.5
-7.0,-6.0,-6.0,-6.0,-7.0,-6.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-6.0,-7.0,-9.0,-46.0,-46.0
-3.0,-2.0,-3.0,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-33.0,-33.0
-22.0,-22.0,-23.0,-22.0,-22.0,-22.5,-24.0,-24.0,-24.5,-25.5,-25.0,-24.0,-23.0,-22.0,-30.0,-70.0,-71.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.5,-7.0,-6.0,-6.0,-6.0,-5.0,-7.0,-43.5,-43.5
-4.0,-4.0,-4.0,-4.0,-3.5,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-38.0,-39.0,-39.0
-6.0,-5.0,-5.5,-6.0,-5.0,-5.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-7.0,-6.0,-42.5,-42.0,-42.5
-6.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-5.0,-6.0,-5.0,-41.0,-41.0,-41.0
-4.0,-3.0,-3.0,-4.0,-3.0,-3.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-3.0,-38.0,-38.0,-38.0
-4.0,-4.0,-4.0,-4.0,-3.5,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-4.0,-4.0,-4.0,-39.5,-40.0,-39.5
-16.5,-15.0,-16.5,-16.0,-15.0,-16.0,-17.0,-19.0,-18.5,-19.0,-17.5,-17.5,-15.5,-16.0,-91.5,-93.0,-95.5
-16.0,-16.0,-19.0,-15.0,-16.0,-18.0,-19.0,-17.0,-18.0,-17.0,-19.0,-16.5,-17.5,-16.0,-91.0,-92.0,-92.0
-39.0,-38.0,-42.0,-37.0,-37.5,-41.5,-44.5,-44.0,-48.5,-44.0,-45.0,-45.0,-43.0,-39.0,-153.0,-159.0,-152.0
-902.0,-928.5,-913.0,-907.5,-905.0,-905.0,-953.5,-1054.5,-974.5,-946.0,-1030.5,-1041.5,-1040.0,-964.5,-1416.5,-1471.5,-1542.0
-15.0,-15.0,-15.0,-16.0,-15.5,-15.0,-16.0,-16.0,-15.5,-18.0,-18.0,-17.0,-18.0,-18.0,-87.0,-90.5,-90.5
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-5.0,-4.0,-4.5,-4.5,-5.0,-5.0,-5.0,-61.0,-61.0,-61.0
-3.0,-3.0,-3.0,-3.0,-4.0,-3.0,-4.0,-4.0,-3.5,-4.0,-3.5,-3.5,-4.0,-4.0,-53.0,-53.0,-53.0
-19.0,-20.0,-19.0,-21.5,-20.0,-19.5,-23.5,-21.5,-24.0,-22.0,-22.0,-22.5,-22.5,-24.0,-106.0,-106.0,-103.5
-340.0,-336.5,-354.5,-328.0,-341.0,-351.5,-355.5,-349.5,-358.5,-362.5,-368.0,-354.0,-337.0,-365.0,-454.0,-437.5,-448.5
-11.0,-12.0,-11.0,-11.0,-13.0,-11.0,-12.5,-14.0,-14.0,-13.0,-15.0,-15.0,-11.0,-14.5,-69.5,-72.0,-71.5
-6.0,-5.5,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-7.0,-7.0,-6.0,-6.5,-53.5,-54.0,-54.0
-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,-5.0,-6.0,-6.0,-5.0,-7.0,-5.0,-6.0,-7.0,-50.5,-50.5,-50.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-7.0,-7.0,-7.0,-7.5,-8.0,-7.0,-6.0,-7.5,-57.5,-58.5,-60.5
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-3.0,-3.0,-3.0,-4.0,-3.0,-3.0,-3.0,-36.0,-35.5,-36.0
-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.5,-9.0,-8.0,-7.0,-9.0,-59.0,-59.0,-59.0
-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-9.0,-7.0,-59.5,-59.5,-59.0
-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-9.0,-8.0,-57.0,-57.0,-58.0
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-31.0,-31.0,-31.0
-5.0,-5.0,-5.0,-5.5,-5.0,-5.0,-5.0,-6.0,-5.0,-6.0,-6.0,-7.0,-7.0,-5.0,-53.0,-52.5,-52.0
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-5.0,-5.0,-6.0,-6.0,-5.0,-52.0,-54.0,-53.5
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-43.0,-43.5,-43.0
-4.0,-3.0,-3.0,-3.5,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-40.0,-40.0,-40.0
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-6.0,-6.0,-7.0,-6.0,-5.5,-6.0,-53.0,-52.5,-53.5
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-5.0,-5.0,-43.0,-43.0,-43.0
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-43.0,-43.0,-43.5
-4.0,-4.0,-5.0,-4.0,-5.0,-4.0,-5.0,-5.0,-5.0,-5.0,-4.5,-5.0,-6.0,-4.5,-50.0,-48.5,-49.0
-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-4.0,-4.0,-38.0,-38.0,-38.0
-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.5,-56.0,-54.0,-56.0
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-4.5,-5.0,-5.0,-46.5,-47.0,-47.0
-5.0,-5.0,-5.0,-5.0,-5.5,-5.0,-5.0,-5.5,-5.5,-6.0,-6.0,-5.0,-5.0,-5.5,-51.5,-53.0,-53.0
-31.0,-29.0,-31.0,-30.0,-30.5,-30.0,-33.0,-34.0,-36.0,-36.5,-34.5,-34.0,-31.0,-33.0,-102.5,-105.0,-105.5
-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.5,-4.0,-5.0,-4.5,-47.0,-46.0,-46.5
