TRAINTESTDIFFSACC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,-0.0011796577736103097,-0.0011482412962754874,-0.0011169165235692371,-0.0010535791934425183,-0.0014530139872484824,-0.0015180937053178836,-0.0017426172042468435,-0.0017918396636274223,-0.0019203025641378508,-0.001714089422711725,-0.0019706713313754473,-0.005351866838765684,-0.002674305662225862,-0.0029785510515846253,-0.002947799432806886,-0.0032849973520288436,-0.003526249303617986
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001666666666666668,0.0,0.0,0.0,0.0,0.0
adult,-7.842094370634175E-4,-7.623763458666518E-4,-7.391790357968479E-4,-7.937803200271376E-4,-8.538450750390725E-4,-8.83877676114179E-4,-8.197313311554599E-4,-8.93445652679133E-4,-8.634233357843228E-4,-8.743470355950874E-4,-8.115643505865356E-4,-5.875374559348131E-4,-7.010097477708717E-4,-6.354997428619594E-4,-6.450607887836691E-4,-7.146795472894837E-4,-6.49167418473795E-4
annealing,-0.003064484126984124,-0.0030671296296296206,-0.0034411375661375604,-0.003889550264550264,-0.004784060846560852,-0.004710317460317459,-0.0050836640211640175,-0.004195767195767201,-0.004052248677248671,-0.0035376984126984164,-0.0037652116402116446,-0.004975198412698408,-0.004660383597883592,-0.004891203703703702,-0.0047483465608465615,-0.005125661375661372,-0.005205357142857148
arrhythmia,0.020701135918527232,0.021027549288418858,0.018268703486094804,0.015804935370152776,0.01561953257605433,0.014636375505940729,0.011706489097793456,0.007772555163859518,0.00749314531923229,0.005406711058884976,0.0027510118814466633,-0.02900770335552944,0.0021347434390912726,6.175740958349681E-4,-9.51821386603983E-4,-0.0028424076250163225,-0.005520302911607259
audiology-std,-0.049430555555555554,-0.05005555555555556,-0.051444444444444445,-0.05145833333333332,-0.04979166666666667,-0.050430555555555555,-0.0513888888888889,-0.054083333333333365,-0.05508333333333336,-0.05604166666666668,-0.059402777777777825,-0.053236111111111116,-0.06425000000000002,-0.06633333333333334,-0.06505555555555557,-0.06748611111111114,-0.06780555555555559
balance-scale,-0.007877993500996694,-0.00819816498730237,-0.007664318287321481,-0.007132178258376335,-0.007133543595204938,-0.007560211354141056,-0.007241405204663972,-0.0073472188088801365,-0.006496272630457925,-0.004258144234182552,-0.0026596761421042504,-0.007036604680374647,-0.0014892411457906652,-0.0013841102099887944,2.1196854263946612E-4,-6.447803173042647E-4,9.693891483030607E-5
balloons,0.0783068783068783,0.0783068783068783,0.0783068783068783,0.0783068783068783,0.06878306878306878,0.06137566137566137,0.06137566137566137,0.06137566137566137,0.055026455026455014,0.056084656084656084,0.051322751322751325,0.053439153439153446,0.04285714285714286,0.04444444444444444,0.031216931216931216,0.02275132275132275,0.022222222222222223
bank,8.820528677237076E-4,7.935703391743358E-4,7.935311991587442E-4,7.19784886474395E-4,6.4606466713375E-4,5.428393993834287E-4,4.543633941699839E-4,4.690735166912689E-4,4.248387757524933E-4,5.722792144337981E-4,5.132886876222486E-4,0.0010293236996708219,3.6582867893315184E-4,4.6902785333975406E-4,3.805518481263056E-4,4.100373265281898E-4,3.805192314466484E-4
blood,0.0025846702317290546,0.002941176470588236,0.00240641711229946,0.002228163992869873,0.002317290552584668,0.002495543672014259,0.002228163992869873,0.002673796791443846,0.0023172905525846647,0.002406417112299453,0.002317290552584661,0.0010695187165775445,0.0022281639928698658,0.002049910873440275,0.0022281639928698692,0.0016042780748663054,0.0013368983957219194
breast-cancer,0.020409494001043305,0.02110719874804383,0.02227112676056339,0.022258085550339073,0.02038341158059468,0.01943466353677621,0.018479394887845595,0.016604720918101206,0.01752738654147105,0.014955007824726137,0.012848852373500268,0.013941053729786127,0.01260758998435056,0.010961137193531579,0.011420839853938458,0.008848461137193541,0.008835419926969231
breast-cancer-wisc,0.004001091554100119,0.00381061536362393,0.003906126347387062,0.004001637331150195,0.004192113521626388,0.004001364442625158,0.0039058534588620225,0.003619866284622697,0.0033330604448082632,0.0032378223495701667,0.003142038477281994,0.0010443443853185741,0.003046527493518862,0.003142038477281998,0.0028557784145176366,0.0028557784145176366,0.002855232637467564
breast-cancer-wisc-diag,0.0029499217527386673,0.0029499217527386673,0.0025978090766823297,0.0022465200560085794,0.002480438184663547,0.0017762128325508682,0.00201013096120584,0.0020097191335145424,0.0017753891771682777,0.0015402355654394258,0.0011881228893830882,-6.795156906350204E-4,0.0015390000823655456,0.0015390000823655493,0.0014224528457293605,0.0017737418664031113,0.0021242072316942787
