TRAINTESTDIFFSACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.01312215935977801,0.013402799785490074,0.013169184729676172,0.013310896945517191,0.01349539193135055,0.013759271522163065,0.014083073255144664,0.014104965541860942,0.014677725967633797,0.014295072549948627,0.013930614765164096,0.013764900612224722,0.013739190015717639,0.013902294348674214,0.013976561513254524,0.01415851550099373,0.015075261315245626
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006709631665607481,0.0,0.0,0.0,0.0,0.0
adult,0.0033023051814553527,0.003286976759205108,0.003246627679335351,0.0032301983519901997,0.003274032227779088,0.0033139369364557085,0.0033830029523981785,0.0033924874804676353,0.0034424257493248837,0.0034279584318641426,0.0034646468792806713,0.0030909447407183877,0.0034255651109508915,0.0033704778179585015,0.0033560189778981046,0.003353594116315777,0.003335001996280554
annealing,0.019471015885829373,0.019848582239577264,0.01892257684907247,0.018094962757514172,0.017419936052265095,0.016684276549511837,0.016167238353725417,0.01697498896813865,0.018276432725461457,0.01921041633499182,0.018993116148752796,0.021499770181336857,0.017769787374661176,0.018931564752862735,0.01852199726293991,0.018273860286407245,0.018264443110410155
arrhythmia,0.03779359725958924,0.03877057318301787,0.03748394672499022,0.03912483326751229,0.038499012259806516,0.03654896965921597,0.037752248184130255,0.03906245414696712,0.039852816439112475,0.03625545114115869,0.03582394549294838,0.051993092487243646,0.03443341998513661,0.03396293546310053,0.027534446263213788,0.030977308455239827,0.03281845117033217
audiology-std,0.05495704123137243,0.05716028387230689,0.05700275726565876,0.058946667848005986,0.05679685750136756,0.05716989235283498,0.056184171073200256,0.057037999029886516,0.05468993494852898,0.05239050225958418,0.05283845511330905,0.060107530890859746,0.055372346377005006,0.05625765167199489,0.05797485637673403,0.05960251914938451,0.06099254215030374
balance-scale,0.019146751869191393,0.019962462704285318,0.019684073408469813,0.018982046741156795,0.01801053305028541,0.017496892795985635,0.017858711018000302,0.016910166607686936,0.017453967442173045,0.015246472629962123,0.016343717000793387,0.02476039975428193,0.016136618699098798,0.014781825059861784,0.014847249264488944,0.011775440135423663,0.013037420899452565
balloons,0.33495664709965084,0.33495664709965084,0.33495664709965084,0.33495664709965084,0.3357183508828636,0.3373808357486843,0.3373808357486843,0.3373808357486843,0.3499204852251396,0.34982115688677634,0.3493477181463997,0.3532994762933369,0.3541509416368935,0.3445073708029268,0.3423591868652714,0.34622510411294366,0.3465741469375089
bank,0.0059969850913965915,0.00612947092213664,0.006086384341850661,0.005840330004483638,0.005722130177227795,0.005700444791204484,0.0056902086911922115,0.005597311905158916,0.005497406144457691,0.005499434575157211,0.005597159845757846,0.005883812443914335,0.005557253342003606,0.005637008703451887,0.00574771239959208,0.0057676357897789386,0.005740644778368475
