CAWPE-S,MLP1,SVML,Logistic,NN,C4.5
0.8355156927030579,0.8383827228916915,0.8181124080672963,0.8335094489848138,0.817770105399711,0.7318906397990512
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.9980952380952381
0.9076310578308652,0.9000230232772729,0.8862764845518518,0.8893621569450219,0.8679854126820868,0.8580155418619805
0.9644352616236813,0.8944066887912138,0.8708912614851883,0.913569231051594,0.8344665216226556,0.9405928166305875
0.8499936311190154,0.8199913210277903,0.8070932180972231,0.6638457575260781,0.6590644100312892,0.7504985933980313
0.9659032248516207,0.9076815560524817,0.9197698785743893,0.8516430045319121,0.8193258100477187,0.877478627524638
0.9867589700003985,0.977133837667752,0.980550065763723,0.980892426161533,0.9590178965900876,0.8329270055922783
0.7016666666666669,0.72,0.48499999999999993,0.5199999999999999,0.5950000000000002,0.30999999999999994
0.8638057471264393,0.7817311621966817,0.8515181353767588,0.8641983397190318,0.5137301404853144,0.6379508301404944
0.7479072212366128,0.7416558249556484,0.7259018332347729,0.7501071029634017,0.675355805243446,0.5108101714961564
0.6627599969299257,0.6070765216056491,0.6667664440862693,0.6703047048890934,0.5492823700974747,0.3927315987412691
0.993366776137717,0.9869164050188262,0.9947201270345373,0.993215200837273,0.980384231356839,0.9181866300961159
0.9921541758898139,0.9868135343101085,0.9922525561294403,0.9100822177716875,0.9654843470011595,0.8807684199430795
0.7316154970760231,0.7167397660818714,0.7203399122807015,0.46123903508771924,0.48930921052631593,0.37691885964912264
0.9148056843767859,0.8899719432214506,0.8983076601274971,0.834737847283549,0.855844571198456,0.8403538875091198
0.9954019699560485,0.9875678583724034,0.934671515567966,0.9305316706557674,0.9771007708599035,0.9832195682459718
0.9791618802819269,0.9606756145931965,0.962300763561144,0.9668374524294931,0.9386627895825125,0.90558239193273
0.983579204008315,0.9631579018585323,0.9744340273269533,0.9654191059924436,0.8592045447523378,0.9122314968340338
0.9654274515209661,0.8505300039122982,0.7478379702462628,0.7308646010766622,0.9235168224109224,0.9249093325085852
0.9990444242405261,0.9986033169263597,0.991083748732906,0.9942447043086642,0.9783720517081086,0.993975138727785
0.4740257048092858,0.47013444681355016,0.42337716180999646,0.4612206823027707,0.4762082444918254,0.1598584458659077
0.8946671525753164,0.8595602526724984,0.8305879494655009,0.5685495626822161,0.6738824101069005,0.5480928085519925
0.9985468013468015,0.9744751215862325,0.9710792368125705,0.9668722783389451,0.9927323606434719,0.9120293303404413
0.8896816017125354,0.8412020158646552,0.5272839129376496,0.6172335777380754,0.7891053308167605,0.803358794139906
0.7206323610157551,0.7046980557322199,0.6850179324753307,0.6943909426908045,0.6433178918992761,0.6543372182240115
0.9198345057720075,0.884574540043292,0.9121178300865815,0.9158414502164519,0.8945470328282851,0.8083761724386743
0.8057179487179472,0.7770085470085455,0.7594786324786309,0.7474145299145284,0.6522478632478619,0.6164230769230753
0.9987566373737535,0.9965486996913431,0.9974615252956309,0.9887963982924064,0.9898782718318572,0.9768060424120929
0.8296831955922863,0.8100206611570246,0.8123966942148759,0.8057851239669422,0.6861570247933882,0.6037878787878789
0.9681909355269813,0.9582906560947622,0.9669359310984277,0.9328915643694156,0.9385835250456114,0.8851862812566931
0.9847961210782324,0.9389277632791652,0.9182668597456766,0.9742876953753242,0.9666846838496641,0.9848938151481101
0.9803883092297083,0.968727748574709,0.9474596919802395,0.9753296047343643,0.9686165821946513,0.9632661389807775
0.6266414141414143,0.5857323232323234,0.5797979797979799,0.5262626262626262,0.39595959595959584,0.016161616161616175
0.8143058539434271,0.7385263217008416,0.7372947974295321,0.5896087045149814,0.6855551396837538,0.7543191161976444
0.8850204902937743,0.8321126216199413,0.8162350235815529,0.7810757614457002,0.8033181507065419,0.7875695535353091
0.6780847542988704,0.6710123030433841,0.6843513921864882,0.6635009712928988,0.5277573926181736,0.34224764371537486
0.8805594236745029,0.7551387058463777,0.561264969108884,0.5599131947809195,0.8907534379690464,0.8311297276112091
0.8069517903366655,0.75686946681654,0.8113131791815344,0.7760400721380889,0.7524385281571899,0.6371967134235327
0.8943396226415092,0.8467482938578884,0.8911280610196708,0.882403318613676,0.8423524688879969,0.6448615014050583
