ES-A,RC-A,PB-A,SMM5-A,SMLRE-A,SMLR-A,CAWPE-A,MV-A,NBC-A,WMV-A
1.023791265833568 ,1.6630034181038345,1.2538662561607035,1.2189635263681242,1.202310587793512,1.2189635263681202,1.0386417623237403,1.6567259286438025,2.0609178531934744,1.6559454493409544
1.055191099280931 ,1.6607341021029463,1.247093095069088,1.2490330018607914,1.2211608591051784,1.2490330018607891,1.0553487332075384,1.6525180997223312,2.018200251148488,1.6523366387454312
1.064459145774372 ,1.6658751661590363,1.2486309609542936,1.2231051472450891,1.2029035044999337,1.223105147245092,1.0596041117613784,1.6545900785331396,2.0394304357347712,1.6544826898135905
1.052765613014128 ,1.6429652725156547,1.2349174900591624,1.2149973950913973,1.2209840109702912,1.261296883006493,1.0545781536731647,1.6310917804451586,2.0480490779937095,1.6310385969324845
1.016170186459234 ,1.5336398953952266,1.182766310453833,1.1615526097947066,1.1460782008601083,1.1615526097947055,1.0229014936941507,1.5246967442188724,1.9823710235507856,1.5244979740098734
1.0812161001185592 ,1.660471310284819,1.2714568957175627,1.2814349679875283,1.2612780990449235,1.281434967987529,1.0842215369299475,1.6454360162916335,2.002932940000168,1.645256650872192
1.0269013424038202 ,1.5631633335253092,1.2084254085303723,1.1790417204507153,1.1538692678300169,1.1790417204507477,1.0207350712713015,1.5530771739258762,1.9500964737227116,1.552934420314181
1.0515847097808984 ,1.5694277546928046,1.2149219453250635,1.2196995440654717,1.2101102277065074,1.2196995440654712,1.0522108089959261,1.5625370597689436,1.948216710219187,1.5623397247731192
1.0385662257046593 ,1.645303616056199,1.2270166859329725,1.2115246843809846,1.191068582282842,1.211524684380977,1.0441238462199458,1.6320612746473937,2.0302680500726655,1.631798442483999
1.050084948230056 ,1.587618368833146,1.21380011863151,1.2278142810530033,1.215958480771913,1.2278142810530028,1.0457614588453419,1.5761476424655454,1.973584590250097,1.5755402808364938
1.0410531406953245 ,1.6041829966293841,1.2089406870497215,1.271365252855767,1.2509822638568682,1.2713652528557582,1.0439964903638494,1.5934191494852747,2.036781846476677,1.5932537414397099
1.0540542546337375 ,1.5807179673848668,1.2345147066541025,1.2108864327287387,1.1827762301783913,1.2108864327287634,1.0510555581640046,1.5761814615639742,1.976829425682408,1.5755785585078836
1.0564126430774003 ,1.6943513432041062,1.2797674751881751,1.2442628481998845,1.2190380776218723,1.2442628481998892,1.0642387023168631,1.6814221333024713,1.956101966278637,1.6807633133348854
1.0295344029760864 ,1.5948285304638268,1.224077078922926,1.2157475322903923,1.2147725453664362,1.2157475322903526,1.0350580055794145,1.5829168068442492,1.9584679665861493,1.582874484182089
1.0366275993937961 ,1.59494468410391,1.2156999928079488,1.215591919791884,1.197831669794535,1.2155919197918725,1.0409018182555032,1.585531613258569,2.023654295200219,1.5856889452208653
1.0534300256975382 ,1.644554405427498,1.2437953418043775,1.256811949489611,1.2614448821377657,1.2568119494896073,1.0507295891260384,1.6348152575809975,2.0059041226400476,1.6343828908263889
1.066113222490423 ,1.6825984789689077,1.2515105173967378,1.255833296848721,1.243366318499109,1.2729543968216661,1.0662553600900833,1.6744844257992408,2.0489529666683666,1.6744755019864357
1.030639007628761 ,1.5308244309559291,1.2159850900616072,1.1952900959806998,1.1922668769133657,1.1952900959807036,1.0337951394261637,1.522800378344534,2.0052672953910498,1.5225313504333964
1.0545234032489037 ,1.6237053347334187,1.2424476087013976,1.2295155471560821,1.2352325759976566,1.229515547156074,1.0568817438153704,1.6130383531087413,1.9884163334047438,1.6127850857231218
1.0597872098678267 ,1.644135146750368,1.265052990282666,1.257804574822058,1.2585196186993801,1.2578045748220632,1.064721911137372,1.6346066056614144,1.9400606732416597,1.6338554262629132
1.0602860287604499 ,1.6091824812469342,1.2553426581548055,1.2371573709100268,1.2069865178895378,1.2371573709101027,1.0652669591660737,1.5963591417670155,1.9578102539635145,1.595788266264715
1.0616458316162436 ,1.6465364453354177,1.2505569026579508,1.26270957993169,1.2530106719694376,1.262709579931689,1.0618390171524574,1.6354748886939419,2.0026998549152406,1.6352225392884683
1.0380465355377055 ,1.6110105714157918,1.2299871181508588,1.2003291849959192,1.1919370469742727,1.2003291849959175,1.0409088352832792,1.5969551890685854,1.9482837688960015,1.5963955714223454
1.0363906021801945 ,1.599563683283286,1.198707570416193,1.2358236774638574,1.2179431950188908,1.2358236774638645,1.0334411450321113,1.5917231051454304,1.9691391994332959,1.5913570226755966
1.0407888038869717 ,1.6463342540431056,1.2417079808305667,1.2142244388465433,1.2173610748478576,1.2142244388465426,1.0471334376706205,1.6329556378460002,2.0341485462876947,1.632636995238839
1.0549574759791314 ,1.5930714553245504,1.257038066179448,1.2244130423541462,1.223857938092625,1.2423559008367142,1.056887364835727,1.5865595184044552,1.9111960392495075,1.5863292666070568
1.0749425789545 ,1.6316421255734028,1.237144441083149,1.2307695140269057,1.2269498642100087,1.239455863908134,1.0654887087855218,1.620417626993996,1.9424040759261136,1.620395544020945
1.0535893183677092 ,1.6395284926364575,1.265723527257132,1.2330305673077164,1.2423574998716387,1.2526227412645885,1.0557974174135898,1.6222511560472554,1.9327989843280662,1.621713668092194
1.0435678654084641 ,1.656448398309404,1.2689172140849805,1.196739952363764,1.1977252923741568,1.1967399523638167,1.0529409955324818,1.6464301593511128,1.9840028828350147,1.645940814243136
1.065234579641658 ,1.684904908157153,1.2632084881277086,1.2411002754879974,1.2154042904174134,1.2411002754879967,1.0650193979291787,1.6779854802301,2.1033046955235863,1.6775415374265616
0.25044373056648145 ,0.005456408387921395,0.05836495919116673,-0.0,-0.0,-0.0,0.14636511957632695,0.005456408387921395,4.728473074336754E-7,0.005373377889398697
0.22123255527743405 ,0.005456408387921395,0.07731847636671467,-0.0,-0.0,-0.0,0.16222829371959818,0.005456408387921395,5.597055534885791E-7,0.005373377889398697
0.06782655616183093 ,0.01091281677584279,0.05235984871822591,-0.0,-0.0,-0.0,0.16055035707352763,0.01091281677584279,6.32736543004167E-7,0.01058012898509853
