,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-10clases,cardiotocography-3clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
0_MLP&NB&RandomCommitteeDefault&RotFDefault&SVMQ_UCI,0.004290271132376233,0.012021857923497303,0.0038888888888889417,-0.0063945076843286985,-0.005703703703703655,-0.017971014492753512,0.013666666666666827,0.021725239616613767,0.014814814814814725,0.00275689223057618,-0.007932263814616758,-0.007870370370370194,-7.619047619046304E-4,0.009824561403508625,-0.009666666666666823,0.010493827160493852,0.004161849710982546,0.009631019387117079,9.398496240600185E-4,0.018690611934625845,0.002647488013341359,6.116207951070152E-4,0.02126984126984144,0.0010101010101007946,2.6446411478520115E-4,0.013188798554652159,0.0012524084778421374,0.01653645833333328,0.0010869565217390686,-0.00303030303030305,0.003529411764705892,-0.01108225108225136,-0.002683982683983066,-0.016666666666666385,-0.018027210884353773,0.0027522935779815683,0.006926406926407225,0.06419753086419788,-0.0039215686274509665,0.006122448979591799,0.005376344086021556,0.005610561056105523,0.00726495726495735,-0.03503850385038498,-0.003985507246376807,-0.01837899543379018,-0.0012698412698415318,-0.007765151515151447,0.0057777777777775485,0.0014550264550263758,0.07948717948717954,0.0010958995369904079,0.011111111111111294,0.01535580524344582,0.019607843137255054,0.03599999999999992,0.0016508937960042491,-0.006791406791406884,-0.010824760762484509,0.0160493827160495,0.0074770258980789706,0.012709832134292665,0.019933554817275878,-4.813477737666272E-4,0.0,0.024546722454672598,0.017424242424242564,-0.0024176954732512135,0.009635416666666563,0.0048828125,0.02888402625820574,0.01094091903719907,0.014549982212735735,-0.0031258208563174072,-0.00457755052349651,0.00340136054421758,0.0025216706067768824,0.011545138888889084,-0.009259259259259411,-0.0037735849056600435,0.008695652173912882,0.005882352941176339,-0.02962962962962956,-0.041391941391941245,0.14520833333333316,0.02804166666666652,0.10812500000000003,-0.062962962962963,-0.011177644710579027,0.013612612612612596,3.174603174602719E-4,0.06791666666666696,0.001554907677357109,4.9253947559047E-4,-0.0022556390977443996,-0.00646766169154267,-0.018454106280193505,0.013799999999999812,0.010123456790123386,-0.0024819624819623076,0.0027648337993166905,-9.321196239339136E-4,0.040408805031446504,0.0082990397805216,0.015000000000000013,0.022368421052631704,-0.01185185185185178,0.028810020876826714,-0.002845897668785846,-0.022222222222222143,0.008844456453210858,0.004946236559139616,0.0017204301075273154,0.0065836081592768325,0.01639344262295095,0.02131147540983569,0.018148148148148024,0.0064086558468580135,0.021011831905344502,0.016778523489932917,0.02564102564102566
100_BaggingDefault&DaggingDefault&LogitBoostDefault&REPTree&RotFDefault_UCI,-0.0013397129186603074,-0.002185792349726823,-0.006111111111111178,-0.004059181612207752,-0.014518518518518375,0.00376811594202886,-0.0029999999999997806,-0.009052183173589023,-0.02592592592592602,-6.634232640426729E-4,-0.014171122994652285,0.003472222222222321,-0.00533333333333319,-0.008888888888889057,6.666666666665932E-4,-0.02098765432098737,-0.009325626204238935,0.004784240150093821,-4.072681704264669E-4,-0.013062998859749153,-0.0017927871586411737,0.006574923547400524,-0.0107936507936508,-0.020134680134680227,-0.031165319675932945,0.018157181571815784,-0.0023121387283235872,-0.008723958333333393,-0.0068840579710145455,0.043939393939393945,-0.020000000000000018,-0.007965367965367731,-0.004069264069264444,0.0033333333333334103,0.032653061224489854,-0.010397553516819702,-4.329004329002295E-4,0.041975308641975406,0.005228758169934733,0.005895691609977161,0.028494623655913986,-0.008580858085808551,0.007692307692307665,-0.03498349834983494,0.004166666666666763,0.0026255707762555813,-0.007965367965368286,-0.01325757575757569,-0.002666666666667039,0.004497354497354555,-0.05128205128205143,-0.019592951600546415,-0.00925925925925919,-0.01298377028714115,0.01764705882352946,-0.020444444444444265,-0.005254118471784031,0.0020097020097018525,-0.00987088606297315,0.00864197530864197,0.017502088554720352,-0.05179856115107939,-0.03687707641196014,-0.01034897713598082,-6.56491055309738E-5,-0.02092050209205032,-0.0173333333333332,-0.003251028806584455,-0.035677083333333415,-0.0016927083333333481,-0.012253829321662968,-0.015025528811086541,-0.010482627771848718,9.19359075387205E-4,-6.574141709276837E-4,-0.027551020408163263,-0.01012305267624447,0.003906250000000111,0.012345679012345623,0.010062893081761337,0.01521739130434785,0.004575163398692794,-0.0024691358024688803,0.0,0.055749999999999855,0.006000000000000227,0.03950000000000009,0.022222222222222143,0.024750499001995885,-0.0183783783783783,-0.009206349206349218,0.004416666666666846,-0.006122448979591799,-0.0066492829204691795,0.03283208020050121,-0.008457711442786175,0.002995169082125493,0.009866666666666468,0.015555555555555767,-0.007965367965368286,-0.010862586724655898,2.6434958508958495E-5,-0.031761006289308114,0.005486968449931684,-0.01633333333333331,-0.010526315789473606,4.6296296296322037E-4,-0.009672929714683365,-0.004329397517408573,-0.1611111111111111,0.006358641808519971,-0.008172043010752916,-0.009462365591397681,0.028154391107854004,0.006117552978808227,0.011315473810475707,-0.004444444444444362,-0.007074490220557839,-0.00398476812185522,0.012259507829977645,-0.0012820512820511665
101_1NN&DaggingDefault&MLP&RandF&bayesNet_UCI,-0.0013397129186599743,5.464480874317612E-4,0.01000000000000012,-0.002226134905686128,-0.02125925925925909,0.060434782608695725,0.040000000000000036,0.06592119275825359,0.011111111111111183,-0.004275394368273733,0.028698752228164204,0.009953703703703964,0.004857142857142671,0.01111111111111096,0.0029999999999998916,0.02037037037037026,5.780346820809523E-4,-0.01594746716697948,-0.017763157894736703,-0.0250095020904596,-8.547008547008517E-4,-0.0010703363914372765,0.030476190476190546,0.026127946127946,-0.037614099489820974,0.0018066847335139746,1.9267822736035445E-4,-0.015625,-1.8115942029017784E-4,-5.050505050505638E-4,0.015294117647058791,-0.02588744588744607,-0.003982683982683866,6.666666666663712E-4,-0.01292517006802718,-0.03822629969418967,0.038311688311688186,-0.033744855967078435,-6.535947712418277E-4,0.012244897959184042,-0.0021505376344087,-0.00825082508250824,-0.008547008547008406,-0.003520352035203733,-0.010688405797101175,0.017694063926940617,-0.006955266955267048,-0.027840909090908972,0.001777777777777656,0.005026455026454935,0.007692307692307554,-0.004976516438493395,0.05703703703703711,-0.003245942571785232,-0.04117647058823526,0.011555555555555541,-0.019866806869961895,0.028135828135828045,-0.03592330047821868,-0.04753086419753105,0.0070384294068507325,-0.006954436450839818,0.046733111849390774,-0.013838748495788256,-4.103069095684475E-5,0.023709902370990354,0.004161616161616033,-0.012299382716049578,0.013411458333333348,0.0010416666666666075,0.01057622173595918,0.003792851932895691,0.002134471718249653,-0.0019700551615443596,-0.002666179693206927,0.02142857142857124,0.00250954719039842,0.005295138888888773,0.01975308641975282,-0.0018867924528304103,-0.009420289855072594,0.02614379084967322,0.0018518518518518823,0.043589743589743546,-0.016208333333333713,0.025500000000000078,0.007791666666666752,0.04370370370370369,-0.024550898203592963,0.01102702702702718,0.013968253968253852,-0.0020416666666664973,0.003304178814382719,-0.01379110531652894,0.026065162907268236,-0.015920398009950265,0.0038647342995171696,-0.015200000000000213,0.0039506172839509635,-0.006637806637806554,-0.005291498394946803,-6.034066616092959E-4,0.03812893081761004,-0.017386831275720382,0.01011111111111096,-0.001315789473684159,-0.019268518518518518,0.010020876826722591,-0.00535876475930952,-0.016666666666666496,0.007340358461676799,0.006021505376344272,-0.009892473118279566,-0.02418468303407839,-3.998400639744215E-4,-0.0036652005864324932,0.004074074074073897,-0.011693716188098224,-0.02657418740650097,-8.053691275166086E-4,0.0019230769230769162
102_1NN&C4.5&DaggingDefault&LogitBoostDefault&RandF_UCI,-0.010813397129186275,5.464480874317612E-4,0.01000000000000012,-6.660661152512182E-4,-0.005555555555555425,0.0457971014492754,0.035333333333333106,0.03045793397231089,-0.0037037037037036535,-0.004231166150670873,0.026024955436720343,0.015046296296296502,-0.0017142857142858903,0.004678362573099393,-0.013000000000000123,0.007407407407407529,-0.004470134874759002,-0.006222639149468523,-0.0061403508771928905,-0.017084758646902176,-0.0016885553470920023,-7.6452599388388E-4,0.02158730158730171,0.026801346801346715,-0.04087154741111332,1.8066847335140857E-4,-0.0035645472061657246,-0.014062499999999978,-0.002536231884058271,-0.005050505050505194,0.008235294117646785,-0.003896103896104064,-7.792207792207684E-4,0.0066666666666664876,-0.006122448979591688,-0.027217125382263063,0.03658008658008649,-8.230452674897748E-4,-0.011546840958605697,0.006802721088435604,-0.016129032258064502,-0.01848184818481846,-0.004700854700854684,-0.007040704070407022,-7.246376811592681E-4,0.015182648401826482,-0.004790764790765123,-0.015719696969696884,-0.0022222222222223476,0.00568783068783052,0.002564102564102444,-0.004060490989640564,0.05277777777777781,-0.011111111111110739,-0.029411764705882304,-0.009333333333333305,-0.020147213459516644,0.0303534303534303,-0.023459884468910563,-0.06913580246913598,-0.014933166248955576,-0.034892086330935546,0.04363233665559241,-0.006738868832731559,-1.477104874446633E-4,0.002649930264993161,-0.007121212121212195,-0.004511316872428006,-0.017968749999999978,-0.003059895833333326,-0.024288840262581934,-0.005543398978847702,-2.253053480375522E-4,-0.0011032308904648236,1.339177014852977E-4,0.011564625850339794,0.0010304903921927178,-0.0033854166666665853,0.004938271604938205,6.289308176098407E-4,-0.005797101449275255,0.015686274509803977,0.004938271604938205,0.045787545787545736,-0.10475000000000045,0.004541666666666777,-0.03266666666666662,0.06148148148148147,-0.004790419161676662,-0.02621621621621617,0.0073015873015872534,-0.021749999999999825,-0.006997084548105326,-0.004302477183833142,0.023308270676691722,-0.01990049751243783,0.0073429951690824335,-0.012866666666666693,-0.004197530864197385,-0.0033766233766231446,-0.0068551309930617865,-6.8960761320235875E-6,-0.01643081761006282,-0.0017146776406037345,-0.004222222222222571,0.0026315789473685403,-7.777777777779882E-4,0.009603340292276052,-0.005631244323342277,-0.022222222222222143,0.0013599927947398616,0.0015053763440859846,-0.0017204301075267603,-9.77158910466791E-5,-0.008330001332800485,-0.01151539384246325,0.0011111111111110628,-0.019184352892218093,-0.02309261525907813,-0.004116331096196801,-0.0019230769230769162
103_DaggingDefault&DecisionTable&MLP&NN&bayesNet_UCI,-0.013939393939393585,0.0,0.0,0.008193432151339053,0.0344444444444445,0.05101449275362313,0.05700000000000005,-0.01288604898828527,-0.022222222222222143,0.014565826330532161,-0.017557932263814524,0.058796296296296124,0.013047619047618864,0.00198830409356765,0.021333333333333315,0.029012345679012452,0.02057803468208108,0.02310819262038788,0.010150375939849798,0.21236459521094642,-0.020429435063581636,0.014678899082568475,0.022539682539682637,0.08767676767676769,-0.006052083641710393,0.011788617886179131,0.03323699421965298,0.007552083333333348,0.010507246376811996,0.059595959595959425,0.014901960784313717,0.003636363636364104,-3.4632034632042785E-4,0.06599999999999973,0.1472789115646258,0.03639143730886851,-0.0010822510822510178,0.09876543209876554,0.038126361655773544,0.03333333333333366,0.009677419354838734,0.01848184818481846,0.027350427350427253,0.0038503850385039895,0.06666666666666698,0.011757990867579893,0.02239538239538219,0.026704545454545703,-0.010222222222222022,0.01951058201058209,-0.06923076923076943,0.13049198894107472,0.05351851851851863,-0.015980024968789364,0.05294117647058816,-0.004444444444444584,-0.014518051174202462,0.016493416493416513,0.02504472088529408,0.07160493827160486,0.1308479532163742,2.3980815347712792E-4,0.018161683277962193,0.010950661853188826,4.923682914825811E-5,-0.007391910739191099,-0.017979797979798096,0.013868312757201573,-0.007421875000000022,0.00911458333333337,-4.3763676148778075E-4,-0.007877461706783384,0.004956717656824261,0.007722616233254209,0.008473338203067837,0.018707482993197466,0.039019215614960245,0.012152777777777901,0.040123456790123524,0.06540880503144675,0.051449275362319025,0.030065359477124187,0.024691358024691246,0.11684981684981688,0.013000000000000345,0.03266666666666673,0.004125000000000156,0.15481481481481485,0.043313373253493104,0.045963963963964294,-0.01365079365079358,0.005750000000000144,0.002915451895043941,0.01865855425177443,0.06165413533834585,0.05024875621890568,0.0940096618357491,0.04959999999999998,0.051851851851851816,0.006839826839826868,0.01165993579786695,0.0013378387697400296,-0.0052672955974845115,0.036591220850480055,-6.666666666669263E-4,0.023684210526315697,0.013259259259259637,0.007167710508002689,2.220446049250313E-16,-0.050000000000000266,0.005980365666937049,-0.014408602150537853,-0.022150537634408662,0.0734945645535603,0.01532720245235264,0.016060242569639116,0.004074074074073675,0.013150228880566162,0.04837481300149593,0.018523489932885773,0.0012820512820512775
104_AdaBoostM1Default&ENDDefault&Logistic&REPTree&SVMQ_UCI,0.007480063795853198,0.0,0.0,0.012603390385717783,0.06607407407407428,0.14724637681159447,0.07999999999999996,-0.0041533546325878135,-0.05925925925925957,0.0018870706177208652,0.008021390374331583,0.006944444444444309,0.0024761904761905207,-0.011578947368421022,0.03299999999999981,0.04629629629629639,0.027899807321772663,0.0418699186991871,0.025344611528821948,0.3418377042949447,0.007046070460704934,0.0062691131498469055,-0.020634920634920673,0.01151515151515159,0.002333797132340276,0.020144534778681167,0.006743737957610407,0.02083333333333326,0.011594202898550843,0.037878787878787845,0.011960784313725492,0.07922077922077908,0.02718614718614698,0.10666666666666635,0.16292517006802726,0.05565749235474016,-0.006493506493506662,0.23991769547325104,0.02941176470588225,-4.53514739228722E-4,0.03387096774193554,0.0036303630363035966,0.021367521367521736,0.09345434543454334,0.03605072463768133,0.019748858447488415,0.06014430014430028,0.030113636363636176,-0.007555555555555427,0.010317460317459837,-0.04871794871794877,0.043336331234802405,0.0051851851851849595,-0.0028714107365790387,0.0019607843137254832,0.0022222222222221255,0.006431826147914488,0.012058212058212114,0.028382513493149353,0.033950617283950435,0.11735588972431055,0.11055155875299738,0.045293466223698564,0.06510228640192528,-1.312982110619476E-4,0.011018131101813378,-0.007696969696969869,0.032273662551440374,-0.0031249999999999334,-1.953125000000444E-4,0.006345733041575263,9.48212983223784E-4,-0.002383493418712135,0.012976096664040204,0.01902848794740719,0.011224489795918613,0.004903921925198729,-0.0049479166666668295,0.033333333333333326,0.034591194968553673,0.0028985507246376274,0.0117647058823529,0.043209876543209846,0.09377289377289377,0.016874999999999973,0.027125000000000066,0.04129166666666684,0.1518518518518519,0.07345309381237541,-0.02075675675675659,0.0069841269841269815,-9.583333333329502E-4,0.02623906705539336,0.07522816166883994,0.017794486215538696,0.04303482587064689,0.0368115942028987,0.028933333333333366,0.01753086419753125,0.025223665223665148,0.012229470850160462,0.034874606348987536,0.012814465408804598,0.025377229080932873,0.0023333333333331874,-0.008333333333333304,0.03481481481481463,-0.004244954766875697,5.449591280655142E-4,-0.01666666666666683,-0.002314689723498242,0.01634408602150539,0.05225806451612902,0.10084279956027864,-0.005397840863654801,0.004358256697321261,0.001481481481481639,0.022846441947565577,0.04081327349381214,0.00930648769574971,0.01474358974358958
105_DNN&DecisionTable&DecorateDefault&REPTree&SVML_UCI,-0.003381180223285596,0.0,0.0,0.013481014385936074,0.06133333333333346,0.06753623188405833,0.06499999999999995,-0.013844515441959748,0.0370370370370372,0.008948842694972758,-0.01443850267379665,0.047222222222222165,-9.523809523803717E-5,-0.001988304093567317,0.026666666666666727,0.01913580246913571,-8.092485549130446E-4,0.0433708567854908,0.019141604010025293,0.26021474724439364,0.0021471753179069797,0.009785932721712576,-0.02031746031746029,0.004175084175083832,0.0032209360845496526,0.013685636856368588,0.010211946050096454,0.012499999999999956,0.007971014492753947,0.06515151515151496,0.02882352941176447,0.015670995670995613,0.012727272727272476,0.021999999999999797,0.13163265306122446,0.045259938837920566,0.002813852813853157,0.17201646090534994,0.004793028322440107,0.006575963718821076,0.0021505376344087,0.015511551155115433,8.547008547008517E-4,0.033498349834983676,0.08605072463768138,0.024543378995433907,0.05353535353535355,0.009280303030302806,-0.0013333333333332975,0.011375661375661483,0.06923076923076943,0.033173445254988,0.025370370370370154,0.004868913857677959,0.017647058823529294,0.004444444444444473,-0.0033543638275497223,0.00866250866250895,7.27323051373796E-4,0.050617283950617376,0.08341687552213839,4.796163069544779E-4,-0.01196013289036546,0.02611311672683525,1.148859346791209E-4,-0.008089260808926135,-0.014707070707070669,9.053497942388411E-4,-0.006575520833333348,0.006249999999999978,0.005397520058351368,-0.008533916849015277,0.003936914502549627,0.0019175203572368016,0.003396639883126329,-0.006462585034013535,0.0010183669758133673,0.012152777777777679,0.014197530864197616,0.037106918238993924,0.04637681159420304,0.016339869281045916,0.04753086419753094,0.01684981684981679,0.04266666666666674,0.027083333333333237,0.037000000000000255,0.014074074074074017,0.040918163672654884,0.0012072072072072393,-0.004761904761904745,0.008416666666666517,0.043634596695820815,0.011082138200781966,0.048120300751879896,0.041293532338308236,0.026183574879226956,0.027066666666666683,0.01654320987654323,0.021038961038960857,0.021600911256083544,0.001574604050295414,-0.003537735849056478,0.04619341563785995,0.0012222222222222356,0.03947368421052627,0.010611111111111127,-3.479471120390043E-4,0.006448683015440326,0.05555555555555547,0.001882374133117204,-0.004516129032257843,0.004086021505376514,0.07971173812141208,0.0012261761961882556,0.00903638544582197,0.0037037037037036535,0.04090719933416542,0.05800353597171226,0.035973154362416104,0.017948717948717885
106_BaggingDefault&ENDDefault&Logistic&RandF&RandomCommitteeDefault_UCI,0.008389154704944612,5.464480874317612E-4,0.004444444444444362,0.004198400349411546,-9.629629629629433E-4,0.06724637681159418,0.031999999999999806,0.04653887113950983,-0.007407407407407529,-0.001002506265664116,0.027629233511586526,0.006712962962963198,-0.0019047619047621867,7.017543859649811E-4,-0.00533333333333319,0.01666666666666683,-0.0026589595375722253,0.007066916823014191,-9.398496240601295E-4,0.013604618015963799,0.0046487387950802095,-0.003669724770642202,-0.029523809523809508,-0.008417508417508546,-0.01150122857396585,0.014905149051490652,-7.707129094411957E-4,-0.010546874999999956,5.434782608695343E-4,-0.005555555555555869,0.009803921568627416,-0.004155844155844579,-0.006753246753246511,0.005333333333333079,-6.802721088435826E-4,-0.02354740061162086,0.032900432900432874,-0.002880658436214323,0.0032679738562092497,-0.003854875283446635,-0.0064516129032258784,0.0029702970297030284,-0.014957264957264904,0.10247524752475246,-0.0034420289855067177,0.0033105022831049213,6.926406926406337E-4,-0.00984848484848444,-4.444444444443585E-4,0.010449735449735376,-0.005128205128205221,-0.005312947603344553,0.017407407407407538,-0.006491885143570464,-0.015686274509803866,-0.008444444444444477,-0.006736768314055563,0.03111573111573107,-0.006053337023767202,-0.039506172839506304,-0.0062447786131993865,-0.01774580335731446,0.00830564784053156,0.002406738868832803,0.0,-0.01324965132496525,9.090909090914145E-5,-0.002422839506173058,0.029166666666666674,0.0026041666666666297,0.006418672501823264,0.006783369803063377,-0.003083125815249943,-0.0012608353033883857,9.252495738981681E-4,-0.011224489795918724,-3.3945565860438176E-4,0.001128472222222232,0.0012345679012345512,-1.1102230246251565E-16,-7.246376811593791E-4,0.011111111111111183,0.021604938271604812,0.039194139194139166,-0.07025000000000015,0.011208333333333487,-0.012833333333333252,0.06074074074074065,0.008383233532934298,-0.013423423423423286,0.01619047619047609,-0.020458333333333356,0.008454810495626464,-0.0023178328263078196,0.014536340852130403,-0.011691542288556955,0.005990338164251319,-0.0023333333333332984,-0.004691358024691117,-3.174603174602719E-4,-0.004732318525421997,-2.068822839784712E-5,0.027830188679245138,0.007475994513031048,-0.005111111111111621,-0.008333333333333304,1.666666666665373E-4,0.002296450939457184,-0.005449591280653698,-0.01111111111111096,0.003026209132666713,0.003225806451612856,-2.1505376344066462E-4,9.527299377061205E-4,0.006104224976675732,0.004838064774090101,-0.0011111111111111738,-0.0019558884727424175,-0.0012783897728820826,0.012662192393736005,-6.410256410256387E-4
107_BaggingDefault&LogitBoostDefault&MLP&MultiBoostABDefault&bayesNet_UCI,0.011642743221690899,0.03825136612021873,0.025555555555555665,-9.008271230837028E-5,0.007037037037037064,0.05347826086956553,0.08799999999999997,0.06123535676251335,0.05555555555555547,-0.003228659885006535,-0.006149732620321147,-0.0043981481481479845,0.009238095238095267,0.016257309941520748,0.010666666666666602,0.017283950617283828,0.00381502890173413,0.012789243277048334,-0.0025062656641602343,0.007855853287723091,0.004106733375026317,6.116207951071262E-4,0.033015873015873165,0.09723905723905735,-0.03329583469019182,0.006684733514001673,0.0032755298651250264,0.003515624999999911,0.03079710144927572,-0.00303030303030305,0.035098039215686105,-0.039220779220779045,-0.0045887445887444755,-0.0033333333333331883,0.009523809523809379,0.016819571865443472,0.008658008658008476,0.025514403292181242,0.008932461873638387,0.009523809523809379,0.011290322580645162,0.0075907590759076715,0.007264957264957128,0.005500550055005493,-0.0036231884057970065,0.006849315068493289,0.0010966810966809293,0.01344696969696968,8.888888888884949E-4,0.013756613756613634,0.1128205128205132,-0.01619532993571171,0.15388888888888885,0.04144818976279663,0.03725490196078424,0.019555555555555326,-0.006158429723098435,0.0031185031185030354,-0.028215418838640982,0.019135802469135932,0.03404344193817899,0.0296163069544364,0.011184939091915758,-0.00818291215403133,-1.4771048744455229E-4,0.0761506276150632,0.006969696969696848,-0.018688271604938245,0.0244140625,0.010156250000000089,0.036615609044493125,0.004303428154631361,0.043839677457606974,-5.253480430784663E-4,-0.0035670805941077077,0.0037414965986396487,-0.00680123658847076,0.003211805555555336,0.004320987654320985,0.005031446540880391,0.02971014492753632,0.007189542483660105,0.014197530864197616,0.03956043956043953,0.24720833333333325,0.13358333333333322,0.20383333333333342,0.002962962962962945,0.0017964071856286234,0.033477477477477535,0.01904761904761898,0.1225833333333336,0.08785228377065124,0.0024482109227871307,0.011278195488721887,-0.0034825870646766344,0.016714975845410707,-0.00553333333333339,0.03506172839506183,0.008109668109668067,0.0068344206275242625,-3.5169988276650965E-4,0.08034591194968543,0.006035665294924386,0.07233333333333336,0.016228070175438647,-2.037037037034839E-4,0.03340292275574075,-0.004601877081441108,0.11666666666666659,0.04179050707016141,-0.00774193548387081,0.007096774193548372,-0.0027360449493100125,0.0355591096894573,0.035412501666000074,0.06074074074074076,-0.009945900957136655,-0.012035903712770413,0.01422818791946312,0.07051282051282026
108_1NN&BaggingDefault&NN&RandomCommitteeDefault&bayesNet_UCI,0.02210526315789485,0.00874316939890718,0.0022222222222222365,0.007407255753009601,-0.0034074074074071925,0.05478260869565221,0.04500000000000004,0.056230031948881876,0.014814814814815058,0.0029043196225858603,0.04670231729055274,0.03819444444444464,0.013047619047619197,0.009356725146198674,0.017333333333333534,0.014197530864197505,-0.007360308285163875,-0.009318323952470009,-0.008427318295739394,0.009067369821360693,0.0021680216802167918,0.005045871559633097,0.038730158730158726,0.048215488215488156,0.0018473015779033597,0.012330623306233024,0.016088631984585433,-0.004427083333333304,0.012500000000000289,0.026767676767676774,0.05078431372548986,-0.011168831168831495,0.005974025974025965,0.03733333333333311,0.02517006802721089,-6.116207951072372E-4,0.05562770562770558,-0.03168724279835411,0.012418300653594838,0.03197278911564627,0.01290322580645159,0.013201320132013195,0.0034188034188032956,-0.005940594059405946,0.02119565217391317,0.009018264840182533,-5.77200577200121E-4,-0.004734848484848508,0.004000000000000226,0.01818783068783103,-0.02820512820512855,0.019776156690317293,0.08537037037037043,-0.005992509363295984,-0.003921568627450911,0.005777777777777882,-0.001608832807570959,0.05294525294525254,-0.009636646010486749,0.031481481481481444,0.053989139515455364,0.004436450839328643,0.029678848283499315,-0.01034897713598093,-1.6412276382715696E-5,0.027336122733612966,-0.0037272727272730233,-0.004269547325102874,0.0024739583333334147,0.0038411458333332815,0.003282275711159688,0.0037199124726475796,0.023194592671647474,-0.0013921723141584463,0.0011078646213782406,0.032653061224489854,0.0084742680487363,0.024392361111111094,0.04259259259259229,0.06226415094339599,0.04347826086956519,0.0235294117647058,0.0500000000000001,0.07655677655677673,0.12433333333333352,0.07299999999999984,0.11083333333333345,0.10296296296296314,0.0261477045908185,0.03527927927927921,0.010476190476190417,0.04270833333333335,-0.006316812439261521,0.0013762132406200944,0.04436090225563938,0.009203980099502407,0.048792270531401116,0.002066666666666772,0.021728395061728523,-0.0019336219336220095,0.006989748369058968,-1.643564811620868E-4,-0.009669811320754507,1.7146776406040676E-4,0.018222222222222473,0.021929824561403577,-0.0031944444444447218,0.03785664578984049,-0.006418407508325452,-0.03333333333333344,0.03481941817526779,0.01333333333333342,0.01075268817204289,-0.008232563820691374,0.02065840330534452,0.019418899107024212,0.016296296296296142,0.01552226383687072,-3.263973888210092E-4,0.04344519015659931,0.0012820512820512775
