,,,,,ACC,,AUROC,,BALACC,
Classifier1,Classifier2,Classifier3,Classifier4,Classifier5,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest,EnsSigBetterThanAllInds,EnsSigBetterThanPickBest
AdaBoostM1Default,DNN,DaggingDefault,DecisionTable,RotFDefault,0,1,1,1,0,0
ENDDefault,LogitBoostDefault,RandomCommitteeDefault,RotFDefault,SVML,1,1,1,1,1,1
1NN,DNN,REPTree,RandF,SVML,1,1,0,1,1,1
1NN,C4.5,DNN,DaggingDefault,LogitBoostDefault,1,1,1,1,1,1
AdaBoostM1Default,DecisionTable,ENDDefault,NB,SVMQ,1,1,1,1,1,0
BaggingDefault,DaggingDefault,DecorateDefault,LogitBoostDefault,NB,1,1,1,1,0,0
AdaBoostM1Default,BaggingDefault,DNN,DecisionTable,MultiBoostABDefault,1,1,1,1,0,0
1NN,AdaBoostM1Default,DecorateDefault,NN,RotFDefault,0,0,1,1,0,0
1NN,DecisionTable,Logistic,RandF,RandomCommitteeDefault,0,0,0,1,1,0
BaggingDefault,ENDDefault,MLP,SVML,SVMQ,1,1,1,1,1,1
1NN,ENDDefault,RandomCommitteeDefault,SVML,bayesNet,1,1,1,1,1,1
BaggingDefault,Logistic,RandF,RandomCommitteeDefault,bayesNet,0,0,0,1,0,0
1NN,AdaBoostM1Default,DecisionTable,MultiBoostABDefault,SVML,1,1,1,1,1,0
1NN,DecorateDefault,LogitBoostDefault,SVML,SVMQ,1,1,1,1,1,1
DNN,DecorateDefault,ENDDefault,Logistic,bayesNet,1,1,1,1,1,1
1NN,DecisionTable,LogitBoostDefault,MLP,RandomCommitteeDefault,1,1,1,1,1,1
AdaBoostM1Default,C4.5,Logistic,LogitBoostDefault,RotFDefault,0,0,1,1,0,0
ENDDefault,LogitBoostDefault,MLP,REPTree,bayesNet,1,1,1,1,1,1
DNN,MultiBoostABDefault,REPTree,RandomCommitteeDefault,SVMQ,1,1,1,1,1,0
1NN,DNN,Logistic,MLP,RotFDefault,0,1,1,1,1,1
1NN,C4.5,DaggingDefault,NB,RotFDefault,0,0,1,1,1,0
DecorateDefault,REPTree,RandF,SVMQ,bayesNet,0,0,0,1,0,0
DNN,DaggingDefault,ENDDefault,NN,RandomCommitteeDefault,1,1,1,1,1,0
1NN,DaggingDefault,Logistic,LogitBoostDefault,RandF,0,0,0,1,0,0
1NN,AdaBoostM1Default,ENDDefault,MultiBoostABDefault,RotFDefault,0,0,1,1,0,0
Logistic,MLP,RandomCommitteeDefault,RotFDefault,SVML,1,1,1,1,1,0
1NN,ENDDefault,RandF,RotFDefault,SVML,1,0,0,1,1,1
NN,RandomCommitteeDefault,SVML,SVMQ,bayesNet,1,1,1,1,1,1
Logistic,MLP,MultiBoostABDefault,NN,SVMQ,1,1,1,1,1,1
DNN,DecorateDefault,ENDDefault,SVMQ,bayesNet,1,1,1,1,1,1
C4.5,DecorateDefault,ENDDefault,LogitBoostDefault,RandF,0,0,0,1,0,0
AdaBoostM1Default,DaggingDefault,LogitBoostDefault,MLP,RandF,0,0,0,1,0,0
1NN,ENDDefault,NB,SVML,bayesNet,1,0,1,1,1,1
AdaBoostM1Default,DNN,MLP,REPTree,RandomCommitteeDefault,1,1,1,1,1,1
DaggingDefault,Logistic,NN,RandF,RotFDefault,1,0,1,1,0,0
AdaBoostM1Default,C4.5,DNN,RotFDefault,SVML,1,1,1,1,1,1
AdaBoostM1Default,DNN,DecorateDefault,ENDDefault,LogitBoostDefault,1,1,1,1,1,1
