ES-S_VS_ES-S
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

ES-S_VS_CAWPE-S
Wins(72):,abalone,adult,annealing,audiology-std,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,chess-krvkp,congressional-voting,connect-4,credit-approval,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,haberman-survival,heart-cleveland,heart-hungarian,hill-valley,horse-colic,ionosphere,led-display,low-res-spect,lymphography,magic,mammographic,miniboone,molec-biol-promoter,monks-2,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-SPAN,planning,post-operative,seeds,semeion,soybean,spambase,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-landsat,statlog-shuttle,statlog-vehicle,synthetic-control,thyroid,titanic,twonorm,vertebral-column-2clases,vertebral-column-3clases,waveform,waveform-noise,wine,yeast
Draws(2):,acute-inflammation,acute-nephritis
Losses(47):,arrhythmia,balance-scale,balloons,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,contrac,cylinder-bands,fertility,flags,glass,hayes-roth,heart-switzerland,heart-va,hepatitis,ilpd-indian-liver,image-segmentation,iris,lenses,letter,libras,lung-cancer,molec-biol-splice,monks-1,monks-3,ozone,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,plant-margin,plant-shape,plant-texture,primary-tumor,ringnorm,spect,statlog-image,steel-plates,teaching,tic-tac-toe,trains,wall-following,wine-quality-red,wine-quality-white,zoo

ES-S_VS_SMM5-S
Wins(52):,abalone,adult,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,connect-4,contrac,credit-approval,cylinder-bands,echocardiogram,fertility,haberman-survival,heart-hungarian,hepatitis,horse-colic,ilpd-indian-liver,ionosphere,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,ozone,parkinsons,pima,pittsburg-bridges-T-OR-D,planning,ringnorm,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,tic-tac-toe,titanic,twonorm,vertebral-column-2clases
Draws(2):,acute-inflammation,acute-nephritis
