,CAWPE-S_VS_CAWPE-S,CAWPE-S_VS_PB-S,PB-S_VS_CAWPE-S,PB-S_VS_PB-S
abalone,0,1,-1,0
acute-inflammation,0,0,0,0
acute-nephritis,0,0,0,0
adult,0,1,-1,0
annealing,0,1,-1,0
arrhythmia,0,1,-1,0
audiology-std,0,1,-1,0
balance-scale,0,0,0,0
balloons,0,0,0,0
bank,0,0,0,0
blood,0,1,-1,0
breast-cancer,0,0,0,0
breast-cancer-wisc,0,0,0,0
breast-cancer-wisc-diag,0,0,0,0
breast-cancer-wisc-prog,0,0,0,0
breast-tissue,0,1,-1,0
car,0,1,-1,0
cardiotocography-3clases,0,1,-1,0
cardiotocography-10clases,0,1,-1,0
chess-krvk,0,1,-1,0
chess-krvkp,0,1,-1,0
congressional-voting,0,0,0,0
conn-bench-sonar-mines-rocks,0,1,-1,0
conn-bench-vowel-deterding,0,1,-1,0
connect-4,0,1,-1,0
contrac,0,1,-1,0
credit-approval,0,0,0,0
cylinder-bands,0,1,-1,0
dermatology,0,0,0,0
echocardiogram,0,0,0,0
ecoli,0,0,0,0
energy-y1,0,1,-1,0
energy-y2,0,1,-1,0
fertility,0,1,-1,0
flags,0,1,-1,0
glass,0,1,-1,0
haberman-survival,0,0,0,0
hayes-roth,0,1,-1,0
heart-cleveland,0,0,0,0
heart-hungarian,0,0,0,0
heart-switzerland,0,1,-1,0
heart-va,0,0,0,0
hepatitis,0,0,0,0
hill-valley,0,1,-1,0
horse-colic,0,0,0,0
ilpd-indian-liver,0,0,0,0
image-segmentation,0,1,-1,0
ionosphere,0,1,-1,0
iris,0,0,0,0
led-display,0,0,0,0
lenses,0,0,0,0
letter,0,1,-1,0
libras,0,1,-1,0
low-res-spect,0,1,-1,0
lung-cancer,0,1,-1,0
lymphography,0,0,0,0
magic,0,1,-1,0
mammographic,0,1,-1,0
miniboone,0,1,-1,0
molec-biol-promoter,0,0,0,0
molec-biol-splice,0,1,-1,0
monks-1,0,1,-1,0
monks-2,0,1,-1,0
monks-3,0,1,-1,0
mushroom,0,1,-1,0
musk-1,0,1,-1,0
musk-2,0,1,-1,0
nursery,0,1,-1,0
oocytes_merluccius_nucleus_4d,0,1,-1,0
oocytes_merluccius_states_2f,0,1,-1,0
oocytes_trisopterus_nucleus_2f,0,1,-1,0
oocytes_trisopterus_states_5b,0,1,-1,0
optical,0,1,-1,0
ozone,0,1,-1,0
page-blocks,0,1,-1,0
parkinsons,0,1,-1,0
pendigits,0,1,-1,0
pima,0,0,0,0
pittsburg-bridges-MATERIAL,0,0,0,0
pittsburg-bridges-REL-L,0,0,0,0
pittsburg-bridges-SPAN,0,0,0,0
pittsburg-bridges-T-OR-D,0,0,0,0
pittsburg-bridges-TYPE,0,0,0,0
planning,0,0,0,0
plant-margin,0,1,-1,0
plant-shape,0,1,-1,0
plant-texture,0,1,-1,0
post-operative,0,1,-1,0
primary-tumor,0,1,-1,0
ringnorm,0,1,-1,0
seeds,0,1,-1,0
semeion,0,0,0,0
soybean,0,1,-1,0
spambase,0,1,-1,0
spect,0,0,0,0
spectf,0,0,0,0
statlog-australian-credit,0,-1,1,0
statlog-german-credit,0,0,0,0
statlog-heart,0,0,0,0
statlog-image,0,1,-1,0
statlog-landsat,0,1,-1,0
statlog-shuttle,0,1,-1,0
statlog-vehicle,0,1,-1,0
steel-plates,0,1,-1,0
synthetic-control,0,1,-1,0
teaching,0,0,0,0
thyroid,0,1,-1,0
tic-tac-toe,0,0,0,0
titanic,0,1,-1,0
trains,0,0,0,0
twonorm,0,0,0,0
vertebral-column-2clases,0,1,-1,0
vertebral-column-3clases,0,1,-1,0
wall-following,0,1,-1,0
waveform,0,-1,1,0
waveform-noise,0,0,0,0
wine,0,0,0,0
wine-quality-red,0,1,-1,0
wine-quality-white,0,1,-1,0
yeast,0,0,0,0
zoo,0,0,0,0
