TRAINAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.004746427200761029,0.004749638759324438,0.004759880556954965,0.004771936385175737,0.004782069286558344,0.00478401388294438,0.0047915435219287065,0.0048046101265065465,0.004812934173132334,0.004828321177213436,0.004840023454936402,0.004857455280627363,0.004868362627301062,0.004881710700990648,0.004900464214720537,0.006170650330864792,0.004910215759812237
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010258676376803586,0.0
adult,0.0018276637736205081,0.0018304715944930502,0.0018328555182605172,0.0018356607514881363,0.0018389413763302055,0.00184117049338366,0.0018440710620587443,0.0018471546792578788,0.0018500795385256773,0.001853199184365105,0.0018562588381267643,0.0018594086975890053,0.00186220994175052,0.00186546910861014,0.0018684092295361318,0.001702579037771016,0.0018716667307248362
annealing,0.005652831506894805,0.005647289897945256,0.005644218159485166,0.005653728128083435,0.005654806616128671,0.005689869001526609,0.005744303174145598,0.005749207988644105,0.005742772120541902,0.005789894733828569,0.005831139989506466,0.005906346639895234,0.005938001321738094,0.005981695733706242,0.00607665254609136,0.007136643296546397,0.006183645734496757
arrhythmia,0.018045311978331213,0.01797507696634982,0.01792464144598692,0.017889292161598135,0.017851656975865358,0.01783352202090971,0.017836528716085362,0.017868536551927407,0.017950202132194816,0.01782532335795623,0.0177644628285348,0.017878997687974723,0.01793456106860807,0.018033136580859185,0.018351654613490753,0.019472201725630682,0.018823352454231827
audiology-std,0.007782825529237521,0.007695909949513699,0.007601167812169205,0.007604880581474531,0.007484633078115372,0.007496353597509812,0.007354232090132375,0.007315090600667804,0.007189094111940173,0.007105863188189472,0.0070375172584998475,0.006909446855855628,0.00683647883299542,0.006790785886957786,0.006693177780796107,0.013717226415863582,0.006691081852071756
balance-scale,0.002541619420061094,0.002531879303477882,0.0025102631531632516,0.0025124129308939647,0.002517140715936639,0.002502981305654786,0.0024934786797173223,0.0024645534752543658,0.002452750732666834,0.002448153388471025,0.002418852749214208,0.0024132416653202373,0.002419700792269333,0.002440655996518883,0.0024374418831717213,0.005575857013065225,0.0024698918713588775
balloons,0.23529552625226324,0.23832911337796087,0.23832911337796087,0.2393317644747351,0.23720447769825542,0.24066213472558762,0.24066213472558762,0.24534295854015514,0.24636566495446288,0.24806080600090508,0.2496005749166513,0.23921500506078713,0.24539175549596098,0.25815251365522945,0.2632807067060309,0.33433756772968587,0.2795299146425596
bank,0.0090503906598103,0.009041763463692115,0.00902998255433773,0.009016768237592072,0.00900775201750654,0.00900157652050176,0.00899441771454948,0.008986131927274477,0.008979090672533652,0.008964386714001252,0.008953254240693735,0.008946474657322885,0.008938616923957515,0.008934361187123143,0.008922985737713806,0.009890935278373992,0.00891866244888008
blood,0.03316229901308888,0.033511291621877645,0.033911273879771366,0.03429578228785263,0.034684768049042865,0.0350765521359714,0.035440319717768,0.03587512050820173,0.03620849064598472,0.03657894662009365,0.03696039073964373,0.03733113726431112,0.037732338838761106,0.03813205807870566,0.03845787040702155,0.04734244500585477,0.03884381935711358
breast-cancer,0.04883465451005659,0.04902441514882076,0.048996681506558185,0.04892808101264827,0.04939586080550758,0.0496107827772268,0.04979075577241061,0.05025245516526376,0.050982315659664185,0.051413844208919555,0.05203116841887308,0.05277873603502259,0.053159895318255455,0.053680124478880355,0.05457278270905568,0.06925609581786946,0.055253475978999614
breast-cancer-wisc,0.0031226337155243304,0.0031197820746946808,0.003118889105905156,0.003112822593713195,0.003089637963147732,0.003080183064281114,0.003056342534023886,0.0030344599620355595,0.0030293429913828334,0.003005162722041956,0.0029841620371005247,0.0029684320229894194,0.0029545340084360713,0.002951466327009341,0.002946606356701684,0.004513604359860682,0.0029397155844059723
breast-cancer-wisc-diag,0.003514311205245107,0.0035097347780876625,0.00351396574507207,0.0035174078049352085,0.0035230760024980217,0.0035362098566211705,0.0035540009304073973,0.0035629200170720714,0.0035715257515040143,0.0035826021853309284,0.003585352101493232,0.003603715020555161,0.003604365861662475,0.0036083230259182177,0.003601079995742463,0.005367962461867174,0.0036040971183968267
breast-cancer-wisc-prog,0.05943883541031571,0.058832200708338084,0.05861229183140174,0.058550177054125484,0.05841908795047696,0.05784227250387717,0.05740390945493525,0.05720361301463447,0.05727663090126265,0.05708195823074959,0.056767585547781614,0.057291911031775514,0.05723674579544861,0.057799713591335046,0.05797559868598009,0.06550333671049133,0.058012845144493765
