TRAINAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.8388025887333515,0.8387262264662672,0.8386561165394993,0.8385758402846437,0.838498873638763,0.8384161246726464,0.8383301909758824,0.8382465743136647,0.8381624405604966,0.8380752101208396,0.8379849320034298,0.8378968245726829,0.837807587073185,0.8377172523309454,0.8376222242094336,0.8191898179059706,0.8375284941712826
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997333333333333,1.0
adult,0.9184239466989454,0.9183300277891296,0.9182350518716308,0.9181398453286904,0.9180434134921263,0.9179470347823283,0.9178497366416758,0.9177522981603752,0.9176545937381526,0.9175560481933144,0.9174572744797639,0.9173580192473154,0.9172584034898764,0.9171579284914445,0.9170573745705911,0.9248879718493658,0.9169561607108913
annealing,0.9808400205610126,0.9807092675615129,0.9805707767213429,0.9804027244189725,0.9802098408325572,0.9800101974865892,0.9798324328818686,0.9795972700081107,0.9793353726940837,0.9790402677834031,0.9787050226277896,0.9783467976450113,0.9779452576676041,0.9774833210157067,0.9769348092640269,0.9773593996332226,0.976401230367079
arrhythmia,0.8833332880529655,0.8833527860083138,0.8833608440453496,0.8833364568909003,0.8832983268544433,0.8831821184161119,0.8829397188612333,0.8827042768727438,0.8823669244599429,0.8819174746328007,0.8812056699369418,0.880218315946605,0.8790364535623543,0.877386421953174,0.8752091331042634,0.8691531201245681,0.8725420035788852
audiology-std,0.9331099132940545,0.9333504479567829,0.933616909046309,0.9338000286293107,0.9339472947692461,0.9341128050814888,0.9342467552844256,0.9343306755932596,0.9344935984742693,0.9346466940005788,0.9348303700620914,0.9349385434935865,0.935079260932674,0.9351060459662411,0.9351408025462186,0.9100967516174322,0.9351384350750368
balance-scale,0.9926657254782253,0.9925478119488531,0.9924070576414323,0.9922708078958072,0.992101489367114,0.9919010628646042,0.9916871226767058,0.9914461551180298,0.9911798560236057,0.9908690412596657,0.9905242038054534,0.9901636268823764,0.9897480413105411,0.9893195249966079,0.9888500966625962,0.9706303630782794,0.9883334499219913
balloons,0.8000000000000002,0.7833333333333334,0.7833333333333334,0.7833333333333334,0.7805555555555556,0.7722222222222224,0.7722222222222224,0.7694444444444445,0.7611111111111112,0.7527777777777778,0.736111111111111,0.7194444444444446,0.7055555555555555,0.6916666666666665,0.6777777777777776,0.43333333333333335,0.6083333333333333
bank,0.8928117307692289,0.8927999999999982,0.892791923076921,0.8927835897435877,0.8927757692307675,0.8927682051282032,0.8927664102564086,0.8927571153846136,0.8927466666666646,0.8927422435897417,0.8927258333333314,0.8927153846153828,0.8927017307692288,0.8926894230769215,0.8926818589743569,0.8903448076923056,0.8926651923076905
blood,0.7250910046652218,0.7243471975819704,0.7236388724620545,0.7228438136539859,0.7221446875616014,0.7213128326434066,0.7204415533215066,0.7195597608252845,0.7187699586043766,0.7177344109337017,0.716860503318221,0.7159603127669366,0.7149747026742894,0.7140180038110262,0.7130599908009732,0.6594007490636706,0.7120296997174588
breast-cancer,0.7017380952380956,0.7008888888888891,0.6996190476190481,0.6985476190476193,0.6973253968253972,0.6961666666666669,0.6944523809523812,0.6927619047619048,0.6908650793650797,0.6891904761904765,0.6876111111111113,0.6857063492063494,0.6839285714285719,0.6822222222222225,0.6801984126984129,0.619777777777778,0.6781507936507938
breast-cancer-wisc,0.9919359534206694,0.9919371664240662,0.9919371664240658,0.991940805434255,0.9919468704512372,0.9919505094614263,0.9919565744784083,0.9919638524987868,0.9919699175157688,0.9919796215429404,0.9919905385735078,0.991988112566715,0.9919990295972826,0.9919978165938864,0.9919953905870933,0.9877559437166423,0.9919978165938862
breast-cancer-wisc-diag,0.9940781570207053,0.9940640237439055,0.9940534237863051,0.994046357147905,0.9940286905519045,0.9940145572751042,0.994002190657904,0.9939845240619039,0.9939703907851034,0.9939509575295031,0.9939385909123029,0.9939191576567025,0.9939209243163026,0.9939067910395025,0.9939014910607025,0.9906119708854499,0.9938891244435021
