TRAINAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
breast-cancer-wisc-prog,0.7278067632850242,0.7280193236714977,0.7280386473429952,0.7278454106280193,0.7273623188405797,0.7272077294685991,0.7269951690821256,0.727169082125604,0.7271304347826087,0.7267246376811592,0.7259903381642513,0.7254685990338164,0.7245410628019324,0.7238647342995168,0.7234396135265698,0.6667826086956521,0.7227053140096616
breast-tissue,0.9111651741097291,0.9109337260762388,0.9109348706009226,0.9110127857951171,0.9110176788296471,0.9108020599335119,0.9107750036564559,0.9107771701943569,0.9105744260203986,0.9103368393229424,0.9098806955528455,0.9093117038210629,0.9091145477177811,0.9086549545546992,0.9080666949434675,0.8893444792849217,0.9075894796470519
car,0.9988334161908661,0.9988194257111173,0.9988038680485922,0.9987903824065368,0.9987750201165753,0.998755785998666,0.998740154129783,0.9987247126720286,0.9987045320377582,0.9986808513120476,0.9986592382354252,0.9986314827857192,0.9986026100235719,0.9985718043131168,0.9985482217801944,0.9986385629145117,0.9985163552094785
cardiotocography-3clases,0.9865027531124217,0.986470734399792,0.9864306436868288,0.9863909088752664,0.9863498335556613,0.9862986572284623,0.9862464543932778,0.9861862126244377,0.9861249315017532,0.9860643544120117,0.9860081650938752,0.9859402486561142,0.9858679194166928,0.9857950095059367,0.9857217908157436,0.9831734229864568,0.9856382705800351
cardiotocography-10clases,0.9867387545661586,0.9867179026305818,0.9866946970329366,0.9866650883302092,0.986633825323991,0.986597999337111,0.9865567848368482,0.9865091744179003,0.9864546318613534,0.9863977594878026,0.9863389979920286,0.9862708211869546,0.9862048394050332,0.9861289908650692,0.9860444011498238,0.9837230936479965,0.9859519359352441
chess-krvk,0.9784773597895542,0.9785303576056008,0.9785807760937757,0.9786279250457522,0.978671475102827,0.9787102729194793,0.9787426805322883,0.9787663243276222,0.9787753447156432,0.9787593998801939,0.9786956529319291,0.978536920250897,0.9781864502790917,0.9774563814850831,0.9759858809592681,0.9651057731049673,0.9731257507896881
chess-krvkp,0.9990624538377155,0.9990626109859154,0.9990628728995825,0.999062296689515,0.9990618776276481,0.9990619823931148,0.9990613014175806,0.9990608823557136,0.9990609871211802,0.9990606728247798,0.9990607252075134,0.9990604109111129,0.9990602537629129,0.999059887083779,0.9990595204046453,0.9992411313413224,0.9990593632564451
congressional-voting,0.5876357560568078,0.5868152524167553,0.5858008115526905,0.5850190953574402,0.5841031149301817,0.5833243823845319,0.5827366034132944,0.5817758682420328,0.5808897243107761,0.5799737438835176,0.5791711421410661,0.5786370688626319,0.578201456021004,0.5773988542785526,0.5766768110753068,0.5632384532760462,0.576279985678481
conn-bench-sonar-mines-rocks,0.9148863636363639,0.9148484848484852,0.9149494949494952,0.9150126262626265,0.9147727272727274,0.9145328282828284,0.9143308080808082,0.9140782828282831,0.9140151515151516,0.9137247474747475,0.9134090909090911,0.9130429292929295,0.9126515151515154,0.9122348484848487,0.911906565656566,0.8884974747474749,0.9115656565656566
conn-bench-vowel-deterding,0.9986871679760569,0.9986820800598578,0.9986759446315003,0.99867190422746,0.9986648709315378,0.9986576879910216,0.9986466142910589,0.9986371866816313,0.9986292555181446,0.9986211747100636,0.9986139917695475,0.9986053123830901,0.9985969322858212,0.9985891507669288,0.998575982042649,0.9957943883277218,0.9985649083426861
connect-4,0.9323550824319438,0.9322147193425974,0.9320705892375208,0.931923641308343,0.9317730182917787,0.9316185533315882,0.9314603430784616,0.9312984545897173,0.9311333925267753,0.9309645558923498,0.930791953344075,0.9306159146591422,0.930436537904945,0.9302535151844971,0.93006698895525,0.9313706791001517,0.9298762522819448
contrac,0.727758086676355,0.7274607936377933,0.7271533652384786,0.7267990620500296,0.7264003208992242,0.7260012767930453,0.7255797102894379,0.7250664585049614,0.7245734523657352,0.7240376550504748,0.7235026037764644,0.7229527529378575,0.7223703905108877,0.721806603779121,0.7212790831763222,0.6912828155763202,0.7207252983392725
credit-approval,0.9231906375115458,0.9231723870467294,0.9231701057386271,0.9231461520035557,0.9231279015387387,0.9230856973388507,0.9230503370632686,0.9230126954795845,0.9229773352040026,0.9229796165121047,0.9229499595067777,0.9229351310041145,0.9229077553068896,0.9228986300744813,0.9228507226043383,0.9192918819651157,0.9228142216747052
cylinder-bands,0.8332371794871779,0.8330705128205115,0.8328076923076909,0.8324999999999985,0.8321495726495711,0.8317051282051264,0.8314059829059812,0.8309166666666651,0.8303461538461524,0.8298525641025626,0.8290918803418789,0.8283931623931609,0.8276965811965797,0.8269444444444428,0.8261239316239302,0.8203354700854683,0.8253269230769217
dermatology,0.9988555812976437,0.998847421291982,0.9988415796430693,0.9988356464800742,0.998833282366284,0.9988178927481296,0.9988131645205499,0.9988143694559655,0.9988095954713447,0.9988071856005138,0.9988012981945597,0.9987988883237288,0.9987976833883134,0.998794022825026,0.9987880896620308,0.997418449109871,0.9987811345917846
echocardiogram,0.8463203463203466,0.8455627705627708,0.844949494949495,0.8439033189033194,0.8428571428571433,0.8421356421356424,0.8410894660894662,0.8403679653679655,0.8396825396825401,0.8385281385281388,0.8375541125541128,0.8361111111111114,0.8349567099567103,0.8338744588744593,0.8334415584415586,0.803463203463204,0.8323953823953824
ecoli,0.9665102768037689,0.9665376141947042,0.9665468287049458,0.9665700401876561,0.9665797894339893,0.9665751718980549,0.9665766161135462,0.9665481169816446,0.9665497019789796,0.9665197430511819,0.966484780324753,0.9665012491219047,0.9664994655393079,0.9664880299956968,0.9664425338951795,0.9614277654722507,0.9664085838576727
energy-y1,0.9940762463832047,0.9940240074695532,0.9939893324662228,0.9939454014652085,0.9938912872417168,0.9938408538732292,0.9937908841939719,0.9937226075491246,0.9936468882503421,0.9935640440803339,0.9934718917812184,0.9933819562777396,0.9932731531173444,0.9931718179658884,0.9930486903426154,0.9924048435555561,0.9929075349661247
energy-y2,0.9867259659561334,0.9866699227794592,0.9865882449295804,0.9865291522180952,0.9864657798818085,0.9863957263526194,0.9863048292833744,0.9862298084882097,0.9861437160411021,0.9860509054508424,0.9859519375918406,0.9858397150442976,0.9857330154528782,0.9856212122526944,0.9854947691423688,0.9848969412464473,0.9853634717796778
fertility,0.6252525252525254,0.6262626262626264,0.6266414141414142,0.6271464646464647,0.6271464646464647,0.6267676767676769,0.6267676767676769,0.6262626262626264,0.6272727272727273,0.6272727272727273,0.6273989898989899,0.6268939393939394,0.6248737373737375,0.6244949494949495,0.6226010101010101,0.5823232323232322,0.622979797979798
flags,0.8848722178564947,0.8847921949146199,0.8846515495783741,0.8843768924455794,0.8840401211492709,0.8834614033979619,0.8829956030730604,0.8822863706056865,0.881721374346641,0.8807970029106813,0.8796951497716904,0.8779837319804903,0.8757222999383547,0.8727848668209613,0.8681890182601603,0.8781790897381191,0.8622642349560696
glass,0.9045154042015213,0.904490293750651,0.9044481902535053,0.9044373059180977,0.9043112324563168,0.9040064997975227,0.9037176511085683,0.9032349006505062,0.9027774688724011,0.9021659190780259,0.9014589759147039,0.9003420625021731,0.8993381082407883,0.8980536812601383,0.8966568369721026,0.8810579829683706,0.8949971863163761
haberman-survival,0.7008110119047621,0.6998883928571432,0.6992187500000004,0.6989136904761908,0.6982217261904766,0.6970982142857146,0.6959821428571432,0.6949107142857147,0.6940773809523813,0.6931622023809527,0.6915997023809528,0.6898586309523813,0.6886011904761911,0.6869642857142858,0.6858779761904764,0.6358556547619049,0.6843303571428573
hayes-roth,0.913190283014633,0.9128628860310622,0.9125288962204867,0.9120829686237545,0.9116861365472662,0.9111432803662806,0.9107045066882127,0.9099766305323639,0.9093361444025497,0.9084783755274263,0.9071351220935454,0.9053542171649162,0.9033171738935273,0.9007520030972259,0.8958497452643861,0.9178469229733369,0.8876167070652662
heart-cleveland,0.8275582147179661,0.8273400491462174,0.82711802519943,0.8267758220130418,0.8262030520893412,0.8257719608019296,0.8252249159426571,0.8245959594688359,0.8238573979312295,0.8231661367023004,0.8222439178800373,0.8214636000973093,0.8206570090329154,0.8198131211477605,0.8190016667031695,0.7955549103079812,0.8181209802457224
heart-hungarian,0.8696975779472766,0.8696039073999733,0.869456710825639,0.8692158437040011,0.8692158437040011,0.8691489361702126,0.8687207279539676,0.8682992104911013,0.8679178375485077,0.8675498461126719,0.8671885454302154,0.8669677505687139,0.8667001204335608,0.8663455105044827,0.8659842098220257,0.8369998661849323,0.8656229091395692
heart-switzerland,0.6298337306687325,0.6297857562489424,0.6295632434610146,0.6294029613550864,0.6290181136226088,0.6286897432777264,0.6282741927577291,0.627822128887121,0.6264786841658564,0.6255049016702873,0.6231243209984381,0.619289144532789,0.6141262843017525,0.6087523371684493,0.6031288937419742,0.5783777519742823,0.5967824241705751
heart-va,0.6209591428967206,0.621505863894616,0.6222110033370812,0.623075740013438,0.6229917652841046,0.622906567647922,0.6224831711766969,0.6226828091885391,0.6223761632548678,0.6215796554914665,0.6208347861578043,0.6197352485897746,0.6175138085057429,0.615053986465687,0.6119094812383463,0.5847004446662546,0.6080270944442511
hepatitis,0.8590163934426234,0.8588114754098365,0.8582308743169401,0.8579576502732246,0.8575136612021861,0.8561816939890714,0.8554644808743174,0.8547472677595636,0.8537909836065578,0.8528688524590169,0.8517759562841536,0.8506830601092902,0.8496584699453557,0.8484289617486342,0.8477117486338803,0.8076844262295086,0.8464139344262301
hill-valley,0.7141525703725506,0.7120002759351861,0.7092790467165546,0.7059333326071898,0.7018055600939648,0.6969207811870313,0.6910869304752276,0.6845879307402704,0.67686573937922,0.6682543831940965,0.6589898593819791,0.6493597214506939,0.6396322800596902,0.6300395386073271,0.6209761570216438,0.55979696979599,0.6124250708899283
horse-colic,0.893069641649762,0.8928245436105465,0.8925456389452322,0.8922075726842451,0.8920554428668006,0.8917723123732241,0.8914807302231228,0.8912229546991198,0.8908764367816081,0.8904115956727506,0.8901157876943872,0.8898242055442854,0.8895114942528725,0.88911004056795,0.8888142325895865,0.8749239350912771,0.8883662947937785
ilpd-indian-liver,0.7322713932653699,0.7322018844609214,0.7321265832561019,0.7320667284522713,0.7318910256410265,0.7316380908248382,0.7313735712079091,0.7311862835959231,0.7308850787766457,0.7306282823602107,0.7303483163422932,0.7300007723200503,0.7296435742971895,0.7292535526722281,0.7288673926475139,0.7034599938214404,0.7284793018226761
image-segmentation,0.9980099115250632,0.9979925955077473,0.9979736178524059,0.9979533283775712,0.9979313189616223,0.9979055489964581,0.9978766306645095,0.9978441558441562,0.9978098153249666,0.9977703441339807,0.9977284825163615,0.9976845802906413,0.9976351684230473,0.9975811797629982,0.9975190286705438,0.9978229335199035,0.9974493564796597
ionosphere,0.971905706727135,0.9719246031746029,0.9718962585034011,0.9717970521541948,0.9717592592592591,0.9717261904761901,0.9717214663643233,0.9716269841269839,0.9715136054421766,0.9713529856386997,0.9712868480725622,0.9711640211640209,0.97099395313681,0.9708380574452,0.9707199546485259,0.960615079365079,0.9705640589569159
iris,0.9957866666666667,0.995768888888889,0.995768888888889,0.9957688888888889,0.9957422222222224,0.9957244444444445,0.9957511111111111,0.9957155555555556,0.9957155555555556,0.9957066666666667,0.9957066666666667,0.9957066666666667,0.9956977777777778,0.9956977777777778,0.9956622222222221,0.9860888888888889,0.9956533333333333
led-display,0.9431815004273442,0.9431826998135332,0.9431911794730898,0.9432146332023444,0.9432208594367304,0.9432276596136873,0.9432393702156513,0.9432467436981354,0.9432419384692818,0.9432587694974345,0.9432573165937211,0.9432665331837948,0.9432693881321293,0.9432739604030786,0.9432838362251184,0.9412046814588618,0.9432846332490996
lenses,0.7957070707070707,0.7957070707070707,0.7893939393939393,0.7870370370370369,0.7841750841750842,0.781060606060606,0.782154882154882,0.7836700336700335,0.7842592592592591,0.7862794612794611,0.7878787878787877,0.7851851851851849,0.7797138047138046,0.7768518518518517,0.7683501683501682,0.6955387205387207,0.7554713804713803
letter,0.9993750020416322,0.9993697881340673,0.9993638810858714,0.999357348760984,0.9993500202809192,0.999341944112323,0.9993328352118735,0.9993226977135828,0.9993113886646885,0.9992991636118684,0.9992857382356654,0.9992709455059497,0.999254654335124,0.9992369103548048,0.9992174675893989,0.99923848361651,0.9991966223641532
libras,0.9771428571428572,0.977199074074074,0.9772233245149912,0.9772519841269843,0.9772652116402117,0.9772795414462081,0.9772685185185185,0.9772674162257496,0.9772630070546737,0.9772608024691356,0.9771880511463845,0.9771263227513228,0.9769995590828925,0.9768816137566139,0.9767008377425045,0.9428516313932981,0.9764880952380952
low-res-spect,0.984679305478041,0.9846859484500468,0.9846802591277793,0.9846779499779227,0.9846773618692025,0.9846754061024044,0.9846759733496555,0.9846670330734351,0.9846580221461776,0.984650985251296,0.9846431898325722,0.9846442884533213,0.9846279350726944,0.9846235880770077,0.9846285652098224,0.9781693906174749,0.9846090934221444
lung-cancer,0.7331425364758697,0.7330527497194165,0.7320448933782268,0.7312188552188552,0.7299147025813689,0.7252008978675641,0.7217687991021323,0.7157755331088663,0.7081952861952863,0.6990953984287317,0.6881728395061728,0.6711582491582492,0.6488799102132436,0.6214680134680136,0.600107744107744,0.5596835016835016,0.5772749719416386
lymphography,0.9082125396382317,0.908101897268908,0.90802034560986,0.9081962310437893,0.9079709909611109,0.9078777298218987,0.9076025585487983,0.9074496586775102,0.9070426425404015,0.9065426781790991,0.9062305009753963,0.9055354730964621,0.9049467436012336,0.904271805357477,0.9035279727444183,0.8961247554145174,0.9028839309402106
magic,0.9345178885238543,0.9344443903414565,0.9343688034811675,0.9342909759803539,0.9342120863577338,0.9341324967370271,0.9340501944216597,0.9339654914200165,0.9338795694840616,0.9337908313895256,0.9337012801332408,0.9336095933169755,0.9335162817938366,0.9334205097693428,0.9333227492976298,0.9333561341947946,0.9332231507247077
mammographic,0.8859289522080185,0.8857066368694241,0.88554950299136,0.8853621062923355,0.8851456107270028,0.884930279116322,0.8847166934376202,0.8844972879856565,0.8843040715133704,0.8840893218800161,0.883846637335006,0.8835800917196234,0.883312382149588,0.8830691156272514,0.8827711432362563,0.8448343692529706,0.882485974346436
miniboone,0.9820781436397858,0.9819932690522225,0.9819046632072642,0.9818120575171633,0.9817150110903864,0.9816134627440571,0.9815072666075803,0.9813959992423542,0.9812794528921059,0.9811574796559197,0.9810294298708295,0.9808954537023349,0.9807550824981985,0.9806078308170075,0.9804538260612656,0.9846109845986324,0.9802922069072723
molec-biol-promoter,0.9353550295857985,0.9351084812623272,0.9347633136094672,0.9343195266272186,0.9332840236686389,0.9326429980276133,0.9321499013806704,0.9315581854043391,0.9300295857988164,0.928895463510848,0.9281558185404338,0.9276134122287966,0.9262327416173568,0.9249013806706112,0.9232248520710057,0.9136094674556213,0.9211538461538459
molec-biol-splice,0.9923482715896278,0.9922614496303098,0.9921583413161861,0.9920424324231563,0.9919023922215299,0.9917375537134909,0.9915437349406537,0.9913142125614736,0.9910426883283748,0.9907113547443424,0.9903113075822705,0.9898127755884288,0.9891877119157683,0.9884049954732086,0.9874323425263063,0.9930903585330826,0.9862515846399749
monks-1,0.9983696496040577,0.9983627486500009,0.9983506719804012,0.9983592981729722,0.9983575729344579,0.9983472215033726,0.9983437710263444,0.9983265186412021,0.9982902886324034,0.9982488829080619,0.9981798733674929,0.9980867104877247,0.9979780204613284,0.997812397563963,0.9975001293928885,0.9932715697945238,0.997013612131877
monks-2,0.7599198330951323,0.7589292461353963,0.7579173032378884,0.7569070031048247,0.7558638476828805,0.75472376915874,0.7534884102968473,0.7521561283327582,0.7506300001642761,0.7489593087247217,0.7471769093029749,0.7450561004057625,0.74288600857523,0.7403660079181243,0.7376028781233058,0.7181607609284902,0.7346508304174261
monks-3,0.9950170565302134,0.9949178501810071,0.9947977582845996,0.9947176970203275,0.9946028265107201,0.9944792536897787,0.994352199944304,0.9942060011138949,0.9940110693400155,0.9938439849624049,0.9936560150375929,0.9933984266221095,0.9931860902255624,0.9929337231968798,0.9926865775549971,0.993281815650236,0.9924028822055122
mushroom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
musk-1,0.9449403468096409,0.9450031396415975,0.9448992899579771,0.9448944597401342,0.9448509877795489,0.9448413273438628,0.9448195913635702,0.9447592136405351,0.9447036661353425,0.9446022315606432,0.9444090228469302,0.9442037385886102,0.9439670579143118,0.9438197362701054,0.9436072066850213,0.9104815727189293,0.9433874317731725
musk-2,0.9979129624925914,0.9979089878550125,0.9979047309946466,0.997899015983217,0.9978937713430979,0.9978883385544547,0.9978822472459755,0.99787672038307,0.9978708877788122,0.9978656666572588,0.9978609159070166,0.9978558829339879,0.9978509440352211,0.9978454171723153,0.9978398197537133,0.9975757062625235,0.9978337519637999
nursery,0.9998327095444011,0.999832377363243,0.9998320066098519,0.9998315814521394,0.999831145258981,0.9998306751856618,0.9998301348864216,0.9998295650783706,0.9998288790157557,0.9998281836460134,0.9998273725486047,0.9998265037009022,0.9998254864927357,0.9998244526917431,0.9998233289632007,0.9998479439043231,0.9998220682005354
oocytes_merluccius_nucleus_4d,0.8899865404251318,0.8898113338902763,0.8896152418082188,0.8894353940406521,0.8892015919428147,0.8889376218323536,0.8886719112596252,0.888423025155476,0.8881120625638117,0.8878103824375702,0.8874785342987045,0.8871588693957063,0.8868809755871111,0.886558409913668,0.8861969739162671,0.8450785528636359,0.8858430799220222
oocytes_merluccius_states_2f,0.9786596972588664,0.9786490740578866,0.9786438957200233,0.9786453710055765,0.9786445842553954,0.9786405413454567,0.9786390386083084,0.9786262983572862,0.9786214714888541,0.9786151367449503,0.9786078409119927,0.978598864766276,0.9785918466253232,0.9785868782304643,0.9785849972398668,0.975250213523643,0.978582805522294
oocytes_trisopterus_nucleus_2f,0.8984665452049024,0.8983708280523887,0.8983239596535716,0.8982275823827645,0.898176093155895,0.898132525348544,0.8980242659484595,0.8979298690325322,0.8978136882129292,0.8977027883396719,0.8975562420785824,0.8974182773553036,0.8972994560625281,0.8971773341782863,0.8970202260245053,0.8740243451626549,0.8968479351499802
oocytes_trisopterus_states_5b,0.9760939093834172,0.976061579994995,0.9760291417912422,0.975995663606867,0.9759654482067265,0.9759207544397452,0.9758950962497118,0.9758567444475752,0.9758146924202367,0.9757705820800664,0.9757166286755726,0.9756759421110167,0.975627222636673,0.975584874278356,0.9755441261073207,0.9644846486574677,0.9754920468041263
optical,0.9996799888671998,0.9996794772217122,0.9996788997365442,0.9996783598782405,0.9996778482364814,0.9996772285546558,0.9996766322001995,0.9996760218229458,0.9996753316389019,0.9996747072499054,0.9996740687321277,0.9996733645195828,0.9996728245999482,0.9996722189744518,0.9996715851231494,0.9994356757927374,0.999671035778173
ozone,0.8932785750819879,0.8932349490026185,0.8932289316123606,0.8932056142251111,0.8931785359689507,0.8931221229352837,0.8930792490296965,0.8930438968619316,0.8930183229533358,0.8929814664380067,0.8929047447122187,0.8928498360261162,0.8928167403796983,0.8927603273460306,0.8927024099647991,0.884474380960978,0.8926565273640831
page-blocks,0.9915538739081438,0.9915386512567028,0.9915208655247525,0.9915061102570009,0.9914909841073721,0.991477067037231,0.9914614744327711,0.9914448118719299,0.9914291654115959,0.9914144623537969,0.9913957837138856,0.9913760418932434,0.9913549612377606,0.9913361637482718,0.99131914407063,0.9897038683492632,0.9912983961548855
parkinsons,0.9422374429223751,0.9421042617960433,0.9417808219178087,0.9414383561643841,0.9411339421613399,0.9408485540334863,0.9405251141552519,0.9402016742770176,0.9397450532724511,0.9392694063926949,0.9387557077625578,0.9382039573820403,0.9378995433789963,0.9372526636225271,0.9365487062404877,0.9368150684931515,0.9357496194824969
pendigits,0.9996906417426655,0.9996906047653547,0.9996905579246091,0.9996905038945221,0.9996904743156172,0.999690444745394,0.9996904139767973,0.9996903586142485,0.9996903143036094,0.9996902797928571,0.9996902661661803,0.9996902378524489,0.9996901961188586,0.9996901431555725,0.9996900938500356,0.9996754183740848,0.9996900666869816
pima,0.8320308457711455,0.831881592039802,0.8316865671641802,0.8315393034825881,0.8313542288557225,0.8311522388059712,0.831058706467663,0.8308437810945286,0.8305990049751252,0.8303412935323398,0.830094527363185,0.829847761194031,0.8295950248756231,0.8293004975124388,0.8290009950248768,0.7915751243781105,0.8287293532338318
pittsburg-bridges-MATERIAL,0.9176067454095281,0.9178932803421349,0.9178338369213982,0.9177858148398247,0.9177448983095466,0.9181096419946668,0.9179220840534265,0.917584498834499,0.9174837812215063,0.9174544052510503,0.9174575526764562,0.9175705023290949,0.9177299718829998,0.9178854833110154,0.9177221748518805,0.9088093814259935,0.9176074607334838
pittsburg-bridges-REL-L,0.7633897697909329,0.7627255696499883,0.7622258045571999,0.7608914141414139,0.7601677237491191,0.7593293986375383,0.7583420249001643,0.7562505285412262,0.7552303265210244,0.7536529245947853,0.7512342612168195,0.7493379727507636,0.7471051209772142,0.7452131782945738,0.7432056612638007,0.707435870331219,0.7410074583039701
pittsburg-bridges-SPAN,0.7674430641821947,0.7674327122153208,0.7669932241671371,0.7671908526256352,0.7670383963862225,0.7672614342179559,0.766697722567288,0.7663692828910219,0.7658008658008658,0.7654526632787503,0.7647308488612837,0.7635243741765478,0.7627413890457369,0.7617240730284209,0.7610022586109542,0.7509316770186334,0.7595548654244306
pittsburg-bridges-T-OR-D,0.8305194805194805,0.8306277056277056,0.8311688311688311,0.8310606060606059,0.8306277056277055,0.8314935064935065,0.8313852813852811,0.831926406926407,0.8317099567099568,0.8312770562770564,0.8303030303030305,0.8293290043290046,0.8292207792207794,0.8290043290043292,0.8290043290043291,0.8148268398268399,0.8293290043290044
pittsburg-bridges-TYPE,0.793476870269329,0.7935600986556427,0.7940164188564884,0.7940527975359738,0.7941737926699618,0.794297826513606,0.7945286945117398,0.7948484930661285,0.7954515026015391,0.7954739968010625,0.7953941026142956,0.7955908011439891,0.7945994814317014,0.7943085423898986,0.7936401926209212,0.7800609856190618,0.7929325150972674
planning,0.42794871794871836,0.4264102564102569,0.4249506903353062,0.4233925049309669,0.4213609467455625,0.4199408284023674,0.41806706114398473,0.4162721893491129,0.41538461538461585,0.4138264299802767,0.4124852071005922,0.41096646942800835,0.40984220907297886,0.4090138067061148,0.407771203155819,0.42244575936883666,0.40674556213017804
plant-margin,0.9964046191077444,0.9963907302188552,0.9963737899831652,0.9963534301346805,0.9963310711279462,0.9963010837542089,0.9962686237373738,0.9962360585016837,0.9961938657407408,0.9961540930134682,0.996108007154882,0.9960619212962961,0.9960142571548823,0.9959610690235696,0.9959013573232326,0.9893684238215488,0.9958404356060606
plant-shape,0.9817528935185185,0.9817746738215489,0.9817979797979799,0.9818146043771044,0.9818246001683502,0.9818337015993267,0.9818353324915824,0.9818324389730642,0.9818215488215489,0.9818187605218858,0.9817888257575758,0.9817523674242425,0.9816950757575758,0.9816306818181818,0.981545507154882,0.9476456755050506,0.9814408143939396
plant-texture,0.992228703291758,0.9922344530873447,0.9922342427858176,0.9922167337519219,0.9921998575538127,0.9921808195385791,0.9921602518760749,0.9921366775277087,0.9921097280995443,0.9920721779560819,0.9920348918549107,0.991994704751387,0.9919509323331307,0.9919080563267991,0.9918603280022978,0.9859530663835272,0.9918037912536016
