CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
-0.013920898242854918 ,-0.010349168063032765,-0.009266925511733914
0.005198338649429424 ,0.0051133192341141775,0.004976889302096721
0.021108673270468836 ,0.020186550552628857,0.019880918736026265
0.012369313582484054 ,0.011893760657143648,0.01167676961658004
-0.034636893734128815 ,-0.03419716113057425,-0.034004154537314424
0.06832175068678636 ,0.06761893143015874,0.06728579072201746
-0.05501305406605095 ,-0.056644430381846744,-0.05707682004872616
0.014854951120422788 ,0.014922299639200665,0.015026279064233483
0.003077038498485285 ,0.0032425573860359602,0.003077038498485285
8.223986408366635E-4 ,4.669015903122631E-4,3.6409062488718114E-4
-0.0016490711207299835 ,-0.0034103286389741694,-0.0038864629151662555
0.005978795444062213 ,0.006932545093219833,0.00734061933559671
0.03399638424315854 ,0.03568609942021084,0.036287084457827135
-0.01948389808405082 ,-0.019528596249439145,-0.01948389808405082
-0.006267628467818254 ,-0.0060955404600750995,-0.00594145508877153
0.01070310865298807 ,0.010422132034629161,0.01024182275009955
0.04090108186733832 ,0.041351208313834986,0.04152702012283416
-0.022136002196774696 ,-0.022051617282516922,-0.022136002196774696
0.020893232336272494 ,0.019230740781010613,0.01880467667526675
0.03530312115637235 ,0.03574161835487044,0.03597799692272541
0.0425286765695263 ,0.0427480877184232,0.04297353017108718
0.03213046692860022 ,0.03117573674813512,0.0308659339375692
-0.008569115866843058 ,-0.008477881164021817,-0.008398284894772567
-0.027427618297609424 ,-0.027499475391951966,-0.027559311561875743
7.599596785594631E-4 ,0.0016607966228636695,0.0020152836896452087
0.01772445205510831 ,0.01812093501362444,0.01842374741011432
0.036720955079731166 ,0.03644676576321704,0.03665360545969021
0.022067164797222816 ,0.02245444486156689,0.022734433718194724
0.009091823531995669 ,0.010005067698684034,0.010373509096339939
0.03959489972899699 ,0.03952698817116995,0.039582220658485934
0.08404112352411007 ,0.08571574246968892,0.08446630415316289
0.10074843677010016 ,0.10193691586071182,0.1010499150810272
0.14926178526307796 ,0.13534878642568293,0.1456589538779377
0.06628375209879447 ,0.06628375209879447,0.06628375209879447
0.07784546542360471 ,0.07784546542360471,0.07784546542360471
0.1158376636529482 ,0.1158376636529482,0.1158376636529482
0.07535880603308981 ,0.07535880603308981,0.07535880603308981
0.07062290006460306 ,0.07062290006460306,0.07062290006460306
0.09199927471324845 ,0.09199927471324845,0.09199927471324845
0.0686441533836041 ,0.06966980708136697,0.06890445893606076
0.10903059524475389 ,0.10903059524475389,0.10903059524475389
0.06565583315336086 ,0.06565583315336086,0.06565583315336086
0.0649087397968687 ,0.06597260092617627,0.06518282923967537
0.09652046297553003 ,0.09674010790978856,0.09657597395590942
0.11066845736783268 ,0.11314668874305957,0.11129791207100437
0.06275841442002689 ,0.06275841442002689,0.06275841442002689
0.13580067868992296 ,0.12944720506214855,0.13418489077230425
0.13000078204236148 ,0.13000078204236148,0.13000078204236148
0.10184502415382665 ,0.10224051063065537,0.10194591402085287
0.06989926465276933 ,0.07090195460952473,0.07015398004841367
0.09184849836581431 ,0.09388524299680692,0.09236583610482675
0.06668620431372553 ,0.06875390299994408,0.06720474072517474
0.09647575401192973 ,0.09872851780333781,0.09706531993456748
