CAWPE-S(ConTie)_VS_CAWPE-S(ConTie)
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-S(ConTie)_VS_CAWPE-S(alpha=4)
Wins(50):,acute-inflammation,acute-nephritis,adult,audiology-std,balloons,conn-bench-vowel-deterding,connect-4,dermatology,echocardiogram,ecoli,energy-y1,fertility,flags,glass,hill-valley,ilpd-indian-liver,image-segmentation,iris,led-display,lenses,letter,low-res-spect,lung-cancer,lymphography,magic,miniboone,molec-biol-splice,monks-1,monks-2,mushroom,musk-2,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-T-OR-D,planning,plant-shape,plant-texture,post-operative,semeion,soybean,statlog-german-credit,statlog-landsat,synthetic-control,tic-tac-toe,trains,vertebral-column-2clases,wall-following,wine,wine-quality-white,zoo
Draws(0):
Losses(71):,abalone,annealing,arrhythmia,balance-scale,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,contrac,credit-approval,cylinder-bands,energy-y2,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,horse-colic,ionosphere,libras,mammographic,molec-biol-promoter,monks-3,musk-1,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-SPAN,pittsburg-bridges-TYPE,plant-margin,primary-tumor,ringnorm,seeds,spambase,spect,spectf,statlog-australian-credit,statlog-heart,statlog-image,statlog-shuttle,statlog-vehicle,steel-plates,teaching,thyroid,titanic,twonorm,vertebral-column-3clases,waveform,waveform-noise,wine-quality-red,yeast

CAWPE-S(ConTie)_VS_CAWPE-S(RandTie)
Wins(34):,acute-inflammation,acute-nephritis,adult,audiology-std,conn-bench-vowel-deterding,connect-4,dermatology,ecoli,energy-y1,fertility,hill-valley,ilpd-indian-liver,image-segmentation,iris,led-display,letter,low-res-spect,lymphography,magic,miniboone,molec-biol-splice,monks-1,musk-2,pittsburg-bridges-MATERIAL,pittsburg-bridges-T-OR-D,plant-shape,post-operative,soybean,statlog-german-credit,statlog-landsat,wall-following,wine,wine-quality-white,zoo
Draws(1):,chess-krvk
