PB-A,CAWPE-A
-0.0014383765745384913 ,0.006401980728310441
-2.358048854792516E-4 ,-0.0016395637403633367
-0.002517907982354517 ,-0.008832480977117863
-0.0019352161848684712 ,-0.0031826970570928426
0.009880160700481255 ,0.009361133697195267
-0.014218718616294201 ,-0.020013988529842486
0.007926587672358543 ,0.011681944108401954
0.002323614520501227 ,-0.003975314766710758
0.0012016069018548903 ,-0.002169220009674122
0.00374411366433125 ,-0.001473396959219997
0.012494894907069676 ,0.002726156822813408
-0.0018911134187289402 ,-0.004944282450545789
-0.026495969745306547 ,-0.023095027446846883
0.0038753680944410007 ,0.005215370664254149
0.009598212732358946 ,0.005351546169033106
-0.006845662728579227 ,-0.006414568427584366
-0.013415569719842813 ,-0.010069143596311614
0.010718315591719985 ,0.01233217767888417
-0.006675133175601422 ,-0.00729560144810415
-0.013417106902590792 ,-0.012571013481378457
-0.012241054845245514 ,-0.013984608785234887
-0.013153787974512277 ,-0.008123308060805079
-0.00165789483760026 ,-0.004134730917502272
0.012280335066231163 ,0.004290125955188739
-0.005268637901798989 ,-0.0017982477233361438
-0.009149828248774972 ,-0.010919791114147759
-0.004147701086383737 ,-0.013389569554078995
-0.019552591420048504 ,-0.012524673299154077
-0.007901613368126559 ,-0.00564658449891009
-0.010284579417596085 ,-0.006236293032256035
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
-0.0034285714285714475 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
-0.00457142857142856 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.00398864008092048 ,0.004612310883823967
-0.0014411603969888276 ,-0.004009297515722321
-5.862747623711639E-4 ,-0.0020027168240820403
-0.005938167636590275 ,-0.005104244697594851
-0.0037802464626114363 ,-0.005123828357030291
-0.001616792767920372 ,-0.002471642222200421
-0.0014575111886615533 ,7.696829191067289E-4
0.003496309275926146 ,0.003469569449978449
-0.003439561902805699 ,-0.003196144321642058
-0.0021682055821922175 ,-0.002974400827559953
