NBC-A,90|13|18,94|6|21,94|5|22,89|12|20,84|4|33,82|7|32,83|5|33,81|12|28,79|8|34,0|121|0



T TEST,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
SMM5-A,0.0,0.68056395,0.8273042,0.00495773,3.0612E-4,1.4009E-4,1.3917E-4,9.0E-8,2.398E-5,1.4E-7
ES-A,0.0,0.0,0.05998522,0.26484414,3.5E-7,2.8E-7,0.0,7.395E-5,0.0,5.0E-8
CAWPE-A,0.0,0.0,0.0,0.16670501,1.0E-8,1.0E-8,0.0,4.033E-5,0.0,1.0E-8
SMLRE-A,0.0,0.0,0.0,0.0,0.02606312,0.0171617,0.0122216,2.631E-4,9.9777E-4,3.79E-6
WMV-A,0.0,0.0,0.0,0.0,0.0,0.09524179,0.06370695,0.33623651,0.00343849,3.2371E-4
RC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.12957324,0.37598117,0.00719516,3.9522E-4
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61408063,0.0230646,0.00190391
SMLR-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56701491,0.0339923
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231067
NBC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
SMM5-A,0.0,7.6923E-4,0.0026998,0.00146354,0.01410628,0.01410628,0.01410628,0.0,3.55E-6,0.0
ES-A,0.0,0.0,0.31731051,0.64943628,8.41E-6,1.931E-5,1.45E-6,0.31731051,8.0E-8,0.0
CAWPE-A,0.0,0.0,0.0,0.52453944,1.9356E-4,1.9356E-4,9.264E-5,0.31731051,5.7E-7,0.0
SMLRE-A,0.0,0.0,0.0,0.0,0.92756483,0.92756483,0.92756483,0.0,0.05625037,0.0
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0026998,0.0,0.23727787,1.931E-5,1.45E-6
RC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.00146354,0.23727787,4.297E-5,1.45E-6
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23727787,7.6923E-4,3.55E-6
SMLR-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64943628,3.55E-6
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.264E-5
NBC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
SMM5-A,0.0,0.22756673,0.28598358,4.1295E-4,0.00628086,0.00366024,0.00427796,0.0,1.185E-5,0.0
ES-A,0.0,0.0,0.90631292,0.29782545,4.0E-8,4.0E-8,0.0,0.0020926,0.0,0.0
CAWPE-A,0.0,0.0,0.0,0.26326556,6.0E-8,4.0E-8,1.0E-8,0.00248606,0.0,0.0
SMLRE-A,0.0,0.0,0.0,0.0,0.45708913,0.34577451,0.39549229,0.0,0.01137406,1.0E-8
