ES-A_VS_ES-A
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

ES-A_VS_SMLRE-A
Wins(76):,abalone,adult,annealing,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,credit-approval,cylinder-bands,echocardiogram,energy-y1,energy-y2,fertility,haberman-survival,heart-hungarian,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,letter,low-res-spect,magic,mammographic,miniboone,molec-biol-splice,monks-2,monks-3,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,optical,ozone,page-blocks,parkinsons,pendigits,pima,planning,ringnorm,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,thyroid,tic-tac-toe,titanic,twonorm,vertebral-column-2clases,wall-following,waveform,waveform-noise,wine-quality-white
Draws(3):,acute-inflammation,acute-nephritis,mushroom
Losses(42):,arrhythmia,audiology-std,balance-scale,balloons,breast-tissue,chess-krvkp,contrac,dermatology,ecoli,flags,glass,hayes-roth,heart-cleveland,heart-switzerland,heart-va,lenses,libras,lung-cancer,lymphography,molec-biol-promoter,monks-1,nursery,oocytes_trisopterus_states_5b,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,seeds,synthetic-control,teaching,trains,vertebral-column-3clases,wine,wine-quality-red,yeast,zoo

ES-A_VS_SMM5-A
Wins(84):,abalone,adult,annealing,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,ecoli,energy-y1,energy-y2,fertility,haberman-survival,heart-hungarian,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,letter,libras,low-res-spect,magic,mammographic,miniboone,molec-biol-splice,monks-2,monks-3,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-T-OR-D,planning,plant-margin,plant-shape,plant-texture,ringnorm,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,synthetic-control,thyroid,titanic,twonorm,vertebral-column-2clases,wall-following,waveform,waveform-noise,wine-quality-white,zoo
Draws(1):,mushroom
