SMM5-S_VS_SMM5-S
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

SMM5-S_VS_ES-S
Wins(45):,abalone,adult,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-prog,congressional-voting,conn-bench-sonar-mines-rocks,connect-4,contrac,credit-approval,cylinder-bands,echocardiogram,fertility,haberman-survival,heart-hungarian,hepatitis,horse-colic,ilpd-indian-liver,ionosphere,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,musk-1,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,ozone,parkinsons,pima,pittsburg-bridges-T-OR-D,planning,ringnorm,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,titanic,twonorm,vertebral-column-2clases
Draws(0):
Losses(76):,acute-inflammation,acute-nephritis,annealing,arrhythmia,audiology-std,balance-scale,balloons,breast-cancer-wisc-diag,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,conn-bench-vowel-deterding,dermatology,ecoli,energy-y1,energy-y2,flags,glass,hayes-roth,heart-cleveland,heart-switzerland,heart-va,hill-valley,image-segmentation,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,molec-biol-splice,monks-3,mushroom,musk-2,nursery,oocytes_merluccius_states_2f,oocytes_trisopterus_states_5b,optical,page-blocks,pendigits,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-TYPE,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,seeds,semeion,soybean,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,trains,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo

SMM5-S_VS_CAWPE-S
Wins(45):,abalone,adult,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-prog,congressional-voting,conn-bench-sonar-mines-rocks,connect-4,contrac,credit-approval,cylinder-bands,echocardiogram,fertility,haberman-survival,heart-hungarian,hepatitis,horse-colic,ilpd-indian-liver,ionosphere,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,musk-1,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,ozone,parkinsons,pima,pittsburg-bridges-T-OR-D,planning,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,titanic,twonorm,vertebral-column-2clases
Draws(0):
