TRAINTESTDIFFSACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
chess-krvkp,0.003401894612061445,0.003401894612061445,0.0034100104226089585,0.003429849109745535,0.0034061116519572754,0.0034958635532287576,0.0035306474673779376,0.0034912146725110515,0.0034766679802148786,0.003457190877661057,0.0034483824246065507,0.003486006362557751,0.0034717984214532463,0.004076030181374012,0.0034725590493671892,0.003439912709204604,0.003439912709204604
congressional-voting,0.022181997634523075,0.022533060428688505,0.022229843357385586,0.023103312421743287,0.02279457426790791,0.02366852578245375,0.023573351131852795,0.024748991741153747,0.02436643183984651,0.025093986863785583,0.025480301047833328,0.026374560754015314,0.027464169260066694,0.023541643417673907,0.027850731261164455,0.028301280928815013,0.028573291722276843
conn-bench-sonar-mines-rocks,0.04643427085513033,0.04747469512645564,0.04853551676346605,0.047965905204043376,0.04847111633936321,0.04906057486331409,0.05012099395880607,0.04918192820304613,0.04885123780552542,0.04913730986583105,0.0488554680188721,0.04920341301994753,0.04861673985869773,0.05126204944461713,0.04919333186549264,0.04890585371034273,0.05024524781424362
conn-bench-vowel-deterding,0.018466748403852346,0.018307036847129882,0.018141782876381254,0.017918157428824383,0.017735931244002745,0.01785245495829378,0.01786873914474891,0.017999655073984818,0.01790244227113679,0.017768302257194443,0.01791855013117559,0.018250062206551537,0.018434204268586846,0.021008515690084786,0.01863918971007306,0.018505827216525734,0.018586262419956118
connect-4,0.0027822479881082357,0.002728709645994533,0.002729122041019012,0.0026575589924589453,0.002683543045646347,0.0027201079203170706,0.0027097051644155486,0.00271112571263375,0.002756947042766385,0.00278231515874183,0.00275623759706204,0.0027739182222248494,0.002850862712053992,0.0026325861577811685,0.002834437010385779,0.0028456113888766623,0.0028129775921934314
contrac,0.025320278102686767,0.025626135902418197,0.02450557476753934,0.02364687832258493,0.02376269620407547,0.022695870606644773,0.02231212328758703,0.02263054200626492,0.02342584429067904,0.0235604585060867,0.02336005204733911,0.02429419580548884,0.02439098796170547,0.027795112624295834,0.024507539368548364,0.024091952252769222,0.02355377266154189
credit-approval,0.02786633108225544,0.028058279556255332,0.02818111133518285,0.02816096970296673,0.02822728109383513,0.028455601234355588,0.027881049415025137,0.027472961311752087,0.02722868083937298,0.026929121752192055,0.02703620041957175,0.027625680591407766,0.02735795714612929,0.02815242053560144,0.02763374236913286,0.02742740560087921,0.02736170490038993
cylinder-bands,0.03707331978789041,0.037705413517331046,0.038779732651945835,0.03979842862729015,0.04018763937651239,0.03985897767946763,0.03987767424114078,0.03840685396376119,0.03847187284529435,0.03975345265821476,0.04158014544192053,0.042765405079195074,0.043844347417505876,0.04190472526679662,0.04313964025866362,0.04435737821957434,0.0445036322278811
dermatology,0.01975727348274221,0.020584362332818535,0.02063939037945361,0.02109088417170721,0.021093495018173196,0.021093495018173196,0.021139184222120612,0.021524082503375716,0.021524082503375716,0.021957461259702812,0.021957461259702812,0.021957461259702812,0.021814886277730313,0.02279596381005792,0.022235010872737604,0.022085501750448613,0.022199868872607685
echocardiogram,0.06835879984983002,0.06946577058127348,0.0701617169991145,0.07115682893913708,0.07268018745143082,0.07431544167743208,0.07215181587008171,0.0724425195952926,0.07485543826482748,0.07628472671033378,0.07600836931400871,0.07734473148104037,0.07833750101725422,0.08197260230422172,0.07821212305553135,0.07889815443205693,0.07877681236863374
ecoli,0.033904125464942314,0.03343635867573165,0.03354708171694006,0.03441095920785872,0.03531872499386347,0.03582929509114563,0.036682098379228575,0.03701818131324467,0.037893722119446284,0.03784563396575985,0.03790915712937914,0.03834448317028556,0.03818789397437422,0.03838629611877613,0.03744492527725762,0.03701318738935631,0.03661321967449873
