TRAINTESTDIFFSACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
chess-krvkp,1.5,1.5,3.0,4.0,8.0,10.0,7.0,13.0,6.0,5.0,11.5,16.0,11.5,17.0,9.0,14.5,14.5
congressional-voting,1.0,2.0,3.0,4.0,5.0,8.0,7.0,6.0,9.0,10.0,11.0,12.0,14.0,17.0,16.0,15.0,13.0
conn-bench-sonar-mines-rocks,1.0,9.0,5.0,3.0,2.0,4.0,6.0,7.0,8.0,10.0,11.0,13.0,14.0,12.0,15.0,16.0,17.0
conn-bench-vowel-deterding,3.0,5.0,2.0,4.0,6.0,7.0,10.0,11.0,8.0,9.0,13.0,14.0,15.5,1.0,15.5,12.0,17.0
connect-4,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,1.0,15.0,16.0,17.0
contrac,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
credit-approval,1.0,2.0,3.0,4.0,5.0,7.0,9.0,10.0,8.0,6.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
cylinder-bands,2.5,1.0,2.5,4.5,10.0,7.0,4.5,10.0,6.0,8.0,13.0,12.0,10.0,17.0,14.0,15.0,16.0
dermatology,1.0,2.0,3.0,4.0,8.5,8.5,5.0,6.5,6.5,11.0,11.0,11.0,13.0,17.0,14.0,15.0,16.0
echocardiogram,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
ecoli,5.0,1.0,2.0,3.0,4.0,6.0,7.0,8.5,8.5,10.0,12.0,11.0,13.0,17.0,14.0,15.0,16.0
energy-y1,14.0,15.0,16.0,13.0,12.0,8.0,5.0,7.0,4.0,3.0,1.0,2.0,6.0,17.0,9.0,10.0,11.0
energy-y2,3.0,6.0,4.0,1.0,2.0,5.0,8.0,7.0,10.0,9.0,11.0,13.0,16.0,17.0,15.0,14.0,12.0
fertility,17.0,13.5,16.0,13.5,11.0,9.0,7.0,5.0,6.0,1.5,1.5,3.5,3.5,15.0,8.0,10.0,12.0
flags,15.0,10.0,6.0,8.0,13.0,11.0,9.0,16.0,12.0,14.0,7.0,5.0,4.0,17.0,3.0,1.0,2.0
glass,1.0,2.0,4.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,16.0,15.0
haberman-survival,1.0,2.0,3.0,7.0,5.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0
hayes-roth,1.5,1.5,5.0,9.0,7.0,3.0,4.0,8.0,10.0,14.0,11.0,12.0,6.0,15.0,13.0,17.0,16.0
heart-cleveland,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.5,17.0,13.5,15.0,16.0
heart-switzerland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
heart-va,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
hepatitis,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
hill-valley,2.0,1.0,4.0,3.0,8.0,6.0,7.0,5.0,9.0,11.0,14.0,13.0,12.0,10.0,15.0,16.0,17.0
horse-colic,2.0,1.0,4.0,3.0,6.0,8.0,7.0,5.0,9.0,11.0,13.5,15.0,16.0,17.0,10.0,12.0,13.5
ilpd-indian-liver,1.0,2.0,3.0,4.0,5.0,8.0,6.0,9.0,10.0,11.0,14.0,12.0,13.0,7.0,16.0,17.0,15.0
image-segmentation,9.0,3.0,4.0,7.0,6.0,8.0,2.0,1.0,5.0,15.0,12.0,13.0,17.0,11.0,16.0,10.0,14.0
ionosphere,10.0,11.0,6.0,9.0,12.0,5.0,8.0,7.0,3.0,2.0,1.0,4.0,13.0,17.0,14.0,15.0,16.0
iris,2.5,2.5,6.5,6.5,11.5,6.5,6.5,6.5,11.5,6.5,1.0,11.5,11.5,17.0,15.0,15.0,15.0
led-display,1.0,2.0,3.0,4.0,5.0,6.0,8.0,11.0,7.0,15.0,16.0,13.0,12.0,17.0,9.0,10.0,14.0
lenses,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.5,11.5,13.0,17.0,14.0,15.0,16.0
letter,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0,11.0,12.0,13.0,14.0,1.0,15.0,16.0,17.0
libras,5.0,4.0,2.0,1.0,3.0,6.0,7.0,8.0,11.0,10.0,9.0,12.0,13.0,16.0,14.0,15.0,17.0
