CAWPE-T,TunedRandF,TunedXGBoost,TunedSVMRBF,TunedTwoLayerMLP
-1.0463502136446263,-1.0729445454321702,-1.1965457935449888,-1.0814459224826791,-1.0663151381108114
-0.07589326820205876,-0.09323872928334784,-0.19195886645093055,-5.013975929272718E-7,-0.036904533235751526
-0.131484849013002,-0.03046722616850863,-0.10877925127934143,-1.4857701151988649E-5,-0.472462133221314
-0.26822111752173783,-0.23190005227219362,-0.25482915043551035,-0.7682608366737294,-0.7214470430816391
-1.404201932370149,-1.5172128935948723,-1.6754091285999189,-2.03835415739327,-2.3700784636843872
-1.100337085746624,-1.1975812422027996,-1.504767539682725,-2.0772269111263593,-2.09555452767145
-0.25547387054507736,-0.9254194062009672,-0.5155624780359225,-0.13151000119104467,-0.27519867349940974
-1.0600495840291648,-0.9916844257206854,-0.9389797682997016,-3.1897683059879207,-1.5184302606665692
-0.35278956063915845,-0.35182781378623135,-0.5255412520276111,-0.40187215131240117,-0.4064328186031568
-0.7073166140131094,-0.7193617789481376,-1.4427761596913213,-0.7346059720106388,-0.7157352360411472
-0.8284807853619875,-0.8187252717493789,-1.7722115422579656,-0.869098220774972,-0.8434302565157296
-0.19000199189515304,-0.16691657669866838,-0.2090562150329846,-0.15230438429749732,-0.41148292491596294
-0.1763584025566201,-0.18212796218317293,-0.20253151427344926,-0.16982590613022402,-0.3215691181085955
-0.716259385883204,-0.7132229989654849,-0.9874746241902821,-1.3368780003909577,-1.2545741486902346
-1.084760184102945,-1.0660780568571808,-1.2388090980039643,-1.3788466458420423,-1.6190518425644285
-0.10516636638097365,-0.19720148925814884,-0.09897352853375083,-0.1511419565216135,-0.14181761970394413
-0.23889299663097133,-0.2636994258324521,-0.2571938573895531,-0.4763354261187239,-0.4376047579341301
-0.558364274080461,-0.6214028506297917,-0.6525483819143558,-0.8721074641333182,-0.8331415556728684
-0.04302701210777067,-0.07562758960304336,-0.04208282026614453,-0.06561996599482203,-0.06855776373781167
-0.9151751961196897,-0.91412655466196,-0.9218102000344934,-0.9516739502251456,-0.9463135049540823
-0.5514130213489136,-0.6674981216017958,-0.6316814841759989,-1.2059087436112148,-0.9642065728263753
-0.23293151752117294,-0.5781388368412342,-0.3540687569520514,-0.07058841961509657,-0.47220524260704194
-0.36887080691803453,-0.4539055913399784,-0.32274746978553986,-0.46522805795424993,-0.48967036978568623
-1.3072717021714884,-1.3129845838980385,-1.361794213376566,-1.3900696077557686,-1.3461037918102479
-0.48917628864762286,-0.5770179094830583,-0.5365715562976504,-0.5486507485119724,-0.689450859788632
-0.6821873928498583,-0.7116287040533891,-0.7675333744560342,-1.2068210608640373,-1.5558601926282885
-0.1728074904296889,-0.21682154284963526,-0.2696866130385428,-0.195137614542439,-0.2353171166450973
-0.6303548844313628,-0.6297127564056436,-0.7256523162450066,-0.8450087456814648,-0.8898350214938093
-0.6909461489742892,-0.7394609651326297,-0.8607615330459787,-0.7981968902273534,-1.0703345397208326
-0.2688165443423278,-0.22050157127838124,-0.2838558403174599,-0.45724675474775367,-0.6934249941365622
-0.2687213775189268,-0.24324429208912962,-0.35448214346900364,-0.4136737597282938,-0.5110936105484236
-0.5059141970080734,-0.5379720745186445,-0.5566947657126434,-0.7524104848544231,-0.5751533000831683
-1.6081823761947127,-1.5885300077908648,-1.7700118338575437,-3.9298497777646113,-3.010490503142921
