ACC:,CAWPE-S,MLP1,NN,SVML,C4.5,Logistic
AvgTESTACC:,0.8155853589421519,0.7865900524987154,0.7837254951335009,0.7710732204759012,0.7696732639163796,0.7615400465328815
AvgTESTACC_RANK:,1.7314049586776858,3.6322314049586777,3.652892561983471,3.7107438016528924,4.095041322314049,4.177685950413223

BALACC:,CAWPE-S,MLP1,SVML,Logistic,C4.5,NN
AvgTESTBALACC:,0.7416736725028781,0.7132399575237559,0.69376589623917,0.6913538907159941,0.699239923169499,0.697230509163631
AvgTESTBALACC_RANK:,2.0950413223140494,3.4421487603305785,3.739669421487603,3.78099173553719,3.9214876033057853,4.020661157024794

AUROC:,CAWPE-S,MLP1,SVML,Logistic,NN,C4.5
AvgTESTAUROC:,0.884363908400663,0.8565693802305062,0.8465367503165729,0.8232100368572198,0.7975768750314982,0.7363928138582322
AvgTESTAUROC_RANK:,1.384297520661157,3.0702479338842976,3.0950413223140494,3.739669421487603,4.417355371900826,5.293388429752066

NLL:,CAWPE-S,SVML,Logistic,MLP1,NN,C4.5
AvgTESTNLL:,0.7043872335039045,0.9514316119677005,1.1754126385017512,1.1760829229996592,1.1161392247111637,1.1607037231626398
AvgTESTNLL_RANK:,1.421487603305785,3.074380165289256,3.9421487603305785,4.12396694214876,4.1735537190082646,4.264462809917355

AvgPredTimes:,C4.5,MLP1,Logistic,SVML,NN,CAWPE-S
AvgTESTAvgPredTimes:,0.0012793553719008264,0.016640504132231403,0.022435376033057845,1.2413676611570246,0.42284422727272736,1.2519256611570246
AvgTESTAvgPredTimes_RANK:,1.0165289256198347,2.5867768595041323,3.0578512396694215,3.71900826446281,4.735537190082645,5.884297520661157

TrainTimes:,NN,C4.5,Logistic,SVML,MLP1,CAWPE-S
AvgTRAINTrainTimes:,0.9976520041322313,349.0284150826447,16741.058400070255,2399.986258979338,19570.295755433886,526527.6648161364
AvgTRAINTrainTimes_RANK:,1.0,2.1074380165289255,3.3636363636363638,3.6198347107438016,4.909090909090909,6.0

