TRAINTESTDIFFSAUROC:,NN,C4.5_cvFold1,C4.5_cvFold6,NN_cvFold9,MLP_cvFold5,SVML_cvFold7,Logistic_cvFold4,MLP_cvFold3,Logistic_cvFold6,NN_cvFold1,Logistic_cvFold5,NN_cvFold4,NN_cvFold7,SVML_cvFold9,Logistic_cvFold9,NN_cvFold6,SVML_cvFold5,SVML_cvFold4,MLP_cvFold1,MLP_cvFold4,MLP_cvFold6,MLP_cvFold7,Logistic_cvFold3,C4.5_cvFold4,SVML_cvFold6,C4.5_cvFold0,C4.5_cvFold3,C4.5_cvFold7,NN_cvFold0,SVML_cvFold3,C4.5_cvFold5,C4.5_cvFold9,NN_cvFold2,SVML_cvFold1,NN_cvFold8,MLP_cvFold9,C4.5,NN_cvFold5,Logistic_cvFold7,SVML_cvFold0,Logistic_cvFold1,C4.5_cvFold8,Logistic_cvFold0,SVML_cvFold2,MLP_cvFold2,Logistic_cvFold8,Logistic_cvFold2,NN_cvFold3,SVML_cvFold8,MLP_cvFold0,MLP_cvFold8,C4.5_cvFold2,SVML,MLP,Logistic
bank,0.11987556464289775,0.030054185086932885,-1.392867668825219E-4,0.02352749778956535,0.01324876215738066,8.004273504243042E-4,-0.001928991060028203,-0.0021539640436213517,-0.004143967973280971,0.02327360251498058,0.005156189213083129,0.006842455054522746,0.002430774142841637,0.0010484035759867523,9.813390313363516E-4,0.030143918852537786,0.00489024953334997,-0.004971902937423275,0.01799942528735394,-0.016336619510759834,-0.009188564692015263,-0.0023230572747836836,0.0062091904902223565,0.00933170743686963,-0.006458100009827187,0.004581447096955038,0.0021565920031323127,0.011267953630012527,-0.004939517634347174,0.0068154582964895846,0.02214698398662816,-0.009804371745760931,0.007167703114252866,0.007175724530893868,0.00749420866489615,-0.004820390018668075,0.06819916985950673,0.026441703507219264,-0.0029922045387589026,0.0010474064249896202,0.004099051969738994,-0.012404013164369638,-9.721485411402127E-5,-4.029521564034059E-4,-0.01088266529128817,-0.013246325768742207,-0.006300088417332454,-0.0027176638176667953,-0.011114800078596236,-6.811425483859823E-4,0.0029581638667820747,5.172904999613722E-5,-0.001942690097263074,-0.010913598094119221,-0.0030873781805718426
blood,0.022067152900979117,0.005155201491178787,-7.625649642209446E-4,0.022216152115619652,0.0016317635537027475,0.02344107772552438,-0.011470802150669838,0.005603129179873693,0.005207103276292568,0.0034406477686312257,0.008535508559162686,-0.03239652226912405,0.02318478781222695,0.018745615599547762,0.014458477654810642,0.024283664842505517,0.027425070166051477,-0.008822388529764783,0.006489830845139325,-0.02821096474234853,0.00510201846689086,0.021337817077024156,0.0025841412692688506,-0.013018289298087213,0.007673756801491427,-0.03993989666576816,0.008027775323193116,0.04097304747511713,-0.023592726273042222,0.009739730962430799,-0.016299127969737235,-0.007298786917355941,-0.04333871831414629,-0.009638571869857624,-0.0015877709254411528,0.010802615152111972,0.11719692489651085,0.011389569429190682,0.02943457269891281,-0.006051555338042099,7.880198149162114E-4,0.007353824636497532,-0.006033036441895282,-0.036308002776324434,-0.03915968620591528,7.234847418165861E-4,-0.0350866921490309,0.01063653796335917,-0.0027598647054594325,-0.011789890585951424,-0.008985134496666618,-0.05180948194671978,-0.006574676391352948,-0.019538734476641114,-0.005596951179446696
breast-cancer-wisc-diag,0.012377641550886316,-0.008757296445711892,0.01228435402831956,0.001049170015371581,-0.005495844215671309,-8.81322979984267E-4,0.027466006113629204,0.0018733237295481117,0.005418506416187515,0.01084629720130947,-0.0030372556597916935,0.007590386845156605,-0.010764633084649873,0.004198192591907868,0.013561178661408898,0.0048231107675611486,-0.004773842568192699,0.002494778429742102,0.003916967361681249,0.004305638515083088,0.0031541212341255065,-0.001064731855287319,-0.00553404818715226,0.018125895474899477,0.0011369944836794432,0.005109117953009849,-0.021765935948501278,-0.01660326606779638,2.503691920790659E-4,0.005429492564519485,0.008870774432068936,0.019605287806355776,0.020712784710887496,0.0014742662207614628,0.010368612118995124,0.004987188585487268,0.015249529318456353,0.008263627810376066,-0.008382503933257545,-0.0037618552270180182,-0.010544963354070354,0.014152192877879676,-0.014314963698330234,0.0011041868741879623,-0.003911767973114999,0.029516523878158212,0.004322111526707481,0.0057937159444486925,0.0031839516952272234,-0.006959638903351284,0.0034553898410941883,-7.585073886325381E-4,-0.0010080618895401683,3.898494648107986E-5,0.0025511650281145734
breast-tissue,-0.02583950100762294,0.01630590406859066,-0.005201381645876261,-0.033448525231889244,0.015034878453284684,0.0226322718334095,-0.010930147124896891,-0.05967351560921409,0.02278990383876202,0.013907880152771713,0.0038344034326516343,-0.018977067504390478,-0.00267567944585666,0.007452722438726896,0.015962129553566032,0.010601683456881016,0.03170097600766001,0.02122604007004996,-0.014380424844907702,0.020415957637152028,0.04499760890207897,0.024230273633970408,-0.06685521842329067,0.034395178531425895,0.05468955064681819,-0.03350839549081289,-0.06872887331082315,0.027404966879199206,0.027913880310889577,-0.04791006916197243,0.005350552218937424,-0.018676828677900333,-0.027111231750522376,0.007567644462670157,0.017018483120530798,0.01502404525252784,-0.01864083330528289,-0.005863586365940413,-0.0197429030428311,-3.258261564245986E-4,-0.03351154294590407,-0.00555913652164289,8.24708190881814E-4,-0.01913972029894135,-0.04355730993235662,0.002771379137768796,-0.03272127999241691,-0.058382687483103275,0.01714409728447117,0.006371328373601522,0.02835516056772174,-0.03283716804647989,-0.010968743482082632,-0.01853695426448202,-0.04060006533167169
cardiotocography-10clases,-0.0021578960269919975,0.0012478027057890918,-0.006114920895241571,-0.006355209608112899,-3.224365311092307E-4,-0.0013383940328262993,-7.430399587225837E-4,5.282120282143587E-4,-0.005634650547623214,0.0012946119575671378,7.793858562319586E-4,4.4087463372117776E-4,0.008205501087225838,-0.0017566327415139416,-0.007069832413731766,-0.014306039432825513,4.631109814142276E-4,-0.001180255545995305,0.0011377614100281745,-0.001437678356360835,-0.0012255989552620047,-0.0028338845848549067,5.686911179630309E-4,0.0022963478470896786,-0.0018842261653190695,0.0011837282686813055,2.1590186455617094E-4,0.0028263544895628617,-0.0010044765652186816,0.001653882359827641,0.004520154126786516,-0.007173804293308416,-0.008122546935895866,-0.0011468599156434982,-0.0021919015313054844,-0.004370054109237002,-0.00672952506077971,-4.7659356467482094E-4,-0.0012335347639946556,-0.0018098981880873258,-0.0038589857007619967,-0.0050913946492886384,-0.004464193655197424,-2.7227011500127187E-4,-2.968169985474112E-4,-0.0019127430068295167,-2.3447570818448208E-4,0.005363833199544158,-0.002850089407551996,-0.0011050366081031715,-0.0033492191200920063,-0.00518214458379533,-0.002337498640427501,-0.004029064854157845,-0.006797635596080276
conn-bench-sonar-mines-rocks,0.09292314544865547,0.04128927761580794,0.0329212827988335,0.06200097181729795,0.022706997084547643,-0.003502429543246281,0.0469954648526073,0.02386621315192695,0.007726919339163874,-0.03015225137674156,0.05403304178814348,0.0014253320375764674,0.08047716229348842,0.009858114674440826,-0.058560738581147104,0.016410592808551568,0.009918853255587537,0.020525591188856083,0.021733074182053287,-0.002239229024943786,-0.019603984450923657,-5.9426627794024E-4,0.05154680919987001,0.036807580174926725,-0.03443294460641441,0.032850664075153586,0.01677599611273046,0.03836394557823098,0.018428085519921866,-0.005280207321024037,-0.02856754130223552,0.07921234207968872,0.0584653385163585,0.0023469387755097842,0.013813411078716779,0.026300291545189067,0.06138951468033078,0.026603498542273667,-0.04077453838678366,-0.006750080984775286,0.04770246193715547,-0.00667638483965051,0.0013103336572720817,0.033624068675088686,0.039792678976352,0.027298833819241603,0.04671039844509198,-0.012285390346615273,0.015370748299319326,-0.0215225137674122,-0.009636054421769154,0.011297376093294158,-0.006092521424154237,-0.014598131460376503,0.021463063580410228
conn-bench-vowel-deterding,-0.002353161242050124,0.002640823695896288,0.0035096436778976705,3.120670041302306E-4,-7.51709078693404E-4,0.0026510746161538517,0.0015365539452494748,9.022137640493644E-4,-0.0012510715621827891,-0.0011062801932369712,-0.0017853577345641747,-3.38476552969554E-4,0.002720518869724945,-0.0016955633431825269,-0.0037173961840629784,1.4583476488210973E-4,0.0015893324782212245,0.0042096488231752865,0.0016956131361926788,0.002992618617739251,-0.00477291585545571,1.2383853653515538E-5,0.0055017030205435245,-0.0032552741586556965,-0.0016837368392925564,0.004913707119504303,-0.0060780266432439055,0.0044324957817021395,0.004524165975373444,-3.7632036955718523E-4,-9.620467715706718E-5,0.005880859998320339,0.002717311602335496,0.0033441858195480735,-0.0011510173541922333,-0.004638706032357013,-0.008685222596333789,-0.0033363384411006134,-0.0030799086862580483,-0.0013672506058980552,0.0022570471217813193,-0.002212542660161683,0.003260202670830618,-3.1948795523683757E-4,0.0024565201125586133,-0.002024347786252634,2.0477886758068313E-4,-0.0016194310252283979,-0.0019259503576965228,0.0038376616405600378,-0.004797599578552155,-0.007168789342702305,-0.0028993640104750767,-0.002604713804713806,-0.008678338945005607
ecoli,0.010392706245345051,0.014427975198840115,0.03370282005285651,0.012104550919553791,-0.007646202560016246,0.0011510287989414411,-0.04142719908940407,0.004161177304990323,0.009957853624839919,0.012691862947407354,-0.04550368971132938,-0.040379786021825424,0.006908964967761103,0.002139719788590496,0.01908253451407443,0.00998574024092345,-0.05718191956626625,-0.05196660526267924,0.004195572181248752,-0.030994448771370618,0.008916917547716023,2.898046136854034E-4,0.004717564200548078,-0.019356121966953615,0.004438346111921121,0.024386373607630307,-0.003003388957557233,0.020581984661899547,0.018597759923488017,0.0039033184094702466,-0.027252026081421462,0.03417133573371995,0.011911543482454538,-0.0022034805153703114,0.014444656937152396,0.0030296821975343336,-0.00518778435969477,-0.04183213722673515,0.011581524022164506,0.008231549745261184,0.009876015141596731,0.025514334582487783,0.02555770921058672,0.0035051210534103204,-0.0025208341453923327,0.02114398397595707,-6.039468084535001E-4,0.018209465528703225,0.013639198595899415,0.014163137502916971,0.011055216043666764,-0.011312594682328151,-0.014020143559944468,-0.009234033035947295,-0.008355746910725652
glass,-0.012643998857237226,0.023772955449831056,-0.03003644098555828,0.004263891872541082,-0.05948256744199864,-0.016166533780852557,0.004609301520897946,-0.006721844672117113,-0.045220952697205136,0.017362637475342602,-0.02211772735541662,-0.0030680945021048234,-0.04344667908778056,-0.008353603102659679,0.015807892472627257,-0.0338394976624689,-0.052972232104963685,0.006918692787335531,0.03370770934858338,-0.021834005605177054,-0.03472933432507608,-0.060060011119092475,0.010771742368733354,0.03057594302772204,-0.03329268569024912,-0.024414948866108753,-0.0024642148590358257,-0.030452168773347124,-0.016489999380608415,0.011946021408708329,-0.040446233760249924,-0.013917957040183723,0.01375299945679583,0.016335646119289615,-0.03161300291967762,-0.03956595600161619,-0.018591562656721475,-0.030300142680194802,0.005250024229137495,-0.025458979557919238,0.03662785583987009,-0.010081282256433148,-0.014076734971258723,-8.794668882665446E-4,0.02393108147606947,-0.023022731395246434,-0.005521243140217113,-8.25662856819657E-4,-0.02491512477816636,-0.05095755373630486,-0.040044087232602825,0.010454486313565584,-0.02209944412013072,-0.034896920787855244,-0.0105077787785341
hill-valley,0.08779712954793877,0.002921312678483917,0.0032615393552557436,0.00898400302076455,0.010384477498106412,0.0044236621681955435,-0.003697814900199951,0.012521101253104053,-0.012058451059631574,0.013113316015941736,8.099997692687877E-4,-0.005321864455155855,0.0018587938001726626,-0.0021676015786411857,0.0036630177869230508,0.0432731395251741,-0.012118731302494135,-0.004712115627618704,0.0036727991973049953,-0.008825084147933673,-0.009250113460190354,-0.03286493698874795,0.0024473717466453474,-0.002443972918531052,0.011746154153368037,2.0012445192148416E-4,-2.3786643542438035E-4,-0.0023872024166112526,0.012353752888331324,-0.0011316879585343516,0.0011865927357135066,-1.4758901632732542E-4,0.007061868861218777,-0.00598749601352237,0.01116969287687901,-0.01007749784879418,0.32804735919136424,0.022183923917783337,-0.0033295973161713882,-0.03362318356822461,-0.0122659947246762,-6.754058244107739E-4,0.004686192243195494,0.005187779397549186,0.016718331899196835,0.0037881144550057015,-0.016313443864352222,0.01630022919251396,-0.0035029499649650965,0.002667839976801036,-0.02019766036009479,-0.004832426178846921,-0.07591448913868358,0.021676161015441852,-0.1283625062176199
