CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
0.8353297471294439,0.8325084119951163,0.8310615597717664
1.0,1.0,1.0
1.0,1.0,1.0
0.9069015225343133,0.9065262350582418,0.9063955284731425
0.9601717465879551,0.9570869225295436,0.9547736943620391
0.8395404135305736,0.8387952980782923,0.8334812379813616
0.9278814230676103,0.9277839124704907,0.9268997883652369
0.9818820695122771,0.9842693812745889,0.9837232694003522
0.6361111111111111,0.6777777777777777,0.638888888888889
0.857462756410255,0.858482628205127,0.857979038461537
0.7387160785859785,0.7390485577238983,0.7388133254484531
0.673293650793651,0.6715714285714288,0.6671904761904764
0.9921724890829696,0.9915077632217368,0.9914471130519164
0.9918839657974701,0.9913151014062609,0.9911932018938587
0.7328888888888888,0.7249082125603866,0.7183574879227056
0.9040233070011857,0.9039484129869835,0.9007512580747125
0.9955768109930171,0.9948590561236585,0.9937937465752451
0.9785242600419148,0.9784130659200142,0.9782506689871493
0.9818848465021113,0.9818640113281764,0.9816627229086361
0.9601708150931415,0.9611216625354655,0.9601708150931415
0.9988073499260867,0.9987452763870146,0.9987035797312334
0.5623373910967887,0.573514142499104,0.5734276166606985
0.8973611111111114,0.8937626262626266,0.8850631313131316
0.9977376730265621,0.9976353161242051,0.9969656565656566
0.8875640586881608,0.8855002207847547,0.8841264691214835
0.7128640627185507,0.7116495795992631,0.7099699963798336
0.8937640443030003,0.910382233172498,0.9098233126874921
0.7789145299145285,0.7800619658119643,0.7786645299145284
0.9984601535484283,0.9986523941304088,0.9986606456501528
0.8214646464646466,0.819877344877345,0.8181457431457434
0.9592101497049846,0.9596649406212585,0.9594092561443776
0.9867796347705483,0.985541106545827,0.9848675509170339
0.9785833821116252,0.9786054928900452,0.9783620894110713
0.5604797979797981,0.5523989898989901,0.5507575757575759
0.8039696702180454,0.8040190875730189,0.7913389375566611
0.8609873233767227,0.861709781762183,0.859470781280113
0.6917559523809528,0.6844568452380956,0.6835863095238098
0.8477755521141936,0.8521308858515128,0.8361114384145794
0.8081713004096626,0.8053062869507533,0.80249704405022
0.8660310450956777,0.8652214639368391,0.8636023016191623
0.5866574069731825,0.5878744443916755,0.5795039790461733
0.5929860164890243,0.5902236668771333,0.5835206398534208
0.8254439890710388,0.8175546448087435,0.8135587431693991
0.7632563256325657,0.7325886714083969,0.7068784106133401
0.8694599391480718,0.8670385395537513,0.8650481744421895
0.7258476212542483,0.7252510040160651,0.7243763515600873
0.9958657279869408,0.995811068841372,0.9957330593088174
