TRAINNLLSTDDEVS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
Adiac,0.08778139630212235,0.08795471782910001,0.08484114741237435
ArrowHead,0.2344939105703069,0.24870821449474179,0.23658139266440825
Beef,0.3078414507782088,0.3394426443200889,0.33274958704171853
BeetleFly,0.3125994918662911,0.3425883902199939,0.3362419708447353
BirdChicken,0.30717112225116217,0.31322926482194713,0.3082624144774292
Car,0.18374042868492982,0.19764100958558592,0.19254055213563864
CBF,0.17874015918304714,0.18194553170244354,0.1728336742488169
ChlorineConcentration,0.046173439652451055,0.06900212282839241,0.05193033905278179
CinCECGtorso,0.22246738279768621,0.20811431820560478,0.1887636773200481
Coffee,0.04361527295867997,0.04469725804180368,0.036058291215712135
Computers,0.061587798862767336,0.20497234341092824,0.06125022674294262
CricketX,0.12429790588684186,0.15082500245712016,0.13451515132025296
CricketY,0.11238255384474158,0.11688112011488555,0.120524045857407
CricketZ,0.16135072152309102,0.2890144745780961,0.16589221599937254
DiatomSizeReduction,0.08050539695942353,0.07809127996964277,0.08070687905975155
DistalPhalanxOutlineAgeGroup,0.03721216087236545,0.06191556152876634,0.0367804288600842
DistalPhalanxOutlineCorrect,0.025070131707191315,0.029934319763517573,0.02676312205730603
DistalPhalanxTW,0.04120510112358604,0.07251934247607761,0.03954113540912791
Earthquakes,0.10042759271683879,0.25175054991083395,0.09455761324148934
ECG200,0.10743061643093584,0.13967109805189093,0.10293370381344355
ECG5000,0.04140264933215399,0.05045985961093789,0.0414236585262391
ECGFiveDays,0.1761079246375655,0.1906778963518952,0.18082278356836626
ElectricDevices,0.016908984454139953,0.03946085240696113,0.01752638338456501
FaceAll,0.06954040512087738,0.0874752024944972,0.07041288601289501
FaceFour,0.2231019343691545,0.20996504377729758,0.21926080708275633
FacesUCR,0.1631155302288183,0.17112830930568182,0.1621149447676993
FiftyWords,0.10347231103294882,0.12237981226014026,0.10237421535657037
Fish,0.125059394524813,0.12497226201333789,0.12444308723534622
FordA,0.008596239288546649,0.02347415933151965,0.011190400115127336
FordB,0.013434403095547129,0.020798410801245445,0.01664138017988186
GunPoint,0.11010522694297711,0.11389874971979443,0.11306803983757267
Ham,0.1259503157542345,0.1460303509187846,0.12997715000137658
HandOutlines,0.018417673348650687,0.026416846923686118,0.01630477510808594
Haptics,0.183753398075696,0.1797882271594739,0.18766528746154115
Herring,0.1585315261209071,0.19413258952436319,0.14737296765942048
InlineSkate,0.27176479552404204,0.3248666417044595,0.31131943372812965
InsectWingbeatSound,0.1425703530641618,0.17135257096220843,0.13314615772631
ItalyPowerDemand,0.08462400035255466,0.08416582738940166,0.08424989849701406
LargeKitchenAppliances,0.09342685630805948,0.40786145082872916,0.09888491260512096
Lightning2,0.19954537959499455,0.18956045711565664,0.1853663866104571
Lightning7,0.278848849944394,0.2878119885399886,0.2724618825775274
Mallat,0.1258678350078153,0.1481104478482915,0.13742740018733363
Meat,0.015987631906648068,0.0145829590721174,0.0139510075191948
MedicalImages,0.08547827862967237,0.08675163256502033,0.08591275063898073
MiddlePhalanxOutlineAgeGroup,0.05087240539906027,0.04281132258741532,0.04713453086769219
MiddlePhalanxOutlineCorrect,0.02267384960297804,0.026469594867461945,0.023089137552963157
MiddlePhalanxTW,0.04574422162394021,0.05664063619396032,0.041629819916572205
MoteStrain,0.27793649839917733,0.27331741470205684,0.27174864885024325
NonInvasiveFetalECGThorax1,0.02395416244825114,0.029509743851026633,0.023508877879732066
NonInvasiveFetalECGThorax2,0.02325989358676734,0.02760969566491665,0.0222905105628705
OliveOil,0.16459083999444418,0.16442120414818276,0.15135059082789187
OSULeaf,0.13072490310700996,0.27769000817697465,0.1265790504333827
PhalangesOutlinesCorrect,0.011910614573127308,0.014418919004507067,0.012397596516650233
Phoneme,0.34666667192443107,0.46072364243743313,0.5214682351264603
Plane,0.05688972598896029,0.06289211086409757,0.0559372838497602
ProximalPhalanxOutlineAgeGroup,0.0401429528690425,0.05210229088718346,0.03778179687703089
ProximalPhalanxOutlineCorrect,0.02160932738761715,0.020520640918446627,0.02143508631715955
ProximalPhalanxTW,0.04387425992931088,0.04544195317655099,0.04332328618918982
RefrigerationDevices,0.23397178787598874,0.27122402793476635,0.22576001605810783
ScreenType,0.11386874801603158,0.22334985880141087,0.12368240378874508
ShapeletSim,0.38728538008102936,0.41319429610825475,0.4668849926939599
ShapesAll,0.08838515612169714,0.09403003042243496,0.08949649014427176
SmallKitchenAppliances,0.12895609256663831,0.20963099136246952,0.13510123552073297
SonyAIBORobotSurface1,0.21395552803106868,0.22081913963713976,0.2107494879440387
SonyAIBORobotSurface2,0.23886794621531285,0.26059936204758266,0.2447706212964019
StarlightCurves,0.021948030873372087,0.01837730815507715,0.02103777611892242
Strawberry,0.014636461425212431,0.014588043321031257,0.014547075417395638
SwedishLeaf,0.05292317841785638,0.06789086953484584,0.05324794221589853
Symbols,0.3844510113008835,0.3506621124324111,0.363924051688961
SyntheticControl,0.026615535947986543,0.028712077263214772,0.026723823211656644
ToeSegmentation1,0.28517785906280685,0.3469381574689322,0.2737185805214937
ToeSegmentation2,0.25344914417866465,0.25263613173703825,0.2508719485985973
Trace,0.14201300042057646,0.18815074477194424,0.13938499776946925
TwoLeadECG,0.1720446886696144,0.18345501030949915,0.17686931796038377
TwoPatterns,0.01806273354180613,0.04581370534661537,0.01926775773681265
UWaveGestureLibraryAll,0.03758640004294667,0.06493940144921659,0.03631803426412839
UWaveGestureLibraryX,0.04037144075973227,0.04618557833706258,0.04138126163944697
UWaveGestureLibraryY,0.06646010179726353,0.06970487660470509,0.06871266437046154
UWaveGestureLibraryZ,0.044370580545297286,0.045063653743408885,0.04422751341070152
Wafer,0.010852255203940347,0.023126705369881206,0.010287446966578805
Wine,0.12394160497479786,0.14165700196336978,0.1250475783423725
WordSynonyms,0.14967059588326373,0.17072995596376772,0.15519420882593485
Worms,0.21646345944270948,0.22890669416018153,0.21913241071810421
WormsTwoClass,0.07530462596276608,0.0871826455631785,0.07783362592057982
Yoga,0.0595673622106833,0.0796575549567802,0.06739125782456111
