CAWPE-S(ConTie),CAWPE-S(RandTie),CAWPE-S(alpha=4)
181.0 ,479.0,27.0
138.0 ,373.0,29.0
116.0 ,311.0,30.0
67.0 ,281.0,29.0
54.0 ,302.0,30.0
52.0 ,314.0,31.0
51.0 ,272.0,30.0
48.0 ,249.0,29.0
49.0 ,265.0,29.0
50.0 ,363.0,30.0
58.0 ,289.0,29.0
48.0 ,279.0,32.0
45.0 ,322.0,28.0
50.0 ,287.0,29.0
51.0 ,275.0,28.0
46.0 ,260.0,29.0
48.0 ,298.0,29.0
47.0 ,266.0,28.0
49.0 ,270.0,27.0
57.0 ,321.0,35.0
52.0 ,282.0,29.0
48.0 ,335.0,28.0
49.0 ,314.0,40.0
46.0 ,277.0,35.0
50.0 ,267.0,30.0
54.0 ,263.0,28.0
50.0 ,290.0,35.0
46.0 ,291.0,35.0
48.0 ,368.0,28.0
47.0 ,298.0,29.0
5.0 ,177.0,3.0
4.0 ,168.0,4.0
4.0 ,168.0,3.0
4.0 ,149.0,3.0
5.0 ,189.0,4.0
4.0 ,141.0,2.0
4.0 ,175.0,2.0
5.0 ,153.0,4.0
4.0 ,148.0,4.0
3.0 ,149.0,3.0
4.0 ,144.0,3.0
4.0 ,124.0,3.0
3.0 ,135.0,3.0
4.0 ,143.0,4.0
8.0 ,158.0,4.0
4.0 ,144.0,3.0
4.0 ,194.0,3.0
4.0 ,136.0,3.0
5.0 ,187.0,3.0
5.0 ,149.0,3.0
4.0 ,143.0,2.0
4.0 ,174.0,3.0
7.0 ,146.0,2.0
5.0 ,141.0,3.0
4.0 ,183.0,3.0
4.0 ,172.0,3.0
4.0 ,183.0,3.0
4.0 ,149.0,2.0
5.0 ,142.0,3.0
4.0 ,140.0,3.0
5.0 ,144.0,3.0
4.0 ,170.0,4.0
4.0 ,183.0,3.0
4.0 ,145.0,3.0
4.0 ,181.0,3.0
7.0 ,141.0,3.0
4.0 ,140.0,3.0
5.0 ,151.0,3.0
4.0 ,153.0,3.0
4.0 ,142.0,3.0
4.0 ,192.0,3.0
4.0 ,145.0,2.0
4.0 ,201.0,3.0
4.0 ,208.0,3.0
4.0 ,152.0,3.0
4.0 ,140.0,3.0
4.0 ,153.0,3.0
4.0 ,141.0,3.0
5.0 ,130.0,5.0
4.0 ,135.0,4.0
5.0 ,211.0,3.0
5.0 ,146.0,3.0
4.0 ,179.0,4.0
4.0 ,134.0,3.0
4.0 ,145.0,3.0
5.0 ,145.0,3.0
5.0 ,165.0,3.0
4.0 ,153.0,5.0
3.0 ,197.0,3.0
4.0 ,147.0,4.0
527.0 ,1120.0,235.0
520.0 ,1118.0,225.0
488.0 ,1346.0,232.0
579.0 ,1259.0,243.0
538.0 ,1151.0,244.0
540.0 ,1169.0,234.0
551.0 ,1155.0,242.0
451.0 ,1099.0,241.0
529.0 ,1128.0,248.0
508.0 ,1028.0,312.0
518.0 ,1145.0,268.0
463.0 ,1101.0,246.0
521.0 ,1161.0,255.0
574.0 ,1312.0,244.0
572.0 ,1244.0,245.0
539.0 ,1145.0,237.0
545.0 ,1173.0,255.0
537.0 ,1165.0,246.0
571.0 ,1150.0,266.0
688.0 ,1059.0,249.0
696.0 ,1105.0,256.0
643.0 ,1123.0,287.0
515.0 ,1169.0,256.0
546.0 ,1116.0,242.0
620.0 ,1162.0,234.0
549.0 ,1135.0,290.0
621.0 ,1100.0,269.0
787.0 ,1259.0,323.0
511.0 ,1159.0,254.0
510.0 ,1175.0,276.0
25.0 ,290.0,13.0
18.0 ,254.0,12.0
18.0 ,253.0,11.0
17.0 ,274.0,10.0
17.0 ,264.0,10.0
15.0 ,252.0,10.0
16.0 ,293.0,10.0
15.0 ,237.0,9.0
15.0 ,238.0,10.0
15.0 ,268.0,10.0
14.0 ,287.0,10.0
15.0 ,248.0,9.0
15.0 ,287.0,13.0
15.0 ,245.0,10.0
15.0 ,289.0,9.0
14.0 ,324.0,10.0
16.0 ,232.0,10.0
15.0 ,292.0,10.0
14.0 ,265.0,15.0
18.0 ,247.0,17.0
