TRAINACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
heart-hungarian,2.5,2.5,2.5,2.5,6.0,5.0,7.0,8.0,9.5,9.5,11.0,12.0,13.0,14.5,14.5,16.0,17.0
heart-switzerland,1.0,3.5,2.0,3.5,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-va,1.0,4.5,4.5,2.0,3.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
hepatitis,1.0,2.0,3.5,3.5,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
hill-valley,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
horse-colic,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,12.0,15.0,14.0,16.0,17.0
ilpd-indian-liver,13.5,12.0,11.0,8.5,6.5,6.5,2.0,3.0,1.0,4.5,4.5,8.5,10.0,13.5,15.0,16.0,17.0
image-segmentation,2.0,1.0,3.0,4.0,5.0,9.0,8.0,7.0,6.0,10.0,12.0,13.0,11.0,14.0,15.0,16.0,17.0
ionosphere,2.5,1.0,2.5,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
iris,1.5,1.5,3.5,3.5,8.0,8.0,12.0,8.0,8.0,8.0,8.0,8.0,13.0,14.0,15.5,15.5,17.0
led-display,2.0,1.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0
lenses,3.0,3.0,3.0,5.5,5.5,1.0,8.5,8.5,8.5,8.5,11.0,12.0,13.0,14.0,16.0,17.0,15.0
letter,9.5,9.5,9.5,9.5,9.5,9.5,5.0,4.0,2.0,1.0,3.0,6.0,13.0,14.0,15.0,16.0,17.0
libras,15.0,14.0,12.0,13.0,11.0,10.0,9.0,7.0,4.0,2.0,1.0,3.0,5.0,6.0,8.0,16.0,17.0
low-res-spect,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
lung-cancer,1.0,2.5,2.5,4.0,6.5,6.5,6.5,10.0,6.5,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
lymphography,4.0,5.0,2.0,1.0,3.0,7.0,6.0,8.0,9.0,10.0,11.0,12.5,14.0,15.0,16.0,17.0,12.5
magic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
mammographic,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
miniboone,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
molec-biol-promoter,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
molec-biol-splice,5.0,4.0,2.0,1.0,3.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-1,10.0,8.0,7.0,5.0,4.0,1.0,3.0,2.0,6.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-2,1.0,2.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-3,4.0,2.5,2.5,1.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
mushroom,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
musk-1,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
musk-2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
nursery,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_merluccius_states_2f,2.0,5.0,1.0,3.0,6.0,9.0,10.0,4.0,8.0,13.0,11.0,7.0,14.0,12.0,15.0,16.0,17.0
oocytes_trisopterus_nucleus_2f,9.5,11.0,8.0,9.5,6.5,2.0,3.0,1.0,4.0,6.5,5.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.5,10.5,12.0,14.0,13.0,15.0,16.0,17.0
optical,1.0,2.0,4.0,3.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ozone,1.0,2.0,4.5,3.0,4.5,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0
page-blocks,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
parkinsons,1.5,1.5,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0
pendigits,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pima,1.0,2.5,2.5,5.0,6.0,4.0,7.0,10.0,8.0,11.0,12.0,13.0,14.5,16.0,14.5,17.0,9.0
pittsburg-bridges-MATERIAL,1.0,2.5,2.5,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0
pittsburg-bridges-REL-L,4.5,4.5,3.0,2.0,1.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-SPAN,2.0,1.0,5.0,3.5,6.0,8.0,3.5,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-T-OR-D,1.0,2.0,4.5,4.5,4.5,4.5,7.5,7.5,9.0,10.0,11.5,11.5,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-TYPE,2.0,2.0,6.0,4.0,2.0,5.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.5,14.5,16.0,17.0
planning,2.0,1.0,4.0,4.0,4.0,7.0,9.0,7.0,7.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,14.0
plant-margin,2.0,1.0,7.0,9.0,6.0,8.0,4.5,3.0,4.5,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
plant-shape,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,2.0,1.0,3.0,17.0
plant-texture,3.0,5.0,6.0,9.0,7.0,15.0,16.0,14.0,13.0,11.0,8.0,10.0,12.0,4.0,1.0,2.0,17.0
post-operative,1.0,2.0,4.0,3.0,5.0,6.5,6.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
primary-tumor,2.0,1.0,6.0,4.0,3.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ringnorm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
seeds,4.5,1.5,1.5,4.5,4.5,4.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
semeion,7.0,4.5,6.0,1.0,9.0,8.0,2.0,4.5,3.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
soybean,8.0,7.0,11.0,9.0,3.5,3.5,2.0,1.0,5.0,6.0,10.0,13.5,13.5,12.0,15.0,16.0,17.0
spambase,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.5,11.5,13.0,14.0,15.0,16.0,17.0
spect,2.0,1.0,3.0,5.0,6.5,6.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,4.0
spectf,3.5,1.5,5.0,3.5,8.0,1.5,6.5,6.5,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-australian-credit,1.0,2.0,3.0,5.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,7.0
statlog-german-credit,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,3.0
statlog-heart,2.0,1.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,5.0
statlog-image,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,12.0,10.5,10.5,13.0,14.0,15.0,16.0,17.0
statlog-landsat,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-shuttle,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-vehicle,6.0,4.0,5.0,2.0,1.0,3.0,7.5,7.5,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
steel-plates,1.0,2.0,3.0,8.0,6.0,4.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
synthetic-control,9.0,9.0,4.5,4.5,4.5,9.0,4.5,1.5,1.5,7.0,12.0,14.0,15.0,11.0,13.0,16.0,17.0
teaching,4.0,1.0,2.5,2.5,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
thyroid,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
tic-tac-toe,1.0,2.5,2.5,4.5,4.5,7.5,7.5,13.0,13.0,13.0,13.0,13.0,13.0,13.0,7.5,7.5,17.0
titanic,1.0,5.0,11.0,11.0,11.0,15.5,15.5,5.0,11.0,14.0,11.0,5.0,5.0,5.0,5.0,5.0,17.0
trains,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,11.0,12.5,12.5,14.0,15.0,16.0,17.0
twonorm,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,1.0
vertebral-column-2clases,6.0,4.5,1.0,2.0,3.0,8.0,9.0,7.0,10.0,4.5,11.0,14.0,13.0,12.0,15.0,16.0,17.0
vertebral-column-3clases,2.0,1.0,3.0,5.0,6.5,4.0,6.5,8.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,17.0
wall-following,6.5,6.5,3.5,3.5,3.5,1.0,3.5,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
waveform,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,1.0
waveform-noise,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,1.0
wine,1.0,2.0,8.5,8.5,8.5,14.5,13.0,11.0,4.5,4.5,4.5,4.5,12.0,8.5,14.5,16.0,17.0
wine-quality-red,14.0,15.0,12.0,13.0,11.0,6.0,9.0,8.0,2.0,4.0,3.0,1.0,5.0,7.0,10.0,16.0,17.0
wine-quality-white,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,1.0,2.0,4.0,3.0,17.0
yeast,2.0,1.0,3.0,6.0,5.0,4.0,7.0,9.0,8.0,11.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0
zoo,2.0,2.0,2.0,4.5,9.5,9.5,4.5,9.5,9.5,9.5,9.5,9.5,9.5,14.0,15.0,16.0,17.0
