NBC-S,CAWPE-S,SMLR-S,WMV-S,ES-S,SMM5-S,MV-S,SMLRE-S,PB-S,RC-S
0.6540263214403553,0.6462144352506723,0.6587499124332404,0.6541230329197063,0.6531319126106081,0.6584258993538227,0.6521608333400774,0.6571287761610699,0.6281276454434347,0.6519362151185034
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7741485691900123,0.7578936823506057,0.7684778702307161,0.7498272497403637,0.7495423298926478,0.7645995737256615,0.7498272497403637,0.7661989326832526,0.743321402885963,0.7267068658016651
0.8703934411191377,0.8212428620571034,0.836113243894049,0.7929395252837979,0.7891664946680427,0.7985240912739366,0.802975851393189,0.7948049306272217,0.6746317165462675,0.7528531819745441
0.3614929348325221,0.3714467237994443,0.3462962625242174,0.3533997594025736,0.34464014982307667,0.346483676007128,0.3223252520879163,0.3138412076770426,0.3527652542371117,0.292298873317635
0.3645397412124464,0.578257799411181,0.2797044112623822,0.5758496193822282,0.5703872053872054,0.30695946990029116,0.5851616405601913,0.26108280876396817,0.5061648083085282,0.446128312106573
0.8471944444444446,0.6968888888888889,0.8095802469135801,0.7839506172839507,0.8005555555555556,0.8296728395061729,0.7916018518518517,0.8492345679012345,0.8408796296296295,0.6998148148148149
0.4500000000000001,0.6341666666666667,0.48500000000000004,0.6166666666666667,0.6033333333333333,0.4591666666666666,0.6125,0.5258333333333334,0.6091666666666666,0.6033333333333333
0.6473101532567049,0.6060696679438057,0.6150400702426563,0.5960975095785439,0.6027632503192848,0.6294840676883781,0.5960975095785439,0.6333789591315452,0.6038985312899108,0.5474297573435505
0.6220507260661016,0.5848465733622447,0.5892837899993429,0.5852900979039358,0.5951363427294828,0.5887581312832644,0.5852900979039358,0.6205552270188579,0.5433504172416058,0.5253321506012222
0.5944815411773736,0.5891127484841507,0.5690689999232481,0.5917875508481082,0.5893468416609103,0.5721620999309232,0.5917875508481082,0.5804589761301711,0.5797528590068309,0.5674879115818557
0.9597826217715064,0.9601489287475792,0.960876730785425,0.9597826217715064,0.9595227783993168,0.9656970659352557,0.9597826217715064,0.9652579787553983,0.9602505804371624,0.9597826217715064
0.9671374863848777,0.9654781982361829,0.9657408383401848,0.966816872211096,0.9675678999332422,0.9612452127472683,0.966816872211096,0.9626084817820879,0.9699448367942097,0.966816872211096
0.645796783625731,0.6508040935672514,0.5860014619883039,0.6389619883040939,0.621125730994152,0.5949926900584794,0.6389619883040939,0.5922149122807017,0.6374999999999998,0.5764254385964911
0.651063211479878,0.6781605739939074,0.6083774250440918,0.6719686948853615,0.6605268959435626,0.609001723585057,0.6728575436908769,0.5860790444123778,0.6357814253647585,0.6767376142376142
