TunedSVM,CAWPE-A,TunedRandF,TunedMLP,TunedXGBoost
8.15703217E8 ,151.0,9.9035425E7,2.9459416E7,3291083.0
8.46869375E8 ,90.0,1.04279772E8,2.9015915E7,3283229.0
7.64717011E8 ,71.0,1.05447492E8,3.4227467E7,3230964.0
8.27144927E8 ,72.0,1.0494472E8,3.518451E7,3234410.0
8.26804838E8 ,58.0,1.01958028E8,2.939356E7,3230576.0
68655.0 ,30.0,1063650.0,585815.0,416665.0
70872.0 ,26.0,1098745.0,696880.0,520029.0
94918.0 ,25.0,1103950.0,737698.0,537817.0
110555.0 ,25.0,1084937.0,658904.0,547762.0
117477.0 ,27.0,1100292.0,567645.0,562355.0
50006.0 ,27.0,941149.0,667104.0,339552.0
48595.0 ,27.0,957147.0,621123.0,252884.0
98142.0 ,26.0,943691.0,617706.0,363660.0
108404.0 ,25.0,962844.0,608778.0,296621.0
89070.0 ,26.0,931793.0,619644.0,280782.0
2482269.0 ,74.0,6.6366736E7,4.8195531E7,5232932.0
2448809.0 ,77.0,6.5179825E7,5.3021569E7,1687384.0
2161126.0 ,78.0,6.3811877E7,5.7550097E7,1601548.0
2178530.0 ,82.0,6.6034519E7,5.5526408E7,1661702.0
2317326.0 ,75.0,6.6330447E7,5.5359165E7,1690206.0
5952932.0 ,88.0,1.687838E7,38051.0,5033459.0
6020195.0 ,58.0,1.6866575E7,807200.0,6524432.0
5523949.0 ,80.0,1.7028073E7,382270.0,6396843.0
7489775.0 ,63.0,1.7238421E7,790349.0,6526081.0
7696130.0 ,63.0,1.7982434E7,378147.0,6598218.0
1.139756E7 ,63.0,3.2561835E7,4.9276916E7,1969179.0
1.0662184E7 ,49.0,3.3799081E7,4.461745E7,2675694.0
9865632.0 ,56.0,3.3552095E7,5.0431542E7,2646047.0
8205457.0 ,51.0,3.3082443E7,4.2791012E7,2549321.0
7529946.0 ,53.0,3.2744313E7,4.4641494E7,2731322.0
722945.0 ,37.0,3717461.0,2961941.0,519868.0
912333.0 ,51.0,3764912.0,3045539.0,562666.0
611297.0 ,47.0,3802685.0,2760262.0,550947.0
716971.0 ,45.0,3797129.0,2374018.0,544908.0
573737.0 ,52.0,3769460.0,2426448.0,560859.0
24189.0 ,30.0,94913.0,41895.0,76196.0
27527.0 ,29.0,92303.0,35682.0,72210.0
20928.0 ,31.0,97192.0,38889.0,73150.0
20562.0 ,27.0,95069.0,50331.0,71127.0
22305.0 ,31.0,90981.0,40366.0,70654.0
1.09159584E8 ,52.0,1.9018807E7,7.0834045E7,2329646.0
1.02193252E8 ,47.0,1.8281528E7,6.8333601E7,2806963.0
1.12359171E8 ,51.0,1.8802291E7,7.4297539E7,2845279.0
