RandF,CAWPE,CAWPE_noRetrain,XGBoost,CAWPE_retrain_foldWeight,CAWPE_retrain_noWeight
5079.383516 ,54264.171978,50518.170162,19176.763189,49182.915803,47926.513655
4796.462807 ,52451.693897,51963.366976,14427.822606,50411.293208,50720.170031
4874.752232 ,51762.703696,50070.784862,23972.244366,49008.139388,67486.447679
5141.85515 ,52760.186573,51049.000557,14753.245807,55620.041793,69903.443612
4826.584733 ,50803.194714,56222.45174,14315.693215,50947.096103,67742.837338
4949.415696 ,50749.334393,51306.619782,14710.834306,49774.530694,67690.490296
4401.103324 ,43912.804707,119500.376301,13056.887782,53127.927598,67759.84887
4382.47618 ,50073.799423,119546.097413,13013.580884,57474.719148,66403.010181
4410.113288 ,47403.048914,58086.850447,12926.843948,53060.309531,48731.31604
4574.318028 ,52290.020016,52889.075516,13377.088776,54138.580732,68343.108961
4602.493183 ,48869.365116,57758.703948,14255.479551,56435.492027,68424.184772
4267.136609 ,51076.187378,56459.34631,30694.229446,55913.549343,68940.324371
4698.901815 ,49538.378186,57300.688229,15497.238947,50752.759425,68198.668254
4582.952525 ,49213.821903,52890.35142,16088.983024,54039.505393,69758.991042
4529.880525 ,48069.435163,52173.32989,12830.637657,54697.562569,67124.626152
4618.673689 ,54541.734486,46071.798611,13133.399148,54426.97123,66857.054926
4827.337154 ,49429.85855,46468.204664,13089.74043,50030.657191,49302.761371
4924.773599 ,54803.803923,51939.574305,20877.125963,50426.067511,66833.884272
4918.428681 ,48962.052105,52141.094108,15951.085957,58882.903748,66595.582007
5056.713436 ,53885.579232,51749.01475,15717.480297,56194.115443,66574.794412
4515.150138 ,53025.78175,52842.131533,13143.205516,59775.822409,66853.471594
4183.945047 ,56130.389974,51575.759589,13477.832218,58879.93435,51436.848357
4962.510851 ,58143.741442,52178.827849,14319.327919,51954.843432,68301.04615
5048.32118 ,53249.403253,51638.800721,12656.287565,51935.860956,68350.44713
4684.882506 ,53385.463217,53182.790927,12516.313557,55854.112788,68334.371279
4826.770171 ,52824.426337,51759.902313,13545.869168,63109.756927,67209.953705
5116.762249 ,55070.475905,47637.564653,15699.124389,52274.765194,67088.263177
4767.004634 ,53743.760272,51125.061225,13945.733725,53102.663942,68349.712139
4632.38352 ,48841.320417,51836.652072,14253.59794,53181.226806,67319.61687
5074.385599 ,52849.262193,52233.140193,13617.356967,53508.458332,68476.79872
895.698639 ,2691.976143,3230.010652,1854.695678,3309.715459,3653.941748
1063.788997 ,2531.891372,2781.839374,1629.247719,3193.417571,3676.884269
939.834199 ,2878.30159,2535.987787,1484.062363,3258.661234,3640.236417
1544.561531 ,2658.365247,2347.133366,1515.504629,3279.890614,3655.567149
1993.368227 ,2730.946842,2650.607371,1948.503214,3274.418274,3679.623888
1838.312774 ,2772.842043,2588.21214,1620.370917,2957.234684,4761.10665
1103.746696 ,2484.7025,2397.840099,1602.651359,3062.470371,4501.551253
1200.018003 ,2698.227269,2762.318957,1627.766848,3002.379125,4584.321597
1321.438914 ,5638.823568,3101.828996,1716.275504,2615.14857,4669.664284
1808.939647 ,9565.707994,3377.784212,1838.024608,3199.8332,4795.74429
1645.601593 ,2596.707628,2685.523416,3724.497416,3289.362728,4741.95889
2119.616404 ,2569.669847,2630.723608,1646.28595,3200.114446,3718.790966
1482.561602 ,2789.330312,3177.392437,1936.974134,3142.629593,3657.444738
1779.598764 ,2458.179008,3177.580099,2211.80258,3056.991461,3752.873235
1367.060412 ,2762.974043,3220.64706,1684.345077,2951.251179,3657.277399
1370.092714 ,2787.116717,3177.717495,1757.031194,3136.32406,4118.995722
1780.756898 ,2528.829724,3135.380968,1632.899309,3620.534601,3712.742491
1240.903924 ,2981.047364,2531.822359,1594.009878,3569.834962,4325.911675
1737.728296 ,2809.721962,2644.086235,1812.26508,3602.441034,4295.836028
1674.651439 ,3021.246445,2583.003271,1789.077068,3774.587069,4336.054226
1729.75889 ,3218.946835,2551.637798,3162.79493,2591.590152,4337.394529
1495.471826 ,3132.715037,2569.958736,1343.341783,2808.510494,3643.304238
1817.645154 ,3284.111321,2636.819534,1434.962455,8175.506466,3765.790608
