RandF,CAWPE,CAWPE_noRetrain,XGBoost,CAWPE_retrain_foldWeight,CAWPE_retrain_noWeight
831.083312 ,3350.429389,2616.351172,1456.796268,8672.012266,4332.643746
843.372401 ,3396.048348,2547.956612,1432.059447,2882.236837,4285.562912
853.757125 ,2838.940581,2490.479893,1549.273839,2931.013856,4296.638077
889.800703 ,2702.808802,2654.137634,1499.213955,2898.704947,4245.092682
775.028717 ,3323.492019,2636.215837,1497.437606,2913.417508,5121.364558
801.790452 ,3235.094705,2612.352176,1522.203774,3406.847792,5049.115587
829.497518 ,3241.71822,3419.978021,1555.021611,3334.858172,5069.060312
907.573581 ,13783.431328,12464.191272,1913.654338,15392.943943,18675.152226
893.318664 ,14001.361659,15431.514804,1959.983196,14857.962154,23290.450029
715.445587 ,16301.744006,15437.843998,1670.422922,15212.945544,35537.497216
703.109036 ,15061.799153,13797.773863,1653.066186,14340.575526,23255.152177
709.699394 ,13680.088054,12861.189158,1889.770214,15109.364876,35539.08924
794.363689 ,13829.830624,13206.526602,2136.118348,13598.948239,33693.941184
770.861409 ,15812.229361,14228.623331,2094.659463,15115.679582,35192.057668
775.199913 ,15059.443714,12616.279962,2308.360508,14651.442461,13761.797821
750.036615 ,16780.348893,13915.88012,1912.565992,18532.71082,14797.429381
739.066224 ,15186.547181,15144.814594,1816.008059,15505.457327,23438.997291
803.338892 ,14845.937147,13444.098044,2045.714632,14057.534466,18331.808677
701.551644 ,14518.668268,13539.770753,1965.529614,14638.477771,14739.14394
786.139413 ,15349.110835,12865.777416,1896.492091,39860.143678,18923.308045
755.521381 ,15145.623834,13114.930187,1784.626682,40038.395754,23476.19197
997.755653 ,16405.990557,12914.84018,1501.704399,15304.082297,14674.521021
1091.17366 ,15472.294713,11526.389769,2043.561583,13976.754264,14075.618075
1041.524546 ,16451.232539,13889.252111,2105.275048,14969.01938,21992.523958
1113.274461 ,16981.412782,15191.274842,2471.219687,13828.305263,14755.190304
915.606343 ,16377.821799,12885.515505,1899.999325,15149.169507,13672.104789
957.181061 ,13843.772794,15186.358483,2434.284234,16598.006304,13857.856007
1055.714231 ,13265.775579,15134.678212,1725.456659,13708.301813,14719.766413
913.444076 ,15922.023977,12659.640283,1552.3083,15257.982717,14692.970082
1104.241296 ,16473.021719,14039.627844,1680.579948,14237.318014,17889.326102
971.743347 ,13633.966761,13962.055349,1714.419237,14180.214861,23710.540165
763.779851 ,16593.669698,14149.560136,1831.741763,14399.656068,13740.879075
848.212012 ,14453.909137,13042.262189,1891.180418,13677.570175,18905.090422
724.45954 ,14530.159796,13527.756747,1829.85283,14035.412658,18219.758105
753.450124 ,13761.610254,12393.062667,1991.446939,13712.628472,36368.424902
675.617015 ,15490.827761,14684.983204,1748.644077,15233.861029,23382.807433
689.790121 ,13753.437153,12330.718093,1814.066262,14411.964711,35511.744144
599.837065 ,2117.43067,2059.958013,739.177911,2935.134744,4718.26582
569.789669 ,2157.932186,2190.134846,741.398549,2938.363736,4713.165251
623.861643 ,2349.35733,1991.769811,792.618141,2827.475462,3772.998337
667.502335 ,2179.300196,1932.277144,774.108347,2365.946595,3618.520995
1249.946949 ,1999.604265,1880.330458,796.099644,1889.61492,3633.402498
639.396032 ,1981.201372,1907.613177,885.528228,2308.544293,3644.316366
852.291637 ,2040.909242,1851.88091,760.05369,2322.132316,3605.81019
622.962114 ,3371.767638,3056.173667,756.876657,3698.765218,4590.986212
322.772797 ,2089.78315,1975.328588,682.964473,2024.02852,3666.521302
370.042353 ,2405.197697,1898.682181,688.549818,2049.917097,3694.245043
340.843077 ,2649.443841,2027.928137,718.350263,2147.747561,3705.880916
335.335464 ,2676.424237,2180.863529,709.057934,2091.926312,3667.347902
361.556492 ,2594.42819,2318.559703,706.695715,2008.274558,3752.676808
328.26492 ,1952.688228,2083.566756,758.807207,2022.644762,3807.578411
443.103521 ,2124.863775,2226.301758,749.38457,2250.228988,3773.843227
423.051113 ,2095.256833,2183.776918,746.77094,2176.611205,3766.990881
472.728539 ,2081.035984,2114.771113,729.211733,2079.428079,3780.368682
404.995153 ,2085.887549,2362.549349,719.334018,2196.049859,3669.483618
459.63828 ,2064.349821,2473.498642,715.06583,4855.137908,3786.961068
421.047423 ,2593.880597,2385.820576,757.552233,1761.253242,3739.460829
393.126467 ,2535.484197,2497.55138,859.813952,1775.154467,3227.750338
385.696198 ,2677.871451,2357.957472,736.299755,2107.944414,3184.23088
336.856253 ,3255.263757,2998.750168,824.293448,2645.559787,4177.882437
338.659222 ,2901.57844,2744.851013,834.424387,2186.44221,3534.798667
288.463396 ,1989.765461,2372.549083,818.227667,1658.423299,3518.311176
548.583438 ,2414.115013,2572.224966,879.783065,2195.724558,3801.19905
464.749525 ,1884.315448,2426.149976,797.353448,1960.27515,3744.772123
409.860205 ,1804.254418,2080.432811,862.847988,2089.746849,3758.925826
375.140219 ,1805.447094,2199.703223,2167.821026,2191.986931,3915.008388
284.727325 ,1681.880701,2142.79656,1700.819406,1830.958006,3784.805077
3095.473914 ,207377.554378,159084.306569,69229.686872,215490.866667,210767.839808
3131.565229 ,871055.526438,708721.203515,32478.935218,873483.855249,890709.208997
3474.452742 ,251378.959755,209265.058003,32275.651068,231240.038653,262113.23704
3381.701266 ,1694434.327337,1421438.371418,32395.274207,1589944.03129,2336900.816189
3374.391001 ,370823.19695,303828.383041,27033.748335,354820.381498,416634.13936
3291.212706 ,614776.036816,535602.667927,31650.505135,583319.106767,621951.517058
3370.173259 ,552554.624509,482478.433182,27431.89812,512739.85263,558941.45123
3340.676948 ,275725.528969,244844.863266,28099.195073,268075.069463,290474.538898
3347.41253 ,860380.516936,694560.490154,28338.048845,793239.892733,886978.524615
3334.253668 ,831108.49011,745399.318467,28600.220674,777895.883579,850459.414188
3349.818652 ,639618.625368,585416.274244,34791.63099,619306.044005,654194.419205
3250.170349 ,1692218.964978,1555591.101791,33414.692291,1654649.405386,1732164.594692
3238.755249 ,257711.451341,220310.191676,32891.727022,259656.485187,275471.669723
3000.676349 ,537462.889818,438331.535521,34729.590367,515497.529912,534647.972663
3422.009567 ,3696392.084302,3318129.245417,35739.078656,3386985.005666,3686192.672817
3016.728207 ,914058.715003,834957.262181,26105.557211,877774.501266,944988.374129
3055.354608 ,372134.952643,331449.969553,25452.503809,362756.078649,391246.005105
3294.589812 ,558304.944845,509991.230036,24409.038402,551315.523589,594132.000574
3297.713934 ,266342.040192,217110.049005,27035.820561,262119.414583,278796.052766
3118.367121 ,648271.074475,504465.28499,25840.075594,607632.720059,673929.332742
3306.124469 ,1036222.478448,909709.684066,25887.724168,1043915.269935,1096541.110093
3154.669016 ,291992.861813,276755.859366,27051.98515,315215.023773,344705.977566
3242.936269 ,340031.377259,295537.76092,27233.06066,367463.779855,417448.644042
3254.584266 ,226668.509775,221805.438938,27330.236745,247698.085397,274898.311356
3807.682535 ,426096.07434,396850.995134,27949.639219,406674.696252,473874.431342
4036.361964 ,2857889.968509,3007427.987679,27351.828962,2811396.823692,3044683.452116
3839.71416 ,2465260.581849,2274115.161204,27553.258399,2396770.878752,2701290.115031
4057.169133 ,4749820.602929,4920371.936261,27659.786377,4441051.032025,4802387.92266
4031.71414 ,419151.003907,404845.687353,28037.796363,399277.179143,446201.048482
3956.436082 ,387606.632882,379872.733114,27607.3093,361927.345868,417458.882522
499.340126 ,16764.844618,17305.451522,1560.460696,15716.277772,43675.916951
449.25375 ,16912.142939,14851.995994,1686.25059,20583.855575,43663.833128
605.363388 ,16810.782837,14567.133603,1784.128107,15795.209377,31179.204205
580.742132 ,17802.343049,13912.185068,1865.361194,47537.894061,43671.912266
591.322314 ,17190.471728,17438.637098,1690.313837,41914.803041,33513.73057
626.960216 ,18469.013189,16548.809022,1702.589159,16735.999816,43676.073107
489.757947 ,23700.458756,14936.716273,1777.249351,17384.268956,42384.213645
660.613735 ,16772.554211,15322.416653,1647.818262,16503.630694,43688.01608
650.234958 ,17460.878936,14728.190084,1612.894864,17462.179586,31176.517194
557.357891 ,17083.695917,15893.862661,1676.977112,16589.107448,31585.80884
583.15812 ,19807.571139,16657.080736,1809.341352,17587.024821,18469.207912
566.358149 ,15462.677134,16325.955478,1651.475473,16059.86832,40540.399649
1155.184852 ,14146.046325,19620.116183,3034.0067,21097.005738,33497.67045
1277.613042 ,16790.170008,16222.29925,1390.584003,17678.532387,43653.784711
1160.09542 ,18745.108466,19738.938045,1287.575065,18466.42357,34803.41586
1505.500908 ,17551.834705,18260.607417,1493.827441,15083.132323,46829.713206
1192.899616 ,16053.846225,19744.738417,1387.234278,16844.931179,47784.485657
1221.467718 ,17697.231542,19548.368832,1538.731587,19757.161265,51162.886425
495.278625 ,14276.232734,17482.588598,1497.721095,19171.822522,46728.003974
503.02259 ,16148.422367,18456.524827,1670.213171,16777.526925,49332.575601
586.353 ,15762.162532,15168.348618,1431.050163,16353.231146,46210.205116
628.668295 ,15837.146933,16792.046721,1514.288524,19080.093969,49131.620516
1006.911652 ,16619.530149,17279.907186,1444.722906,17014.670963,48068.232875
898.026546 ,17747.18549,16486.620713,1613.059439,18023.825414,33559.269753
881.554622 ,16137.152524,16079.472695,1656.609728,17021.331771,47421.65532
993.146499 ,17759.367541,19683.218289,1503.28141,14577.523683,43594.511888
617.531441 ,16094.243816,16510.030227,1581.088723,16521.390041,43669.645376
592.756971 ,17085.851092,17893.816936,1593.063489,15565.400716,47596.924893
581.826077 ,18558.237158,14245.236494,1420.243848,18729.528936,33635.347532
582.192073 ,18422.606837,14005.36299,1626.993895,15933.716219,43720.889763
2305.184871 ,70233.623481,65484.133491,9082.818598,76519.919672,79933.705579
2409.98493 ,21932.763161,22594.198287,8843.439975,24260.231973,40705.738428
2896.77738 ,21762.670437,19392.92592,8939.038427,20496.033496,33584.99175
3010.639373 ,21924.369369,24075.421592,9212.243628,20961.527962,33580.661463
2777.104765 ,24333.526718,22145.126845,8959.836395,21883.46111,37944.942663
2745.548641 ,6179041.736494,5664120.478682,8777.532156,5824599.127275,5926514.129938
2930.392447 ,23563.59992,21879.279718,9040.752855,21990.208758,38271.394514
2558.543573 ,24318.089715,22998.583126,9369.326076,23024.841195,35417.390273
2493.690414 ,403212.794554,406694.33408,9473.630459,402967.546191,391452.474604
2477.378481 ,25062.720549,24073.979951,9787.120603,60635.465077,39003.12017
2424.004264 ,2663111.711301,2623907.139085,9505.302609,2898428.718269,2821665.999994
2435.755025 ,2473376.562065,2453978.117757,9405.085566,3681553.745348,2562800.911581
2464.259186 ,5462362.844176,5207765.27836,9560.837589,5208244.373226,5217315.512744
2442.42066 ,21778.966178,20602.181326,13279.380305,25656.143594,35435.275169
2418.891192 ,21995.767502,20165.394079,14707.661316,23406.791104,40882.561699
2878.053757 ,20880.936785,19312.147628,10901.622348,22099.998375,37872.370859
2901.032292 ,22136.932039,17753.521338,11184.116704,21605.294329,33428.434355
2767.15402 ,22514.31192,18404.732749,11175.815258,21545.630065,30252.927804
2915.001774 ,9811467.285466,8804678.510021,8676.928553,9786424.214453,9748137.348255
3031.347615 ,22296.703435,18885.158662,8959.018862,59951.154485,37690.686067
2273.062273 ,25046.963365,22136.892557,8207.972038,26430.919375,31089.304937
2444.427011 ,810973.155995,810853.671714,8703.070075,762616.462279,796243.557971
2462.025999 ,831697.173758,861175.203124,8643.167225,773550.400089,804860.95087
2575.065392 ,496841.59275,499285.730481,8823.819753,458352.799929,465618.444071
2447.942116 ,5120354.780879,4560816.566993,8767.386906,5020451.920542,4689243.01673
2434.689002 ,51437.777658,46508.368405,8821.319802,124157.155447,58433.303919
2325.193171 ,24554.320759,20828.097847,8788.76885,58183.36026,41735.260308
2681.747717 ,7336379.571576,6275431.732131,8654.277544,6804226.003056,7870908.169022
2741.597441 ,23994.357335,22312.076963,9097.067878,23386.944535,37830.096684
2703.239665 ,23497.642346,23328.306589,9496.333899,21569.473431,35055.428355
592.191374 ,5385.515983,7079.448981,2001.071634,5316.847088,6812.300007
625.581006 ,7086.631624,4745.598786,2245.36756,4798.788625,7218.363542
751.841103 ,4956.564572,4255.57106,2308.931052,5528.470793,6658.029871
619.686494 ,5732.571876,5327.342977,2301.372722,5078.755937,7078.417118
594.655314 ,5039.025969,5005.173808,2295.100024,6089.173283,6856.428215
542.395548 ,6639.053674,6786.136005,2205.09159,6652.001674,8682.800631
578.93468 ,5168.691919,5056.214455,2216.013314,7176.128862,6662.583579
781.733321 ,4892.529317,4770.635429,2230.612924,5132.949254,6684.904495
667.705297 ,5420.822905,6746.747016,2319.369682,16083.946691,9381.700094
692.089637 ,5193.645034,4818.373458,2132.706644,7388.630342,8073.491196
780.553837 ,5201.44382,13483.242157,2219.912234,5765.770817,8567.907054
641.725003 ,6048.738044,6976.745612,3946.466718,6022.418297,8011.746133
876.162279 ,7808.440863,5537.914831,3274.150685,6362.498143,8249.786059
737.50276 ,7507.437949,7015.657323,3581.964817,6072.576129,7041.195042
822.448944 ,7916.572654,13938.912817,3654.591496,4697.801742,7008.891213
665.04528 ,5707.459233,5227.716353,2038.823005,5424.526094,8660.402088
912.421563 ,5480.294726,5326.545608,2038.323544,5001.237116,8703.01522
784.944783 ,5592.352067,5236.425649,1862.937609,5231.590889,8592.936959
790.021829 ,5499.21093,5317.003366,2033.967324,5186.266477,8610.730572
585.240021 ,5246.930038,4315.363973,1919.096533,5198.032138,8638.488175
802.660369 ,5807.846301,5198.184585,1962.681279,6647.465255,8683.021065
614.95201 ,5144.048242,5856.903089,1780.267821,5818.275126,6809.754244
827.820905 ,5422.471903,5300.30081,1970.245389,5551.841685,6787.921471
701.570911 ,5094.211114,4684.621878,1998.147185,5537.731639,6544.323976
590.018478 ,5441.555603,4720.838591,2074.139114,5850.225887,6559.367425
850.34444 ,5677.960815,4739.627299,1946.02862,5813.202046,8334.441371
753.165796 ,8761.08028,6103.903742,2010.255484,6229.847976,9029.518271
609.814948 ,4906.340596,5335.308559,2520.323514,5322.576114,8260.24902
864.806281 ,17555.397175,5150.650832,1915.901698,5891.562814,8224.928613
635.902423 ,5439.66715,5510.904664,2026.514972,6249.179273,8612.466231
656.679808 ,2978.532123,3564.459405,1202.635731,9531.791408,4370.678042
1698.752979 ,3525.893918,4032.63205,1400.411378,3691.082194,4376.858993
886.471708 ,3575.193487,3501.423478,1403.200768,3882.429994,5452.352908
1175.293085 ,3266.510214,3449.522341,1227.416489,3516.964023,4446.076427
1016.303627 ,3621.411173,3194.020834,1227.784566,3480.553517,5065.401094
1084.586476 ,3660.548811,3358.451951,1507.921216,2907.02551,5116.482021
1297.159588 ,5412.520321,2735.323224,1503.940233,2971.177629,4549.591136
1006.635458 ,2693.744748,3098.306077,1584.364547,3215.591977,4553.935624
867.493903 ,2965.108709,2769.578312,1448.922303,3163.944596,3961.477794
553.203252 ,3054.001016,3072.196552,1500.143717,3777.706069,4306.322255
542.938536 ,3161.922596,2924.214816,1417.862591,3342.239349,67237.913492
585.078311 ,3296.624365,2683.677681,1472.284666,3031.564138,67232.577248
547.028375 ,2931.301287,3119.732154,1463.242785,3097.363903,67224.162119
514.583508 ,2990.162025,2830.25939,1429.704959,3493.399922,67058.151037
536.049328 ,2967.557908,3212.974546,1584.634593,3296.917706,65945.979817
591.558412 ,9343.42764,3110.666494,1534.389379,3448.435974,67125.192808
575.564416 ,3279.258463,3435.772774,2507.994899,3545.494038,30778.826209
511.314929 ,3320.470859,3300.411308,2409.190399,3545.332427,30546.713586
511.1728 ,3728.66807,3143.541902,2292.405024,10740.35524,67209.819955
461.175402 ,3884.77533,9655.651856,1288.157855,3452.924433,66649.129115
496.214984 ,3168.874775,3127.101286,1513.791955,3132.475442,67145.582205
778.217611 ,3778.863173,3266.645009,1514.568184,3233.547418,51215.120354
772.003001 ,4042.769893,3011.933698,1279.897351,3179.111598,67062.61856
930.133667 ,3805.105839,3024.295916,1356.471576,4092.844918,67972.799174
708.574654 ,4233.143977,2922.752775,1341.53273,3523.074183,67906.473147
694.994138 ,5295.4871,3143.8483,1279.902585,2975.796425,31758.695346
493.435892 ,4123.071123,3249.181038,1465.900365,3643.268676,53307.632608
533.437115 ,4457.980352,3270.108653,1441.234075,3428.452662,67934.056036
539.931402 ,3522.329275,3547.18636,1334.16005,3814.319931,67051.228591
541.606699 ,3494.80319,3530.440056,1302.358768,3797.50895,68373.099797
6053.475568 ,242943.182833,245069.991023,31441.656225,295168.215895,309012.497327
6247.211084 ,238972.321597,222965.175127,33389.347603,295836.583643,318742.972737
5526.189255 ,281889.228935,231877.462005,32557.581673,272963.241769,317094.927393
6720.413866 ,233945.739813,231447.443273,32950.937802,266517.160337,315034.591345
5770.347912 ,240748.227787,231397.917975,32752.263292,278761.651227,304259.725444
5584.420919 ,592130.971725,227960.294976,32584.169873,257244.895991,282849.487281
6792.65366 ,315823.003496,230978.466971,33112.987802,286272.741036,293023.95424
5753.544654 ,319536.207238,217035.579849,33395.843686,259539.852565,336293.827774
5319.839573 ,307218.264248,239724.057173,35824.606611,238905.949907,307593.066381
5970.303288 ,309168.184117,245518.828022,29142.010625,256050.395982,331905.251432
5866.506129 ,224526.060423,245364.548685,29959.866472,256236.92626,317118.485126
7586.314614 ,233442.059098,214491.630049,29306.830052,291659.842045,321199.014913
5541.764653 ,255398.549598,249969.697723,28825.622173,259275.977836,315236.911359
5880.327144 ,252798.880767,232396.260552,29797.538775,255242.323963,305364.749868
6021.649744 ,254878.485962,224924.40705,29853.611068,263912.117576,302443.873919
4617.294725 ,259104.048603,226513.404423,29467.308505,292334.355703,312785.839257
5859.446571 ,253110.687166,232663.872933,29410.665946,263741.022599,307453.927292
7037.559112 ,258646.759414,201891.249504,29884.99479,295438.834527,316826.615003
5204.267437 ,277756.983878,232807.639873,29154.741674,299720.591059,304760.375928
6479.153919 ,277216.523008,229871.735646,29275.86192,256893.579076,262947.233125
6134.165519 ,268507.647019,237344.057565,31919.285884,277308.430486,301543.714519
6161.843642 ,276442.704832,235850.554973,31922.603042,278787.325668,319307.187507
5578.570328 ,275639.898747,213216.559795,31727.87863,252582.310503,319286.210387
5987.670041 ,267055.353512,230890.224802,32784.693009,242262.789823,300838.649258
6614.346375 ,259200.706406,225776.693956,32850.369976,231901.77151,304242.067311
5051.237621 ,259301.827148,230012.795303,32656.109557,258571.975494,307626.931752
7794.105518 ,256858.510514,235128.110696,32681.839228,279207.606207,331837.131522
6118.316677 ,235575.56413,222773.66211,32196.195306,241186.374742,302263.95264
6029.989988 ,230216.962792,207939.738771,32099.642787,247576.163446,321219.076894
5968.162386 ,256924.78473,249993.207402,32176.231084,270939.846593,321256.820152
3810.881262 ,448584.037934,346267.143412,32246.057749,409048.252108,454782.86555
3931.79323 ,361216.223206,327254.165139,32412.868875,364729.061745,409463.622191
3998.214606 ,495902.723655,439297.74685,44946.38728,489117.816159,557770.756647
3947.051556 ,277163.750493,281732.682691,48174.915761,270467.572242,335806.681085
3922.779344 ,649701.192717,613854.84248,49770.620294,704067.68148,679473.987071
3778.331086 ,602348.856367,479690.461025,46878.847179,606630.498488,582502.28069
3835.434167 ,338033.185981,303447.273134,50053.577664,346347.325729,342586.297695
3722.190483 ,476335.369539,425991.885586,28623.58525,424873.075536,502875.624592
3846.272402 ,361356.029499,326036.495625,28348.569229,344485.05899,404742.149701
3711.559283 ,292484.286198,274995.967011,29628.38615,310809.270394,355249.374048
3984.819912 ,147669.447601,130718.718014,29563.854203,121916.888339,170302.373205
3966.43787 ,473504.267569,430115.171611,30481.378005,457691.808904,489672.417079
3889.208741 ,358945.793253,363753.506375,28259.110823,379781.559617,415633.862519
3947.879439 ,398571.025211,350986.561944,29795.366301,403750.735827,421948.452571
3812.073065 ,537746.832136,455083.589308,28906.275966,531414.437815,597192.341245
3888.660658 ,293382.785965,260995.052501,29123.940103,275858.017598,308862.08193
4011.562069 ,91094.453859,87855.169758,29840.7794,92912.61898,124743.682388
4585.499378 ,838479.117897,811753.435765,28857.605374,931338.577118,878176.35699
4503.797507 ,490062.130142,464317.965219,27791.996229,525303.312655,539852.977449
4795.312306 ,858360.929797,855801.860714,29357.354491,882794.286959,913516.863389
4108.121736 ,524260.951139,475369.675554,29063.516877,568536.673817,582660.950736
4100.007287 ,192349.098787,186044.616704,29810.153106,204920.570272,224034.025906
3948.437738 ,913953.803914,809057.999535,28806.612714,899923.64598,954285.33423
3927.75997 ,376929.084716,313662.086354,28379.635604,358759.62375,408807.188177
4740.465964 ,540417.068813,501961.285315,29344.951863,578538.228943,588487.063163
4462.985095 ,224208.410486,215922.856835,30356.538698,188234.780329,260335.332309
4708.203572 ,708139.603828,680863.514118,30333.637045,658072.70578,768923.125666
4154.857679 ,388079.874861,331996.209074,30117.806566,389524.799495,389403.975256
5086.04873 ,376835.668571,374029.283335,30119.319013,437489.235264,457102.163664
5306.711524 ,746118.163837,677314.228233,30767.866974,738095.018602,789067.236564
655.784444 ,9867.886575,8961.17731,1787.836795,8886.249308,61465.868972
820.295131 ,11564.9338,9297.125325,3221.521492,10485.4137,84136.258708
751.474474 ,9732.857689,9409.534594,3078.219226,10826.977799,84417.715122
788.683981 ,10045.118621,9225.232251,1887.192667,10485.783143,84129.750221
882.497878 ,11079.784726,8809.571374,1932.980659,10084.587041,61347.477452
710.144913 ,9777.937962,11499.905879,1547.28562,11022.557956,61391.764835
1251.613962 ,9695.478942,9541.610535,1375.687378,9995.568854,80616.443624
1074.355391 ,10256.058346,8227.051924,1540.067714,9846.764322,80617.077101
1198.406724 ,9801.03541,10259.794962,1730.543716,10036.598864,83370.064475
1279.563365 ,10613.339117,9234.923448,2583.353834,9759.639304,80898.525399
740.2126 ,10919.254419,12407.641696,1879.631464,10355.519817,60415.667001
768.776322 ,11896.581728,21337.716871,1531.492701,10762.755834,64509.536956
740.19118 ,11072.560701,8791.318646,1571.003603,9899.268535,63927.611525
862.515985 ,9663.244049,8656.927966,2720.589046,11258.999045,62283.108339
801.218425 ,10701.346401,8754.969331,1670.194001,9882.569875,59559.47301
876.699952 ,10834.343194,9391.274501,1606.282818,10061.122154,60231.21614
996.707228 ,10566.709299,10177.549312,1697.227503,11776.390412,62231.817466
775.775856 ,11523.577105,9657.038303,1842.165754,11411.384036,60821.687878
897.081762 ,9227.168736,8878.40459,1566.045767,11872.128635,67642.96316
1276.701143 ,9025.097275,8955.063942,1670.105311,10922.981349,66667.277511
1144.415092 ,10400.740091,9447.34889,1473.88925,9656.905455,17387.467658
924.970892 ,9660.355168,10120.96868,1392.585817,9702.437106,41603.786948
981.231065 ,8893.353474,9540.912894,1924.342504,11495.967001,36205.597791
785.322455 ,11371.560034,10876.67897,2014.571886,10308.606136,41172.302961
778.47447 ,9536.980692,9814.332898,1461.38671,11627.381709,44312.952485
794.808493 ,9630.760954,9600.444989,1457.073866,10176.216691,33701.112238
789.608951 ,11608.975614,10394.798125,1499.720327,11104.6396,40897.64709
702.216934 ,9420.77886,9253.647731,1528.451756,10614.090174,36757.532597
768.462421 ,10750.211201,8901.685634,1531.130717,11744.128221,37112.622633
727.089244 ,9740.338545,9964.5718,1496.735144,8988.426647,35696.007492
316.036539 ,1005.712216,862.042663,970.803202,1361.274751,12550.737332
395.235393 ,937.95004,928.868012,392.980863,1324.956576,5318.958306
484.757129 ,1056.779587,1101.513744,389.727301,1454.37424,44349.78592
334.450116 ,924.566481,942.428041,448.243315,1157.767692,5764.526823
496.302981 ,893.430456,1130.558981,430.157143,1137.440954,6899.350145
421.788603 ,1049.253068,1225.459954,441.507563,1460.256281,8534.875288
445.852703 ,1124.880189,1253.299499,413.977252,1558.072387,4991.681609
315.565538 ,1089.646952,1014.728647,429.075917,1748.883587,45152.817556
335.970721 ,991.156129,1295.20299,416.858451,2434.46732,39590.441951
