TRAINTESTDIFFSNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
nursery,0.018926431539459266,0.018848380367118334,0.018768248053521046,0.018686089259393652,0.018601961398167405,0.01851591822158909,0.018428034674423145,0.018338384358795277,0.0012764088833012823,0.01824704916485932,0.018154114337966043,0.018059679978105054,0.017963844752467203,0.017866715261314718,0.01776841165502866,0.01766904973290767,0.017568757062320185
oocytes_merluccius_nucleus_4d,0.04815765893461649,0.04810930861417952,0.048064272073852915,0.048022534616722755,0.0479839825160764,0.04794850154587759,0.047916028851585905,0.04788646647060394,0.1277972333870885,0.04785968461429297,0.047835638267200255,0.047814164874541785,0.04779517523583235,0.047778555898953495,0.047764216480490125,0.047752004871854756,0.047741817960990154
oocytes_merluccius_states_2f,0.04406025286384264,0.04406314617665349,0.04406628137685591,0.04406968849476832,0.04407329767166445,0.044077154039381165,0.04408121023695103,0.04408551952403093,0.08749805633062396,0.04409010245702958,0.044094873156173074,0.04409994409761928,0.04410515420085668,0.044110664861659044,0.044116386357559996,0.04412231614010698,0.044128535073848583
oocytes_trisopterus_nucleus_2f,0.04503733322299644,0.04484960385518299,0.04466045286222519,0.044470311137831765,0.04427968255584382,0.044089055577627156,0.04389892269101103,0.0437097727061814,0.09578774500183519,0.04352205091707805,0.04333619172331653,0.04315265078719671,0.04297180362667727,0.042794076520653014,0.04261976960802056,0.04244925804641659,0.042282847357700167
oocytes_trisopterus_states_5b,0.059639777120787656,0.05964695973079876,0.05964945558437574,0.059656066385680113,0.05966282559519188,0.059671375206839905,0.05967404509806584,0.05968443989692032,0.09564803815021951,0.05969733737974057,0.05968590226505291,0.05969862105210049,0.0597127671520829,0.05972522627540568,0.05974496183933933,0.059754764325475,0.059766525952957734
optical,0.008563400430070369,0.00856820560199752,0.008573192545929151,0.008578357248239356,0.00858369011341556,0.008589211603335553,0.008594903111079012,0.008600770820017973,0.01569533223678642,0.00860681077902173,0.008613025011884833,0.008619407884480708,0.008625967328032811,0.008632699627732457,0.00863959401726522,0.008646659699873422,0.00865388837371625
ozone,0.020810796961420724,0.02077385559983634,0.020736548508170357,0.02069908822970496,0.020661349740553857,0.02062318663186911,0.02058499286696454,0.020546367169091223,0.030090068485035815,0.020507627783880242,0.020468609831109118,0.02042936661734764,0.02038981101495683,0.020350155626572462,0.02031021977278933,0.02027014656217234,0.020229816177817314
page-blocks,0.015468082374085547,0.01545578106055322,0.015443674087678492,0.015431984263980106,0.015420362597399456,0.015409089146425397,0.015398314129118785,0.015387591988932008,0.033586703067670066,0.015377128493623668,0.015367362319577487,0.015357618936211513,0.01534830395647883,0.015339578337296404,0.015331052905327965,0.015322755943041845,0.015314916506724988
parkinsons,0.10615492380946694,0.1062258982482112,0.10631965163904471,0.10643677298469116,0.10657920122430099,0.10674779142316534,0.10694434866460459,0.10717056756115613,0.19318227478135425,0.10742831243767231,0.1077199911759238,0.10804778523898798,0.10841450778461065,0.10882291389858172,0.10927612492283732,0.1097770011312496,0.11032907076384221
pendigits,0.009658072973713775,0.009650928663127953,0.009643841337628248,0.009636770494830213,0.009629930129380121,0.009622486230218821,0.009615938834092232,0.009609455658572819,0.010383709756338896,0.009603013906635793,0.009596252485764949,0.00959016459215101,0.009584145209994439,0.009578409159445063,0.009572815744042399,0.009567646561067662,0.009555765549035828
pima,0.06230594558464681,0.06231659934031389,0.0623350041958547,0.06236166641863906,0.062396954988472135,0.06244144368466785,0.062495511215452056,0.06255970686163073,0.18746444623724876,0.0626344979574688,0.06272037599967036,0.0628179583595123,0.0629276789623179,0.06305011116595212,0.06318571429958675,0.06333506556229192,0.0634986505261015
pittsburg-bridges-MATERIAL,0.21152560335657947,0.21139087398567896,0.21131887258459658,0.21131156626434777,0.21136853234848693,0.2114865168746035,0.21166571786477936,0.2119069839697342,0.4140472036157316,0.21220430196741474,0.21255902597708545,0.21296797113346713,0.21342941614621996,0.21394025696304728,0.2144973024754925,0.21509825198633584,0.21573757577321556
pittsburg-bridges-REL-L,0.25519157379939233,0.2521010272335385,0.25005057756197635,0.24905451445541205,0.24907852055858734,0.2500880843474751,0.2520075146617301,0.2547327457240874,0.6127394404898612,0.2581486098832185,0.26214199914136554,0.26660580288477664,0.27145817228923713,0.2766418022082407,0.282126951143265,0.28789518269609676,0.29395046779415357
