CAWPE-A,PB-A
-1.0414597095225173,-1.2151415993685635
-0.052458027481182695,-0.053788726656739366
-0.043120524404157465,-0.05946480351832963
-0.4290309863990327,-0.4053770891745105
-0.25214792424008764,-0.2507017110171236
-1.3629583412188317,-1.5672354288301975
-0.9685860497426965,-1.4528198911387247
-0.2890403790346492,-0.5125966328985183
-1.0556670870695055,-0.9992099469271449
-0.34160790264236274,-0.4115295563959355
-0.7071344027367115,-1.0798279761492373
-0.8866957061772852,-1.5337177759043183
-0.14101969612707993,-0.2221945197111003
-0.13104831192217084,-0.17699735279520276
-0.7279309331614267,-1.0169888993382428
-1.1435400233044992,-1.5123153055717369
-0.12816405774385145,-0.09943502751585138
-0.23360873252291584,-0.28045493701205854
-0.5566777486055108,-0.6434635174389371
-1.0020658544235963,-1.1234803108727134
-0.06392193889773129,-0.04377361645951489
-0.9290057596424918,-0.9652888372534826
-0.53546256416358,-0.6561631131197083
-0.30490924142402975,-0.3410035654674772
-0.42076384061759253,-0.41350510772244153
-1.3444080015125768,-1.7355367573603628
-0.47782115697453525,-0.6806999795592257
-0.6669001352676103,-0.8154505793812237
-0.14555293012442008,-0.16693600538772277
-0.6717981236727841,-0.8809224765034861
-0.6849508719385639,-0.9003960537788785
-0.20475609207696518,-0.22849927123118274
-0.29605861652983306,-0.3554613984160491
-0.5646456779885339,-0.8195048647470774
-1.6752878461057465,-1.830717215028052
-1.0329101160465028,-1.2391834891991524
-0.8099663699092808,-1.577115255444758
-0.705233731333317,-0.6324242606016235
-1.536217722058033,-2.2034956760650437
-0.5975750313061786,-0.9257376234543317
-2.320711749756018,-3.083445882222405
-2.316162829710038,-3.187220681157705
-0.6109533093669942,-0.8381285356745053
-0.9462294415147317,-1.3225949499734813
-0.5683192824269185,-0.7954511460691136
-0.7723294954483644,-1.2771252294162485
-0.20778945351622038,-0.16409995267387997
-0.26681059436867405,-0.33529001283971904
-0.16011133567614194,-0.2585191597411901
-1.3491392236371498,-1.397414933201968
-0.9710230012138454,-1.0049570848625413
-0.36414794335546563,-0.22358425778864824
-1.0264643959296906,-1.5577832997925105
-0.43396227233246426,-0.571115444656513
-1.507465400561962,-1.7405347337910484
-0.5858107480814583,-0.7846988021441577
-0.4327102619275251,-0.42502286571080855
-0.5870245754091207,-0.852122938709751
-0.24057886025231315,-0.20262896466037755
-0.5533990393126315,-0.5027163125147482
-0.33619619496575354,-0.1853105080744891
-0.22769997258264554,-0.10595598468106464
-0.759016051653725,-0.9879379506280819
-0.15416258811838143,-0.11173119437566657
-5.736896261064203E-4,-7.570213312918624E-4
-0.4235897430351212,-0.5649447175780121
-0.06761006823952899,-0.06081711502437262
-0.06799387533164065,-0.01564665872701497
-0.5479560645346221,-0.7944793198780838
-0.2585522505367146,-0.3366368140619144
-0.5411528920560731,-0.7350298919647257
-0.2830724483891208,-0.40235565821760966
-0.161300911311235,-0.11078777635298055
-0.1647485443078418,-0.19815505895343677
-0.12595925634906038,-0.17008833914066862
-0.3383266063991847,-0.3861908467721839
-0.0745531191766172,-0.054036657075057025
-0.6995832204148187,-1.168894201945344
-0.6741216979587003,-0.8907859285907732
-1.259178012115899,-1.6683872574818246
-1.1568260992365296,-1.5481356611806634
-0.5138307560236675,-0.6124261663798893
-1.8810003059385956,-2.2908663869064996
-0.9568216291028458,-1.7328767289635671
-1.2873960734030179,-1.8061920922781085
-1.8843465858924417,-2.997988882192421
-1.3735785948007053,-1.7727800438164365
-1.2141055678495618,-1.9937385354586925
-2.822261425730805,-3.3948528548081613
-0.12419758214509334,-0.08994767679127234
-0.24838757839741005,-0.31479523679126814
-0.44111842351173386,-0.40242981856057525
-0.380683639092258,-0.47984349549209704
-0.21822852462371445,-0.22617952628304128
-0.9543553709183904,-1.6526120729042624
-0.521674009304123,-0.6966332576155537
-0.9177696468944458,-1.503057057147535
-0.7308352107226547,-1.0444455359469633
-0.5905545914101451,-0.8481861920084334
-0.12859487503028352,-0.10425108961268821
-0.3452642030350787,-0.39968225078733066
-0.019078828938381618,-0.0013022023491472154
-0.6198293248557729,-0.913660337725641
-0.8323605827521131,-0.9639084423791496
-0.1540161086384259,-0.1688264113370878
-1.4435786756300952,-2.264562240314155
-0.047994750329940834,-0.024523585530461443
-0.12136879165498486,-0.06424628528861671
-0.7037958025949382,-0.6950427769056954
-0.9520240742532395,-0.9977946229002377
-0.13391094736369727,-0.11878693176098747
-0.4585742123932329,-0.7066412335787937
-0.5200197701619603,-0.757968586049124
-0.1279390262329443,-0.023227520436449333
-0.4511332552985609,-0.5850692532684632
-0.4635177935950063,-0.5689447215956128
-0.12874534108356725,-0.1153926645994344
-1.2578501005545948,-1.6757760910303268
-1.308596006880284,-1.504394348375879
-1.5086290689510926,-2.121632855777648
-0.2790499215743632,-0.34465952806357636
