TRAINBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
blood,0.03864763738860187,0.03790754689742899,0.03742850857095528,0.03613542664859087,0.03510036902861714,0.03494364446443254,0.034202372791147295,0.03393855653659378,0.032486899371134116,0.033143332906219,0.032968639767538124,0.03264896035383299,0.032512683665487686,0.03255360177756865,0.026556465525730856,0.032785703521224195,0.032558532697739256
breast-cancer,0.03751589875047592,0.03713115754715745,0.03846387137024997,0.03958027518012776,0.03943843447577461,0.03936901652362794,0.03803997171348966,0.037936395719089376,0.03843264391679441,0.038410613863652944,0.04050501243707938,0.0405725927878887,0.04139971879673861,0.04028673908955181,0.05381337204271885,0.041515135359146284,0.0407050101944148
breast-cancer-wisc,0.009999057477575964,0.009999057477575964,0.009867154198026836,0.009827647202904414,0.009827647202904414,0.009807572727407274,0.009771628216214499,0.009771628216214499,0.009771628216214499,0.009771628216214499,0.010034696941832318,0.01008483020937282,0.010146097207232087,0.01030918628502358,0.012202525751854414,0.01030918628502358,0.01030918628502358
breast-cancer-wisc-diag,0.007881643992531991,0.007946293714304645,0.007946293714304645,0.00797086934594425,0.008159963296378045,0.008473483502508618,0.00845491408899044,0.00845491408899044,0.00845491408899044,0.00847219454719214,0.00847219454719214,0.008739651612485182,0.008739651612485182,0.00868301217080986,0.00848707561809019,0.00873547307286346,0.00865518521026221
breast-cancer-wisc-prog,0.049786070817943624,0.0517315543028075,0.0517877504024727,0.05138898049008847,0.052407577338894985,0.051717104544172235,0.05203507170873725,0.051889138049933975,0.05242577242734079,0.051797976494005374,0.04965977188697337,0.048929670978896375,0.05132082846280867,0.0522783202100099,0.05188931950535905,0.05374422635059054,0.05377632998534972
breast-tissue,0.05914316519013502,0.05948980761219862,0.05981939368122455,0.06251139574663717,0.06280747938756936,0.06441758596027135,0.06365476628096119,0.06319706361403206,0.06443489119808735,0.06222818210706778,0.06254389007368487,0.06205276779179364,0.06041406986265581,0.060993403554160386,0.05846493236499696,0.060838919874596435,0.06172545417122845
car,0.011083390706933805,0.011392433141819694,0.011552168871759283,0.011747478569296204,0.01222946997759061,0.012395411422450415,0.012691235655993484,0.012698990087101548,0.01256265359016289,0.012425563754898295,0.012549287568353143,0.01206677931703681,0.012325767624597254,0.012468240628391396,0.016766634996336367,0.012499588969728187,0.012002671425438947
cardiotocography-3clases,0.016453837748754464,0.016157602047002163,0.01660211711710888,0.015901851057632806,0.01568847245433103,0.016424121104738676,0.01642411798756663,0.015774184160699166,0.01592572939386794,0.015744938995320548,0.01583751093293411,0.015899207035485335,0.016102106137471907,0.016226813153591757,0.016586902625017653,0.01581878810239509,0.016012075230039932
cardiotocography-10clases,0.01657381102995377,0.016384546456708934,0.017178329836252844,0.017206877595937517,0.017001464398540993,0.017291927793007023,0.01701368981404849,0.01644508052820538,0.01674522978176238,0.01657731845544733,0.017031292875822744,0.01676387093864688,0.01592627860685299,0.016022581317578683,0.018358350637429497,0.01505498188258295,0.014827017146168067
chess-krvk,0.007445053748807504,0.007096161339181988,0.007147630370195718,0.007065350153249015,0.007144381568433894,0.007239698396517782,0.007007913366268578,0.006971325973999273,0.006974984702471194,0.007306771465306277,0.0068672330302197,0.006667999378864784,0.00704265466801444,0.006713910697944012,0.00786940402949535,0.0070742768692868335,0.008048294665224135
chess-krvkp,0.0016118888752893242,0.0016118888752893242,0.0016118888752893242,0.0016599161102140113,0.0016599161102140113,0.0016599161102140113,0.0016594676939190437,0.0015954108038850035,0.0015767655336772037,0.0015750127175955667,0.0015767924901424319,0.001578019808893944,0.0015941524059506764,0.0015941524059506764,0.0022463828970516802,0.0015478412491095848,0.0015478412491095848
congressional-voting,0.022174141436098055,0.02242619072438063,0.022284887807155755,0.02282399754774113,0.022795589063421485,0.022947563913296228,0.022681318298503516,0.02240212512323371,0.021935986475397542,0.02274933969636214,0.022698801862112532,0.023308942942327392,0.023561780226091678,0.023639551333002544,0.020721679295349436,0.02379892942869698,0.02370580832247767
conn-bench-sonar-mines-rocks,0.023350671922760087,0.02542579958404525,0.025186692258800276,0.025879863301395297,0.026629842885032676,0.02740513957112166,0.02759708350893683,0.027466899559066716,0.028721225158283997,0.030032192121446533,0.029032586820594022,0.029339009497311875,0.029064968248595665,0.030027046205833328,0.030138469959194492,0.029851839719601467,0.03028755373681086
conn-bench-vowel-deterding,0.008242888643598954,0.008259092154578993,0.007939079892244042,0.007520328200871504,0.007275887183286489,0.0073451890224050945,0.007514087781407559,0.007535284121910908,0.0075464816113038555,0.007441316473988372,0.00743500973798461,0.007663985643464136,0.007756465437782935,0.0077307190204722155,0.010843272340709052,0.0077779059429941835,0.007913334816320538
connect-4,0.0034750372520705843,0.0034493208361823864,0.003474852887744148,0.003473303201812077,0.0034997372120726842,0.003555260401775778,0.003571031426007584,0.003610873509379228,0.00371139783569874,0.0037672092261947484,0.0038161408459340437,0.00386002694366339,0.003930362378350689,0.003959338438879301,0.0021667669183248013,0.0040535508295125615,0.004103492849668117
contrac,0.019674854696624108,0.019421782806374684,0.01873141531634762,0.018206465105257027,0.017763745954257018,0.016534429560781293,0.015883575547969875,0.016024260226924533,0.016616886333912204,0.016836479576596244,0.01641790782569009,0.017115953603850657,0.017344221073523375,0.01677434342371622,0.016593719697105897,0.016542686564107904,0.016143588349756006
credit-approval,0.01637510069676764,0.01635036497275261,0.016551573956714218,0.01624629491442,0.016072018593031975,0.016315213777283007,0.0162923648958357,0.016164073633069376,0.01599826319556152,0.01599826319556152,0.015911613310436452,0.015937509009157327,0.01574109970670626,0.01576284562752848,0.019333969810634052,0.01583423338906127,0.015849947709188184
