TRAINBALACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
abalone,1.0,4.0,2.0,5.0,3.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,14.0,16.0
acute-inflammation,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,17.0,8.5,8.5
acute-nephritis,2.5,2.5,2.5,2.5,5.5,5.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,17.0,15.5,15.5
adult,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
annealing,7.0,2.0,6.0,8.0,3.0,4.0,5.0,10.0,9.0,11.0,13.0,16.0,17.0,14.0,1.0,12.0,15.0
arrhythmia,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,8.0,16.0,17.0
audiology-std,1.0,2.0,3.0,4.0,5.0,6.0,9.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
balance-scale,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
balloons,1.5,1.5,4.0,4.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
bank,2.0,3.0,4.0,5.0,10.5,10.5,6.5,6.5,12.0,8.5,8.5,13.0,14.0,15.0,1.0,16.0,17.0
blood,17.0,16.0,15.0,13.0,12.0,11.0,9.0,10.0,7.0,6.0,8.0,5.0,4.0,3.0,14.0,2.0,1.0
breast-cancer,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,16.0,14.0
breast-cancer-wisc,1.5,1.5,7.0,10.5,10.5,8.0,4.5,4.5,4.5,4.5,9.0,13.0,12.0,15.0,17.0,15.0,15.0
breast-cancer-wisc-diag,1.0,2.5,2.5,4.0,5.0,6.0,8.0,8.0,8.0,11.5,11.5,11.5,11.5,14.5,17.0,14.5,16.0
breast-cancer-wisc-prog,6.0,10.0,14.0,12.0,16.0,15.0,13.0,7.0,4.0,2.0,8.0,5.0,11.0,9.0,17.0,1.0,3.0
breast-tissue,2.0,1.0,3.0,4.0,5.0,6.0,7.5,7.5,9.0,10.0,11.0,12.0,14.0,13.0,17.0,15.0,16.0
car,1.0,2.0,5.0,3.0,7.0,4.0,6.0,8.0,9.0,11.0,13.0,14.0,16.0,15.0,17.0,12.0,10.0
