CAWPE-S(ConTie),CAWPE-S(RandTie),CAWPE-S(alpha=4)
1.0564662535864258 ,1.0612695315954053,1.0592625194022982
1.0586035558166178 ,1.0705995870422071,1.067068058987526
1.0669132151274383 ,1.0803720416081752,1.076294880988514
1.0657557532540005 ,1.082188820009008,1.076362439320531
1.0488946647187354 ,1.05506301025287,1.0523673639669877
1.0896115262100365 ,1.1022971359532472,1.0987810452464932
1.0314882308977156 ,1.040578087014397,1.0377410203664201
1.0608142552129824 ,1.074245487934396,1.0689023912668454
1.050279465676703 ,1.0645756003838507,1.0599740717832653
1.0571668634063243 ,1.0626210224433403,1.0604893639495094
1.0704513455427465 ,1.0763521236672067,1.072460796558012
1.064551679087944 ,1.0724369214241118,1.0697030548163935
1.075554005958718 ,1.0867331816846317,1.0832492505334408
1.0585664400896375 ,1.065296541826312,1.0637093051264017
1.0639004304954458 ,1.0747302209808698,1.071109307452755
1.0556169739397905 ,1.064545924254503,1.0613845111973041
1.0675616937606218 ,1.0763828606271961,1.073083884590035
1.046517947258648 ,1.0546248772934177,1.0521272722158936
1.0694371934973186 ,1.0768166516187787,1.074255111570112
1.0819175252842823 ,1.098639695872161,1.092624586887043
1.0776243224367887 ,1.083116710476363,1.080412949598199
1.0667041458450257 ,1.0827472916385885,1.0779018112895773
1.0553412949136236 ,1.0636413774033195,1.06086579772941
1.0571947676546927 ,1.0639391486018446,1.061722986913453
1.0565425566445075 ,1.0659261212113476,1.0623309237728114
1.0729792411459123 ,1.0735496724173204,1.071894134946292
1.0810723615660882 ,1.0944329527188408,1.0893807651642065
1.0676006226964332 ,1.0775430179395278,1.0731110691256736
1.0637529664225929 ,1.0752126436160963,1.0713827177780277
1.0708480075305686 ,1.0821245757292155,1.0781161246617836
0.012594546220374987 ,0.012459397279546385,0.012062902369121688
0.007356558368045659 ,0.007356558368045659,0.007356558368045659
0.0075511119755348865 ,0.0075511119755348865,0.0075511119755348865
0.007483575164149119 ,0.007483575164149119,0.007483575164149119
0.007408972973868143 ,0.007408972973868143,0.007408972973868143
0.007357683195550551 ,0.007357683195550551,0.007357683195550551
0.007097097592479757 ,0.007097097592479757,0.007097097592479757
0.007406403809261047 ,0.007406403809261047,0.007406403809261047
0.007501314561824502 ,0.007501314561824502,0.007501314561824502
0.0073564202734190615 ,0.0073564202734190615,0.0073564202734190615
0.007423649665307232 ,0.007423649665307232,0.007423649665307232
0.00715786351223779 ,0.00715786351223779,0.00715786351223779
0.01819322358501155 ,0.01792548622681839,0.017164741240964412
0.00744435387724559 ,0.00744435387724559,0.00744435387724559
0.007273840877194111 ,0.007273840877194111,0.007273840877194111
0.007564912435433803 ,0.007564912435433803,0.007564912435433803
0.007445592241177835 ,0.007445592241177835,0.007445592241177835
0.007439899672531021 ,0.007439899672531021,0.007439899672531021
0.02219523310361885 ,0.021608144450512567,0.019988364586467137
0.007329515887150726 ,0.007329515887150726,0.007329515887150726
0.007462975829687805 ,0.007462975829687805,0.007462975829687805
0.02854602892380949 ,0.02829811838098722,0.027596489550889017
0.007365676503121034 ,0.007365676503121034,0.007365676503121034
0.01836953259495356 ,0.018084429224145906,0.017275829123065054
0.007408477925378608 ,0.007408477925378608,0.007408477925378608
0.00736524341515488 ,0.00736524341515488,0.00736524341515488
0.007206962751339007 ,0.007206962751339007,0.007206962751339007
0.007530102535811307 ,0.007530102535811307,0.007530102535811307
0.00727772433938155 ,0.00727772433938155,0.00727772433938155
0.007463422455352124 ,0.007463422455352124,0.007463422455352124
0.007842738849589267 ,0.007842738849589267,0.007842738849589267
0.007924963664386981 ,0.007924963664386981,0.007924963664386981
0.01858106783314604 ,0.018309307740724725,0.017539184622159438
0.007859988611676772 ,0.007859988611676772,0.007859988611676772
0.01327049780451351 ,0.01321601290577773,0.013057406873720876
0.007979196979419092 ,0.007979196979419092,0.007979196979419092
0.007656632357325521 ,0.007656632357325521,0.007656632357325521
0.007951384599262205 ,0.007951384599262205,0.007951384599262205
0.007880290240197978 ,0.007880290240197978,0.007880290240197978
0.018764485153724024 ,0.01849319203997204,0.017724412761906467
0.007975843710231313 ,0.007975843710231313,0.007975843710231313
0.00802786852176406 ,0.00802786852176406,0.00802786852176406
0.008015575223740266 ,0.008015575223740266,0.008015575223740266
0.019703694332690178 ,0.019418847381645413,0.018609867530052053
0.017877035679094717 ,0.017659592594105704,0.01704224244894454
0.007739852426318728 ,0.007739852426318728,0.007739852426318728
0.018730562448398286 ,0.01845376156555757,0.0176679709990242
0.018752633245473802 ,0.018481869458969315,0.01771461345121973
0.0077637164233144975 ,0.0077637164233144975,0.0077637164233144975
0.013213320537027427 ,0.013158320712836829,0.012998201045077795
0.013102073077802038 ,0.013047131974478323,0.012887184917389079
0.007948518678442394 ,0.007948518678442394,0.007948518678442394
0.007959514943526147 ,0.007959514943526147,0.007959514943526147
0.00789074404692276 ,0.00789074404692276,0.00789074404692276
0.007718910526131952 ,0.007718910526131952,0.007718910526131952
0.007742309551902029 ,0.007742309551902029,0.007742309551902029
0.007837146842573486 ,0.007837146842573486,0.007837146842573486
0.011789492593621274 ,0.011763508678549287,0.011687771833707483
0.007993889250137508 ,0.007993889250137508,0.007993889250137508
0.00803174126258697 ,0.00803174126258697,0.00803174126258697
