CAWPE-A,RandF,Bagging,XGBoost,AdaBoost,LogitBoost
-1.0414597095225173,-1.09867739899615,-1.0647569371088657,-1.2151415993685635,-1.4627456470614435,-1.1874689078679943
-0.052458027481182695,-0.05153017460422141,-0.30646103256289536,-0.053788726656739366,-0.5271800933973949,-0.20123567264780776
-0.043120524404157465,-0.04140153663110293,-0.21746536257200189,-0.05946480351832963,-0.033305647566414194,-1.2055164404082264
-0.4290309863990327,-0.4456532233844362,-0.4288887938987201,-0.4053770891745105,-0.4412700471039125,-0.40907430334547157
-0.25214792424008764,-0.24026096773149988,-0.35932409182331765,-0.2507017110171236,-1.1463365499710394,-1.55073521228725
-1.3629583412188317,-1.5794622187208887,-1.5888714564003101,-1.5672354288301975,-3.0961254503876683,-36.92972383248752
-0.9685860497426965,-1.2433635027104524,-1.412382781449712,-1.4528198911387247,-2.3961029512178516,-40.882002749295424
-0.2890403790346492,-0.687366008521503,-0.7568874423775538,-0.5125966328985183,-1.033166189498356,-0.15488111673797159
-1.0556670870695055,-1.0916308587334072,-1.002749698685992,-0.9992099469271449,-79.96795236396618,-23.43288792302631
-0.34160790264236274,-0.3318613943408443,-0.3504975556027862,-0.4115295563959355,-0.3702533981285334,-0.39800922726976745
-0.7071344027367115,-0.8767695518120612,-0.6922873574771893,-1.0798279761492373,-0.7640310523721855,-0.9277074708719147
-0.8866957061772852,-0.9233038928077779,-0.8138177720438439,-1.5337177759043183,-1.0896102891881294,-1.635214880514947
-0.14101969612707993,-0.14921004552735467,-0.18265102657574556,-0.2221945197111003,-0.8169438812697207,-1.3977739321675942
-0.13104831192217084,-0.18444749484632897,-0.23562080160098187,-0.17699735279520276,-2.241252881797196,-1.7586282553138604
-0.7279309331614267,-0.7538549991469117,-0.7369614948299922,-1.0169888993382428,-5.945635345165258,-7.013095835138332
-1.1435400233044992,-1.1539130328525171,-1.1665068078451406,-1.5123153055717369,-1.709725760761396,-16.207574163421295
-0.12816405774385145,-0.14921097149206766,-0.2239844871042575,-0.09943502751585138,-1.2480777697592356,-0.28086685864238803
-0.23360873252291584,-0.25268726905689054,-0.30034960557382157,-0.28045493701205854,-0.7893110606673748,-0.6411504611085036
-0.5566777486055108,-0.6362248573153442,-0.7567572702722807,-0.6434635174389371,-2.255731798440874,-2.9246941277976264
-1.0020658544235963,-0.9608313509440852,-1.2120205345044965,-1.1234803108727134,-3.277115487652857,-2.364709552982162
-0.06392193889773129,-0.12822011513702833,-0.07506615710950304,-0.04377361645951489,-0.13378241363542934,-0.12705001535601457
-0.9290057596424918,-0.9445251559830132,-0.932490706952326,-0.9652888372534826,-1.0484087413036327,-2.4266719071009106
-0.53546256416358,-0.6527408646256709,-0.7492298823771368,-0.6561631131197083,-8.188780056449252,-11.689999839211444
-0.30490924142402975,-0.510523782045236,-0.9784383943338227,-0.3410035654674772,-2.9621150405011534,-14.697917780263243
-0.42076384061759253,-0.4601596881405109,-0.5167113844661533,-0.41350510772244153,-0.5640944974803174,-0.5290561492944776
-1.3444080015125768,-1.468233122064668,-1.299525873019401,-1.7355367573603628,-1.4657219719451702,-1.5255794837546817
-0.47782115697453525,-0.4883296519499042,-0.4806890512307915,-0.6806999795592257,-0.6906256618639534,-0.9792238489103134
-0.6669001352676103,-0.7039966500784125,-0.7838159138118148,-0.8154505793812237,-1.0693115626690675,-1.9136074838613812
-0.14555293012442008,-0.21576104899773635,-0.28255904431307144,-0.16693600538772277,-1.649947495764202,-3.9663429689361154
-0.6717981236727841,-0.6460622917015122,-0.6498111280184561,-0.8809224765034861,-6.400545193013138,-6.963473254040051
-0.6849508719385639,-0.7285834375457599,-0.8446408855908812,-0.9003960537788785,-1.4920340263596645,-13.00076993692115
-0.20475609207696518,-0.16981912265047025,-0.2632272343764026,-0.22849927123118274,-0.8174470285585395,-0.32744036241853375
-0.29605861652983306,-0.2672174404763871,-0.3283508892280704,-0.3554613984160491,-0.6964532371768768,-0.49439293265482104
-0.5646456779885339,-0.5400565872172407,-0.5126412052133421,-0.8195048647470774,-6.046782962994206,-9.335537238034792
-1.6752878461057465,-1.6253700804912183,-1.718564704831114,-1.830717215028052,-2.1233900420425464,-29.98302275302002
-1.0329101160465028,-0.9857739963452531,-1.2422581258770626,-1.2391834891991524,-1.6920034044161736,-28.786347997171678
-0.8099663699092808,-0.9565935272145408,-0.7862872995844931,-1.577115255444758,-1.1209044612914598,-1.6496224016100796
-0.705233731333317,-0.7099242248635599,-1.1569688180892619,-0.6324242606016235,-1.5260018368641652,-1.1408119983401304
-1.536217722058033,-1.4939004260895072,-1.5169792235990167,-2.2034956760650437,-2.162242781332557,-13.873561474212107
-0.5975750313061786,-0.587743078941809,-0.5947605627697593,-0.9257376234543317,-1.2675746754881019,-2.157322621407071
-2.320711749756018,-2.097303698251267,-1.9568845381525395,-3.083445882222405,-2.1098399505425687,-36.81120761904635
-2.316162829710038,-2.1541431745784205,-2.0981828716248767,-3.187220681157705,-2.2109978785365154,-15.752719387686243
-0.6109533093669942,-0.5284929848830812,-0.5941377270656374,-0.8381285356745053,-5.347913937735742,-6.992771650009108
-0.9462294415147317,-1.1491271097521447,-1.0353382130312108,-1.3225949499734813,-1.0458964875062826,-1.1479210172082788
-0.5683192824269185,-0.5527619237442415,-0.5549848291022383,-0.7954511460691136,-1.8726431539708372,-2.3597637808553804
-0.7723294954483644,-0.7753253196265502,-0.7619383402449837,-1.2771252294162485,-0.9688901833505881,-1.601152777553933
-0.20778945351622038,-0.2022895900423209,-0.29442603610266355,-0.16409995267387997,-2.167900151280476,-3.1223197111943453
-0.26681059436867405,-0.29592340025384534,-0.37915236847289013,-0.33529001283971904,-1.9027009594710123,-2.509958602532689
-0.16011133567614194,-0.19073492960767305,-0.21300840583320876,-0.2585191597411901,-4.140216698382869,-4.298872748456372
-1.3491392236371498,-1.3890941618794448,-1.3703870071896267,-1.397414933201968,-2.8380199188100392,-1.586779511898044
-0.9710230012138454,-0.9504033994642404,-1.2690941296748088,-1.0049570848625413,-45.40610099138823,-21.25983485889111
-0.36414794335546563,-0.47789630770113345,-0.7364234402511582,-0.22358425778864824,-4.305338635039281,-0.7608412731802282
-1.0264643959296906,-1.4200667758441419,-1.9289037971382366,-1.5577832997925105,-3.48538285156709,-93.66910720158349
-0.43396227233246426,-0.5179673046155877,-0.6745190779351208,-0.571115444656513,-2.453130269376067,-35.63382193283609
-1.507465400561962,-1.3739146576678047,-1.444601563148826,-1.7405347337910484,-30.869465978375516,-25.97556422388546
-0.5858107480814583,-0.6277695648433992,-0.8156251730492223,-0.7846988021441577,-1.3739553946002947,-9.093892102072232
-0.4327102619275251,-0.4360425450792952,-0.46018238854965365,-0.42502286571080855,-0.5401439029149332,-0.5217918509575749
-0.5870245754091207,-0.7393302482535746,-0.5691891293720592,-0.852122938709751,-0.5919762141327772,-0.6898993608140471
-0.24057886025231315,-0.2505402956262506,-0.254941700678312,-0.20262896466037755,-0.2835098041529086,-0.2660604479792549
-0.5533990393126315,-0.676874243604864,-0.6716395305758154,-0.5027163125147482,-14.587992421717306,-3.898221738955115
-0.33619619496575354,-0.5069595338104115,-0.33581489941679,-0.1853105080744891,-1.0512930145372654,-0.4320657657224172
-0.22769997258264554,-0.35332219775816404,-0.47327852015349875,-0.10595598468106464,-0.7646340394769394,-0.8053548834781548
-0.759016051653725,-0.8212280595090512,-0.913097090410239,-0.9879379506280819,-1.0134835506322142,-1.0089603242562044
