TESTACC:,CAWPE-A,PB-A,,CAWPE-A_VS_PB-A,,,
pittsburg-bridges-REL-L,0.660377358,0.659119497,,0,,,
pittsburg-bridges-SPAN,0.67173913,0.647826087,,0,,,
pittsburg-bridges-T-OR-D,0.85751634,0.856862745,,0,,,
pittsburg-bridges-TYPE,0.55308642,0.524691358,,1,,,
planning,0.674725275,0.60952381,,1,,,
plant-margin,0.824833333,0.700791667,,1,,,
plant-shape,0.662375,0.498875,,1,,,
plant-texture,0.811541667,0.708833333,,1,,,
post-operative,0.618518519,0.58,,1,,,
primary-tumor,0.436926148,0.434131737,,0,,,
ringnorm,0.979810811,0.97663964,,1,,,
seeds,0.936190476,0.922222222,,1,,,
semeion,0.937125,0.912333333,,1,,,
soybean,0.927210884,0.906997085,,1,,,
spambase,0.953078372,0.95067362,,1,,,
spect,0.681704261,0.631829574,,1,,,
spectf,0.868159204,0.861442786,,0,,,
statlog-australian-credit,0.662415459,0.632753623,,1,,,
statlog-german-credit,0.757266667,0.7502,,0,,,
statlog-heart,0.820246914,0.810617284,,0,,,
statlog-image,0.976363636,0.975699856,,0,,,
statlog-landsat,0.914559387,0.911142177,,1,,,
statlog-shuttle,0.999586235,0.999737949,,-1,,,
statlog-vehicle,0.80322327,0.761006289,,1,,,
steel-plates,0.772702332,0.773868313,,0,,,
synthetic-control,0.986333333,0.962,,1,,,
teaching,0.562719298,0.544736842,,0,,,
thyroid,0.993416667,0.994805556,,-1,,,
tic-tac-toe,0.988448156,0.988378566,,0,,,
titanic,0.782773236,0.788767787,,-1,,,
trains,0.666666667,0.527777778,,1,,,
twonorm,0.976078537,0.971467171,,1,,,
vertebral-column-2clases,0.848817204,0.829247312,,1,,,
vertebral-column-3clases,0.845376344,0.827526882,,1,,,
wall-following,0.988213021,0.995407353,,-1,,,
waveform,0.861415434,0.848727176,,1,,,
waveform-noise,0.860829002,0.853645209,,1,,,
wine,0.981481481,0.977407407,,0,,,
wine-quality-red,0.65505618,0.636953808,,1,,,
wine-quality-white,0.645763634,0.620508636,,1,,,
yeast,0.607740492,0.572170022,,1,,,
zoo,0.942948718,0.942948718,,0,,,
