SMLRE-A,SMM5-A,SMLR-A,ES-A,NBC-A,WMV-A,CAWPE-A,RC-A,MV-A,PB-A
0.666251397540329,0.6623063408401215,0.660948730234787,0.6592077942820638,0.6545280306660276,0.6545120587765532,0.6552148219134324,0.6523877974764413,0.6536336048554542,0.6328541766490974
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983050847457626
1.0,1.0,1.0,1.0,1.0,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.99
0.8702784602784602,0.8701733551733551,0.8701788151788149,0.8686063336063335,0.8559254709254708,0.8634520884520887,0.8643188643188644,0.8602361452361456,0.8634520884520887,0.8697188097188098
0.9619791666666667,0.9639136904761906,0.9546874999999999,0.9449404761904763,0.8892857142857143,0.9427827380952383,0.9419642857142858,0.9423363095238098,0.9435267857142858,0.9418154761904761
0.9328828828828829,0.8519519519519518,0.856306306306306,0.7285285285285283,0.766966966966967,0.7142642642642641,0.7232732732732733,0.6938438438438438,0.7061561561561561,0.7171171171171172
0.9979166666666667,0.8538194444444442,0.9930555555555555,0.7416666666666668,0.8173611111111112,0.731597222222222,0.7368055555555556,0.7371527777777777,0.7295138888888887,0.6684027777777779
0.9691239316239315,0.9738247863247863,0.9569444444444443,0.9338675213675213,0.9172008547008549,0.9142094017094018,0.9201923076923078,0.9095085470085471,0.9133547008547009,0.8738247863247864
0.9714285714285715,0.8571428571428572,0.5714285714285713,0.6523809523809524,0.9000000000000002,0.7476190476190477,0.7095238095238094,0.7190476190476193,0.6142857142857142,0.4714285714285715
0.9020353982300885,0.8991592920353981,0.8982005899705015,0.8982300884955751,0.11504424778761059,0.897536873156342,0.8973598820058996,0.8946017699115044,0.897536873156342,0.8941150442477878
0.8050802139037431,0.7979500891265597,0.7946524064171123,0.7868092691622102,0.4426024955436721,0.7871657754010695,0.783957219251337,0.775579322638146,0.7871657754010695,0.7355614973262031
0.772769953051643,0.7657276995305166,0.757981220657277,0.7392018779342723,0.656338028169014,0.7335680751173707,0.7293427230046948,0.7375586854460093,0.7335680751173707,0.6694835680751174
