TRAINTrainTimes:,RandF,XGBoost,CAWPE_noRetrain,CAWPE,CAWPE_retrain_foldWeight,CAWPE_retrain_noWeight
bank,4811.52377,14285.586383,52157.211999,52605.940235,53773.981862500004,67588.4689875
blood,1426.327158,1631.073514,2647.3468030000004,2824.3312715,3199.9738230000003,4296.2370525
breast-cancer-wisc-diag,798.8512905,1898.245708,13668.772308,15166.0855075,14913.490767,18914.199233500003
breast-tissue,422.049268,759.4304485,2194.9190344999997,2141.3979805,2181.5267075,3755.8013170000004
cardiotocography-10clases,3337.465308,27993.717791000003,507228.25751300005,586540.4908305,567317.315178,608041.758816
conn-bench-sonar-mines-rocks,622.2458285,1620.026667,16602.944879000002,17084.7735045,17202.8003635,43673.914608499996
conn-bench-vowel-deterding,2566.8044824999997,9089.943238,24074.7007715,25054.841957,60293.309781,41308.9110035
ecoli,719.5368355,2168.899117,5321.774487000001,5489.752828000001,5815.7385859999995,8237.357336000001
glass,624.11911,1456.0825439999999,3203.49769,3550.5437025,3486.9767195,66297.554466
hill-valley,6004.6598925,32137.9369355,231422.680624,259152.3775045,265214.6389565,313910.21530100005
image-segmentation,3975.6288910000003,29825.466253,400010.5844605,461044.1527515,431181.15540000005,473387.29037149996
ionosphere,810.7567779999999,1670.149656,9494.130892,10328.399218499999,10485.598421499999,61428.8169035
iris,300.4726015,418.97991,1094.5195210000002,1006.171568,1164.9876365,43403.462735
libras,1682.749337,23052.494572,113657.24069199999,131988.742447,130613.5085595,152863.0353695
magic,54602.316223,65175.556301000004,183683.56935950002,188408.8984775,187763.642227,206769.90882399998
miniboone,550734.0844139999,1975769.3353925,1.8214718480639E7,1.82366333176645E7,1.8343838770232998E7,1.840283677417E7
oocytes_merluccius_nucleus_4d,2838.2857095,11186.541218999999,38003.5347885,40434.315098499996,41873.383757,54175.510978
oocytes_trisopterus_states_5b,2024.2238115,6921.6199345,25404.665969,27121.732873,27091.518873499997,36176.3622005
optical,8175.1005555,145111.095244,623291.7850975001,693134.2480715001,693098.588307,717802.5967039999
ozone,2893.8706385,24422.891247,299037.752632,366932.3489045,361350.40828800004,367455.8675355
page-blocks,6808.4401634999995,25551.562445000003,57438.1867205,63429.02344600001,63270.1845765,74850.016049
parkinsons,459.1977015,727.178373,3310.932646,3484.730842,3546.212317,26282.652429
pendigits,16751.400787,108888.349253,297449.626807,310643.07184,322417.49713449995,339452.55955999997
planning,495.458314,809.7531495000001,1810.3811795000001,1647.5748429999999,1848.6125005,30839.5619105
post-operative,347.7299335,530.4759775,993.277065,965.518437,1122.7174304999999,12151.909485
ringnorm,27662.687120000002,44279.3916615,116066.8726225,127366.73278600001,129902.52131499999,136145.771308
seeds,431.301741,604.926643,1580.948492,1717.1203515,1684.15553,13435.005945500001
spambase,5934.908307,39632.4396155,324402.5911645,357560.83142299997,355098.620366,383491.74392000004
statlog-landsat,11130.2995385,91074.28698199999,242554.93,271377.851107,281842.5840535,283842.892855
statlog-shuttle,33947.4119315,178037.96663500002,1369802.97267,1467832.4023065,1372878.041737,1514558.4652485
statlog-vehicle,1672.1684855,5845.8129475000005,11925.594217,13194.038491,13261.597335499999,28050.0657485
steel-plates,4745.536705500001,29364.550113999998,835437.892417,887903.426643,903851.1134794999,959508.280791
synthetic-control,1377.9397275000001,8137.1034675,51620.015473,56276.7337455,56946.288516,66239.109071
twonorm,16339.840051,43869.0842365,116387.29657450001,124206.3145015,126695.3477165,145159.6079765
vertebral-column-3clases,658.5159000000001,883.9984595000001,1900.9545925,1890.6723615,1981.4166735,24019.627474
wall-following,9309.5125,35732.669183,119124.9625235,129069.11718550001,131008.589618,149345.5346415
waveform-noise,12720.577196,76568.48932200001,206903.58130299998,226807.500586,224843.454986,245702.8745685
wine-quality-white,9984.1962355,39101.211595500004,65993.6838925,70482.9425035,69630.420953,85070.3187985
yeast,2431.781399,12335.601578,22481.617171500002,25373.18234,25207.0671775,33631.135314
