TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.007832500807763248,0.007853698504049473,0.00788513719970231,0.007919200734210746,0.00791695105827991,0.007759502399236773,0.007521684665977295,0.007853362479571548,0.007767745357579754,0.007673319511669909,0.007928542549651712,0.008026394373089484,0.007972621880335488,0.007951475711610654,0.007851278806815439,0.009846104684627828,0.007875509341962524
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005171670790328203,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0030429030972509313,0.0030429030972509313,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006709631665607486,0.012066228480009867,0.006709631665607486
adult,0.0016007037179952854,0.0015695301251249542,0.0015654648923517347,0.001568267785296689,0.0015539578200595644,0.0015759355129999334,0.0015720977415781005,0.0016198506933518062,0.0016224545054827166,0.0016215204676341105,0.0016046724736085499,0.001626997595667758,0.0016922499670235355,0.0016834774067413238,0.0016956635335019985,0.0017782437982232703,0.001663658647801698
annealing,0.009030932638779831,0.00899535013020232,0.008965696625828612,0.008891613267080432,0.008693276900975556,0.009018240716776931,0.008973358524357662,0.009414379915981702,0.009424411871852124,0.009337416847802813,0.009977855642055517,0.010085184331378809,0.009884435529664243,0.009184361952341387,0.009744683078594801,0.008226168495214426,0.010647584179079057
arrhythmia,0.024022729591305383,0.024407980743767134,0.02396440775340192,0.024067347288778195,0.02369083304941459,0.023019777419943502,0.023141036030287814,0.02372821272952288,0.022787608472373693,0.023485174416006553,0.02297870821614901,0.021641136648961373,0.02249869299596522,0.02251734433587574,0.021752927896527222,0.027320555791930067,0.022089130398879532
audiology-std,0.03050476338345308,0.03009105753035307,0.031309808667156463,0.030643459198248787,0.02984133489305117,0.02873630566739507,0.029070723424240486,0.029207688721632357,0.030472037330439343,0.03209855276673747,0.03198177374960834,0.033159267739759225,0.03344576644037574,0.03413232142092153,0.03446504374148062,0.029346139799582727,0.03276766496863649
balance-scale,0.01368519727490472,0.01343924023003749,0.013059589304703065,0.01276744469119241,0.012543518899877752,0.012188306329734132,0.011653424891315737,0.010577871957722628,0.01018721593635919,0.010159359762253916,0.010098156487181615,0.009423746044078023,0.009179376862975219,0.009391111769571121,0.009362778760772074,0.011708012711238707,0.00936277876077207
balloons,0.1825741858350554,0.1825741858350554,0.18657750626924083,0.18657750626924083,0.18657750626924083,0.19012693760856206,0.203188286348217,0.20938568368448615,0.21117056996096822,0.20525582922403948,0.20548427206516465,0.21050301116737616,0.21681593227201043,0.19379296153356138,0.1975690877952917,0.14602401159879858,0.19667658622311673
bank,0.004151352535888924,0.004143213153111115,0.0041807653341237976,0.004234038585393108,0.004256303343152278,0.0042515421392546725,0.004263039279349878,0.004256699869756528,0.004243064585147382,0.004223927878817026,0.004223927878817026,0.004240093436811,0.004238500893460335,0.004194388531033042,0.004259870753817846,0.003985097177134906,0.00427632144969002
blood,0.016784735996193813,0.016617692614753616,0.016716054377675173,0.016297131359640372,0.015902846175566487,0.01605404566902825,0.01614897139358086,0.01623144944937875,0.015549614528676363,0.016304189013987374,0.01644770397107832,0.016637213922260915,0.01659691059465819,0.01685923151985505,0.017625579009110614,0.018002910826864015,0.018079204821742297
breast-cancer,0.026732004221669246,0.026651918547020453,0.027336116146604656,0.028250852464325953,0.028117364012533813,0.028976015173584117,0.02823874322567949,0.02875384483732199,0.02926961915059872,0.02993112491119092,0.032421453998420266,0.03196194127516351,0.03246450164696248,0.03210430350197676,0.034358294141406134,0.045636520903907477,0.03322382008448368
breast-cancer-wisc,0.008667597959968095,0.008667597959968095,0.008559683567868268,0.008549203556992553,0.008549203556992553,0.008493276951373306,0.008435861038629998,0.008435861038629998,0.008435861038629998,0.008435861038629998,0.0085926944253061,0.008647978120511846,0.00872348876913913,0.008810141831781944,0.008810141831781944,0.010451874968203358,0.008810141831781944
breast-cancer-wisc-diag,0.006714911157546444,0.0067751263068008055,0.0067751263068008055,0.006753004246273007,0.006990460341484393,0.007203314440697811,0.007186478458993687,0.007186478458993687,0.007186478458993687,0.0072062814132025765,0.0072062814132025765,0.007382117872837484,0.007382117872837484,0.0074551148290474736,0.007512242981184078,0.00830595502112094,0.007425426412605284
breast-cancer-wisc-prog,0.029912240526355174,0.0319025886211893,0.031449189126943444,0.03121426947642835,0.03187444010070492,0.030960177708667436,0.03185753905018055,0.032543285447528075,0.03298164780161646,0.0328361772599422,0.030989156696362027,0.0307876746716782,0.031676700092300454,0.03208401951536563,0.03318423523661212,0.03562453116393814,0.03375635772551467
breast-tissue,0.05526118479108755,0.055495302745465366,0.055479981016088455,0.05751150566942006,0.05789090486376704,0.059402159967928234,0.05909724635689286,0.058881062558240965,0.05985839350789141,0.057659141660424816,0.057289338322099134,0.0567975112802346,0.05547998101608845,0.05591880609350922,0.055720808882089336,0.055766562941159316,0.05702159491463015
car,0.003609329474894212,0.003617657968618418,0.003821185307563543,0.0038308663583772372,0.0037508676151327166,0.0036854929813924277,0.003750867615132738,0.003681303015302235,0.003633833011367309,0.0035315237505625595,0.003434708755537987,0.003462678247288051,0.003523648687799653,0.0035104843253849502,0.0033760185775829994,0.004651778987699987,0.0035216771705528795
cardiotocography-3clases,0.007049400074270768,0.007070187570722023,0.007195563508050738,0.006853235452333611,0.006927999829916588,0.007271643555010763,0.0072449657482754615,0.006845498237953294,0.00700356681208785,0.006974402776874013,0.006954428103079626,0.007091201569778484,0.007236309493762117,0.007295151084718537,0.007203844320403145,0.006714726445472028,0.007194501176140859
cardiotocography-10clases,0.009646754331889757,0.00972675128327824,0.009690504488934217,0.009864394428527113,0.00960141986556437,0.009946035179899072,0.00987418966274027,0.009780869615826932,0.010079263819893035,0.010187634989900933,0.010606054361868187,0.010799084367402621,0.01083053589668872,0.010611839956226268,0.009793046809355293,0.011242955399180118,0.009231674199735022
chess-krvk,0.0034500898307217778,0.0034443730166587925,0.0034962267019418907,0.003479890247726394,0.0034335304640356347,0.00344071280385905,0.0034812629410049785,0.003468467080201152,0.003552857202284282,0.0035670668638922115,0.003650697859865931,0.003647427380881698,0.0035394417812802644,0.003712123468229886,0.0037524109608017883,0.0035382122422775416,0.003900284567652399
chess-krvkp,0.0015971425247291958,0.0015971425247291958,0.0015971425247291958,0.0016483828958040385,0.0016483828958040385,0.0016483828958040385,0.0016471520957765968,0.001582401099758275,0.0015613272813222207,0.0015594499042701773,0.0015629140697480631,0.0015642111538965978,0.001580120981715453,0.001580120981715453,0.0015398187671142323,0.0022410730305704,0.0015398187671142323
congressional-voting,0.018916797942059832,0.01912278058004077,0.01903834723222783,0.019651585947245465,0.01980192847852829,0.019903365574460857,0.0197135941347534,0.01969811038761921,0.019390874466645752,0.020195558567073963,0.02021186893813688,0.020806952699770995,0.02105477084626411,0.02133348632017013,0.02163795745351994,0.01924683391819575,0.02153618974002328
conn-bench-sonar-mines-rocks,0.023416464136546168,0.02546237684333943,0.02515629923911854,0.025760613131321962,0.02650685114372222,0.027240603951431495,0.027531384349000407,0.027312101722572115,0.028560894010018295,0.029944246552687806,0.029109469576136797,0.02934670844826743,0.029062907804790306,0.030097627348094232,0.030025545751740833,0.029616818149174114,0.030631064866225053
conn-bench-vowel-deterding,0.008242888643598931,0.008259092154578972,0.007939079892244023,0.00752032820087148,0.007275887183286467,0.007345189022405072,0.007514087781407536,0.007535284121910886,0.007546481611303834,0.007441316473988353,0.007435009737984586,0.007663985643464118,0.007756465437782918,0.007730719020472194,0.007777905942994163,0.010843272340709028,0.007913334816320514
connect-4,0.0014375313586535514,0.0014105777491112933,0.0014202334496482441,0.001371909820828084,0.0013800239635130248,0.001408411007573175,0.0013746376900773609,0.0013863677325523984,0.0014325174843920015,0.001445569514200437,0.0014512156184769,0.001459936262548177,0.0015225644958110724,0.0015119504777981686,0.0015068496111067511,0.0012650775204273734,0.001526327358088235
contrac,0.017228518014135264,0.017175270056229933,0.016373378716035794,0.0158107196607803,0.015622000117079326,0.014665411185718461,0.014208542381211069,0.014577007768641828,0.015040156275838884,0.015493651426436873,0.015178160339030728,0.016039916527308372,0.01637916035678234,0.01602797367156806,0.016032552817772126,0.0169531407677082,0.01583573025504779
credit-approval,0.016157131042037465,0.01613908576887187,0.016330540694367603,0.016044923196177906,0.015880630147451148,0.016094789343800382,0.016096901461492827,0.016004008052624488,0.015865943988193066,0.015865943988193066,0.015782464285479542,0.01580091683975982,0.01559580388033997,0.015621629144112333,0.01568120652535378,0.018800395763423548,0.015691423607206916
cylinder-bands,0.02265206932295743,0.022817546014313232,0.02335090864765944,0.024514654477851866,0.024458786262609482,0.024057881330134364,0.024797766012662315,0.023521162938142395,0.02359263789530953,0.02422099486722454,0.025001683671753264,0.025334784695220144,0.024890598900257622,0.025304652470383993,0.025828419275621548,0.021632238366721776,0.025990880795361247
dermatology,0.011483143287423975,0.012390149449590068,0.01230584262251603,0.012799293145004116,0.012701317102257362,0.012701317102257362,0.012701317102257362,0.012770794444950698,0.012770794444950698,0.013375974743035545,0.013375974743035545,0.013375974743035545,0.013278333834108055,0.013664711964591254,0.013542270411654447,0.01456809363146199,0.013607454667404175
echocardiogram,0.041020114570301656,0.04379159588275486,0.04294789315227394,0.04255334198667819,0.04339217722913611,0.04258210180506889,0.04182141568668819,0.0423129166455274,0.043090183635364605,0.043763630905769825,0.04387538386914347,0.04605353082912927,0.0474157005298532,0.0464798390012808,0.04615089881541258,0.053751337512956354,0.04710485004659278
ecoli,0.01896317741387867,0.01820337447596824,0.01842770125716854,0.01886172214289045,0.019406718760161583,0.019928452151207456,0.020181162111518776,0.0204898686920469,0.020792989720614153,0.020610640156902924,0.020723664491242612,0.021260172493496512,0.021253304403350087,0.021815043117911277,0.021629739348682227,0.02668310252106559,0.021499173429809417
energy-y1,0.012495129592807798,0.012496383746137547,0.012364003065974873,0.01263730141934508,0.012495129592807802,0.01257514324689415,0.012612474910579277,0.012581372883284833,0.012581372883284831,0.012771450937146349,0.012775438325410293,0.012449895931812451,0.012178826269939255,0.012080310058151036,0.011885772656320294,0.013004916434044268,0.011536508099680723
energy-y2,0.013923557875166324,0.01404765895653081,0.013885236600589278,0.01324136711261456,0.013417722663009972,0.013312189691827517,0.013518085351500172,0.013553687123907636,0.013719178326896397,0.013444850710263268,0.013470179100389784,0.013495750263297928,0.013633523042023692,0.013787830907824832,0.013946893384863455,0.011651066666124888,0.013760240143009314
fertility,0.016386144974533737,0.01553638665664665,0.016386144974533737,0.016386144974533737,0.01634400308313755,0.01634400308313755,0.016386144974533737,0.015521583045227235,0.015536386656646651,0.016344003083137548,0.017991057804352163,0.01788854381999833,0.01960530071414245,0.024030631792939138,0.02863965581248266,0.039421098266102975,0.0339099551381488
flags,0.04440392294881088,0.04473970634051484,0.04530895607535634,0.04621380741908833,0.04653251319757788,0.04489971264275863,0.04544089216460432,0.04567086320455633,0.04639158456847478,0.047439002644479554,0.046803771979615015,0.046355276526814024,0.04687965600546034,0.043467145756503414,0.04193519791004674,0.04806713630862439,0.0426371650281153
