TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
glass,0.028150521249863888,0.029586070621881563,0.03076932099086359,0.030021581971208713,0.030323921743156127,0.03307980841564226,0.033993770117595565,0.034355278209851146,0.03405046091461799,0.03513542937065054,0.03799110013712564,0.040245810772674404,0.04021082398656906,0.04286139977642088,0.04069405931936795,0.03615185332835269,0.042273592053268215
haberman-survival,0.022510093680587727,0.023415707635918416,0.023824323405087337,0.023210845598395508,0.02333056706625887,0.022747534581672123,0.02314645437317241,0.024453949982674587,0.024584821067948365,0.023949287930888453,0.02419316857186206,0.024621219079260893,0.02719438505057116,0.027585808893234847,0.030550954082713862,0.04155866858283223,0.03289019932406974
hayes-roth,0.039679933983932825,0.04037015156781966,0.039400461549498146,0.03920364545363648,0.038442245015740235,0.040642956687038864,0.0413772229952849,0.04279507976792164,0.043353063006194965,0.042848841101357664,0.04196942953229316,0.044017072227608985,0.042665776179683916,0.040267373158834316,0.04342946360727754,0.04968003418361212,0.04712104379027066
heart-cleveland,0.028593241080795116,0.02804939995442541,0.027050872087886518,0.027163945753782365,0.025771369265497827,0.02674700541837487,0.026937323781622478,0.029684591425039344,0.030709781452882078,0.032475553237933205,0.03240941792705278,0.0317404866531018,0.03296269031413924,0.03356167004248846,0.032850915221752465,0.027741739073920118,0.03379451087850275
heart-hungarian,0.023861409234529552,0.02323457137783738,0.022842067270538936,0.022850216213075453,0.022995246840997637,0.023188739256322304,0.023096802174099103,0.022673782072274693,0.02262211189888063,0.02197808642204543,0.02224750062667608,0.022036095329069486,0.02229407479528398,0.02250423848367645,0.022761585868244644,0.03392434922818493,0.023081827810095133
heart-switzerland,0.06399068900876141,0.06717702754334147,0.06946482642796513,0.07571806809044272,0.0742785511420434,0.07243414101930676,0.0711844967362705,0.07272992643004064,0.07682976749169378,0.0790003869675532,0.07630529854978742,0.07670905446936586,0.07942933738182821,0.08415949015610753,0.08264090957272292,0.07100200550868324,0.07755009983416676
heart-va,0.053208719454081635,0.05523640955292206,0.05255226198719538,0.055236409552922056,0.054099427288861336,0.05471697514236029,0.055900158768949444,0.052853780609958205,0.05587497757073386,0.05600077033263677,0.05320871945408163,0.05355473713085333,0.05361273649535685,0.05483687005498349,0.05926077650232496,0.05524171722472448,0.06337200142217062
hepatitis,0.03193624118287572,0.03229841009812476,0.03238233335417648,0.03265656272240678,0.032668433519862615,0.03281940982225938,0.03299614459401788,0.03200900279118322,0.03247798010736763,0.03223833115827608,0.0340941965588402,0.034947806565385854,0.033256571359678945,0.0318389670450731,0.03244214562042692,0.033092946399689065,0.029849678545583902
hill-valley,0.020649697379724618,0.02063855375839087,0.020855793386593092,0.01998300285720047,0.01970254678221267,0.020387939093736283,0.018975784352376544,0.019696191378061296,0.02159429461160881,0.021803735798950747,0.021241447629021182,0.02059847797462651,0.019479195255663787,0.0193777018263075,0.019283466550782915,0.023494585887115324,0.018460768786132453
horse-colic,0.020706516000529127,0.02060790515672597,0.020849487468449227,0.020847044789339627,0.019965265722916254,0.019617897870762128,0.019024862312317817,0.019127197490843385,0.01924046093819095,0.019020400466924176,0.01870451918313775,0.01798176195207683,0.018649076719518685,0.01814808492789812,0.018580683014444627,0.02387098204432096,0.0180496036759839
ilpd-indian-liver,0.01978163452377849,0.01945192617443125,0.019708421790676296,0.019873027281148377,0.01976103866077356,0.019488526342058294,0.019718061518222946,0.01970463346460882,0.019210735921673994,0.019321699095085416,0.019315024144063806,0.019447738912263614,0.019996949781432488,0.020473545707572628,0.021311638591850594,0.02233145193305676,0.02104340380088337
image-segmentation,0.004141222557432764,0.004065631123310905,0.003880981082968337,0.003804182316473682,0.0039062083894941,0.004166218329849555,0.004318143314277071,0.004386246415560818,0.004349852767663556,0.004312452808864909,0.004178196180634726,0.004001224608213566,0.0038879681521717434,0.0037402265676656655,0.0037738243233105028,0.0038676374605779097,0.00397573333783655
ionosphere,0.013874542594527783,0.013711274984247197,0.01362890774922119,0.013479378434276226,0.013760458671416436,0.013595821134967797,0.013700321297670166,0.012972841947549742,0.012586645514997125,0.01308948970712262,0.01308948970712262,0.013315493577917108,0.0136289077492212,0.013975616311220136,0.013884007274102562,0.01397695902307522,0.014071964098400625
iris,0.019956530025956015,0.019956530025956015,0.019956530025956015,0.019956530025956015,0.019495554066311913,0.019495554066311913,0.019495554066311913,0.019495554066311913,0.019956530025956012,0.019956530025956012,0.020857725184503854,0.021565783409107392,0.021565783409107392,0.021964792447908398,0.021964792447908398,0.019305965568015757,0.021964792447908398
led-display,0.01883188916644288,0.019100279550062185,0.01912044938634361,0.019247943597571593,0.019485930765074738,0.01958530214081809,0.01960008692251635,0.019604972986269023,0.019526170705274515,0.01951791391526067,0.019557729719061147,0.019566686063604836,0.019394001597234155,0.019463379262949616,0.019481974145662075,0.020605506705701986,0.01963961719010532
lenses,0.13181187604274022,0.12841700856846874,0.12722793658780235,0.13152328921368123,0.13920754427068663,0.13920754427068663,0.14110530041115654,0.14140792144354553,0.14340907641914455,0.14059948458661115,0.13951428179486283,0.13951428179486283,0.1427118641390729,0.14420176275051313,0.13536731112022654,0.10923014451335962,0.14340907641914455
letter,0.0015435259067270977,0.001530040330224088,0.0015394900206551776,0.0016170192715763614,0.0016932526378055429,0.001697177207485051,0.0017450975524885694,0.0017830494961784203,0.001909784494168732,0.0018931862006642615,0.001973616975149511,0.0020641989291843963,0.0020480765453527606,0.0021324927260298193,0.0021805934941135706,0.0016699354481240563,0.0022510098630839984
libras,0.02787085300600848,0.029358594332167504,0.028654120236001304,0.028577876889964354,0.028661547752496037,0.029467147082838638,0.029881393658244746,0.029949581586515058,0.03087117843572708,0.031243560426335706,0.03051983282765506,0.030880370390206704,0.030496576074427992,0.030891856487085298,0.03288599362493558,0.03376949636331224,0.030440687372466548
low-res-spect,0.016672998385640122,0.01659019933304787,0.016714490772619855,0.01714746556163949,0.017272043623078718,0.01694964170431851,0.016924812044521075,0.017106541339019975,0.017279680629420216,0.01707614598257675,0.01701809988186335,0.01695985511612297,0.017243374724888887,0.016930657593409806,0.01664775612523052,0.014431814182186952,0.01668931126876081
lung-cancer,0.11444797822167668,0.11155467020454345,0.11155467020454345,0.10465536703532018,0.11292013927730576,0.11703008531337,0.12398244839322439,0.13142309786084408,0.12952413149127698,0.1497379575748825,0.15235905699289756,0.16510378329783743,0.17307968473198143,0.17589036408740386,0.17733661737517425,0.1842315162951877,0.1776819665189848
lymphography,0.02756991730395756,0.027977634849242875,0.02933253055411165,0.030595839802732325,0.031502399170911494,0.031461291194499634,0.03166629743302523,0.03192070378267797,0.032605954835656176,0.03330949078601347,0.034782455131637136,0.0381537498199986,0.03681591526454569,0.035881311039797234,0.03628480354488703,0.03897038404806164,0.03408084604116992
magic,0.0024787640557624186,0.0024894952344226293,0.002459647735063979,0.0024639301159328528,0.0025092782127210888,0.0024846943178113354,0.0024947479962120316,0.00249718447676506,0.002539425733021859,0.002655103784062053,0.0026552186629064745,0.002640654037685396,0.0026660023225723805,0.002657120621411599,0.002645270401110659,0.002906305957580928,0.002672744088502885
mammographic,0.014524031039971777,0.01429500829425511,0.014305474184197394,0.013861803090859331,0.013434868427162669,0.01351649960212528,0.013376068964575617,0.013473616963786876,0.013375509503192287,0.014093794998908718,0.014027090192169555,0.01377515694699816,0.013846138709112357,0.013693063937629152,0.013517975887480651,0.01918321374679364,0.013274986080137396
miniboone,6.399824518432244E-4,6.144645858246563E-4,6.396230633746195E-4,6.421021779925939E-4,6.459670162535697E-4,6.678323970037249E-4,6.757393898494192E-4,6.908602969148047E-4,6.924633688424359E-4,6.910709379209431E-4,6.934353093886249E-4,6.990729765335123E-4,7.299419117285515E-4,7.363398920200969E-4,7.630937985736258E-4,5.309134987456534E-4,8.018942952732107E-4
molec-biol-promoter,0.03743093120166372,0.0381062279500777,0.039232979601744926,0.04051230287641192,0.03927629507682175,0.03824541399294212,0.03467795700293736,0.034745310739396226,0.03632435290391726,0.03630679501056699,0.034227614871700916,0.03843942777361654,0.03909730944096642,0.04307044917880615,0.04505771763851431,0.049378921641413796,0.04701976529325018
molec-biol-splice,0.005210921410861558,0.005326703748518975,0.005246609959425611,0.0049726382961120695,0.004950025330592998,0.0046144457277623,0.004709348799499037,0.004770383746680226,0.005244885207177473,0.0050381178356779304,0.005239319013013309,0.00513483782125785,0.0046056140567818805,0.004922164491300021,0.005352459277620299,0.0053732105529230864,0.005825598993258152
monks-1,0.006769263611918036,0.006834858783938002,0.006550410038190778,0.0063427736379457755,0.006365010572862643,0.006365010572862643,0.006772558459332359,0.006794483276991706,0.006685252513249153,0.006908447098415785,0.007219009719222732,0.0077284505033104935,0.0076510866886434934,0.00822081242767432,0.009035292013189726,0.007866733459632477,0.009077169812228733
monks-2,0.021913856658867456,0.021615471494239098,0.02152666231197354,0.02142705705285633,0.02076936539600442,0.02069544406030296,0.020814819359793707,0.021131770492269004,0.02014760347847669,0.020164077918768716,0.020388625281476298,0.021201460225862084,0.022346682120350552,0.0205980197190745,0.021689790195455125,0.023208753358147784,0.020899320783111654
monks-3,0.007996937135827775,0.00813345628844831,0.007917869431263843,0.008015647823865995,0.008040838189316295,0.008122397879135176,0.008536936026116155,0.00865803336578067,0.007780455620405819,0.00772538744580395,0.008390919093794327,0.008228673337896262,0.008390919093794339,0.008218654472404734,0.007950909864525497,0.008668408484381156,0.007730233683935561
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.01785622671786546,0.017754513752160864,0.01768580161780977,0.017755090038372678,0.0179180052367832,0.018320072667491454,0.018230492898819357,0.018001751993569504,0.017926568748401504,0.018069828948946424,0.01815343893348659,0.01735644130734726,0.0177527847812819,0.017579028954268733,0.017056139330291164,0.02277169367018839,0.017832717714994936
musk-2,0.0018918683398661089,0.0019000061647599933,0.001903895525232534,0.0019106275463921865,0.0018916169603399638,0.0018938781748896085,0.0018859100370454266,0.001880101481506849,0.0019126176687901003,0.0019073060612130911,0.00191206506478885,0.0018600974282007195,0.0018337774764740893,0.0018043821555122157,0.0018571123777906028,0.0017923947248015804,0.0018567709236073863
nursery,5.61090828100387E-4,5.913748070874475E-4,5.993747987277738E-4,6.270512905934913E-4,6.264398313641081E-4,6.322681133566219E-4,6.274876823858855E-4,6.531378278808524E-4,6.964616807756718E-4,7.495609461300787E-4,7.96377557144861E-4,8.290487640034811E-4,8.632594393570633E-4,9.434392173651094E-4,9.856262214094275E-4,3.137438411929193E-4,0.0010311630455743573
oocytes_merluccius_nucleus_4d,0.013382989638127445,0.01376503527630701,0.013533216516617236,0.013434403287792017,0.01337754010083644,0.012800196430457494,0.012627795341328962,0.012509127770773794,0.01258081390361259,0.012164530432472388,0.012401979714228266,0.012679482976775331,0.012897187241383303,0.012987500836648415,0.012898729055243887,0.015450819080510056,0.01284310714718439
oocytes_merluccius_states_2f,0.009170186761075309,0.009170186761075309,0.009114841525415815,0.009218251384891754,0.009163437595264822,0.009163437595264822,0.009163437595264822,0.009068421867815769,0.009187278491290626,0.009203858353236503,0.00913445611654454,0.009027149936815066,0.009085705036826241,0.009085705036826241,0.008925982210530741,0.008301886868253306,0.008972153733426295
oocytes_trisopterus_nucleus_2f,0.010680005595463516,0.010879841718029705,0.010873716255377678,0.01085838748089133,0.010885198670232445,0.010444777752682516,0.010571584291922809,0.010134792030272847,0.010183977074244795,0.01022234006303686,0.009907917669011586,0.009831411851350585,0.010049243937511426,0.010196236263284066,0.010380793622540756,0.015136122692276245,0.010967517188670412
oocytes_trisopterus_states_5b,0.0057543701495772715,0.006009235764548658,0.0063265433731268346,0.006166554301093274,0.006175551321198863,0.00641889383615301,0.006446082602864675,0.006497983230676306,0.006574432722145084,0.006598036351886323,0.006623232610900855,0.006671259454523388,0.006689543742955241,0.006745745493377973,0.006792088819770647,0.008184509180019992,0.0069424674967070565
optical,0.0012985775592392313,0.0012801049969698055,0.001271369704845143,0.0012629200623618297,0.0012249781100565453,0.001235339645498015,0.0012464333608060761,0.0012428636717927977,0.0012839115444305811,0.0012965567750922351,0.001306016120219048,0.00132264123087974,0.001344867462444788,0.001327697889666191,0.0012999230034535848,0.0013585004998877992,0.0013146320123657146
ozone,0.0015193620527948356,0.0015336683165720739,0.0015193620527948403,0.0015195976675985825,0.0014908179565932933,0.0014617165634722277,0.001432273880253079,0.001432273880253079,0.001432273880253079,0.001432273880253079,0.0014756112882872406,0.0015015855803501425,0.0015015855803501425,0.0015015855803501425,0.0015015855803501425,0.0021540275902794505,0.0015577563964430932
page-blocks,0.002871925138637298,0.0028893416545248706,0.0028549944602788684,0.0028823130408597193,0.0028781517012375665,0.002909375115518276,0.0029324959228977554,0.0028820731268948147,0.002867641557852586,0.0029024744300880138,0.0029202086547526107,0.002817612464712877,0.002809283384420202,0.002831322231535716,0.0028053423723544244,0.0035419073843370574,0.002802273308904326
parkinsons,0.0202116502207654,0.02021467207175347,0.019475985461517603,0.019821050109295787,0.01969739918254862,0.020093443559777963,0.01988258720273817,0.02007823853031345,0.02034718921951953,0.021133514830695723,0.021443390120764814,0.022061157963790677,0.022961981221037278,0.023498376439147033,0.024326000238265536,0.025741181680937524,0.024326000238265536
pendigits,8.851056878078734E-4,8.837920105925232E-4,8.953542949504699E-4,9.105423150436359E-4,9.037392932619324E-4,8.981579922556471E-4,8.858585574761239E-4,8.794711085449568E-4,8.816558108538418E-4,9.025582650241651E-4,8.914527646926749E-4,8.914527646926749E-4,8.932457468756304E-4,8.790595181665468E-4,8.768031792391178E-4,0.0010115605015690425,8.717487630885643E-4
pima,0.015594038609355319,0.015515108856519882,0.0155640173302582,0.015710573460401177,0.01589701758266711,0.01615095009146398,0.016545747901714068,0.01689193318448104,0.01724608687129593,0.017297536856151242,0.017205359785022117,0.01797315264099433,0.018595374022200864,0.019005844166152464,0.01925521332890485,0.025487396482771388,0.019233340222579557
pittsburg-bridges-MATERIAL,0.034598188085292594,0.034598188085292594,0.03516485983484041,0.03583541123850726,0.03779259111080905,0.03876976407644084,0.03989375811251083,0.039422133434182424,0.039422133434182424,0.037770088821757926,0.037163095871525186,0.03653438946083817,0.03736273023786836,0.039341178868426564,0.04117836020096446,0.047536753250619505,0.04117836020096446
pittsburg-bridges-REL-L,0.04278252946690047,0.040914826023163625,0.041716062674435984,0.046801119939443844,0.04678638174983592,0.05023622359333491,0.049647029983745226,0.049850350763704435,0.04861767333922449,0.04863185654757966,0.05323554253039736,0.05560534167675356,0.058364687796725115,0.06225272924820705,0.06348137567406101,0.06822545451426586,0.06650900898270902
pittsburg-bridges-SPAN,0.06087045762178696,0.06210724977969308,0.06093735070503864,0.05997142052325928,0.054862629261032914,0.05339748819403054,0.053152778157587156,0.05552693930158181,0.05525725854615668,0.05661680392028705,0.058038129565058084,0.060346146787955614,0.06343987803991863,0.06457286042357996,0.06467792876802456,0.06435798912138695,0.06492939911299125
pittsburg-bridges-T-OR-D,0.04109213596555491,0.04067598866373651,0.04154136058698709,0.04336816106845261,0.04397530438988142,0.043535969553154606,0.042300362190958306,0.04410074050635033,0.04361203268764986,0.044415268367007224,0.04279888600028083,0.04279888600028083,0.0435105856261216,0.04471276176859365,0.04471276176859365,0.046836677984542746,0.04520912131151118
pittsburg-bridges-TYPE,0.05412453859887368,0.05428758924268167,0.05428758924268167,0.05742073107473521,0.0587445943228408,0.056097136162260704,0.053434293072221924,0.05385852851939128,0.05209424477040469,0.05595515780596256,0.05766264915924247,0.059640484283765574,0.05999141147114176,0.0609994955246667,0.06400098215228747,0.06308295897202171,0.06376578535662719
planning,0.015563121107634232,0.01598548714623291,0.015788909940310725,0.01625670232184764,0.014976821702440876,0.01757373159201902,0.018102850918605834,0.01846346309220508,0.019647146151706738,0.022304011578238466,0.0230145858638956,0.02204423523492436,0.02230401157823847,0.023916646728277008,0.02560671841907135,0.046167678085169424,0.029486610692304918
