SMLRE-S_VS_SMLRE-S
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

SMLRE-S_VS_SMM5-S
Wins(44):,adult,annealing,balance-scale,breast-cancer-wisc-diag,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,connect-4,energy-y1,energy-y2,hill-valley,image-segmentation,led-display,letter,magic,miniboone,molec-biol-splice,monks-1,monks-3,mushroom,musk-2,nursery,oocytes_trisopterus_states_5b,page-blocks,pittsburg-bridges-TYPE,plant-shape,primary-tumor,ringnorm,semeion,spambase,statlog-image,statlog-landsat,statlog-vehicle,steel-plates,thyroid,tic-tac-toe,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast
Draws(2):,acute-inflammation,acute-nephritis
Losses(75):,abalone,arrhythmia,audiology-std,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-prog,breast-tissue,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,horse-colic,ilpd-indian-liver,ionosphere,iris,lenses,libras,low-res-spect,lung-cancer,lymphography,mammographic,molec-biol-promoter,monks-2,musk-1,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,optical,ozone,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,planning,plant-margin,plant-texture,post-operative,seeds,soybean,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-shuttle,synthetic-control,teaching,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,zoo

SMLRE-S_VS_SMLR-S
Wins(4):,audiology-std,mushroom,plant-shape,ringnorm
Draws(3):,acute-inflammation,acute-nephritis,tic-tac-toe
