SMLRE-S_VS_SMLRE-S
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

SMLRE-S_VS_SMM5-S
Wins(22):,annealing,balance-scale,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,hill-valley,image-segmentation,letter,molec-biol-splice,nursery,page-blocks,plant-shape,primary-tumor,semeion,spambase,statlog-image,statlog-landsat,thyroid,wine-quality-red,wine-quality-white,yeast
Draws(77):,abalone,acute-inflammation,acute-nephritis,adult,arrhythmia,balloons,bank,blood,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,chess-krvkp,conn-bench-sonar-mines-rocks,connect-4,credit-approval,cylinder-bands,dermatology,echocardiogram,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,hepatitis,horse-colic,ionosphere,iris,led-display,low-res-spect,lung-cancer,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,parkinsons,pima,pittsburg-bridges-REL-L,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,post-operative,ringnorm,seeds,spect,spectf,statlog-german-credit,statlog-heart,statlog-vehicle,steel-plates,synthetic-control,teaching,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,waveform,waveform-noise,wine
Losses(22):,audiology-std,breast-cancer,congressional-voting,conn-bench-vowel-deterding,contrac,ecoli,heart-va,ilpd-indian-liver,lenses,libras,lymphography,pendigits,pittsburg-bridges-MATERIAL,pittsburg-bridges-SPAN,planning,plant-margin,plant-texture,soybean,statlog-australian-credit,statlog-shuttle,wall-following,zoo

SMLRE-S_VS_SMLR-S
Wins(1):,plant-shape
Draws(68):,abalone,acute-inflammation,acute-nephritis,adult,audiology-std,balance-scale,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,chess-krvkp,conn-bench-sonar-mines-rocks,connect-4,credit-approval,cylinder-bands,dermatology,echocardiogram,energy-y1,energy-y2,fertility,heart-hungarian,heart-switzerland,hepatitis,hill-valley,horse-colic,ionosphere,iris,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,parkinsons,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,ringnorm,seeds,spambase,spectf,statlog-german-credit,statlog-heart,statlog-image,statlog-shuttle,steel-plates,thyroid,tic-tac-toe,titanic,trains,twonorm,waveform,waveform-noise,wine,zoo
