TRAINTESTDIFFSNLL:,NN_cvFold9,C4.5_cvFold4,MLP_cvFold4,C4.5_cvFold1,SVML_cvFold7,SVML_cvFold9,SVML_cvFold4,C4.5_cvFold6,Logistic_cvFold9,NN_cvFold1,Logistic_cvFold4,NN_cvFold4,MLP_cvFold1,MLP_cvFold9,C4.5_cvFold3,Logistic_cvFold6,SVML_cvFold1,MLP_cvFold3,C4.5_cvFold7,C4.5_cvFold9,NN_cvFold7,SVML_cvFold0,NN_cvFold6,C4.5_cvFold0,MLP_cvFold5,Logistic_cvFold1,Logistic_cvFold8,SVML_cvFold6,SVML_cvFold3,MLP_cvFold7,Logistic_cvFold5,Logistic_cvFold7,NN_cvFold8,NN_cvFold0,SVML_cvFold5,Logistic_cvFold0,Logistic_cvFold3,C4.5_cvFold5,Logistic_cvFold2,SVML_cvFold2,NN_cvFold2,MLP_cvFold2,C4.5_cvFold8,SVML_cvFold8,MLP_cvFold0,MLP_cvFold6,C4.5_cvFold2,NN_cvFold5,SVML,MLP_cvFold8,NN_cvFold3,NN,MLP,Logistic,C4.5
bank,-0.029864327133592286,3.7769489294265193E-4,0.0056126567632194075,-0.02053164000489036,0.001375441651827634,-3.0282464983453773E-4,-2.12225179890733E-4,-0.01257742578650665,-6.174528100866901E-4,-0.027099338108253983,-0.00152866666485272,-0.021953523955526893,-0.04771151169262878,-0.02467102475258724,0.0013443926564716713,0.004638917943668921,-0.010554908731061614,0.026631092357219967,-0.006405121022534798,0.014542295949060138,0.008222969051523577,-0.001194314180633908,-0.044950609446244835,-0.00466606520193541,-0.03773474675367807,-0.007012049383823676,0.008679116161427055,0.0055334663161356375,-0.006031705570332711,0.011253576502586222,-0.006188975607892003,0.001885466577390956,-0.012999108368200663,0.008753298505171833,-0.005708535475880973,0.0031189430640594594,-0.005114465481624203,-0.02002867391930958,0.010026931741145538,0.005955814621991599,-0.0033419628853152694,0.0455878946541591,0.00993752613763522,0.0059919790102417455,0.03550423896171284,-0.020020867559063352,0.017573724647940547,-0.02939800823277129,8.474774494031945E-4,0.020491155317854212,-0.013803708909989712,-0.03210889933842793,0.03560921505547202,0.0015896228011826072,0.008766791704957411
blood,-0.027660184515762323,-0.024297455120120163,0.0014758632407920007,-0.02040499184046853,-0.027537183925880407,-0.00961515836072157,-0.017448676418570532,-0.018759342367684548,-0.004810563403285413,-0.040412893703275395,-0.007720369028716653,-0.02052953074852992,-0.014258748818573804,-0.0035335827541515025,-0.013698433832581158,-0.007746517544025219,-4.339994525823676E-4,-7.699752212078304E-4,-0.049933271880387015,0.01958208958994036,-0.015136962544684263,-0.007938027591598487,-0.03009914942999598,0.027781758172170913,0.004163806189233053,0.006053138878965462,0.021660332613242694,-0.009673893724972382,-0.014467682391063271,-0.02125924918752086,-0.0020831193997818925,-0.027507888661710483,0.047502388869744,0.019057282658987314,-0.008533488323491049,-7.654882040948736E-4,-0.010301878445167223,0.03267135022527694,0.030020032763555405,0.028189318999044914,0.07390531678774712,0.04979850591395672,0.02340121861368709,0.019201275396173643,0.011190843904541448,0.002376461505404226,0.057604253169651634,-0.006653324914848043,-6.558075592359621E-4,0.027174082746817773,0.016555370973542614,-0.01693569814731364,0.012625435315996695,5.864418604178005E-4,0.00858544666629852
breast-cancer-wisc-diag,-0.010982652931995905,-0.08996976789938352,-0.08223984973201394,0.03898510600705908,-0.0017279385081503211,-0.01799652237154096,-0.04382959838196059,-0.03597718058490944,-0.16893283978171653,-0.04124783657775277,-0.17677819274914167,-0.05439289815916502,-0.062280725869062144,-0.05805439434490745,0.05922347954972184,-0.059182001524952274,-0.015807196692700573,0.0016453904288370347,0.0999047901132998,-0.07105251776298799,0.020693808975633696,0.0037113300683679377,-0.024589716403429242,-0.02354573987333529,0.10554102431129594,-0.03367739629883822,-0.06890200179166521,-0.020839170812534377,-0.035633226274687214,0.0637115734890836,0.05434543085947594,0.12898024686437776,-0.03887231901110107,0.005268933861108378,0.04856997141449136,0.12429950147917482,0.015988533807308147,-0.033011671309351134,-0.025872507789598157,-0.007783749815863547,-0.07222903956957456,0.015147193678231311,-0.0481699597026146,-0.04096852818759847,0.027433048036147697,0.02598316858663589,0.019578757562779176,-0.0330261911283519,-0.010319112979484847,-0.06874715512458346,-0.0012687819462382122,-0.0010135442354751731,-0.002633526094331922,0.014748978908369674,0.010620212695725186
breast-tissue,0.33473267711439586,-0.31596757352746996,-0.028224974960671573,-0.15674246171638626,-0.12823418564836983,0.11026506238539777,-0.08611814246745401,0.2455859950363217,-0.19893344860618598,-0.05322231977618992,-0.09575458152044664,0.33376943462172703,0.07076791906803868,-0.007626432484247351,0.418797380345743,-0.17807233603398345,0.0411509696879667,0.5148527769225768,-0.2981846547757392,0.18176352469438173,0.16072511323506009,-0.10035045982046208,0.17413828636000775,0.36389246501787587,0.031034578344138083,0.18287339283681894,-0.32947826949149894,-0.07358243789296467,0.16077285780156336,-0.16124983691736247,0.05344557142868632,0.14203869778409361,0.01418162466934795,-0.2321045702713614,0.03683489752000164,-0.004953560269346768,0.9047448578064107,-0.045968740918780164,0.1965380157778274,-0.034606152672529915,0.2409691035230198,0.03763781973813072,0.060302342741163244,0.013702180556427076,-0.04340555597452042,-0.05831015649851094,-0.030531663266542056,0.21811693754037312,0.06733219099140803,0.1544013076771309,0.4637177553172963,0.15425384243843807,0.07869912828928675,0.15054316082117486,0.10551786086448933
cardiotocography-10clases,0.04951215721358253,-0.025526442734795173,0.01971656228737255,-0.017592190916541,0.023447587218121423,0.04773576204547692,0.005804291599320436,0.04925343106314422,0.06133397061408466,-0.046420533221332674,0.013455901796662529,-0.00959779566357275,-0.01322608684677912,0.11285160133532525,-0.01891856100475831,0.07682804316046231,0.03007064715368777,-0.03660798751387071,-0.02116703789682189,0.04487586271382074,-0.1556603014053269,0.04240481273502475,0.1979598591382233,-0.03450608763983225,0.07909536082973433,0.0704780402119515,0.03564114094519312,0.03527812840410067,-0.02075373829363901,0.11447786325470051,-0.006603650967358713,0.01369539147506326,0.06962347877068531,0.03238874923533897,-0.009070919889215009,0.08670996760606811,0.009072597647892033,-0.0481840183203754,-0.021735944361908247,0.008897277182214166,0.050967539171570306,0.10241355255865821,0.058326122267000985,0.03777678230875387,0.05531250071400177,0.02241986754627715,0.02260302511099892,-0.008694377371339882,0.03646049193715351,0.06954021649265305,-0.09408335767181857,0.03399312390257547,0.09290870792545855,0.09332704096209965,0.03532831636025692
conn-bench-sonar-mines-rocks,-0.20980112853252073,-0.20817731811034096,-0.12986006895424992,-0.16685170144358752,-0.04667407820007031,0.021529293121247472,-0.09642626169068572,-0.04704962477991237,0.2386003150885569,0.12432217426529596,-0.24769485105078798,-0.01849920586251399,-0.15324188003902278,-0.06624887544753168,-0.13144129661284515,-0.11488151555412045,-0.06654109941674607,-0.08195270633441563,-0.13024121246376946,-0.3315709877149307,-0.27493192119708765,0.12620425132037535,-0.03318618580998212,-0.1703393275353021,-0.07609033106762668,-0.16852172939340598,-0.39010690895196193,0.12760025582305917,-0.04547471845199758,0.0475262636109765,-0.23963779440035096,0.41777641636699203,-5.44255911801735E-4,-0.056862013716521304,-0.15432413348754181,0.04342313463580379,-0.13147704221129147,0.04589104669983269,-0.0696537863483368,-0.09205491622322808,-0.16612636116771798,-0.2028244241754828,0.05602446212324641,-0.012432924893167814,0.3302756082783451,0.04643365446179056,-0.07246085465713155,-0.08953885580585536,0.021172638165230153,0.0822885517054432,0.0292632698280826,-0.07002336996266413,0.1940475029614205,-0.035453477054036495,-0.09754179158595926
conn-bench-vowel-deterding,-0.010405630038462335,-0.028704963404193453,-0.030354229793396425,-0.013384565849897148,-0.04287676578445351,0.054604482425560236,-0.06229036927102098,-0.02337239606281028,0.029762913388580243,0.0013631005137462798,-0.11252002088612925,-0.005096810616619881,-0.13233623789715188,0.0865450921238902,0.018404849818323778,0.053167414269558226,-0.06624271783193487,-0.01172252273531543,-0.048325075827830216,-0.056038992040866306,-0.04100544209342611,0.021247679042498906,0.003823464060643054,-0.07823239154655316,0.030510532937474875,-0.014354601673667707,0.04583438559966699,0.03580772749171787,0.015319862370120122,-0.04429784034676059,0.010409437774791514,0.04418099506759357,0.015451150650132727,-0.06904400428326798,-0.029972418594720638,-0.04413743529313598,-0.10045420791854531,-0.016205406700931194,-0.05512162981005406,0.006946114803809996,-0.04024109777539841,-0.11553804193086567,0.013179594473857355,0.027172851510309685,-0.05177700379596603,0.08895071697399468,0.05516690288477836,0.047115724848567145,0.04196439638724582,0.06811744272279882,0.017838837158165446,0.03079370607820132,0.09968909171054781,0.06433436859514251,0.07366265585383532
ecoli,-0.1374540949890412,0.15261091113493716,0.5030987064687061,-0.15199952673094153,-0.10611287974742556,-0.15926283308945877,0.29600425751069076,-0.26912181094156995,-0.12563102307049914,-0.14654256118579367,0.3413709328393956,0.41111408034080943,-0.11285991857826823,-0.07232563689701431,0.022821592347932285,-0.11126790188043217,-0.050401627255684874,0.1032921977327381,-0.19573766946302054,-0.2886663131758361,-0.09949039843518517,-0.2599075384417616,-0.14649734900914738,-0.2106411297395971,0.33972503216171873,-0.14107121989400845,-0.18344022975544388,-0.19990336578955165,-0.1408109203215827,-0.05424568321499108,0.2551382931072615,0.08825961088057252,-0.19489593135327368,-0.25688946904109733,0.3243545462275555,-0.12849926650371232,0.05582826941633486,0.0927835081051982,0.13285179219307103,-0.07190460242105552,-0.04701132195178334,0.17038384436113763,-0.19500876479948834,-0.22420309584649709,-0.3118170790661205,-0.14957822487723407,0.13284644764687334,0.39859263667636036,-0.03899954355900552,-0.21806200187674588,-0.06824007450068839,-0.03967905868641504,0.07193231637563638,0.07718916528622846,-0.07315720329827302
glass,-0.00887322834154484,-0.13123668394035554,0.10705018048500886,-0.23390626468528022,0.09828177416325401,-0.1874230650405458,-0.026216466011774416,0.22565726919139603,-0.2145924268105199,-0.11727456481531509,-0.017402836148635834,0.08392136843856217,-0.08830304338245384,0.014578109263060609,0.07654164115513111,0.07295359725307621,-0.145808383711134,0.19029533792107117,0.17844880513862538,0.0770059994715346,0.26841489431446053,-0.03713662819756712,0.2386515956401836,0.02393853001935444,0.27415169161249403,-0.4836676512254981,-0.09261590337518388,0.27983283684199445,0.027052860492919426,0.34696671002859836,0.09120717741873448,-0.360892475607814,0.31103181797999496,0.05612057515199382,0.3429523640780587,0.06212385316760507,0.07682205786189922,0.21781239069550462,-0.24343304220485637,-0.1793626228555236,-0.12928079682671775,-0.21928622612355061,0.08561995233306512,0.021360534006231804,0.014687709951633886,0.27669852671968076,-0.13050418250329973,0.22046445722387373,0.05709673555464992,0.1586462532886673,0.14866969037239314,0.08040428182641926,0.20391037836758533,-0.014393410999970779,0.12461059652748002
hill-valley,-0.02725626234337835,0.002989271794087656,0.006902164088695458,-6.95848974170273E-4,-0.0029171782198556353,0.0017495162612971274,-0.01617784763854479,-1.9302295131466604E-4,-0.020519998999370393,0.04781951096840289,0.04512474355601801,0.02256906960050967,-0.003934754046358065,-0.0032764719894670374,0.003259855124842,0.008367186463760357,0.0053122529770840195,0.002708913119612429,1.815613390727E-4,-5.160829140093748E-4,0.07921837672992735,0.0037233847230966417,-0.06433816957349799,-0.001116232707459223,5.492999985557597E-4,4.0226572360370084E-4,-0.03269968133571053,-0.007365542150071832,-0.016112941113738125,0.00757530917603448,0.007104863055448426,-8.986269740333564E-4,-0.08086728537167172,0.017266470687124565,0.031068973861010683,-0.015762982526135352,-0.006290935624473012,0.0025603062569700278,0.0019707213077551633,-0.029007096005241536,0.028375413492453073,-0.012585052156874946,-7.050764620801045E-4,-0.002954280503072504,-0.005476939084664678,0.003790090614452764,0.0015139987543195974,0.004027820249504607,0.005489048459811659,0.01199311275583986,-0.0037287337128071086,-0.20794077197316857,0.014229735871913556,0.01311781080426961,0.0022478174772827984
