TRAINTESTDIFFSNLLSTDDEVS:,NN_cvFold9,C4.5_cvFold4,MLP_cvFold4,C4.5_cvFold1,SVML_cvFold7,SVML_cvFold9,SVML_cvFold4,C4.5_cvFold6,Logistic_cvFold9,NN_cvFold1,Logistic_cvFold4,NN_cvFold4,MLP_cvFold1,MLP_cvFold9,C4.5_cvFold3,Logistic_cvFold6,SVML_cvFold1,MLP_cvFold3,C4.5_cvFold7,C4.5_cvFold9,NN_cvFold7,SVML_cvFold0,NN_cvFold6,C4.5_cvFold0,MLP_cvFold5,Logistic_cvFold1,Logistic_cvFold8,SVML_cvFold6,SVML_cvFold3,MLP_cvFold7,Logistic_cvFold5,Logistic_cvFold7,NN_cvFold8,NN_cvFold0,SVML_cvFold5,Logistic_cvFold0,Logistic_cvFold3,C4.5_cvFold5,Logistic_cvFold2,SVML_cvFold2,NN_cvFold2,MLP_cvFold2,C4.5_cvFold8,SVML_cvFold8,MLP_cvFold0,MLP_cvFold6,C4.5_cvFold2,NN_cvFold5,SVML,MLP_cvFold8,NN_cvFold3,NN,MLP,Logistic,C4.5
bank,0.10372577671000638,0.09474482316451069,0.14457640520959208,0.06743518135239618,0.038946733874454985,0.03930432305333616,0.03655578888197573,0.07289206329696296,0.041420828063439864,0.14071662609177302,0.037314555083265165,0.11539167595264888,0.16979372604268797,0.21951220963678675,0.06794936178772684,0.04708966908338429,0.04196950220824463,0.13447228274024792,0.08091817260878605,0.10138425420726996,0.15211502446297012,0.03875751227783864,0.11407401358763355,0.08193839420335326,0.14007882109479405,0.04239350059395915,0.035672775542678684,0.048311016393945326,0.04306222017675626,0.14841354103912494,0.040092629977034756,0.03751604146643264,0.0956712540361357,0.16506327881613356,0.03731253036440879,0.03861660099289801,0.047633595961854305,0.05611529947821439,0.05367804842163217,0.05366501199233189,0.10068085358508236,0.22189616879526847,0.06838112626096367,0.034375210396022496,0.12325184390725712,0.1482131907259715,0.08710197782123355,0.12756568107133057,0.014622564036768005,0.11209955987881498,0.09548185792405839,0.18240179542315077,0.09933143522024965,0.014706821192019142,0.0494687051667064
blood,0.22972788068564934,0.09536584963264581,0.11003708872297202,0.102417147557155,0.09045441635633758,0.07060869377687941,0.10641638945107136,0.10587112328895303,0.07969519695752858,0.17387004740703169,0.1142088653110946,0.2342830237451423,0.13444061216208283,0.10145104544842437,0.11921272264830009,0.10465843428208253,0.09562627225503512,0.10904765293334973,0.11449180568376899,0.13340568195989455,0.203012246170315,0.04798225160879841,0.3544422957819157,0.12197866716094447,0.12196163505470521,0.12605255265032572,0.11153858211399043,0.09007001297082483,0.08801584014315465,0.11550305998857084,0.11955476658134376,0.09791245236163681,0.27302042915508545,0.2543778945472828,0.10622665427328726,0.06266883438152397,0.08601772837023854,0.15476338300384163,0.09289708083743638,0.10211961523553352,0.25955209056993406,0.11882457570582151,0.15170430328064846,0.10574642309709859,0.09160295259167359,0.12172883386093518,0.15025325507528284,0.2630595098728245,0.05496367235037777,0.13228138597873917,0.21162594123546674,0.18081279348830595,0.06479781257437378,0.05386828889615348,0.08423141838790593
breast-cancer-wisc-diag,0.23224296536116848,0.21567341714597996,0.24375541300004983,0.2836459703154671,0.1662113816473904,0.14913352587100662,0.1264237634479779,0.2728901861635505,0.2663976400691071,0.14515589252887398,0.28736262406030344,0.16756185182282898,0.25151659665732634,0.23816390648319075,0.3079514379758186,0.3719711219390129,0.15476963665465845,0.28774094173143017,0.4389538238369094,0.2712508339165398,0.20340096307846017,0.2183821469704844,0.23138284066378584,0.4089416539865945,0.4286933457898266,0.43244102406130336,0.3537711235028277,0.15081221658655553,0.09513976466549913,0.3615548513387414,0.4020542311448504,0.44469582210538683,0.1718860846808361,0.31877657826812344,0.2800577202195172,0.4251620264529664,0.37981330256133927,0.32119635688840953,0.34852085668445065,0.14833727779126143,0.21276763191742007,0.33383478588560994,0.27206377703409473,0.15374603289217215,0.42514645351414854,0.4379418195148019,0.33758974545655956,0.18485886179619504,0.07549741993755146,0.29145895613787476,0.16674328524362425,0.09106457153288783,0.16602973996102952,0.17218776230651467,0.1572919626059967
breast-tissue,1.040917640557483,0.9788111653586216,0.6723919815063991,1.118477623774413,0.7628000689928269,0.816026411772265,0.7975947626375389,1.0471370896263643,1.46664500844436,0.9264894065657844,1.6250202755842582,0.8912035642582782,0.7466464436880768,0.8339288910555597,1.2842367028929533,1.9569564171188212,1.0562093585062033,0.8619219370542348,1.1755928167217355,1.1749090228786125,1.015965700276751,0.6715380212315212,1.0452909282336413,1.5183561356496162,0.8572219342068483,1.719203104389065,1.6356670326699811,0.8916048114960033,0.6917746715261478,0.7379432563892292,1.5136895910307036,1.5887799793864013,1.1738645226761257,0.6644392852028956,1.1752595883516823,1.4443123224650398,1.8442726059756023,1.0327780556914585,1.9375329300362036,0.628411584483315,1.2430833107987915,0.5095020781602546,1.0026673607596805,0.8524147020004661,0.5926628152422099,0.9054349699871237,1.2692877456585319,0.9835200461827569,0.441173347132148,0.9675090800280921,1.1171626049365952,0.4870176783567363,0.403244047984363,0.7703714167751866,0.6140899365562964
cardiotocography-10clases,0.401483280712484,0.2136602145679566,0.3701156976161786,0.2131266496000165,0.13613476552630763,0.12777258523431112,0.1418596147893888,0.2207691096062253,0.16909162353856283,0.4486287327175666,0.23071119433195744,0.42961536444491033,0.3176349925357859,0.33951256201039515,0.25791088313150146,0.17444034411590925,0.145004955409101,0.33034476918830274,0.207536352260917,0.19777721851010463,0.42562135984566574,0.15740203218755947,0.4596664645932236,0.26742042276090766,0.33651708482658593,0.2316978416519819,0.2852207012250994,0.10869500379127583,0.10437987903345991,0.3125241851671272,0.24190811727310296,0.23526879336213366,0.4063624164823985,0.40503161964046686,0.14129200842129494,0.2792360384861174,0.2272716664442491,0.2269873876032869,0.18531488655873227,0.10760074974110717,0.42418311817100796,0.3426410619760775,0.25834344738048753,0.14985334217105944,0.34491258711742645,0.336872449167778,0.224120768503497,0.33844924094235007,0.0500405878589395,0.297127598087064,0.39541051384128345,0.22622188442883234,0.14503292886316527,0.0997454538518908,0.11168949136167
conn-bench-sonar-mines-rocks,0.7276739488994112,0.7691614154534936,1.0389155334106792,0.6646233254570221,0.6838608941858241,0.5830220550259002,0.7183741454503481,1.1095771152711003,1.510019173523753,0.7879217678459617,1.3680686267325088,0.7836723323394256,0.9143854158543363,0.8542469482594489,0.9336665394510159,1.1176831968924346,0.5197189621934086,0.9945457668814845,0.9555317533663686,0.7990904547243265,0.8260949171792624,0.7558814761734699,0.8058638941637271,0.6080369238762287,1.0638354419408034,1.0937480918707787,0.915370300042943,0.7125843238858651,0.6625910308740737,1.2010875840200368,1.3200982811789246,1.5853086721729632,0.8724847878415989,0.6372573942579102,0.6199938403164986,1.3119792972709656,1.1235498987857195,0.739079050667841,1.384613919545679,0.6452181845057992,0.6669616173678827,1.171758327582472,0.9551803169999911,0.5946670673690263,1.3927708696778989,1.0286035503861097,0.7482121168325452,0.7366896328924417,0.33817496151395604,1.0532952666058728,0.5691081265315453,0.3239223528382403,0.4692279299326266,0.4965274493234071,0.5130306416021104
conn-bench-vowel-deterding,0.13093084090962906,0.2967432123108997,0.49281960736539804,0.3410583795398568,0.20336091542394008,0.2708191221414584,0.15185917921399714,0.28097249812001746,0.34973162271647923,0.15252864910898045,0.4038443836165042,0.15790458912938618,0.4433523407138523,0.41137091209726334,0.3311620455778605,0.45824557291862733,0.2190207305162001,0.4019252305452967,0.36989493376131694,0.4566741440611723,0.12646597415153693,0.27446944960901765,0.184157515635354,0.39698077378138463,0.473386602594205,0.4195640931664989,0.32062949515950895,0.2419764882400124,0.2657759878656955,0.3845226294209106,0.32285304627177985,0.41021563018396723,0.1584960489324774,0.15730449352423231,0.2607697527505877,0.36430387821124954,0.37463656481439717,0.32376100455577445,0.4011976794335257,0.23412072269509426,0.11480730300190974,0.3331887864251686,0.3100020151720007,0.1893829883568991,0.4116294399758651,0.3363324936802444,0.38190124996162716,0.18712151705555552,0.11127147938131547,0.3345263471924419,0.1845531988308521,0.07820267743637557,0.2207270934197021,0.17402081368851832,0.18936617663265712
ecoli,0.5330022304410301,0.4828433714493309,0.5428676264796491,0.6086261909060384,0.40872163362918745,0.4474027999258543,0.403674900742388,0.4172436705652143,0.5956443497859728,0.408980759368176,0.4490262987977945,0.5349904922904836,0.5475469340050407,0.5910197060264598,0.6180065056364786,0.5091064304740588,0.46239425599087275,0.49787221067855614,0.5383943033357029,0.4947730953199273,0.5132174374231846,0.27108294166317726,0.3490574932628506,0.4476608003656315,0.42483414053729024,0.5912832565326228,0.5966687955700036,0.3049088553480519,0.37675829670375194,0.5257494071186382,0.5006552316905555,0.7840862269004778,0.45438229388801316,0.3041808413453586,0.37302425618566354,0.5305098477824362,0.5648616946049857,0.3738457395082074,0.6929895064616648,0.4570531907849549,0.4597044201684113,0.5235607410042582,0.5901336885538313,0.2770522557112743,0.3387932850809934,0.3535150566946973,0.5317189225922889,0.37561547384135724,0.16319718683759435,0.47630384445955903,0.5254059179026218,0.24729171043262965,0.2732556296094683,0.24198349546139283,0.2933843086190903
glass,0.6507987536001235,0.7791364562350279,0.7468822112457054,0.6445501315487355,0.8725848575281853,0.4804625485829334,0.7620668361231535,0.8926038743309345,0.7190272555268078,0.8526057761522134,0.7906205741415432,0.8052238696547158,0.8994361006295103,0.6826960883674362,0.8603173469120541,0.8603924189240723,0.5421091361619542,1.0035510428522478,1.1104530093525353,0.6276662172860289,0.9337530122068295,0.7503011234592082,0.8660439757771191,0.7452808437736607,0.9429189469540397,0.9322928454386761,0.9138699876793767,0.9645368027629221,0.842859517781204,0.9916148312190207,0.9733743431939235,0.7860229976925197,0.9467956588693198,0.8391487647321223,0.747241086876418,0.967048950846847,1.0690927224005478,0.9874450350370244,0.8562576564860636,0.6887808753428988,0.9285889330293593,0.821529433053732,0.9821501377175277,0.7284344581041772,0.6880115474028999,0.8312434584792832,0.8691581841500141,0.9638078716979076,0.3766897123318892,0.8842480228128111,0.9260628838445126,0.39413661162166597,0.3972138488876106,0.34433832204833076,0.39000439237208745
hill-valley,0.18368422481417523,0.016135338508100422,0.05725409650616308,0.004048899211028901,0.08121494917874167,0.0874825408933449,0.07572608066938419,0.010381589467510563,0.09850944215500029,0.22981726631830954,0.13006803295597436,0.1904669153079263,0.039913506972763954,0.03966979955826233,0.018162710746811177,0.14099383677704247,0.08929780977137435,0.050428625064404486,9.944524098096186E-4,0.002826702535459335,0.3326710807156407,0.06795698237700445,0.2575462810203856,0.007614032177213417,0.05428519582883086,0.1182060301540808,0.09829721763613933,0.05195028189324508,0.0664351031639177,0.059186477966007886,0.13710241802439885,0.1499193073200367,0.23655656959792618,0.23288816617152855,0.08550827992694701,0.14852449564205686,0.10100605716525857,0.014736390724533246,0.16912056802833492,0.05940760946049538,0.29108256087012596,0.049188311186168863,0.004277055908019143,0.07764111201611795,0.054765911239831315,0.04507767155545037,0.005600348031648183,0.11354531446293133,0.0456126225121343,0.07028719031456769,0.2902945637403781,0.9580512743311501,0.02567709028898341,0.04728491743659172,0.004640222166097154
