CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
0.6981354231354231 ,0.6981354231354231,0.6957561207561207
0.6954782454782457 ,0.7053855303855304,0.6971308721308723
0.724869424869425 ,0.7428438678438678,0.7260764010764014
0.7433654183654185 ,0.7433654183654185,0.7373493623493625
0.7057507057507056 ,0.7108327108327107,0.7102766602766603
0.7141981891981893 ,0.711945936945937,0.709939384939385
0.7172249672249672 ,0.7344171594171595,0.7067375567375567
0.7147128397128398 ,0.7375356625356627,0.6951339201339202
0.7148628398628397 ,0.7313562563562562,0.7109820359820359
0.7228306978306979 ,0.7225303975303976,0.7198276948276948
0.7393501393501395 ,0.7511121761121763,0.7437590937590938
0.720933495933496 ,0.723012498012498,0.7180517680517682
0.7254979254979257 ,0.7282006282006283,0.7282006282006283
0.7403653403653403 ,0.7532031782031782,0.7264969264969264
0.742797667797668 ,0.7617018867018868,0.7295324795324796
0.7091449091449092 ,0.7256152256152257,0.7094452094452095
0.7138229638229642 ,0.723686673686674,0.700644250644251
0.7167817917817918 ,0.7187609687609688,0.7193846693846695
0.76462433962434 ,0.7676273426273429,0.756741456741457
0.7047925047925048 ,0.7075702825702825,0.7041604041604042
0.7098022848022849 ,0.713879438879439,0.7097938847938849
0.7194850944850945 ,0.7276682776682777,0.7276682776682777
0.707866307866308 ,0.707866307866308,0.7030846030846032
0.6841802341802341 ,0.6979247479247479,0.6827249327249327
0.7022323772323772 ,0.7055356805356805,0.691990666990667
0.7210672960672961 ,0.7545276795276796,0.7247228747228748
0.7158252408252408 ,0.7181499431499433,0.7181499431499433
0.727950277950278 ,0.7418596418596418,0.726116976116976
0.6978057228057228 ,0.7132764382764384,0.6903937653937654
0.7485553485553484 ,0.7485553485553484,0.737054687054687
0.861111111111111 ,0.861111111111111,0.861111111111111
0.8888888888888888 ,0.9444444444444443,0.8611111111111112
0.8055555555555557 ,0.8055555555555557,0.7777777777777778
0.7777777777777778 ,0.7777777777777778,0.75
0.8611111111111112 ,0.8611111111111112,0.8333333333333334
0.8055555555555557 ,0.8333333333333334,0.8333333333333334
0.888888888888889 ,0.9166666666666666,0.888888888888889
0.8333333333333334 ,0.8333333333333334,0.8055555555555557
0.75 ,0.7777777777777777,0.7777777777777777
0.8333333333333334 ,0.861111111111111,0.8333333333333334
0.8055555555555557 ,0.861111111111111,0.7777777777777778
0.75 ,0.7777777777777778,0.75
0.8055555555555555 ,0.8888888888888888,0.75
0.6666666666666666 ,0.6944444444444443,0.6944444444444443
0.6944444444444443 ,0.7222222222222222,0.6666666666666666
0.6666666666666666 ,0.6666666666666666,0.6111111111111112
0.8055555555555557 ,0.8055555555555557,0.8055555555555557
0.8055555555555555 ,0.8333333333333334,0.8055555555555555
0.8055555555555555 ,0.8333333333333334,0.8055555555555555
0.8055555555555557 ,0.8055555555555557,0.7777777777777778
0.8055555555555555 ,0.861111111111111,0.7222222222222222
0.8611111111111112 ,0.9166666666666666,0.8611111111111112
0.861111111111111 ,0.8888888888888888,0.8333333333333334
0.8055555555555555 ,0.861111111111111,0.7777777777777777
0.75 ,0.75,0.75
0.8333333333333334 ,0.8611111111111112,0.7777777777777778
0.75 ,0.7777777777777778,0.7777777777777778
0.7777777777777777 ,0.8055555555555555,0.7777777777777777
0.8055555555555555 ,0.8333333333333334,0.8055555555555555
0.75 ,0.7777777777777778,0.75
0.7333333333333334 ,0.7666666666666667,0.7333333333333334
0.8 ,0.8333333333333334,0.8
0.7666666666666667 ,0.8,0.8
0.8 ,0.8333333333333334,0.8
0.7 ,0.7333333333333334,0.7
0.7 ,0.7,0.7
0.7 ,0.7333333333333333,0.6666666666666667
0.7666666666666668 ,0.7666666666666668,0.7333333333333334
0.6333333333333334 ,0.6666666666666667,0.6333333333333334
0.8333333333333334 ,0.8333333333333334,0.7666666666666667
0.8 ,0.8333333333333334,0.7333333333333333
0.8 ,0.8666666666666668,0.8
0.7666666666666667 ,0.8,0.7666666666666667
0.7666666666666667 ,0.7666666666666667,0.6666666666666667
0.7666666666666667 ,0.8,0.6666666666666667
0.7666666666666667 ,0.7666666666666667,0.7666666666666667
0.6333333333333333 ,0.7333333333333333,0.6333333333333333
0.6666666666666667 ,0.6666666666666667,0.6666666666666667
0.9333333333333333 ,0.9666666666666668,0.9
0.7666666666666666 ,0.7666666666666666,0.7333333333333333
0.7333333333333333 ,0.7666666666666667,0.7000000000000001
0.6666666666666666 ,0.6666666666666666,0.6666666666666666
0.6666666666666666 ,0.7333333333333333,0.6666666666666666
0.6666666666666666 ,0.7333333333333333,0.6333333333333333
0.7666666666666667 ,0.7666666666666667,0.7666666666666667
0.6666666666666666 ,0.7,0.6333333333333332
0.6666666666666667 ,0.7,0.6
0.7666666666666666 ,0.7666666666666666,0.7666666666666666
0.6666666666666667 ,0.6666666666666667,0.6666666666666667
0.8 ,0.8,0.8
0.6499999999999999 ,0.8,0.6499999999999999
0.7 ,0.7,0.6499999999999999
0.7 ,0.8500000000000001,0.7
0.75 ,0.8,0.7
0.85 ,0.9,0.85
0.8500000000000001 ,0.9,0.8500000000000001
0.75 ,0.9,0.75
0.75 ,0.8,0.75
0.9 ,0.9,0.9
0.95 ,0.95,0.9
0.6499999999999999 ,0.8,0.6
0.8500000000000001 ,0.8500000000000001,0.7
0.75 ,0.85,0.7
0.8500000000000001 ,0.8500000000000001,0.8500000000000001
0.8500000000000001 ,0.9,0.8
0.75 ,0.8,0.7
0.6499999999999999 ,0.8,0.6499999999999999
0.95 ,0.95,0.95
0.9 ,0.95,0.95
0.6499999999999999 ,0.9,0.6499999999999999
0.8 ,0.8500000000000001,0.8
0.8 ,0.8,0.75
0.8 ,0.95,0.7
0.7 ,0.75,0.7
0.95 ,0.95,0.95
0.75 ,0.8,0.75
0.8 ,0.8500000000000001,0.8
0.9 ,0.9,0.8500000000000001
0.8500000000000001 ,0.9,0.8500000000000001
0.8500000000000001 ,0.9,0.75
0.6499999999999999 ,0.8,0.6499999999999999
0.8 ,0.8,0.8
0.8 ,0.8500000000000001,0.75
0.8 ,0.85,0.7
0.6 ,0.6499999999999999,0.6
0.85 ,0.95,0.85
0.7 ,0.8,0.8
0.9 ,0.95,0.95
0.95 ,0.95,0.95
0.9 ,0.9,0.8
0.8 ,0.8500000000000001,0.8500000000000001
0.8500000000000001 ,0.95,0.8500000000000001
0.75 ,0.8,0.75
0.75 ,0.8,0.75
0.8 ,0.9,0.75
0.8500000000000001 ,0.9,0.8
0.6499999999999999 ,0.8,0.6499999999999999
0.9 ,0.9,0.8500000000000001
0.8500000000000001 ,0.8500000000000001,0.8500000000000001
0.7 ,0.8,0.6499999999999999
0.8 ,0.9,0.8
