CAWPE-S(ConTie)_VS_CAWPE-S(ConTie)
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-S(ConTie)_VS_CAWPE-S(alpha=4)
Wins(39):,abalone,annealing,balance-scale,car,chess-krvk,chess-krvkp,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,energy-y1,hill-valley,letter,low-res-spect,magic,miniboone,molec-biol-splice,monks-3,mushroom,musk-2,nursery,oocytes_merluccius_nucleus_4d,optical,parkinsons,pendigits,pima,planning,plant-margin,plant-shape,post-operative,primary-tumor,ringnorm,statlog-australian-credit,statlog-german-credit,statlog-shuttle,thyroid,twonorm,wall-following,waveform,waveform-noise
Draws(82):,acute-inflammation,acute-nephritis,adult,arrhythmia,audiology-std,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,cardiotocography-3clases,cardiotocography-10clases,congressional-voting,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,libras,lung-cancer,lymphography,mammographic,molec-biol-promoter,monks-1,monks-2,musk-1,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,ozone,page-blocks,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,plant-texture,seeds,semeion,soybean,spambase,spect,spectf,statlog-heart,statlog-image,statlog-landsat,statlog-vehicle,steel-plates,synthetic-control,teaching,tic-tac-toe,titanic,trains,vertebral-column-2clases,vertebral-column-3clases,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-S(ConTie)_VS_CAWPE-S(RandTie)
Wins(58):,abalone,annealing,arrhythmia,balance-scale,breast-cancer,breast-cancer-wisc-prog,car,chess-krvkp,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,energy-y1,fertility,flags,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ionosphere,letter,low-res-spect,lymphography,magic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,optical,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,planning,plant-margin,post-operative,primary-tumor,ringnorm,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-landsat,statlog-shuttle,statlog-vehicle,thyroid,twonorm,wall-following,waveform,waveform-noise
