PB-A_VS_PB-A
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

PB-A_VS_MV-A
Wins(12):,arrhythmia,audiology-std,chess-krvk,chess-krvkp,connect-4,contrac,credit-approval,image-segmentation,monks-1,plant-margin,plant-shape,wine
Draws(49):,acute-inflammation,acute-nephritis,balance-scale,balloons,bank,blood,breast-cancer-wisc,breast-cancer-wisc-prog,breast-tissue,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,cylinder-bands,echocardiogram,ecoli,energy-y1,energy-y2,fertility,glass,hayes-roth,heart-cleveland,heart-va,hepatitis,hill-valley,iris,led-display,lenses,libras,low-res-spect,lung-cancer,lymphography,mammographic,molec-biol-promoter,monks-3,oocytes_trisopterus_nucleus_2f,parkinsons,pima,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,post-operative,primary-tumor,seeds,teaching,tic-tac-toe,vertebral-column-3clases,waveform-noise
Losses(60):,abalone,adult,annealing,breast-cancer,breast-cancer-wisc-diag,car,cardiotocography-3clases,cardiotocography-10clases,dermatology,flags,haberman-survival,heart-hungarian,heart-switzerland,horse-colic,ilpd-indian-liver,ionosphere,letter,magic,miniboone,molec-biol-splice,monks-2,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,pendigits,pittsburg-bridges-MATERIAL,plant-texture,ringnorm,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,thyroid,titanic,trains,twonorm,vertebral-column-2clases,wall-following,waveform,wine-quality-red,wine-quality-white,yeast,zoo

PB-A_VS_RC-A
Wins(13):,arrhythmia,audiology-std,chess-krvk,chess-krvkp,conn-bench-vowel-deterding,connect-4,credit-approval,heart-switzerland,image-segmentation,led-display,lung-cancer,monks-1,plant-shape
Draws(44):,acute-inflammation,acute-nephritis,balance-scale,balloons,bank,blood,breast-cancer-wisc,breast-cancer-wisc-prog,cardiotocography-3clases,congressional-voting,contrac,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,hayes-roth,heart-va,hepatitis,hill-valley,ilpd-indian-liver,iris,lenses,libras,low-res-spect,mammographic,monks-3,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,post-operative,primary-tumor,statlog-vehicle,vertebral-column-3clases,wine,wine-quality-red,yeast
