CAWPE-S(ConTie),CAWPE-S(RandTie),CAWPE-S(alpha=4)
-0.020947242724907778 ,-0.023054133260660192,-0.022230300511379752
-0.005647158088115223 ,-0.005898183127627021,-0.0057397088896160575
0.019006572750643436 ,0.02679393518785167,0.024740486313827637
0.009280940237167412 ,0.012422072668749617,0.011563876547014074
-0.02970617388190222 ,-0.031324189866522856,-0.030699024157546884
0.06203902864993083 ,0.06320759023955902,0.0629243017412473
-0.056077930719785174 ,-0.05886429100960133,-0.05821961542203358
0.007237645941295501 ,0.013592403069047965,0.011678795064060665
-0.008278466003878604 ,0.0019670842722661064,-6.908381383539108E-4
-0.007248002265709097 ,-0.010056009791503895,-0.009124329378369822
0.006886836771895277 ,0.006191011954754133,0.006555207009229402
0.0069570151247428935 ,0.005433885765384172,0.005907735836178096
0.02527261105522971 ,0.024680810814033283,0.02476813138943479
-0.018180988971356227 ,-0.018442164135180406,-0.018391023189963773
0.008305544209369353 ,0.010511094107505725,0.009932430295650274
-0.012083975887327458 ,-0.01991921830924026,-0.01779052431980288
0.025633894166645632 ,0.028188969518178286,0.027417596441387637
-0.031204111198309903 ,-0.03990599726442934,-0.03766038179195008
0.005484864168392889 ,-1.1460004809560331E-6,0.0016960307865185875
0.03765739601398299 ,0.046167369060203356,0.04327151564196319
0.030017792216082473 ,0.029780009092024162,0.029918055264088084
0.016433306602746 ,0.019800356476694425,0.019033406696311594
-0.009448965807573373 ,-0.01343878204416149,-0.012410827140394876
-0.015078296330254037 ,-0.01685825586590939,-0.016369406722042124
-0.01153237017541553 ,-0.01015922041678774,-0.010632422775391559
0.004537354953767947 ,0.004260803070464947,0.0050898681528910306
0.03785447555264998 ,0.04291009640950394,0.041167540931664526
0.018132420406511862 ,0.020472715256714125,0.019501894958309007
0.001701294905945172 ,0.00261235414572325,0.002565388223685794
0.02657653719665687 ,0.030760687651077978,0.029376329625630193
0.005738244057715725 ,0.005657586858667415,0.005420705009428454
7.176600457155713E-4 ,7.176600457155713E-4,7.176600457155713E-4
0.0010826498012458281 ,0.0010826498012458281,0.0010826498012458281
0.0012083967261915388 ,0.0012083967261915388,0.0012083967261915388
