TRAINAUROCSTDDEVS:,CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
Adiac,0.004921790754122028,0.004856332997011037,0.005085772374921611
ArrowHead,0.03497187460272382,0.036066380123429796,0.036536876834632845
Beef,0.03911427231107413,0.038311862358290254,0.04170509615633793
BeetleFly,0.10864314673891462,0.11819572701691662,0.11167687378294144
BirdChicken,0.09370104085585852,0.10203447693186173,0.09521663140729
Car,0.022538557641813554,0.023534051695410948,0.022414689789804113
CBF,0.02504473889818141,0.02605152758190484,0.025298344334559294
ChlorineConcentration,0.012509437566651701,0.012220050797644015,0.01227093008196609
CinCECGtorso,0.034015790003709766,0.03491313632545163,0.03722558097716558
Coffee,0.0018630018962760776,0.0027945028444141275,0.0027945028444141275
Computers,0.03131542955158057,0.03638839686733558,0.03158297975037577
CricketX,0.011291058977954248,0.011488716460749688,0.011138930539462256
CricketY,0.009130077930655916,0.009216111389815318,0.009090504637187836
CricketZ,0.012860561457068766,0.017360369757247928,0.013333597893787356
DiatomSizeReduction,0.0150663002959714,0.01599476165184597,0.015184168448013659
DistalPhalanxOutlineAgeGroup,0.009641774582581142,0.010135233708182487,0.009661126947119507
DistalPhalanxOutlineCorrect,0.011100510489547731,0.012201484146710356,0.010572548567850825
DistalPhalanxTW,0.004942706452831704,0.0060249991345404635,0.004989312355487119
Earthquakes,0.03507094885654139,0.12178229044878057,0.03864287763300354
ECG200,0.028769076889112195,0.04141059385513474,0.030054151026503998
ECG5000,0.0044131200748495645,0.00601193213029618,0.004409586022452907
ECGFiveDays,0.04222729069284369,0.048250391171345115,0.042534787465448275
ElectricDevices,0.002195035736083842,0.002186061046541563,0.002228599848618922
FaceAll,0.004291423640487518,0.004300084854629213,0.0042482864645059714
FaceFour,0.021241318562871404,0.01940886064833334,0.020675191513198025
FacesUCR,0.013336587670274465,0.013379934657078306,0.013423116526454754
FiftyWords,0.005728720659675763,0.005894784529969075,0.005746696669057556
Fish,0.00840175873375059,0.008137076175570641,0.008530375975757818
FordA,0.007611360399693508,0.011246282749212818,0.011721672424219945
FordB,0.010833876432947118,0.014295044368350659,0.011706187121075112
GunPoint,0.023524945361296172,0.024405900864492115,0.02291136539335798
Ham,0.03190382351054634,0.03569139471710942,0.03232565866022434
HandOutlines,0.0054671625008627794,0.00842210648923638,0.0060237798562819776
Haptics,0.026824608074744523,0.027276855011496657,0.02710666571309585
Herring,0.0758250824065693,0.06904887961684784,0.07575073642403853
InlineSkate,0.044954240406771394,0.04506526226194869,0.046049820447017616
InsectWingbeatSound,0.008079452993693682,0.013736640097990605,0.008643313762861302
ItalyPowerDemand,0.015082479133571865,0.016427012599063914,0.015025618330076818
LargeKitchenAppliances,0.019932044469409677,0.023838683261570223,0.02111459985918
Lightning2,0.07026848398787344,0.07411445598671623,0.07468304674599431
Lightning7,0.02809087693941892,0.030082159879239317,0.02770642395084028
Mallat,0.010519083206655571,0.010333204967277921,0.010428473575103325
Meat,2.7681826617915E-4,4.2847259092617003E-4,4.1160721335310534E-4
MedicalImages,0.014244243083874964,0.014113257577114229,0.014182051386941119
MiddlePhalanxOutlineAgeGroup,0.012657542408135386,0.011683886341731911,0.012900274490969425
MiddlePhalanxOutlineCorrect,0.010393021846814786,0.010836606473732717,0.010580136709126194
MiddlePhalanxTW,0.008977978036804495,0.008015629894035812,0.009230025180515328
MoteStrain,0.06611119160302904,0.07162803021613592,0.07337825165600469
NonInvasiveFetalECGThorax1,3.7155464289372877E-4,3.198967273462571E-4,3.7070128435267067E-4
NonInvasiveFetalECGThorax2,5.519641000908393E-4,5.260083997352636E-4,5.457672607887771E-4
OliveOil,0.01732011153172255,0.022748792569552555,0.018495652191554593
OSULeaf,0.016410279513512212,0.02239064021307159,0.017487944815648415
PhalangesOutlinesCorrect,0.006132011109049919,0.005760994284249997,0.006383548919996464
Phoneme,0.03164103162518574,0.0337740226164324,0.029347703108978673
Plane,0.002605380588218867,0.005008851848651615,0.0025948462813165643
ProximalPhalanxOutlineAgeGroup,0.007897769463564155,0.0074351710476405946,0.008106413085479854
ProximalPhalanxOutlineCorrect,0.008300326873843923,0.007932440059745775,0.008670972002006802
ProximalPhalanxTW,0.00582926943764703,0.00571923446703616,0.005796055176828175
RefrigerationDevices,0.027607851699869644,0.02692193873848187,0.02505145789468749
ScreenType,0.020345357692587693,0.02027637210964998,0.02003753261582547
ShapeletSim,0.20560563747358562,0.20298943973438163,0.2086533174827367
ShapesAll,0.005126057618730573,0.005065003744682549,0.005069072354449447
SmallKitchenAppliances,0.02377121484551588,0.023830731180080614,0.023805544635056127
SonyAIBORobotSurface1,0.07289142436979322,0.07249702616395264,0.07814191537626435
SonyAIBORobotSurface2,0.05461914866746757,0.06006927828509685,0.054653106933308604
StarlightCurves,0.0034622553757618453,0.0032329185631616015,0.0036085199264668205
Strawberry,0.0020377643904237928,0.0020385344319775556,0.0020502513686157077
SwedishLeaf,0.0018179386399848308,0.00199415064243102,0.0018879954523495974
Symbols,0.04237721256986266,0.04300323842601732,0.04248349260466548
SyntheticControl,9.304104204312071E-4,9.610768757882986E-4,9.694384887125145E-4
ToeSegmentation1,0.10642779242284418,0.12166894975026843,0.10751850949979488
ToeSegmentation2,0.10125858712311682,0.09497946429383036,0.11086689534005036
Trace,0.017614134307197767,0.024366666248964042,0.018068714068192233
TwoLeadECG,0.037904902178945134,0.040301321449304164,0.042781004773138724
TwoPatterns,0.0013000984843540206,0.0016964586924853938,0.0014004058378651177
UWaveGestureLibraryAll,0.0018412709796274582,0.00424882989575289,0.0018608487475193806
UWaveGestureLibraryX,0.003944758810013327,0.004050605607885718,0.0038966677424125914
UWaveGestureLibraryY,0.00584689868935117,0.005845139792220582,0.005833768880469444
UWaveGestureLibraryZ,0.004783123086320737,0.004740830038977967,0.004838177204518428
Wafer,0.005903029846827827,0.013407337168419058,0.0059382141568751256
Wine,0.031032717176829896,0.039643934631913014,0.03135276708527101
WordSynonyms,0.013225894989707748,0.013224101146338754,0.013007273985711299
Worms,0.04358400514309796,0.04211696643077331,0.04392999528976215
WormsTwoClass,0.03774801696321475,0.03829135238748446,0.037678864271987654
Yoga,0.022854010987397984,0.02302621816922299,0.02386656558349626
