CAWPE-S(a=4-probs),WMC(a=1-probs),MC(a=0-probs),EWMV(a=4-preds),WMV(a=1-preds),MV(a=0-preds)
0.6462144352506723,0.6435424528180606,0.642340901208847,0.6541164116714203,0.6541230329197063,0.6521608333400774
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.7578936823506057,0.7574729479179815,0.757321286082491,0.7498272497403637,0.7498272497403637,0.7498272497403637
0.8212428620571034,0.8141889920880633,0.8123460841646601,0.7929395252837979,0.7929395252837979,0.802975851393189
0.3714467237994443,0.3634837753449386,0.36057037781897067,0.3537919151934161,0.3533997594025736,0.3223252520879163
0.578257799411181,0.579945021877389,0.5803219391987507,0.5765844231363555,0.5758496193822282,0.5851616405601913
0.6968888888888889,0.6758425925925926,0.6649043209876544,0.7839506172839507,0.7839506172839507,0.7916018518518517
0.6341666666666667,0.6300000000000001,0.6116666666666667,0.5916666666666667,0.6166666666666667,0.6125
0.6060696679438057,0.6060751915708813,0.6060501915708814,0.5960975095785439,0.5960975095785439,0.5960975095785439
0.5848465733622447,0.5847644391878575,0.5850686641697879,0.5852900979039358,0.5852900979039358,0.5852900979039358
0.5891127484841507,0.5907283751630977,0.5898457287589225,0.5900721467495588,0.5917875508481082,0.5917875508481082
0.9601489287475792,0.9603516306374584,0.9601411093868418,0.9597826217715064,0.9597826217715064,0.9597826217715064
0.9654781982361829,0.9654781982361827,0.9650416359228416,0.966816872211096,0.966816872211096,0.966816872211096
0.6508040935672514,0.6527046783625732,0.6499634502923979,0.6380482456140352,0.6389619883040939,0.6389619883040939
0.6781605739939074,0.6773258377425045,0.6791426166426168,0.6695757174923842,0.6719686948853615,0.6728575436908769
0.8997054452807293,0.8890282697100876,0.8822280126754559,0.8407819469041059,0.8407819469041059,0.8123761047979801
0.8353380389612273,0.8331879310140179,0.8328732883080706,0.8166946261149161,0.8165817827049711,0.812583433235607
0.7744991861504246,0.7721637153830943,0.7719618139992538,0.7602894295256998,0.7602220894583597,0.7526786358750422
0.7358317197823965,0.736069035198115,0.6996390227632561,0.7245010579015948,0.6388104920187262,0.4802731181326638
0.9896545390893606,0.9894275584955743,0.9893221933097158,0.9865043473262898,0.9865043473262898,0.9865043473262898
0.5173507462686566,0.516334991708126,0.5156894100923952,0.5172500592276712,0.5172500592276712,0.5172500592276712
0.8096513605442176,0.7983418367346939,0.7939625850340135,0.7986819727891158,0.7886904761904763,0.7886904761904763
0.9758922558922561,0.9529292929292931,0.9437037037037038,0.9641750841750842,0.9387878787878793,0.9245791245791243
0.6808447685920327,0.6630783673261579,0.6558336805965467,0.6151722651867881,0.6151722651867881,0.6151722651867881
0.513229766492148,0.5121673806817582,0.5116695750364352,0.5063482929973386,0.506233189210204,0.5054514367429164
0.8639046717171717,0.8638629599567097,0.8636036706349205,0.8651233315295815,0.8651233315295815,0.8651233315295815
0.7215427350427351,0.7207222222222224,0.7212692307692309,0.710235042735043,0.710235042735043,0.710235042735043
0.9709303066507367,0.9716901632815611,0.9712887295898047,0.9703813221823974,0.9703813221823974,0.9719743130227002
0.753030303030303,0.7541666666666667,0.7537878787878788,0.7579545454545455,0.7579545454545455,0.7579545454545455
0.6236618589743589,0.6200008903133903,0.6197159900284901,0.619866452991453,0.6197061965811966,0.6098530982905981
0.8502070506141267,0.8406736446591515,0.8389674307726313,0.8367263427109974,0.8367263427109974,0.8350713586561839
0.8809176960257787,0.8795947582249275,0.8795983386044476,0.8761910356247763,0.8761910356247763,0.8761874552452561
0.5227272727272727,0.5152777777777777,0.514520202020202,0.5125,0.5146464646464646,0.5146464646464646
0.3655406746031745,0.3306746031746032,0.3186078042328042,0.3489699074074074,0.32064153439153437,0.3071428571428571
0.6356590550450201,0.6364230019493177,0.6326385407964356,0.6270815928710668,0.6245470156873666,0.6174074074074074
0.5686596157996978,0.5693251313044103,0.569030146053673,0.5679221526728541,0.5679221526728541,0.5679221526728541
0.7488215488215487,0.7416561447811447,0.7285458754208755,0.7453914141414142,0.6834385521885522,0.5847327441077442
0.3130190992386115,0.3152903600464576,0.3147535165827849,0.3184656084656085,0.31889856755710416,0.31714414763195253
