TRAINACC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.7396581196581197,0.728034188034188,0.7116239316239316
ArrowHead,0.8379629629629634,0.8111111111111114,0.7972222222222225
Beef,0.7211111111111113,0.701111111111111,0.681111111111111
BeetleFly,0.8016666666666669,0.7566666666666666,0.74
BirdChicken,0.8000000000000004,0.7616666666666667,0.7433333333333334
Car,0.8338888888888889,0.8177777777777778,0.806666666666667
CBF,0.9066666666666665,0.8833333333333331,0.8755555555555555
ChlorineConcentration,0.8622412562455389,0.8436117059243399,0.8100642398286939
CinCECGtorso,0.836666666666667,0.831666666666667,0.7491666666666668
Coffee,0.9952380952380954,0.9928571428571428,0.9904761904761905
Computers,0.5969333333333334,0.5675999999999999,0.5562666666666666
CricketX,0.5957264957264956,0.5893162393162392,0.584102564102564
CricketY,0.552051282051282,0.5424786324786324,0.5395726495726495
CricketZ,0.5824786324786323,0.5753846153846153,0.5666666666666665
DiatomSizeReduction,0.925,0.9208333333333333,0.9208333333333333
DistalPhalanxOutlineAgeGroup,0.8238333333333332,0.8174999999999998,0.8173333333333335
DistalPhalanxOutlineCorrect,0.8089444444444444,0.7988333333333333,0.7955555555555555
DistalPhalanxTW,0.7889166666666667,0.7837499999999998,0.7839166666666667
Earthquakes,0.8179089026915115,0.798343685300207,0.7769151138716356
ECG200,0.8903333333333335,0.8696666666666667,0.8676666666666666
ECG5000,0.9482,0.9458666666666667,0.9455333333333333
ECGFiveDays,0.9347826086956521,0.9217391304347825,0.9188405797101449
ElectricDevices,0.7474232578982747,0.7442714168347151,0.7390917917693629
FaceAll,0.892440476190476,0.89,0.8868452380952381
FaceFour,0.9166666666666666,0.8930555555555556,0.8777777777777779
FacesUCR,0.7795000000000001,0.7718333333333334,0.7718333333333333
FiftyWords,0.6722222222222223,0.6664444444444444,0.6674074074074074
Fish,0.8678095238095235,0.860952380952381,0.8575238095238095
FordA,0.7498842914005369,0.7479496436175137,0.7482736276960104
FordB,0.728850385038504,0.7251833516685002,0.7274385771910526
GunPoint,0.9406666666666669,0.9213333333333334,0.9140000000000003
Ham,0.834250764525994,0.8235474006116209,0.8168195718654434
HandOutlines,0.8935666666666665,0.8899000000000001,0.8880333333333337
Haptics,0.49806451612903235,0.48387096774193533,0.4806451612903226
Herring,0.6421875,0.6036458333333333,0.5895833333333333
InlineSkate,0.34833333333333333,0.33199999999999996,0.3256666666666666
InsectWingbeatSound,0.6380303030303031,0.6266666666666666,0.6227272727272728
ItalyPowerDemand,0.9731343283582087,0.969651741293532,0.9686567164179102
LargeKitchenAppliances,0.5626666666666668,0.5473777777777777,0.5186666666666666
Lightning2,0.8150000000000001,0.78,0.7694444444444443
Lightning7,0.698095238095238,0.6742857142857143,0.6676190476190477
Mallat,0.8933333333333336,0.8727272727272728,0.8684848484848481
Meat,0.9966666666666667,0.9955555555555555,0.9955555555555555
MedicalImages,0.7227471566054242,0.7169728783902012,0.7157480314960629
MiddlePhalanxOutlineAgeGroup,0.7576666666666667,0.7445833333333334,0.7430833333333335
MiddlePhalanxOutlineCorrect,0.8428333333333332,0.8344444444444442,0.8291666666666668
MiddlePhalanxTW,0.6340852130325815,0.6176274018379282,0.6146198830409355
MoteStrain,0.9049999999999999,0.8816666666666665,0.8699999999999999
NonInvasiveFetalECGThorax1,0.9190555555555554,0.9165925925925926,0.911925925925926
NonInvasiveFetalECGThorax2,0.9375,0.9349444444444444,0.9320740740740739
OliveOil,0.8922222222222224,0.8711111111111111,0.8666666666666668
OSULeaf,0.6184999999999998,0.6083333333333333,0.5886666666666667
PhalangesOutlinesCorrect,0.8361111111111111,0.8284259259259259,0.8211296296296297
Phoneme,0.10934579439252336,0.09984423676012459,0.09797507788161991
Plane,0.9765079365079365,0.9736507936507938,0.9733333333333334
ProximalPhalanxOutlineAgeGroup,0.8503333333333333,0.8434166666666666,0.8420000000000001
ProximalPhalanxOutlineCorrect,0.8787777777777779,0.8729444444444445,0.8687222222222224
ProximalPhalanxTW,0.8411666666666667,0.8364166666666667,0.8359166666666668
RefrigerationDevices,0.45671111111111107,0.4394666666666667,0.3943111111111111
ScreenType,0.45768888888888887,0.4434666666666666,0.4379555555555556
ShapeletSim,0.6816666666666668,0.6566666666666667,0.5916666666666669
ShapesAll,0.7520000000000001,0.7475555555555554,0.7488333333333332
SmallKitchenAppliances,0.6123555555555557,0.6072888888888889,0.5593777777777778
SonyAIBORobotSurface1,0.8949999999999998,0.865,0.8550000000000001
SonyAIBORobotSurface2,0.8975308641975307,0.8740740740740743,0.8654320987654321
StarlightCurves,0.9312333333333336,0.9276666666666666,0.9257000000000001
Strawberry,0.9719956498096791,0.9703643284393693,0.970201196302338
SwedishLeaf,0.8670666666666667,0.8622000000000001,0.8596666666666665
Symbols,0.8853333333333334,0.8626666666666668,0.8440000000000001
SyntheticControl,0.9525555555555556,0.9475555555555558,0.9462222222222222
ToeSegmentation1,0.6358333333333331,0.5758333333333333,0.5516666666666666
ToeSegmentation2,0.7694444444444445,0.713888888888889,0.6203703703703702
Trace,0.8830000000000002,0.8663333333333332,0.8656666666666666
TwoLeadECG,0.918840579710145,0.9086956521739131,0.8869565217391305
TwoPatterns,0.9295333333333334,0.9225999999999999,0.9220666666666665
UWaveGestureLibraryAll,0.9494419642857143,0.9449404761904762,0.9435267857142855
UWaveGestureLibraryX,0.7406994047619049,0.7361607142857143,0.7346726190476193
UWaveGestureLibraryY,0.6985119047619047,0.694456845238095,0.6933407738095237
UWaveGestureLibraryZ,0.6990327380952377,0.6926711309523811,0.6924851190476189
Wafer,0.9943333333333334,0.9878999999999999,0.9831666666666667
Wine,0.9000000000000004,0.8824561403508773,0.871345029239766
WordSynonyms,0.6463171036204743,0.6405742821473159,0.6322097378277153
Worms,0.48195211786372016,0.4675874769797422,0.47090239410681395
WormsTwoClass,0.6405156537753224,0.6230202578268875,0.6160220994475137
Yoga,0.8441111111111109,0.8352222222222222,0.8312222222222222
