TRAINNLLSTDDEVS:,CAWPE_eq,CAWPE_alpha=1,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=3,CAWPE_alpha=4,CAWPE_alpha=5,CAWPE_alpha=6,CAWPE_alpha=7,CAWPE_alpha=8,CAWPE_alpha=9,CAWPE_alpha=10,CAWPE_alpha=11,CAWPE_alpha=12,CAWPE_alpha=13,CAWPE_alpha=14,CAWPE_alpha=15
abalone,0.014021066668282981,0.014013834692734631,0.023695640526778704,0.014009202431958266,0.014007077091944155,0.014007362187296944,0.014009957635703249,0.014014759925120128,0.014021662354040284,0.014030555343577373,0.014041326818474214,0.014053862652445369,0.014068047171727466,0.014083763709199856,0.014100895200092417,0.014119324809173465,0.014138936578379228
acute-inflammation,0.023049281707078116,0.02287306541729612,0.009473134739844862,0.022720725454986494,0.022591332273631796,0.022483910555539482,0.02239744806539319,0.02233090467703257,0.022283221361562217,0.022253328940273518,0.0222401564288051,0.02224263882731695,0.02225972424294154,0.022290380263231324,0.022333599530847816,0.022388404498812315,0.0224538513711758
acute-nephritis,0.02336846433321077,0.023689877926234656,0.027812468863211214,0.024047993234498872,0.024437186884497895,0.024852335210749914,0.025288829847454578,0.02574257140878801,0.02620994759588487,0.02668780112608185,0.02717339180036921,0.02766435598201993,0.028158665845296877,0.02865459000329056,0.02915065653886159,0.029645619024735753,0.03013842580322171
adult,0.004460669123742507,0.004453295890970911,0.004154681959698656,0.0044460002815665265,0.00443878319789485,0.0044316455439100295,0.0044245882237686,0.004417612140237341,0.004410718192893253,0.0044039072761254475,0.004397180276959267,0.004390538072703535,0.004383981528445662,0.004377511494405297,0.004371128803160453,0.004364834266769946,0.00435862867380824
annealing,0.026371754555996822,0.02601626403199142,0.04091027437710138,0.025746401971849377,0.025550555753458798,0.025417371483875954,0.025336244956336487,0.025297638777300836,0.025293240461044086,0.025315992600570363,0.025360031965855456,0.02542057247599499,0.025493760826940923,0.025576525916619203,0.025666435914347637,0.025761570799778727,0.025860413735238647
arrhythmia,0.07550906474167242,0.07485348688494158,0.12928204991976822,0.07503151082288236,0.07569513981713204,0.07663204919863947,0.07771004097565834,0.078845188073039,0.0799846169402095,0.08109665381558923,0.08216444649191523,0.08318137967895739,0.08414763522923012,0.0850676268987712,0.08594814513918465,0.08679707018412751,0.087622522037937
audiology-std,0.08571785081380827,0.08536471612788371,0.1613067905883396,0.08520809666968476,0.08524603575757589,0.08547750655577632,0.08590215437621297,0.08652005207940891,0.0873314689877243,0.0883366615943093,0.0895356952832857,0.09092830064909395,0.09251375970158358,0.09429081107676994,0.09625756253510641,0.0984114038038673,0.10074892088938106
balance-scale,0.023217701763308864,0.023482894387042805,0.0567728219655983,0.023882384396406258,0.02440548237198604,0.025039876140899125,0.025772288556238726,0.026589064254177237,0.027476645253300114,0.02842192502478645,0.02941249108080377,0.03043677633268643,0.03148414181641421,0.03254491108894366,0.03361037235969917,0.034672759967457056,0.03572522301023172
balloons,0.27341954854176764,0.25463524303360613,0.23360508928918206,0.24411684687534252,0.23829357096474574,0.23513524436933034,0.23362310505468425,0.233169878547205,0.2333858200779964,0.23400269137289473,0.23483990629831242,0.2357793569951072,0.2367453714116131,0.23769034413709883,0.23858524412516288,0.23941351129551464,0.2401670597222224
bank,0.01043248198975226,0.01044874888766874,0.017389480522420894,0.010465156620912516,0.010481703510882397,0.010498387876957355,0.010515208037138143,0.010532162308677654,0.010549249008701411,0.01056646645481424,0.01058381296569609,0.010601286861685684,0.010618886465350903,0.010636610102045415,0.010654456100454185,0.010672422793122978,0.01069050851697621
blood,0.031336390609284004,0.030915772594145925,0.08952819954928626,0.03053142585068609,0.03018184717968598,0.0298655238516635,0.029580944234539948,0.029326606444226154,0.029101025263690575,0.02890273761919752,0.02873030691419082,0.02858232650652555,0.028457422579865273,0.02835425661227198,0.028271527591325802,0.028207974071716817,0.02816237612296699
breast-cancer,0.05612025224098161,0.0545162614220052,0.23280952100233224,0.05319192346228456,0.05210880011644438,0.05123253234526154,0.050533275537936996,0.049985698394427514,0.04956873807565579,0.0492652526741085,0.04906164630549764,0.048947488161062966,0.0489151169807689,0.04895921644644312,0.049076357049241626,0.04926451581371526,0.04952259841576613
breast-cancer-wisc,0.02777095068779197,0.027814040770976687,0.06128237170832108,0.027858134530670837,0.027903223723926954,0.027949300235495998,0.02799635607438721,0.028044383370285024,0.028093374369843577,0.02814332143287791,0.028194217028469838,0.028246053731005118,0.02829882421615841,0.028352521256840735,0.0284071377191232,0.028462666558150263,0.028519100814054836
breast-cancer-wisc-diag,0.025030489491285873,0.025056179907202044,0.040357132553919754,0.025084451245340297,0.02511530329915111,0.02514873482811902,0.025184743590237414,0.025223326372446293,0.02526447901868976,0.025308196455281422,0.02535447271330501,0.0254033009478149,0.0254546734536459,0.02550858167768397,0.025565016227497454,0.02562396687627385,0.025685422564054667
breast-cancer-wisc-prog,0.0609260149297821,0.06039293266824079,0.13493579078276915,0.05995498194558577,0.059604965444809026,0.05933662431401568,0.059144418896538625,0.05902339045366448,0.05896907830011226,0.058977470373990024,0.05904497128612082,0.05916837777691577,0.059344856042920606,0.05957191834561148,0.05984739796284454,0.06016942232456389,0.060536384476244015
